0.0065121-0.00045211i,0.0047938-0.0039578i,0.0033245-0.006752i,0.00042379-0.0062107i,-0.0029953-0.0035597i,-0.0043044+0.00041843i,-0.0022748+0.0016226i,-0.00012222+0.001243i,0.0012901+0.00033387i,0.0009248-0.00094561i,-0.00049141-0.00097663i,-0.001098-0.00015633i,-0.0022089+0.00088614i,-0.0031984+0.0015847i,-0.0030554+0.001337i,-0.0019199+0.00075823i,0.00013426-0.0003128i,0.00080852-0.0006313i,6.9373e-05+0.00017457i,0.00043763+0.00048599i,0.00068494-0.00011329i,-0.00010994-0.00074418i,-0.0005342-0.00094103i
-0.00078251+0.00083932i,-0.00032228+0.00055089i,0.00017748-0.00013376i,-0.00012471-0.00025893i,0.00041533-9.1589e-05i,0.0017737-3.8493e-05i,0.0012064+5.7596e-05i,0.00016573-0.00080863i,-9.1584e-05-8.8998e-05i,-0.00015339+0.00029712i,-0.0002623-0.00031561i,0.00021561-0.00022516i,0.00053758-0.00030318i,0.00038056-0.00038729i,0.00064483+0.00065334i,0.00097701+0.00059867i,0.00048374-0.00063313i,0.00022774-0.00084665i,0.00023459-0.0001032i,0.00053543-0.00013349i,0.00033997-0.00011002i,-2.6631e-05+0.0004303i,0.00025553+0.00088528i
-0.0022594+0.00018173i,-0.0018548+0.0012564i,-0.0015784+0.0021474i,-0.00067021+0.0020942i,0.00051984+0.00055168i,0.00074445-0.0011828i,0.00010044-0.0023145i,-0.00017543-0.0021206i,0.00028611-0.0010847i,0.00073412-0.00032855i,-2.4926e-05+0.00078882i,-0.00046669+0.001148i,-0.00015769+0.00029776i,0.00014507-0.00027184i,0.00020557+0.00035787i,0.00018638+0.00084236i,5.1591e-05+0.00027214i,-0.00033665-0.00025396i,-0.00059778+0.00012784i,-0.0004153+0.00013744i,0.00038481-0.00066406i,0.00094013-0.00081028i,0.00050235+4.6495e-05i
-0.0023687-0.001336i,-0.0022274-0.00039557i,-0.0014219+0.00048784i,-0.0010378+0.0010794i,4.1004e-05+0.0011902i,0.0012574+0.00018823i,0.00088692-0.00030023i,6.47e-05-0.00026964i,0.00047869-3.5274e-05i,0.00055054+0.00066404i,0.00013224+0.00082593i,0.0002513+0.00035644i,0.00028196-0.00010066i,0.00058006-0.00071945i,0.00066679-0.0010157i,1.6578e-05-0.00092057i,0.00047306-0.00050374i,0.0012369-0.00045854i,0.00066093+9.2013e-05i,0.00032241+0.00040662i,0.00041214+0.00014022i,0.00050393+0.00084545i,0.00033501+0.00094626i
0.0011979+0.00033124i,0.00093732-0.00010961i,0.00030933-0.00095702i,-0.00041401-0.00085489i,-0.0003288-0.00036548i,0.0002182-6.8521e-05i,6.1928e-05-0.0001121i,-0.0012807-0.00010816i,-0.0018371-0.00057001i,-0.00074404-0.00058429i,0.00054047-7.389e-05i,0.00078092+0.00010538i,0.00088317-0.0001109i,0.00063651-0.00085712i,0.00033089-0.00072559i,0.00059722+0.00011356i,0.00092828+0.00027201i,0.0012853-9.2433e-05i,0.0013693-0.00011039i,0.0009333+0.00027514i,0.0002938+5.9933e-05i,0.00066055-7.002e-05i,0.00095452+6.9963e-05i
-0.0025073-0.0018354i,-0.0025478-0.00066244i,-0.0022785-1.5714e-05i,-0.0012312-0.00012851i,0.00017878+0.00014104i,0.00093612+0.00060004i,0.0014045-0.00083184i,0.00099296-0.002469i,-0.00022002-0.0014075i,-0.00038055+0.00032468i,-8.484e-05+0.0011343i,0.00074422+0.00096512i,0.0016316+0.00066096i,0.0010791+0.00082426i,0.0010525+0.0007153i,0.0017858-4.1004e-05i,0.0011037-0.0004727i,-0.000947+0.00028676i,-0.001086+0.00021445i,0.00054496-0.00068332i,0.0010113-0.0011736i,0.00056677-0.001279i,0.00067502-0.00056619i
0.0011785-0.0027377i,-0.0017628-0.0028953i,-0.0021985-0.0019666i,-0.0011515+0.00013868i,5.0142e-05+0.0013899i,0.00097564+0.0010566i,0.00071717+0.00032857i,-0.00015133+0.00034294i,-0.00023739+0.00060029i,0.00028304-0.00050895i,0.00039213-0.00058788i,0.00011422+0.00042472i,0.00018512+0.0011161i,-0.00016024+0.0017965i,-0.0008526+0.0018219i,-0.00051817+0.00083113i,0.00010799+0.00039658i,-0.00031166+0.00047809i,9.8463e-05-0.00067141i,0.00090124-0.00081808i,0.00037383-0.00042585i,-5.859e-05-0.00060455i,0.00044773+5.7182e-06i
0.0012061+0.0013527i,0.0021616+0.00055547i,0.0007174-9.1488e-05i,-0.00012087+0.00061225i,0.00031535-8.1629e-05i,8.5679e-05-0.0016727i,0.00031368-0.0021449i,0.00068367-0.0012758i,0.00041727-0.00022666i,-0.00042409-0.00014285i,-0.00087548+0.00025051i,-0.00032777+0.0006368i,3.8753e-05+0.00037335i,0.00019435+5.6307e-05i,0.00075233-0.00040558i,0.00082333-0.00035879i,-3.6582e-05-0.00028578i,-0.00072121-0.00020204i,-0.0009955+0.00031711i,-0.00068305+0.00052658i,-2.5842e-05+0.00016294i,0.00033538-0.00061021i,0.0002008-0.00065977i
-0.00012247+0.00042646i,-0.00073975+0.0013002i,-0.0010831+0.0024467i,-0.00060908+0.0013934i,-0.00028514-0.00019975i,0.00011936-0.00085187i,0.00062598-0.00081545i,0.00044614-0.00071921i,-6.0834e-05-0.00059163i,-6.6483e-05-0.00010046i,-0.00048108+0.00053206i,-0.00087131+0.00034037i,1.8476e-05-0.00020512i,0.001005-0.00011277i,0.0005202-4.0948e-05i,0.00035446-0.00031626i,0.0005249-0.00028401i,8.9011e-05-0.00037156i,0.00062398-0.00066336i,0.00093347-0.00051867i,0.00047836+0.00068105i,-0.00049227+0.00051146i,-0.00086738-0.00046586i
-0.0010539-0.00055048i,-0.00093489-0.001425i,-0.00085074-0.0021129i,-0.0009758-0.0015403i,0.00022995-0.0012272i,0.0011464-0.00096553i,0.00081647-0.00035019i,0.0005862-0.00029547i,4.1916e-05-0.00056942i,-0.00061946-0.0010454i,-0.00092305-0.00097039i,-0.0011565-7.4795e-05i,-0.00010189+0.00035131i,0.00038616+0.00036254i,-0.00022961+0.00080167i,-0.00079073+0.00057525i,-0.00070212+0.00037795i,0.00034199+0.00016099i,-0.00034891-0.00041779i,-0.00081745-0.00029059i,-0.00019758-0.00044365i,0.00039531-0.00087507i,0.00031705-0.00096941i
-0.00067449+0.0005241i,-0.0010146-0.00063959i,-0.00045188-0.00080659i,0.00054887-0.00044502i,0.00088281-0.00023252i,0.00084378-0.00067584i,0.00066727-0.000895i,0.0005187-0.00052739i,5.3626e-05-2.8848e-05i,-0.00040409+0.00052412i,-0.00040867+0.00030248i,0.00014257-0.00052994i,6.6292e-05+4.281e-05i,-0.00069672+0.00039238i,-0.00074211-0.00026963i,-0.0004682-0.00032559i,-0.00023321+0.00018591i,-7.7104e-05-6.7518e-05i,-0.00063016-0.00087227i,-0.00088271-0.00049515i,-0.00084598+0.00041468i,-0.00016044+0.00098966i,0.00016355+0.00096369i
-0.00042318-0.00067712i,-0.00030423-0.0010934i,-0.00042598-0.0020956i,-0.00072877-0.0012941i,-0.0004491+0.00033359i,0.00032534-0.00044294i,0.00079608-0.0021951i,0.00071115-0.0018921i,-1.8127e-05-0.00088566i,-8.3985e-05-0.00022673i,-0.00016734+6.5898e-05i,-0.00024226+0.00031274i,0.00026529+0.00074677i,0.00039525+0.00083298i,0.0006037+0.00061422i,0.00069901+1.4583e-05i,0.00023214-0.00034746i,-4.9189e-05-0.00032031i,0.00020133+5.1553e-05i,-0.00028905-1.8616e-05i,-0.00096756-0.00036763i,-0.00012744-0.0005071i,0.0010234-8.8057e-05i
0.00031237+0.00010515i,0.00025984+5.4633e-05i,-0.001241-0.00024449i,-0.0019401-0.00053901i,-0.00098135-0.00072623i,-0.00055813-0.00052184i,-0.00014052-0.00030525i,0.00013194-0.0002161i,8.7451e-05+2.0749e-06i,-4.5236e-05-0.00011968i,-0.00028836-0.00016879i,-0.00039749+0.00041939i,-0.00010923+0.00027118i,-0.00056652-0.00071883i,-0.00083663-0.00047942i,-0.0011902+0.0004152i,-0.00053192+0.00032716i,0.00013871+0.00032395i,-0.00022003+0.00038882i,0.00017123+0.00026673i,0.00087968+0.00049671i,0.0010419+0.00054336i,0.00041814+0.00061108i
0.00021653-0.00057149i,0.00089515-2.1694e-05i,0.0019055-0.00042379i,0.0023504-0.00069964i,0.0018896-0.0001113i,0.0018587+0.00018704i,0.0017458-0.00034832i,0.00065677-0.00044111i,-0.00061356-0.00033539i,-0.00084359-0.00076341i,-0.00082985+3.0932e-05i,-0.0010033+0.00076354i,-0.00077755+0.00028019i,-0.0004765+4.0053e-05i,-0.00048957+0.00087161i,8.9562e-05+0.0014577i,0.0002175+0.0012346i,-0.00016915+0.00057858i,-0.00031952+0.00023115i,-9.7856e-05-1.7635e-05i,0.00037912-0.00024134i,0.00056261-0.00046668i,0.00011582-0.00048928i
-0.00066543-0.0023635i,-0.0019763-0.0011255i,-0.0033752+0.00041618i,-0.0023208+0.0015544i,-0.00093696+0.0014915i,0.00018335+0.00012568i,0.0014388-0.00076797i,0.00073574-0.00083027i,-0.0002084-0.00024385i,-0.00039071+0.00013799i,-0.00032116+0.00025596i,-2.671e-05-0.00013802i,0.00028999-0.00032395i,0.0006088-0.00051115i,0.00080982-0.0004391i,0.0010086-2.3281e-05i,0.0007939+0.00045657i,0.00076365+0.00022708i,0.00043273-7.3005e-05i,0.00012612-9.1587e-05i,0.00075499-0.00011441i,0.00045464+0.00030488i,-0.00035981+0.00052727i
-0.00047186+0.00016837i,-0.00049281+0.00058591i,0.00015021+0.0002945i,0.00031941+0.0007589i,0.000937+0.0011046i,0.0015679-7.5389e-06i,0.0013766-0.001529i,0.00092728-0.0014063i,0.00029895-0.00050457i,-0.00041287-5.922e-05i,0.00023408+0.0001703i,0.00071979-0.00025137i,0.00039565-8.806e-05i,-0.00011044+0.00067538i,0.0003142+0.00073771i,0.00079088-5.0536e-05i,2.5601e-05-0.00076576i,-0.0004641-0.00064611i,-0.00023615-0.00039459i,8.7939e-05+0.0003223i,-0.00015837+0.00073165i,3.6104e-05-0.00011582i,0.00045741-0.0005752i
1.853e-05-0.00043254i,-0.0001763-0.0001806i,-0.00053705-0.0004094i,-0.00072807-0.00068528i,-0.00038252-0.00046213i,-0.00037963+0.00042869i,-0.00034831+0.00022768i,0.00061497-0.00031936i,0.00046537-2.878e-05i,0.00034283+0.00033921i,0.0010274+0.00077878i,0.00042781+0.00083747i,-0.00042055+0.00028976i,-0.00019753-9.1605e-05i,0.00056374+0.00037939i,0.0003575+0.00054868i,-0.00027721+9.5092e-06i,-0.00041439+8.1077e-05i,-1.1183e-05+0.00054571i,0.00062468+9.4944e-05i,0.00074727+2.6635e-05i,0.00031147+0.00035257i,0.00013835+0.00025702i
0.00077823+2.0468e-05i,0.00063752+0.00012291i,-0.00074914-0.00043581i,-0.00094074-9.3594e-05i,-0.0012506+0.00074245i,-0.00091387+0.00068294i,-0.00022223-0.00012588i,0.00017742-0.00084647i,-9.0981e-05-0.00060127i,-5.4845e-05+0.00022935i,-0.00011681+0.00033316i,-0.00043283+0.00031879i,-0.00043836+0.00058706i,0.00032806+0.00030867i,0.00059127+0.00068588i,-6.0735e-05+0.0008175i,-0.0004354+0.00043503i,9.2372e-05+3.6804e-05i,-1.2869e-05-0.00063992i,0.00026713-0.00062611i,0.00050248-0.00051195i,-0.00011945-0.00074713i,-0.00036398-0.00025785i
0.00031377-0.0017562i,-0.0015642-0.0023558i,-0.001718-0.001397i,-0.0010968-8.6377e-05i,-0.00050898-0.00042142i,-0.00024308-0.0007982i,0.00024184-0.00044019i,-0.00012919+0.00026288i,-0.00059576+0.00013278i,-0.00087427-0.00050134i,-0.0010187-0.00045907i,-0.00049021-0.00018874i,-0.00044222-0.00022574i,-0.00081718-0.00018529i,7.9982e-05+0.00085955i,0.00096278+0.0013122i,0.00045173+0.00079771i,0.00026829-4.0263e-05i,0.0005138-0.00031071i,0.00092293-0.00088617i,0.0010906-0.00050701i,0.00028057-0.00038114i,-0.00047276-0.00099423i
0.00079778+0.00010682i,0.0011773-0.00013414i,0.00049895+6.6239e-05i,-0.0002346+4.771e-05i,0.00044489+5.9956e-05i,0.00066193+0.0001526i,0.00097587-0.00058432i,0.0012623-6.3388e-05i,0.00083097+0.00020762i,0.00021989-0.00021139i,-0.00013395-0.00011394i,-0.00047604-0.00026946i,-5.4949e-05-0.00044944i,-0.000165-0.00034377i,-0.00054418-0.00024042i,-0.00027713+0.0003858i,-0.00017441+0.00036737i,0.00015792+0.00013217i,0.00023769+1.7305e-06i,0.00024736-0.00034788i,0.00037779-0.00032433i,-0.00015292-0.00042005i,-0.00034188-0.00056125i
-0.00047368-0.0013025i,-0.00078354-0.0011033i,-0.0010963-0.00084155i,-0.000867-8.4838e-05i,-0.000524-1.2434e-05i,-0.00074684-0.00056105i,-0.00070709-0.00061691i,-0.00025157-5.245e-05i,-0.00036251-7.6932e-05i,-0.00059911-0.00012725i,-0.00090083-0.00020644i,-0.00093129-0.00059714i,-0.00037521-0.00037543i,0.00018592+0.0005264i,8.523e-05+0.001113i,4.8085e-05+0.00083388i,0.00039902+0.00020488i,0.00037551+0.00040247i,0.00054153+0.00034328i,0.00044415-0.00011945i,-0.00026835-0.00040209i,-0.00074392-0.00067224i,-0.00033289-0.0005923i
0.00034471+0.00036479i,-8.9564e-05+0.00079786i,0.00031603+0.00074485i,0.00051788+0.00059408i,0.00047382-0.00025755i,0.00061987-0.00078893i,-2.4505e-05-0.00034716i,-0.00081299-0.00064308i,-0.00086674-0.00084979i,-0.00049498-0.00078885i,-0.00025742-0.0005316i,0.00045768-0.00011302i,0.00092032-0.00053401i,0.00060153-0.00073716i,0.00021867-7.8061e-05i,-0.00033482+0.00052694i,-0.00038256+0.00050618i,-0.00059812+0.00019534i,-0.00067875+0.00021912i,-0.00043892+0.00062517i,-0.00037483+0.00080555i,0.00059562+0.00039122i,0.0011979-1.1749e-05i
0.00040087-0.0010526i,0.00077608-0.0014956i,-6.5308e-06-0.00036681i,-0.00079855+0.00094998i,-0.00057003+0.00039879i,0.00077567-0.00043085i,0.00060103-0.00071381i,-0.0005313-0.00077107i,-0.00011379-0.00026222i,-7.954e-05-0.00026257i,1.4494e-05+0.00041424i,0.00021271+0.0014731i,-0.00016589+0.001179i,9.894e-05-0.00021858i,0.00014034-0.0007302i,0.00028806-0.00020326i,0.00086018+0.00013653i,0.00058426+7.0688e-05i,-0.00018995-0.00010612i,-0.00037424-0.00018345i,0.00021842-0.0002033i,0.00033747-4.5565e-05i,8.1698e-05+0.00040733i
-0.00060511+0.0014034i,0.00034181+0.0025282i,-0.00047676+0.0022373i,-0.0011152+0.00019843i,-0.00049624-0.00039781i,0.00021295-0.00085098i,0.0013173-0.001255i,0.0015112-0.00078253i,0.00078155-0.00024055i,3.0134e-05+0.00015387i,-0.00017292+0.00079729i,3.856e-05+0.00073984i,-0.00019204-0.000162i,-0.0008016-5.8844e-05i,-0.0011255+0.00075011i,-0.00078685+0.00059814i,-0.00012772+0.0005267i,-0.00014742+0.00010694i,-0.0004572+0.00028062i,-0.00065407+0.00087682i,-0.0002774+0.00066448i,-5.0251e-05+0.00035408i,0.00015547+0.00020671i
-0.00027636-0.0010338i,-0.00060745-0.0015266i,-0.00082854-0.00071061i,-0.00036502+0.00016906i,0.00032923+0.00024035i,0.0010862-0.00027255i,0.0012655-0.0007354i,0.0008095-0.00048953i,0.00017393+0.00015235i,0.00036939+0.00027355i,0.00054979-0.00063081i,-0.00017284-0.0012632i,-0.00033163-0.00089418i,0.00047419-0.0010635i,0.00093693-0.00067493i,0.0011243-0.0001608i,0.00076448+0.00051473i,-4.3799e-05+0.000658i,-0.00059718-0.00029836i,0.00023227-0.0004334i,0.0011793+8.0876e-06i,0.00037592-0.00070984i,-0.00034526-0.00085404i
