-0.0018389-0.00039401i,-0.0028262-0.0014724i,-0.0049929-0.0010678i,-0.0033627-0.0011876i,-0.0016508+0.00055247i,-0.0016993+0.0019339i,-0.0007454+0.0011196i,0.00048759+0.00014208i,0.0011923-0.00051545i,0.00147-0.0011065i,0.00054227-0.0014422i,-0.00012095-0.0013838i,0.00028921-0.0013494i,8.5289e-05-0.0017292i,-6.1023e-05-0.0010596i,-8.9452e-05-0.0002064i,3.835e-05-9.8135e-05i,0.00080726-5.1847e-05i,0.00078255+0.00059377i,0.00033095+0.0013544i,8.0423e-05+0.00067798i,-6.7948e-06-0.00010445i,-0.00064265+0.000241i
0.001399-0.0016129i,0.0016693-0.0010592i,0.00035498-0.001467i,0.00069641-0.0016763i,0.0011462-0.00086266i,0.00031262+0.00030168i,-0.0001675+0.00080437i,5.6507e-05+0.00025613i,0.0005892+0.00037867i,0.0007314-2.7743e-05i,0.00020499-0.00050453i,0.00031081-0.00075305i,0.00074324-0.00079354i,0.00024403-0.00066445i,-0.00010885-0.00042331i,-0.00012919-0.00039959i,-0.00022159-0.00020693i,-0.00036542-0.00014686i,-0.0010208+0.0004256i,-0.0012339+0.00053367i,-0.0011016-2.6776e-05i,-0.00061691-0.00031614i,0.00024075-0.00068781i
0.00059595+4.8314e-05i,-0.00039133-0.0007015i,0.00048394-0.00075897i,0.00039676-0.0010674i,-0.0001018-0.0018771i,-0.00033078+6.6657e-06i,-0.00011743+0.0015885i,0.0003547+0.0010335i,0.00023264-4.8851e-05i,-4.9931e-05-0.00039888i,-0.00031879-0.00033358i,-0.00065456-0.00034921i,-0.00029459-0.00038402i,0.00036173-0.00038506i,0.00059558+0.00014972i,0.00019173+0.00068838i,-0.000647+0.00070975i,-0.00080266+0.00052662i,8.2525e-05+6.707e-05i,0.0012659-0.00040851i,0.0007323-0.00037511i,-0.00036972+1.2263e-05i,-0.00052175+0.00022459i
-0.00043737-0.0011871i,-0.0019767-0.0019734i,-0.0024586-0.0013913i,-0.00067128+0.00013696i,0.00036849+0.00067222i,0.0007703+0.00098735i,0.001662+0.00063774i,0.00084137-0.00026896i,0.00019797-0.00076034i,0.00018638-0.0010711i,0.00011005-0.00091827i,-1.1971e-05+0.0002264i,-8.7867e-05+0.00055791i,-1.4987e-05+0.0001842i,-0.00010778+0.00016293i,-7.9439e-05+0.00017023i,0.00030194-0.00046946i,0.00066857-0.00040801i,0.00052327+0.00070792i,0.00023783+0.00049089i,-0.00033243-0.00011539i,-0.00073883-0.00095619i,-0.00086443-0.00054461i
-0.00127-0.00085127i,-0.0022994-0.00099693i,-0.0019242-0.0011304i,-0.0011255+0.00015331i,-0.00040157+0.00052809i,0.00017825-6.3215e-05i,2.4414e-05-5.9721e-06i,-0.00015549-0.00040812i,-0.00048828-0.00070099i,-0.00066361+8.9279e-05i,-0.00022702+0.00058504i,-8.4852e-05+0.00011669i,0.00049233-0.00038964i,0.00060129-0.00034438i,-0.00015439-0.00011185i,-0.00079357+0.00023721i,-0.00028335+0.0005698i,7.8911e-05+0.00038583i,-0.00035593-0.00054283i,-0.00075163-0.00064809i,-0.00057562-5.9624e-05i,-0.00065717-0.00019416i,8.1697e-05-0.00080323i
-0.0010385-0.00046468i,0.00013112-0.0008559i,-0.0003041-4.6898e-05i,-0.00038444+0.0005247i,0.0006432+0.00047459i,0.00044962+0.00086674i,-0.00024971+0.00086431i,-0.00086735-5.3036e-05i,-0.00064306-0.00061062i,0.00049285-0.00027695i,0.00045016-3.9431e-06i,0.00066541-0.00016984i,0.0012737-0.00086441i,0.00089597-0.00082597i,0.000525-8.0947e-05i,0.00063086-1.0448e-05i,-0.00017547+0.00064745i,-0.00076185+0.00082977i,-0.00071952+0.00036936i,-0.00038284-0.00020111i,0.00035845-0.00097328i,0.00077662-0.0012061i,0.00033551-0.0011017i
0.00052743-0.0018894i,-0.0001439-0.0018766i,-0.00015327-0.0024265i,-0.00026768-0.0013548i,-0.00067324+0.00075808i,-0.00056394+0.001091i,-6.0081e-05+0.00010539i,0.00045957-0.00031056i,0.00070329-0.000279i,0.0013953-0.00048101i,0.0013405-4.3534e-05i,0.00022796+0.00063253i,-0.00047432+0.00020303i,-0.00050645+0.00020984i,-0.00077463+0.00096603i,-0.00017238+0.0002101i,0.00062169-0.00043114i,0.0010095-0.00029646i,0.0010376+0.00014639i,0.00062827+0.00049161i,-0.00019645+0.00090084i,-0.00038146+0.00083915i,0.00017629+0.00018929i
-0.00098112+0.0010105i,-0.00060481+0.0012234i,0.00033347+0.0016582i,0.0012156+0.00086827i,0.001266-0.00022347i,0.0011013-0.00041767i,0.0011727-0.00055319i,0.00074537-0.00048048i,0.00014959+0.00029153i,0.00042908+4.258e-05i,0.00080797-0.00063269i,0.00088443-0.00054495i,0.00064729+0.0001629i,-0.00040484+0.00016639i,-0.00054264-0.00027917i,-0.0005453+0.00023207i,-0.00088384-0.00014277i,-1.5471e-05-0.00065071i,0.00071489+0.00015434i,0.00022128+0.00031303i,-0.00016301+4.928e-05i,-0.00037404+5.4107e-05i,-0.00046386-9.8208e-05i
-0.0010135-0.0017981i,-0.0011705-0.0019116i,-0.0014586+5.2149e-05i,-0.00033882+0.00069177i,0.0014262-0.00011675i,0.0013785-0.00085548i,0.0010505-0.00049461i,0.00091839-7.8715e-05i,0.00085983-0.00024042i,0.00031652-0.00022943i,-0.00036663-0.00060835i,-0.00055702-0.00064029i,-0.000195-2.3373e-05i,0.00021975+0.0002235i,0.00044411+0.00015602i,8.4412e-05+8.3774e-05i,-0.00088341-0.00033388i,-0.0011845-0.00052951i,-0.00086434+3.4107e-05i,-0.0003549-0.00010656i,-0.00027303-0.00064234i,-0.0006148-0.00014194i,-0.00022315-0.0002219i
0.00060344-0.0014397i,0.00058932-0.0019952i,0.0011902-0.0015195i,0.00085848-0.00085813i,0.001008-0.00024071i,0.00092731+0.00015684i,-3.4025e-05-0.00012785i,-0.00026545+0.00010623i,-3.1022e-05+0.00015787i,0.00038216-0.00058224i,0.00018613-0.00096624i,-0.00023671-0.00083523i,-0.0005529-0.00041757i,-0.00091372-0.00062728i,-0.00062738-0.00022779i,-0.00031071+0.00044208i,-0.00072427+0.00053846i,-0.00036015+2.4295e-06i,0.00026176-0.00061469i,0.00010236-0.00056026i,0.00025003-0.00042232i,0.00014273-0.00026888i,6.9089e-05-0.00038327i
-0.0011329+0.00031403i,-0.00035926+0.0015243i,-0.00041842+0.0020583i,0.00015582+0.0018312i,0.0010354+0.0011993i,0.0011741+0.00057722i,0.0007848+0.00051563i,0.00016674+0.00016031i,-0.0001189+0.00023469i,-0.00058597+0.00047758i,-0.00029758+0.00062138i,0.00015208+0.00089142i,-1.506e-05+0.00041451i,-8.7846e-05-0.00038844i,0.00056541-4.4083e-05i,0.00043186+0.00084437i,-0.00010309+0.00062054i,7.9364e-05-0.00021083i,-0.00026476-0.00035192i,-0.00057462-0.00093749i,-0.00016262-0.0011714i,-0.00037621-0.00034515i,-0.00073453+0.00028289i
-0.0011561-0.00091659i,-0.0012171-0.00070696i,-0.0002113+0.00076121i,0.00045374+0.0011302i,0.00012571+0.00022903i,-5.3852e-05-2.5051e-05i,-0.00028734-0.00011751i,-0.00039915-0.00053728i,-0.00027668+4.7127e-05i,1.6018e-05+0.00065292i,0.00031434-1.8073e-05i,7.8924e-05-0.0007345i,-0.0002507-0.00081909i,-0.00044274-0.00055422i,-0.00049039-0.00075533i,-0.00047896-0.00048628i,-0.00036199+0.00028389i,0.00016541+0.00029569i,8.401e-05-0.00015558i,0.0002934-0.0001442i,0.00096598-0.00011373i,0.00033761-0.00057527i,-0.00068194-0.00082916i
0.00022154-0.0045271i,-0.00054846-0.0037207i,-0.001639-0.0013185i,-0.001243+0.0001714i,4.4416e-05+0.00015866i,6.5219e-05+0.00087313i,0.00025404+0.0010748i,0.00052273+0.00041348i,0.00098641+0.00013128i,0.00072483-0.00032994i,-0.00053687-0.00042456i,-0.00096349+0.00035905i,-7.4267e-05+0.00065711i,0.00057872+0.00051291i,0.00042303+0.00016298i,0.00012198-0.00064859i,2.4333e-05-0.00050535i,-4.4932e-05+0.00020583i,-0.00032547+0.00023692i,0.00018634-0.00028747i,0.00047411-0.00047368i,6.1914e-05-0.0010129i,-0.00022951-0.0012467i
-0.0014919-0.0020348i,-0.0017269-0.0019086i,-0.0017721-0.0018896i,-0.00097589-0.00092856i,-0.00080216+0.00047074i,-8.1848e-05+0.00085006i,0.0010508-0.00013427i,0.00085009-0.00090086i,0.0004659-0.0011444i,3.0447e-05-0.00054958i,9.3031e-05+0.00053515i,0.00047215+0.0008951i,0.00052834+0.0015326i,0.00045329+0.00075867i,0.00094296-0.00042448i,0.0014825+1.7012e-05i,0.00174-0.0001447i,0.0010633-0.00047701i,-0.00021353-0.00035477i,-0.0010001-0.0004232i,-0.0012927-0.00024712i,-0.00062571-0.00021132i,0.0005313-0.00042547i
-0.00024319-0.0010542i,-0.00028761-0.0015743i,-0.00040352-0.00030506i,-0.00062355+0.00067621i,-0.00062357+0.00097637i,0.00015808+0.00071734i,0.0003258-0.00021773i,0.00042113-0.00050527i,0.00033884-2.7857e-05i,-0.00017714+0.00063684i,-0.00018652+0.00066611i,0.00032182+0.00065934i,0.00049772+0.00050766i,0.00022244+0.00041837i,-0.00038333+5.4548e-05i,-0.00052761-0.00030174i,-0.00011997-0.00056762i,-0.00022556-0.0011249i,-0.00033751-0.00061429i,-0.00042598-8.6415e-05i,-0.0005754-3.0735e-05i,0.00048318-0.00037314i,0.0011677-0.00036917i
4.7229e-06-0.00068876i,-0.00072087+0.0004074i,-0.0010268-0.00036482i,-0.0010336-0.00079608i,-0.001467-0.00047965i,-0.0014986+0.00066627i,-0.00050752+0.0011148i,0.00082626+0.00020662i,0.00083064-0.00045668i,-3.7984e-05-0.00051545i,-4.3309e-05-0.00012869i,0.00037213+0.00049629i,0.0010902+0.00090237i,0.0011209+0.00052041i,-5.2411e-05+0.00035158i,0.00010592-5.0457e-05i,0.00075041-0.00024104i,0.00046954-0.00026607i,9.4464e-05-0.00056114i,-0.00024386-0.00026417i,0.00014929-0.00012184i,0.00047604+2.4366e-05i,-0.00014783-0.00051512i
-5.8001e-05+0.00074356i,0.00064438+0.00044996i,0.00098172-0.00010249i,0.0013316-0.00057376i,0.00087198-0.00010897i,0.00046843+0.00024332i,0.00032794+0.00033802i,-0.00013552+0.00027329i,-0.00017671+0.0001476i,0.00034707-0.00015331i,0.00067835-0.00046855i,0.00037065-0.00064464i,0.00042299-0.00083255i,0.00039702-0.00077639i,0.0005213-0.00064386i,0.00069292-0.00069118i,0.00017978+8.0515e-05i,-0.00061511+0.0007552i,-0.00042483+0.00063747i,0.0010779+0.00028867i,0.0012969+0.00025311i,0.00015689+0.00056342i,-0.00031989+0.00038242i
-0.001593-0.0014259i,-0.0023747-0.00043708i,-0.0026919-0.00018926i,-0.0022484-0.00048136i,-0.0014828-0.00029512i,-0.00067369+0.00028195i,-0.00022048+0.00075442i,-0.00050781+0.00035253i,-0.00050137-0.00038452i,-0.00039284+0.00036115i,-7.2453e-05+0.0013912i,0.00055873+0.0013841i,0.00025659+0.00065807i,-1.7801e-06-4.2994e-05i,0.00012087-0.00030814i,-0.00049732-0.00080987i,-0.00023086-0.00089328i,0.00041273-0.0003724i,-3.1475e-05+0.00025717i,-0.00029221+2.8997e-05i,-0.00012033-4.8876e-05i,-3.2893e-05+0.00055859i,-0.000203+0.00043745i
-0.0014326-0.0003032i,-0.0017165-0.00041945i,-0.00068245-0.00049604i,-0.00039946-0.00025793i,1.957e-05-0.00012087i,6.9537e-06+0.00037461i,-0.00064436+0.00078476i,-0.00082422+0.00011964i,-0.00048668+0.00058892i,0.00093211+0.0013202i,0.00094097+0.00074142i,-0.00031753-0.0001573i,-0.00028527-1.8672e-05i,0.00014544+0.00050754i,2.1392e-05+0.00022257i,0.00015051-0.00042844i,0.00025394-0.00093624i,-9.5584e-05-0.00063646i,-0.00042248+0.00037406i,-9.0036e-05+0.00027327i,0.00026153+5.6486e-05i,0.00042439-0.00013063i,0.00016239-0.00079227i
-0.0021274+0.00062944i,-0.0016707+0.00058609i,-0.00046763+0.0013126i,0.0010958+0.0012036i,0.0014316+0.00073097i,0.00066058+0.00046125i,0.00038957-2.9595e-05i,0.00060795-0.00034638i,0.00066398-0.00057903i,0.00037756+2.9625e-05i,0.00046709+0.00067676i,0.0005311+0.00030832i,8.6174e-05-0.0009301i,4.1019e-05-0.0016656i,5.7434e-05-0.0015023i,-0.00025117-0.0015309i,-0.00012818-0.00050621i,-0.00017854+0.00033502i,-0.00039141-8.8476e-06i,-0.00019007+0.00019394i,0.00015331+0.00090595i,-7.1684e-05+0.0011784i,-0.00016034+0.0001278i
-0.00054513-0.0015292i,-0.0013845-0.00085034i,-0.0015455+0.0003448i,-0.00037314+0.00040456i,-4.8003e-05-5.0316e-05i,-0.00042331-3.0662e-05i,-0.00022807+0.00073043i,0.000109+0.00045058i,-0.00012184-0.00021348i,0.00035891-0.00016344i,0.0011612+0.00012783i,0.0010015+0.00047403i,3.4861e-05+0.00017556i,-0.00012171-0.00015946i,0.00025994+0.00013227i,-0.00015035+0.00012693i,-0.00038691+0.00020746i,-0.0005981+0.00019293i,-0.00089152-0.00021878i,-0.00073519-0.00011926i,-0.00014103+0.00060888i,0.00051029+0.00087558i,0.00057052-5.2757e-05i
-0.00045435-0.00019495i,-0.0013544-0.00054427i,-0.0012611-0.00035446i,-0.00050574-0.00083662i,-0.00014969-0.001403i,-0.00012831-0.00093706i,0.00016983-8.4464e-05i,0.00021016+0.00034542i,8.8403e-05-0.00019378i,0.00013391-0.00059479i,-0.00038943+0.00027741i,-0.00099472+0.00046042i,-0.00035623+0.00026539i,0.0007139+0.00058956i,0.0011307+0.00050334i,0.0003952-5.8289e-05i,-0.00010625-0.00019263i,0.00036523-0.00042939i,0.00025165-0.0005559i,0.00040708-0.00033854i,0.001073-0.00029561i,0.00082952-0.00025357i,0.00031996+0.00050681i
-0.00089872-0.0045321i,-0.0013724-0.0037537i,-0.00096591-0.0022118i,-0.00059478-0.00060758i,-0.00013931+4.365e-05i,0.00041814+2.1515e-05i,0.00086509+9.86e-05i,0.00081707+5.7925e-05i,0.00071894-0.00039508i,2.2859e-05-0.00092053i,-0.00090607-0.00084921i,-0.00065455-0.00012352i,-0.00010751+0.00077411i,0.00012453+0.0013953i,-0.0001747+0.001056i,-0.00046109+0.00063161i,-0.00048736-0.00025996i,-0.00023593-0.00094111i,0.00047534-0.000158i,0.00044254+0.00027702i,0.00029882+0.00023713i,1.5525e-05-2.0623e-05i,-0.0003171-0.00029652i
0.001287-0.0010503i,0.00028037-0.0013037i,0.00016639-0.00089364i,8.2265e-05-9.2684e-05i,4.3854e-05-6.3048e-05i,0.00023666+0.00047991i,3.8973e-05+0.00030124i,0.00015176+9.4798e-05i,8.2023e-05-9.7369e-05i,-0.00055248+0.00017626i,-0.00071683+0.0003977i,-2.1639e-05+0.00017915i,0.0003033-0.0001612i,0.00053771+0.0002274i,-0.00019773+0.00067381i,-0.00052146+0.00012757i,-0.00016898-0.00011622i,-0.00033395+5.532e-05i,-0.00033862-0.00035805i,-9.3792e-05-0.00048325i,0.00062841-0.00051234i,0.00083782-0.00035034i,0.00055235+0.00057133i
-0.0039136-0.00078765i,-0.0047203-4.7073e-05i,-0.0043734+0.00080976i,-0.0022957+0.00078842i,6.9245e-05+0.00052338i,0.00051919+0.00079529i,0.00015291+0.00058452i,-6.6487e-05-0.00020657i,-0.00051144-0.000127i,-0.00054183+0.00014296i,0.00083404+0.00030987i,0.0011089+0.00063008i,0.00081372+0.00062214i,0.00066713+0.00014634i,0.0011178-0.00018862i,0.0011781-0.00049172i,0.00029778-0.00027659i,-0.00064407+0.00051315i,-0.00086098+8.4999e-05i,-0.00027321-5.296e-05i,7.1315e-05+0.00047312i,0.00017745+0.00077978i,0.00047707+0.00072272i
-0.00098643-0.0013933i,-0.0017458-0.0016198i,-0.0013517-0.00021882i,-0.00039214+0.00069905i,0.00046084-0.00020308i,0.00065467-0.00067299i,0.00010922-5.7523e-05i,0.00015758-6.4468e-05i,0.0004169+0.00047383i,0.00084384+0.00094985i,0.0014591+0.00041483i,0.0016033-0.00016288i,0.0013794-0.00033818i,0.00075831-0.00037494i,0.0002559-0.00089127i,0.00054684-0.00072021i,0.0012167-0.00027762i,0.00089607-0.00037603i,0.0006559-0.00082121i,0.00064613-0.00053891i,-2.4143e-05+0.00017571i,-1.4301e-05+0.00037551i,-0.00014092-0.00012464i
0.00052503-0.0014761i,8.6686e-05-0.0015617i,-0.00067975-0.00070772i,-0.0015989+0.0004933i,-0.000989+0.0007334i,-3.9609e-05+0.00071183i,-0.00034031-0.00027441i,-9.6511e-05-0.0010697i,0.00010195-0.0012727i,0.00012009-0.00081704i,-7.5493e-06+0.00039017i,-0.00031329+0.00072851i,-0.00055212+0.00028241i,-0.00038686+0.00035109i,-6.581e-05+0.00062955i,-1.8073e-05-8.7351e-05i,-7.9038e-05-0.00077293i,-0.00055047-0.00056161i,-0.00070726-0.00034308i,-0.00062784-0.00045232i,6.4959e-05-0.0002408i,0.00084226+0.00029483i,0.00017835+0.00058226i
-0.00024963-0.00053052i,-0.00064617-0.00046468i,-0.00043753+0.00015306i,-0.00099641+0.00075174i,-0.0015874+0.0010654i,-0.0013269+0.00016163i,-0.00078863-0.00022741i,-0.00080152+3.6569e-05i,-0.00053738-0.00016094i,0.00071389+0.00023705i,0.0011558-0.00011585i,-2.5137e-05-0.0010778i,-0.00025949-0.00083587i,6.5372e-05-0.00016694i,0.00028605+0.00035847i,0.00064278+0.00073241i,0.00062541+0.00063001i,0.00055624+0.00055991i,0.00067579+0.00052931i,-0.00048899+0.00028603i,-0.0012437-0.00010694i,-0.00041727-0.00054424i,0.00046753-0.00060789i
-0.0006937+0.0018313i,1.1342e-05+0.00072527i,0.0011638-0.00038484i,0.0011554-0.00058662i,0.00012427-0.0004109i,6.5252e-06-0.00044277i,0.00047725-0.00036277i,-0.00010201-0.00062588i,-0.000193+1.7888e-05i,0.00021845+0.00050757i,-0.00034212+0.00019831i,-0.0010642-0.00056778i,-0.00051304-0.0013828i,6.404e-05-0.0023125i,-3.6798e-06-0.0024743i,0.00014431-0.0012167i,0.00035095-9.6392e-05i,7.9269e-05+8.6413e-05i,-0.00013258+0.00044396i,0.00040229+0.00059525i,0.0003754+0.0002751i,0.00055367+0.00052422i,-1.7077e-05+0.00024598i
-0.00041241+0.00086703i,-0.00060672+0.00016758i,0.00084176+3.0189e-05i,0.002361-0.00028069i,0.0022074-0.0010397i,0.00107-0.00079871i,0.00072929+0.00044801i,0.00067322+0.00097815i,0.00051908-4.6374e-05i,0.0012629-0.00020222i,0.0011319+2.8433e-05i,0.00011783+0.00011916i,-0.0011736+0.00060513i,-0.0019688-0.00030986i,-0.0018622-0.00064623i,-0.001125+0.00037964i,-0.00054857+0.00099461i,-0.0004479+0.00037989i,-0.00046956+0.00038235i,-0.00019995+0.0007242i,0.0004599+0.0004665i,0.00092881+0.00033843i,-6.7837e-05+0.00040098i
-0.0010136-0.00071731i,-0.0014662-0.0019011i,-0.00063553-0.0014102i,0.00030808-0.00024835i,0.00076775+0.0009842i,0.00075438+0.0011956i,0.00079287-0.00022248i,0.000384-0.00090389i,-0.00017781-0.00047168i,-5.9034e-05+0.00014524i,0.00044333+0.00025323i,0.00069835-0.00060592i,0.00055341-0.0012211i,0.00081822-0.0012782i,0.0011474-0.00072538i,0.00049084-6.6516e-05i,-0.00024457+0.00012481i,-0.00023893-0.00032714i,0.00045602-0.0007111i,0.0006938+8.8693e-05i,-4.6952e-05+0.00051048i,0.00012408+0.0007795i,0.00064848+0.00069914i
0.00065656-3.101e-05i,-0.00033083-0.00043409i,-0.00051789-0.00058703i,-0.00044867-0.00046683i,-7.2054e-05-0.0004843i,0.00064953+0.0005922i,0.00036819+0.0011758i,0.00038539+0.00043923i,0.00020369-0.0007005i,-0.00016266-0.00090524i,2.6649e-05-2.4649e-05i,0.00013775+0.00064279i,-0.00048262+0.0001995i,-0.0010514-0.0001552i,-0.00096744+0.00020507i,-0.0006713+0.00063308i,0.00010082+0.0011418i,0.00082065+0.00076986i,7.7263e-05+0.00027797i,-0.00044466-0.00018381i,-0.0003438-0.0002614i,-0.00062173+7.524e-05i,-0.00071185-0.00040713i
0.00029036-0.0016055i,-0.0010714-0.0012699i,-0.0014883-0.0014757i,-0.0016688-0.0016496i,-0.0016361-0.00078718i,-0.0014687+0.00022307i,-0.0010974+0.0010034i,-0.00098486+0.00085031i,-0.00091081-0.00057058i,-0.00025166-0.0014704i,5.6522e-05-0.00081771i,0.00067088+6.7959e-05i,0.0010124+5.6313e-05i,0.0006515-0.00034275i,-0.00024908+0.00016036i,-0.00060766+0.00059068i,-0.00039071+0.00035184i,-0.00040934-0.00055678i,-0.00028497-0.00070868i,0.00073506+0.0001229i,0.0008532+0.00086911i,-0.00018149+0.0011492i,-0.00079636+0.0011812i
