0.0029645-0.000461i,0.0024126-0.0010491i,0.0018566-0.0019332i,-0.00069263-0.0025012i,-0.003405-0.0016112i,-0.0041071+0.00046472i,-0.0031377+0.0015858i,-0.001589+0.0016152i,0.00012021+0.00048586i,0.00059144-0.00039108i,0.00028438-0.00061213i,-0.00013801-0.00060911i,-8.9611e-05+4.2296e-06i,-0.00042561+0.0010135i,-0.0013171+0.00097069i,-0.0014225+0.00027223i,-0.0015561+0.00026655i,-0.0010352+0.00058357i,6.1354e-05+3.0358e-05i,0.00039273+6.7074e-05i,0.00041698+0.00040093i,-6.4599e-05+0.00034322i,-0.00037407+0.00053352i
-0.0010923+0.0010928i,-0.0013473+0.0012855i,-0.00070058+0.0013319i,-6.4373e-05+0.00031053i,-0.0003286+0.00035121i,-0.0010556-7.3496e-05i,-0.00095093-0.00045576i,-0.00061985+0.00040303i,-0.00053138+0.00078944i,-0.00039519+6.035e-05i,-0.00022568-0.00019115i,-0.00035323-0.0008582i,0.00015502-0.0018839i,0.00049153-0.0014176i,-0.00016366-0.00057073i,-0.0002043-0.00045882i,-0.00040107-0.00021042i,2.6245e-05-0.00047761i,0.00060113-0.00079205i,-0.00013509-7.0105e-05i,-0.00046061+0.00057703i,-0.00030763+0.00010874i,-0.00054094-0.00022988i
0.0015953+0.0012956i,0.0018234+0.0003352i,0.0021037-0.00065401i,0.0012557-0.0010102i,-0.00022058-0.0017217i,-0.0010403-0.0016236i,-0.0013127-0.0006913i,0.00015342+0.00010197i,0.0015856+0.00047348i,0.00084139-6.653e-05i,-0.0002614-0.00085039i,-0.00051294-0.00062575i,-0.00045996+0.00048789i,-0.00062224+0.001073i,-0.00054719+0.00036716i,-0.0002778-3.4087e-05i,-0.00044115+0.0002121i,-6.5702e-05-3.1595e-05i,0.00028287-0.0001812i,0.00022558-0.00013601i,-0.00011976-0.00036032i,-0.00067183-0.0010122i,-0.00054743-0.0012915i
-0.000929+0.00053526i,-0.0005352+0.0003448i,-0.0008688+0.0014929i,-0.00032942+0.0014524i,0.00081662+0.0010167i,0.00080519+0.0010203i,-0.00067968+0.0010583i,-0.00073736+0.00039493i,0.00053681+0.00079234i,0.00076174+0.0012748i,0.0007151+0.00037613i,0.00092086-3.1275e-06i,4.2801e-05+0.00033168i,-0.00084116+0.00012629i,-0.0006185-0.00010998i,-0.0007607-0.00027658i,-0.0007681+2.0725e-05i,0.00082345+0.00063152i,0.00070837+0.00054239i,-0.00066905-0.00028842i,-0.00035325-0.00035111i,0.00019075-4.3474e-05i,0.00052792-0.00040979i
-0.0004096+0.00048007i,-0.00060664+0.00066597i,-0.00089369+0.00044739i,-0.0010291+0.00022905i,-0.0013139-0.0004293i,-0.0014534-0.0011615i,-0.0010685-0.00061331i,-0.00031503+5.5822e-05i,-0.00030764+0.00049826i,-7.3253e-05+0.00024383i,-7.2088e-05-0.00055956i,9.7311e-05-0.0005896i,6.0463e-05-0.00063329i,0.00022167-0.00041626i,0.00025793-0.00030984i,-0.00034671-0.00013001i,-0.0006063+0.000235i,-0.00061858+0.00034323i,-0.0010526+0.00011781i,-0.00065576+1.0091e-05i,-0.00032392+0.0001788i,-0.0013175+0.00013816i,-0.001182-0.0004754i
0.00085868+0.0020821i,0.0009741+0.00073086i,0.0015612+0.00074015i,0.0012671+3.4233e-05i,0.00019836-0.00097362i,-0.00063301-0.00040049i,-0.0010938+9.118e-06i,-0.00061049-0.00018082i,0.00035695-0.00016209i,3.8754e-05-0.00048309i,-0.0001552-0.00031369i,-0.0004885-0.00015831i,-0.00075906-8.8511e-05i,-0.00018036-5.9077e-05i,-0.00026558-0.00093669i,-0.00061778-0.00081465i,-5.3682e-06-0.00014125i,0.0010201+0.00014854i,0.0011671+0.00028789i,0.00062797+0.00025255i,-0.0001241-0.00044948i,-0.0010705-0.00077341i,-0.0011207-0.00072439i
0.0010638+0.0023067i,0.0022549+0.0023994i,0.0026012+0.0015477i,0.0022827-0.00018057i,0.0012748-0.0015979i,-0.00047012-0.0013272i,-0.0010212-1.8177e-06i,-0.00054032+0.00064666i,5.1706e-06+0.00079984i,0.00039519+0.00060685i,0.00082668-3.2265e-05i,0.00041842-0.00058343i,-0.0005866-0.00042253i,-0.0013809+1.1797e-05i,-0.0013707-8.8075e-05i,-0.0011387+0.00023095i,-0.00088391+0.00027275i,-1.0138e-05-0.00011518i,0.00013805+0.00035326i,0.00041668+0.00090378i,0.0005813+0.001559i,4.2233e-05+0.0013151i,6.9096e-05+0.00020567i
0.0010917-0.00018493i,4.4443e-05+0.0001754i,-0.0013927+1.8006e-05i,-0.0020282-0.00011849i,-0.0019162-0.0003876i,-0.0012395-0.00021191i,-0.0011742-0.00029306i,-0.00055402-0.00029135i,0.00026565+0.0002117i,0.00037156+0.0010139i,0.00033909+0.00097819i,0.00031693+0.00086121i,0.00043749+0.00091986i,0.00034339+0.00024214i,0.00020276+6.2006e-06i,0.00056622-0.00042513i,0.00077604-0.00032536i,0.00027765+2.0603e-05i,-0.00025816+8.5988e-05i,-0.00040305+0.00033176i,-0.00037377+0.00022317i,6.9066e-06+0.0001405i,0.00011133+8.2224e-05i
0.001055-0.00010694i,0.00045817-0.00017192i,0.00096925-0.0019543i,0.00016921-0.0025087i,-0.00083177-0.0019069i,-0.00076305-0.00097943i,-0.00069031-0.00056912i,-0.00059587-0.00048638i,-0.00047736-0.00040261i,-0.00023141-6.3427e-05i,-0.0002304+0.00056614i,0.00018975+0.00043319i,0.00020042-3.9688e-05i,-0.00050521-6.1557e-05i,-0.00075603+0.00065534i,-0.00078989+0.00034678i,-0.00047876-0.00052082i,0.00024993-0.00056049i,0.00061914-6.7092e-05i,0.00075498-3.0618e-05i,0.0012286+5.1568e-05i,0.00059185-0.00053676i,-0.0002744-0.0009107i
-0.00029885+0.0014258i,-0.0004695+0.0010442i,0.00080282+0.00079396i,0.00094743+0.0017607i,0.00055631+0.00088488i,0.00043811-0.00029482i,4.6642e-07-0.00024878i,-0.00013139+5.929e-05i,0.00021506+0.00010587i,0.00045225-0.00037352i,0.00062131-0.00047591i,0.00077844+0.00033502i,0.00025348-0.00025191i,-0.00044475-0.00083735i,-0.00099068-0.00042315i,-0.0011648-0.00030532i,-0.00025422+1.0382e-05i,0.00015264+0.00038878i,-0.00030732+0.00036012i,-0.00056234+6.0557e-05i,-0.00097084-0.00035063i,-0.0009661-0.00048829i,-0.00012162-0.00046158i
0.00079163+0.00038151i,0.001379-0.00027951i,0.0016711-0.00080397i,0.00040912-0.00028363i,-0.0010717-3.198e-05i,-0.0020119-0.0002915i,-0.0019301-0.0009994i,-0.0010575-0.00072901i,-1.1009e-05-0.00014622i,0.00020118+0.0004079i,-0.00015644+0.0015587i,-0.00031645+0.0019589i,-0.00034565+0.0011842i,5.6007e-05+0.00078794i,0.00017344+0.00056835i,-0.00046538+7.691e-05i,-0.00018379+0.00074249i,0.00027721+0.0015847i,0.00026119+0.00077645i,-0.0003889-0.00062007i,-0.00039124-0.00071778i,-0.00026192-0.0003047i,-0.00018894+4.691e-05i
