-0.0023687+0.00018763i,-0.0018116+0.0010837i,-0.00021147+0.0023943i,0.00077511+0.0019713i,0.00078969+0.001041i,-0.00026834+0.0019163i,-0.00040354+0.0019788i,0.00037886+0.0013961i,0.00043471+0.0014304i,0.0013447+0.0010132i,0.0016847+0.00013252i,0.0006128-0.00026737i,-0.00024026-0.00029902i,0.00030971-0.00056461i,0.0014709-0.00098078i,0.0013129-0.00099417i,0.0004859-0.00066195i,-1.1609e-05-0.00096308i,0.00016067-0.00077807i,-7.751e-05+0.00015538i,-0.00095184+0.0010159i,-0.00086997+0.0010915i,-0.0003169+0.00060434i
0.0002998+0.00085717i,0.00028285+0.0012131i,0.0012444+0.00062789i,0.0014874+0.00018796i,0.001182-5.1113e-05i,0.0010374+0.00056251i,0.00087545+0.0010731i,0.00017958+0.00058354i,-0.00033268+0.00074888i,-5.4232e-05+0.00049112i,-0.00039566-0.00020561i,-0.00055297-0.0002479i,-0.00015112+0.00013223i,-0.00089625+0.00032095i,-0.0016091+0.00033147i,-0.0014856+0.00010081i,-0.00064683-0.00011525i,-0.00042506+0.00029928i,-0.00050773+0.00056867i,9.3925e-05+0.00027181i,0.00095517-0.0003084i,0.0011872-0.00071731i,1.4736e-05-0.0010669i
-0.00049423-0.00031056i,-0.0013262+0.00097617i,-0.0017416+0.0023432i,-0.00095133+0.002475i,0.00023063+0.0019051i,0.00050542+0.0011077i,0.00061972+0.00014038i,0.0015323-0.00029967i,0.0012873-2.5035e-05i,-0.00027684-0.00049615i,-0.00091109-0.0011994i,-0.00043051-0.00091064i,0.00027236-0.00051582i,0.00042542-0.00014887i,0.00026714+0.00016588i,0.00025953+0.00049218i,0.00014533+0.00026632i,-0.00020828-0.00045257i,-0.00046801-0.00052914i,-0.0005354+0.00017321i,-0.00044783+0.00030777i,7.2561e-05-0.00011302i,0.00064151-0.00099672i
-0.0016781+0.0017068i,-0.00072728+0.002026i,0.00051075+0.0019751i,0.0015752+0.001759i,0.00096243+0.0018321i,6.8105e-05+0.0010403i,-0.00024559+0.00034117i,-0.00060995-0.0003052i,-0.00045655-0.00026388i,7.8861e-05+0.00016686i,0.00015422+0.00010303i,0.00043608-0.00043601i,0.00075127-8.6304e-05i,0.00062986+0.00012944i,0.00038759-9.2928e-06i,-0.00014624-0.00048256i,-0.00045452-0.00057867i,-9.5322e-05+3.1973e-05i,0.00064006-2.985e-05i,0.0011795+7.0877e-05i,0.00051389+0.00036364i,-0.00030583+0.00024585i,-9.4424e-05+0.00034008i
-0.00086544+0.00032811i,-0.00020871+0.00013371i,-0.00038979+0.00031493i,0.00047619+0.00061368i,0.0010308+0.0010846i,0.00015767+0.00055584i,-0.00040338+0.00038578i,-0.001021+0.00013909i,-0.0010861-0.00013314i,-0.00050432-0.00072789i,0.00046796-0.00083852i,0.00055578-0.00042089i,0.0001057-0.00055731i,-0.00022236-0.00011412i,-0.0001885-1.4431e-05i,0.00040918+0.00025256i,0.00057113-1.7623e-05i,0.00061635-0.0012358i,0.000301-0.00080875i,-0.00025442-9.0536e-05i,-5.3829e-05+0.00011042i,0.00018205+3.1606e-05i,-6.4961e-05+4.1743e-05i
-0.00024787-0.00056421i,0.00059113-0.00037535i,0.00035665+0.00011016i,0.00026417+0.0010897i,0.00072336+0.0011995i,0.0010004+0.00083635i,0.0010687+0.0003454i,0.00063895-9.2703e-05i,6.4121e-06-0.00040281i,0.00037803-0.00038045i,0.00073711+0.00017635i,0.00081237+0.00066378i,0.00092408+0.00069196i,0.00036643+8.2099e-05i,-0.00043828-5.2326e-05i,-0.00032282-0.00012293i,0.000295-0.00031468i,0.00013952-0.00074022i,9.5076e-05-0.00091229i,0.00027834-8.8339e-05i,-0.00020982-0.00023369i,-0.00055008+3.2273e-06i,-0.00025028-0.00021767i
-0.001027-0.002525i,-0.0012414-0.0020226i,-0.0017079-0.0011211i,-0.0019665+0.00060777i,-0.00041827+0.0013429i,0.00060399+0.00071682i,0.0005004-0.00018118i,0.00027586-0.00052798i,-2.8582e-05+4.9853e-05i,-0.00013711+0.00026351i,-0.00023034+0.00070441i,-1.4456e-06+0.0005307i,0.00014889-9.3266e-05i,9.1854e-07+1.7958e-05i,-0.0003742-0.00029477i,-0.00038486-0.00052097i,-0.00029131-2.8385e-05i,-1.576e-05-0.00029622i,0.00016569-0.00084272i,-0.00062084-0.00078268i,-0.00084958-0.00027893i,-0.00018993-0.00033626i,0.00010823-0.00077224i
0.00067772-0.00079144i,0.0010493-0.00044037i,0.00013729-5.9493e-05i,-0.00026073+2.7789e-05i,-0.00014412+0.00049708i,0.00025856+0.00040823i,0.00053863-0.00015471i,0.00082459-0.00040415i,2.1691e-05-0.00058496i,-0.00072917-0.00043976i,-0.00041555+9.7679e-05i,0.00026801+0.00044015i,0.00076818+0.00021685i,0.0006009-4.6109e-05i,0.00028146+0.00022595i,0.00043676+0.00046978i,0.00024704+0.00024522i,-5.2668e-05+0.00016875i,-0.00014968+0.00014615i,-0.0001487+0.00025501i,-0.00012098-9.7364e-05i,0.00018383-4.2898e-06i,-0.00031639+0.00031185i
-0.0012387+0.00108i,-0.00042391+0.00054411i,-0.00045391+0.0024763i,-0.00080536+0.0032576i,-0.00021897+0.002042i,0.00039793+0.00084641i,0.0008025+0.00022105i,0.0010054+5.1965e-05i,0.00084219+0.00040182i,-6.3319e-05-5.2664e-05i,-0.00034981-0.000689i,7.694e-05-0.00063496i,-7.4626e-05-0.00048591i,-0.00014392-0.00055552i,-0.00070864-0.00037298i,-0.0005652-1.2298e-05i,-3.2275e-05+5.1859e-05i,-0.00038081-0.00012825i,-0.00069709-0.00012424i,-0.00090321-0.00028494i,-0.00063449-0.00017956i,-0.00031098+0.00020902i,-0.00011801+0.00041199i
-0.0010544+0.0011942i,-9.631e-05+0.0007217i,0.00075881-0.00047716i,0.0011851-0.001509i,0.00086162-0.0014521i,0.0005019-0.00076995i,0.00069853+4.3543e-05i,0.00062201+0.00019211i,0.00026255-0.0007277i,-0.00026881-0.00069039i,-0.0005599+0.00019179i,-0.00062406+0.00038409i,-0.00098951+0.00054274i,-0.00073345+0.00036638i,0.00023584-0.00015622i,0.00047514-0.00066534i,5.7939e-05-0.0010153i,-0.00056219-0.0005019i,-0.00071539-1.2938e-05i,-0.00011248+0.00057324i,8.0832e-05+0.0010736i,0.00025373+0.001272i,0.00062157+0.00092537i
0.0015391+0.00078742i,0.0011092+0.00058735i,0.0018099+0.0012706i,0.0019301+0.0010917i,0.0011856+0.00019443i,0.00031147+0.00066275i,0.00032725+0.00084596i,0.00082039+0.00076337i,0.0012518+0.0001665i,0.0014355-0.00090506i,0.00062673-0.001674i,-0.00035136-0.0010481i,-0.00027572+1.3237e-05i,-0.00053399-0.00023688i,-0.001401-0.00054622i,-0.00092594-0.00013114i,-0.00013336-4.4322e-05i,-3.3522e-05-0.00031387i,0.00022824+8.917e-05i,0.00073181+0.0004565i,0.00093092+0.00022615i,0.00040089+0.00024414i,-0.00057482+0.00025046i
