0.0024491+0.00067929i,0.0015036-0.00043099i,0.00022496-0.0014972i,-0.0013364-0.0012854i,-0.0031872-0.0001595i,-0.0042301+0.0012832i,-0.0028107+0.0026268i,-0.00041872+0.0028122i,0.0019139+0.00079263i,0.0025111-0.0010719i,0.0016561-0.0009736i,2.5925e-06-0.00010913i,-0.00119+0.00066719i,-0.000725+0.00097338i,-0.00084139+0.00081517i,-0.0009712+0.0006624i,-0.00088982+8.3282e-05i,-0.00018942-0.00030992i,0.00025059+0.0003811i,0.00049204+0.00066102i,0.00054231-5.8881e-05i,-5.7419e-05-0.00031265i,-0.00037891+0.00049315i
-0.00078867+0.00030384i,-0.00014319-0.00041268i,0.00041462-0.00059697i,0.00081394-0.00037549i,0.00015392-3.8465e-05i,-0.00067597+0.00057183i,-0.00021845+0.00070489i,0.00029901+6.0549e-05i,0.00017127-0.00060103i,0.00034988+0.00028187i,4.3427e-05+0.00047118i,6.3575e-06-0.00011593i,0.00034786-0.00011044i,0.00026462-0.00012542i,0.00023592-3.7992e-05i,-3.9821e-05+0.00053611i,-0.0010234+0.00090083i,-0.0013101+0.00059592i,-0.0010889+0.00062173i,-0.00092961+0.00022417i,-0.00022212+3.6335e-05i,0.00023428+0.0003054i,-3.0321e-05-0.00013965i
-0.00080634-0.00076882i,-0.00062815-0.00060794i,-0.0017674-0.0013946i,-0.0020054-0.00022663i,-0.0017522+0.0012729i,-0.0017001+0.0010385i,-0.0014742-5.3258e-05i,-0.00057696-0.00075676i,-5.1141e-05-0.0006949i,-0.00078608+0.0003994i,-6.8415e-05+0.00089263i,0.0014325-0.00023005i,0.0018807-0.00016493i,0.0017445+5.7191e-05i,0.0012194-0.00021235i,0.00055232-9.0491e-05i,-0.0001168+7.4682e-06i,-0.00018302+2.4597e-05i,0.00055477-0.00014014i,0.00051308-0.00075958i,0.00015734-0.00067608i,0.00026959-0.00061369i,0.00030636-0.00042965i
-0.0018876-0.00015724i,-0.0016711+0.00046142i,-0.00097706+0.0011889i,-9.5672e-05+0.0013467i,0.00060031+0.00043724i,-0.00020095+3.2453e-05i,-0.00085354+0.00018136i,6.9783e-05-0.00018949i,0.0010885-0.00038395i,0.0012203+0.0001455i,0.00095462+0.00068832i,0.00083319+0.00066702i,0.0012396+0.00037166i,0.0019211-0.0002948i,0.0016431-0.00078691i,0.00040234-0.00045645i,-0.00046672-0.00021104i,-0.00051179-0.00016686i,-0.00067441-0.00061054i,-0.001096-0.00081398i,-0.0005569-9.0869e-05i,0.0002059+0.00011627i,0.00014266+7.3711e-05i
0.00018151-6.1835e-05i,-6.4889e-06-0.0005399i,1.1312e-06-0.00050263i,0.00036328-0.00090111i,-0.00039274-0.0013482i,-0.0017738-0.00063037i,-0.0020354+0.00055065i,-0.0012655+0.00038353i,-0.000248-0.000444i,0.00041911-0.00054236i,0.00095328+8.7309e-05i,0.00074266+0.00061857i,-0.00037301+0.00087262i,-0.00057037+0.0011765i,-0.00048762+0.0010259i,-0.0001484+0.00064078i,0.00054542+0.00020737i,0.00055768-0.0002325i,-0.00014897-0.00069005i,-6.6336e-05-0.00058025i,0.00018623-2.0913e-06i,-0.00029693-8.6227e-05i,-0.00055183-0.00054962i
-0.0013721-0.00054141i,-0.001163-0.00064343i,-0.00072489+1.9411e-05i,-7.8531e-05+0.00097124i,4.5314e-06+0.0011637i,-0.00033633+0.00045014i,-0.0003224+0.00049274i,0.00035797+0.00052724i,0.0012193-2.415e-05i,0.00078356-0.0004744i,0.00049139+7.1271e-05i,0.00060604+0.00061458i,0.0005821-0.00037853i,0.00012477-0.00067765i,-6.9316e-05-0.00066119i,-0.00039357-0.0007084i,-0.00029807-0.00062097i,9.9928e-05-0.00056356i,5.7464e-05-0.0001825i,0.00018437-0.00029576i,0.000283-0.00046608i,8.4538e-05-8.4037e-05i,0.00026721+0.0001289i
-0.0015805+0.00014489i,-0.0018107+0.00021744i,-0.0021838+2.3632e-05i,-0.0013992+0.00034196i,-0.00064421+0.0010287i,-0.00049355+0.0013413i,-0.00043917+0.00058582i,-0.00028013-5.4059e-05i,-0.00035153+9.2276e-05i,-0.00021025+0.00047639i,0.00025333+0.00035267i,0.00038637+0.00040324i,0.00044862+0.00069378i,0.0010118+0.00077279i,0.001481+0.0005999i,0.00059187+0.00014518i,0.00010608-3.3108e-05i,0.00042818-0.00054588i,0.00027342-0.001369i,0.00039984-0.00078098i,0.00022443+0.00033576i,-0.00020411-5.7218e-05i,-0.00013378-0.00020468i
0.0014641+0.00039262i,0.0011133+0.00092016i,0.00030687+0.00087229i,8.1784e-05+0.00096053i,-0.00035482+0.00078696i,-0.0010947+0.00067145i,-0.0011902+0.00065145i,-5.6615e-05+0.00034542i,0.00056109+0.00029841i,3.5617e-05+0.00040921i,-5.1193e-05+0.00026947i,0.00021266+0.00022575i,8.909e-05-6.3097e-05i,-0.00036245-0.00086896i,-0.00062691-0.00072197i,-0.00059569-0.00016407i,-0.0006626-0.0005524i,-0.00025191-0.00071577i,-0.00055822+0.00024549i,-0.0006936-9.2418e-05i,0.00022458-0.00051687i,0.0006285-0.00054219i,-0.00010198-0.00086823i
-0.001195+0.00054659i,-0.0012338+0.00096017i,3.4099e-05+0.00043635i,0.0001061+0.00021951i,-0.0001964-0.00016079i,-0.00063666-0.00042722i,-0.00058028-3.6333e-05i,-0.0002577+0.00094299i,0.00028657+0.001158i,0.0009109+7.2712e-05i,0.0010771-0.00055981i,0.0009391-0.00064326i,0.00052475-0.00056213i,0.00049628-0.00084972i,0.00032214-0.00065867i,2.7615e-05+8.5655e-05i,-5.749e-05+0.00039294i,0.00010546+0.00078794i,0.00025825+0.00049417i,4.4748e-05-0.00070702i,-0.00029413-0.00081201i,-0.0005169+8.5258e-05i,-0.0002285+0.00060738i
-0.00018243-0.00024085i,-2.6209e-05-0.001165i,0.00030737-0.001563i,-0.0011214-0.00047806i,-0.0015211-0.00047997i,-1.0194e-06-0.0003162i,0.00026294+0.00024186i,0.00034262+0.00042886i,0.00060464+0.00029736i,-0.00027511+0.00050791i,-0.0010723+0.0010118i,-0.00034765+0.00090709i,0.00017832+0.0002061i,0.00060392-0.00034816i,0.00085179-0.00038809i,0.00071208-0.0005247i,0.00026149-0.00044038i,0.00011058-6.3842e-06i,-0.00025575+0.00040239i,-0.00072211+7.1863e-05i,-0.00022493+0.0003338i,-0.00074123+0.00091146i,-0.0014615+0.00071055i
0.0014492+0.0015174i,-0.0002518+0.0010616i,-0.000999+0.00056348i,-0.00034326+0.00093621i,-0.00044097+0.00042782i,-0.00069556-0.00043528i,-0.0011305+0.00042172i,-0.00068062+0.0011099i,9.215e-05+0.00059447i,-5.5345e-05-0.00048077i,0.00041144-0.00037756i,-0.00024262-0.00010519i,-0.00048145-0.00040751i,-0.00076668-0.00051282i,-0.0017217-0.00081785i,-0.0013801-0.0012536i,-0.00064062-0.0014368i,-0.00031442-0.00062513i,-0.00064352+0.00036569i,-0.00021407+0.00091733i,1.4244e-05+0.0010332i,-0.00046065+0.00078844i,-0.00029755-3.8314e-05i
