-0.0012437+0.002462i,-4.5702e-05+0.00050151i,0.00072566-0.00037571i,0.001931+0.0013022i,0.002451+0.0032155i,0.0020395+0.0021915i,0.0014189+0.00019356i,0.0011127+0.00067129i,0.0016157+0.00086442i,0.00094869+0.00023889i,0.00042595-0.00027729i,0.00095095-0.0007118i,0.00057062-0.00046343i,-0.00035269-0.00013075i,-0.00013139-8.1779e-05i,0.0008148+0.00027363i,0.00099949+0.00065492i,0.00014721+0.00044903i,-0.00026338-0.00021358i,-0.00027382-0.00046239i,-0.00026289-0.00042662i,0.00050311-0.00098951i,0.00064681-0.0012245i
0.0018305-0.0015343i,0.002958-0.00091268i,0.0034666-0.00013897i,0.0015218+0.00059345i,0.00026478+0.0010571i,-0.00014479+0.00086911i,3.5068e-05+0.00035255i,0.0003356-0.00012458i,0.00047002+0.00015778i,0.00068062-0.00034004i,0.00027816-0.00099628i,-0.00012365-0.00015225i,-0.00052892+0.00063998i,-0.00070711+0.00065344i,-0.00084301+0.00043412i,-0.0012746-0.00048321i,-0.00073896-0.0010194i,-0.00024621-0.0012182i,8.9719e-05-0.0010159i,0.00014705-3.303e-05i,-0.00016596+7.6156e-05i,0.00025401-0.00044115i,-4.1051e-05-0.00050526i
0.00054267-0.0025588i,0.0002579-0.0026435i,-0.0004373-0.0028295i,0.0010701-0.00090483i,0.0019609+0.0009459i,0.0016673+0.00059657i,0.0011677+0.00038229i,0.00023554+0.00046432i,-0.0001086-0.00038832i,5.3266e-05-0.0010315i,0.00037889-0.00087731i,0.00075609-0.00040279i,-1.7301e-05-9.6291e-05i,-0.00035438-9.4598e-05i,-0.00047135-0.00017307i,-0.00063949+0.00041725i,0.00023895+0.0010875i,0.00072598+0.00032519i,-0.00025826-5.3399e-05i,-0.00044033+0.00026586i,0.00015408+0.00015275i,3.5844e-05+0.0004074i,3.7299e-05+0.00019597i
0.00055477+0.00041622i,0.0010913+0.00036657i,0.0019843+0.0009169i,0.0024637+0.0016337i,0.0018352+0.00097416i,0.0012947+9.1055e-05i,0.0011195+1.796e-05i,0.00066319-0.00061344i,0.0001577-0.0010856i,-0.00016701-0.00090981i,0.00029121+0.0001112i,0.00023918+0.00067392i,-0.00013876+0.0003016i,-0.00042178+0.00043876i,-0.00064815+0.00096295i,-0.00025031+0.0012169i,-5.2713e-05+0.0011389i,-0.00069519+0.00027848i,-0.00079433-4.1803e-05i,-0.00015024+7.9181e-05i,-1.2602e-05-2.3796e-05i,-0.00029369-0.00017624i,-7.4512e-05-0.00042497i
-0.00050139-0.0014805i,-0.00069754-0.00059581i,-0.0011051-0.0010354i,-0.0011865-0.001185i,-0.00011805+0.00041771i,0.0014886+0.00094485i,0.0017311-8.8527e-05i,0.00052877-9.3373e-05i,0.00028203-0.00013833i,0.0003984+2.9965e-05i,-0.00036223+0.00050619i,-0.0016703+0.00073317i,-0.0015894+0.00048024i,-0.0004597+0.00021749i,9.3982e-05-0.00010257i,6.6988e-05+5.478e-05i,-0.00051929+0.00019903i,-0.0012326+6.3473e-05i,-0.0011572+0.0004657i,-0.0010746+0.00081922i,-0.00077773+0.00055511i,-0.00024543+0.00071693i,1.6652e-06+0.00065601i
0.00035669+0.00017888i,0.00050782+0.0001202i,0.00047441+0.0010638i,0.0016442+0.001668i,0.0028749+0.0015188i,0.0020728+0.0015843i,0.00099024+0.0011602i,4.9588e-05+0.00079922i,-0.00030332+0.00040055i,-0.00022808-0.00034799i,0.00030359-0.00031185i,8.9963e-06+9.0117e-05i,-0.00036371+0.00013659i,-0.00010438-0.000508i,6.2231e-05-0.0015199i,5.3949e-05-0.00063464i,-2.1185e-05-0.00012523i,0.0001935-0.00066097i,0.0008453-0.00041219i,0.00091751-0.00010491i,4.014e-05+0.00029894i,-0.00060023+0.00071691i,-5.2483e-05+0.00060642i
-0.0025475-0.0011649i,-0.0023788-0.0011018i,-0.0026231-0.00041542i,-0.0021814+0.0020649i,-0.00056575+0.0029218i,0.00049939+0.002039i,0.00034723-0.00069133i,0.00035911-0.0017724i,0.00023185-0.00046046i,-2.0527e-05+0.00068855i,-0.00080127+0.00036505i,-0.0013425-1.7361e-05i,-0.0010428+0.00010411i,-0.00022737+0.00036256i,0.0006894+0.00035229i,0.00072166+0.00052434i,-3.6233e-05+0.00077428i,-0.00013818+0.00042959i,0.00060736-3.8137e-05i,0.0005634+4.5736e-06i,-0.00042141+0.0002961i,-0.0012359-0.00019443i,-0.00051855-0.0010917i
9.2258e-05-0.00017445i,-0.00018543-0.0010862i,0.00072813+0.00092399i,0.00062318+0.0018129i,0.0011672+0.0013195i,0.001663+0.001665i,0.0013057+0.0011984i,0.00012502-6.0319e-05i,0.00021323-0.00041724i,0.00075682+0.0004647i,-0.00011209+0.0001173i,-0.00044183-0.00078033i,1.3396e-05-0.00080593i,0.00026337+0.00011305i,-1.2952e-05+0.00071628i,-0.00053735+0.00068117i,-0.00089192+0.00023613i,-0.00068464-0.00071232i,-0.00040963-0.0012823i,7.4978e-06-0.00037691i,5.1021e-05+7.9814e-05i,-1.034e-05-0.00078754i,0.0007941-0.00054684i
-0.0011539+0.0012698i,-0.0018682+0.0017565i,-0.0012698+0.0021019i,0.00035726+0.0021559i,0.0020955+0.0015353i,0.0021713+0.00078738i,0.0015158+9.8604e-05i,0.00038231-0.00018459i,0.0001959-7.4817e-05i,0.00045686+0.00010593i,0.00053376+0.00048738i,0.0013187+0.00086507i,0.00059315+0.00083702i,-0.0003635+0.00061056i,-0.00042156+0.0010456i,-0.00077381+0.00088222i,-0.00082718-4.816e-05i,-0.00044659-0.00012104i,-0.00087267-3.3911e-06i,-0.00061101-0.0004503i,0.00010573-0.00060091i,-0.00042601+3.099e-05i,-0.00057551-7.7361e-05i
-0.0001228-0.0017763i,-0.00047677-0.0015894i,-0.0014835-0.00051702i,-0.0013481+0.0014869i,-0.00021767+0.0032333i,0.00067028+0.0028488i,0.00089179+0.0015046i,0.00048492+0.0011854i,-0.00010425+0.00056746i,-0.00015262+6.7043e-07i,0.00028706+0.00015153i,-0.00013654+0.00056791i,1.5887e-05+0.00073811i,0.0003416+0.0011804i,-7.43e-05+0.00080497i,-0.00020903+7.2877e-05i,-0.00015795-0.00075866i,-0.00012279-0.00087216i,-0.00061037-0.0003728i,-0.00019776-0.00037837i,0.00075931-0.00011259i,0.00087056-0.00023781i,0.00026758-0.00046984i
-0.0001347-0.002565i,0.00084357-0.0020241i,0.0017609-0.0018486i,0.0015069-0.0003165i,0.00082685+0.0019371i,0.00043823+0.0028685i,0.00036331+0.0017933i,9.5402e-05-9.2648e-05i,-0.00027106-0.0007372i,-0.00066056-0.00092916i,0.00015607-0.00027935i,0.0008299+0.00014561i,0.00026739+0.00033649i,-0.00017601+0.00020301i,5.3382e-05-8.2273e-05i,-6.2012e-05-4.4904e-05i,-0.00086121-0.00011561i,-0.0010469-0.00035504i,-0.00034967-0.00045418i,-0.00037736-0.00014499i,-0.00023508+7.0433e-05i,0.00012698+0.00013208i,0.00026286-0.00049339i
