0.00056937+0.00019808i,0.00092087-0.0011242i,0.0010762-0.0028588i,0.00081499-0.0026155i,-0.00060026-0.0011851i,-0.0017072-2.903e-05i,-0.0017154+0.0011274i,-0.0013101+0.0012215i,-0.00042806-4.3948e-05i,0.00032224-0.00097882i,-0.00027117-0.0013728i,-0.0014299-0.0012749i,-0.0018792-0.0010827i,-0.0015149-0.00065244i,-0.00094075+0.0004181i,-0.00036214+0.0007692i,-0.00031778+6.7751e-05i,-0.00060471-0.00062717i,-0.00069702-0.00067931i,-0.0001063-0.00048643i,0.00053843+0.00025895i,-0.00036503+0.00054538i,-0.00072248+0.00017412i
0.0010891+0.00044374i,0.00084146-0.00041502i,0.00039227+0.000193i,-0.0001926+0.00073051i,-0.00028757+0.00058299i,7.6477e-05+5.1944e-05i,0.00052589-0.0005513i,0.00067427-0.00015938i,-3.7486e-05-0.00039819i,0.00043527-0.00061393i,0.00061795+4.3373e-05i,-0.00034272-0.00039867i,-0.00011975-0.00093851i,-0.00013714-0.0010807i,-0.00091031-0.0011588i,-0.0010966+0.00013735i,-0.00099451+0.00024769i,-0.0011031-5.9017e-05i,-0.00060048-0.00019537i,0.00041702-0.0010218i,0.00028918-0.00060801i,-0.00039501+0.00020677i,-0.00012631+0.00034312i
-0.0011144+0.00091809i,-0.00058587+0.00070662i,-0.0015899-0.00020064i,-0.0013909-0.0010889i,-0.00066198-0.00041567i,-0.00076338+0.0010239i,-0.00064201+0.00094141i,3.2759e-05+0.00022315i,0.00047149+0.00046278i,4.5807e-05+0.00076623i,0.00012972+0.0011319i,8.8572e-05+0.001942i,-0.00011123+0.0012546i,-0.00015365+0.00029i,9.6169e-05+0.00032319i,0.00079502+5.4263e-05i,0.00064651+0.00012307i,0.00059033+0.00031483i,0.0012508-6.7976e-05i,0.00090545+0.00030703i,-0.00070224+0.00028296i,-0.00095188-9.63e-05i,-4.8288e-05-0.00023652i
-2.6576e-05-0.00015475i,-9.3416e-05-0.00085643i,-0.0013525-0.00064765i,-0.0019024-0.00041777i,-0.0012891+0.00014864i,0.00011857+7.335e-05i,0.00055897-0.00074164i,-0.00033193-0.00066716i,-0.0010435-0.00046364i,-0.00092696-8.915e-06i,-0.0010719+0.00033225i,-0.001192+0.00043201i,-0.00087837+0.00038274i,-0.00025531+0.00096775i,-0.00029981+0.0011557i,-0.00038028+0.00040435i,-0.00048756+0.00036264i,6.8977e-06+0.00038596i,0.00052745-0.00044167i,-1.8837e-05-0.0010895i,-6.8185e-05-0.00040351i,-0.0004058+0.00071097i,-0.00067479+0.00077351i
0.00068629+0.00022009i,0.00022722+0.00043369i,-0.0010987+5.4652e-06i,-0.0012095-0.00064585i,-0.00042651-0.00090453i,0.00015371-0.00029822i,0.00049754+0.00021442i,0.0006585+0.0002448i,-0.00016333+0.00069971i,-0.0009876+0.00042002i,-0.00088117-0.00030391i,-0.00080194+0.00022094i,-0.00079097+0.00090085i,-0.00083998+0.00036629i,-8.044e-05-0.00019273i,0.00050458-0.00027296i,1.823e-06-0.00055643i,5.3084e-05-0.0005674i,0.00032067+0.0002895i,-5.8988e-05+0.00075053i,-0.00011902+0.00049547i,0.00020296-8.529e-05i,0.00017317-0.00090437i
-0.00038066+0.0016602i,-0.0011229+0.0014175i,-0.00032898+0.00052679i,0.00055908+0.0006251i,0.00039688+0.0008818i,0.0010374+0.00054244i,0.00047137+9.3979e-05i,-0.00043194+0.00038703i,-0.00064356+0.00099447i,-0.0011168+0.00066288i,-0.00085219-0.00032138i,-0.00018856-0.00075377i,-4.732e-05-0.00014624i,-0.00041722+0.00082187i,-0.00028115+0.00076909i,-1.8682e-05+0.00015812i,-0.00043217+7.9306e-05i,-0.0011428+2.7601e-05i,-0.00096643+0.0001317i,-0.00057853+0.00021661i,-0.00041151+0.00010962i,6.9883e-05-0.0003023i,-0.00045058-0.00063202i
-0.00067533-0.00093263i,-0.0017029-0.00090142i,-0.0021761-0.0013468i,-0.0015046-0.0014082i,-0.00066406-7.2955e-05i,5.87e-05+0.00067652i,0.00012247-0.00087765i,-1.452e-05-0.00072721i,0.00044687+5.5333e-05i,0.0007316-0.00018321i,0.00038471-1.5572e-05i,-0.00035393+0.00036173i,-0.0009354+0.00027979i,-0.00038215-7.207e-06i,-6.5618e-05-0.00028986i,-0.00010536+0.00027539i,-0.00018199+0.0013495i,-0.00029367+0.00056596i,-0.00053351-0.00029503i,-0.00059981-0.00045779i,-0.00070733-0.00055757i,-0.00068495+7.7089e-05i,4.0325e-05+0.00042071i
-0.0008012-0.001368i,-0.0015148-0.00098121i,-0.0022099-0.0012053i,-0.0024282-0.00099184i,-0.0018296+0.00029041i,0.00063511+0.001467i,0.0017241+0.00098577i,0.000155+8.9479e-05i,-0.0015765+0.00033155i,-0.0012779+0.00020146i,-0.00064999+0.00025589i,-0.001548+0.00012024i,-0.0020994+4.8246e-05i,-0.0010438+6.2345e-05i,-0.0003357-0.00038911i,-0.00011602-3.5736e-05i,-0.00019689+0.00083861i,-0.00054659+0.0012448i,4.7736e-05+0.0005365i,0.00041306-0.00050827i,-0.00021409-0.0014289i,-0.00038729-0.00128i,-0.00055152-0.00020803i
-0.0014026+0.00060633i,-0.0018909+0.00028681i,-0.0022858-0.00010524i,-0.0019551+0.00068051i,-0.00036754+0.0018316i,0.00066091+0.0016358i,0.00040207+0.00052472i,6.0176e-05-2.6643e-05i,6.7382e-05-0.00027165i,-0.000516+8.2656e-05i,-0.0012415+0.00051581i,-0.0014087+0.00097469i,-0.00059442+0.0012245i,-0.00038425+0.0010957i,-0.0001796+0.00072686i,0.00025492+0.00089011i,0.00014916+0.0007374i,0.00019013+0.00020803i,0.00027063+3.6873e-05i,0.00019245-4.7271e-05i,-0.00037157-0.00021386i,-0.00039825-0.00042192i,-0.00015699-0.00048783i
-0.001098-0.00018657i,-0.00065765-3.8303e-05i,-0.00088119-0.00071376i,-0.0011917-0.00092267i,-0.00019308-5.3466e-05i,0.0018009+0.00072713i,0.0021627+0.00033656i,0.00098506-0.00017038i,0.00065217-0.00064243i,0.0004337-0.00057731i,9.4096e-05-0.00020107i,-0.00030734+0.00031111i,-0.00035559+0.00044433i,0.00046526+0.00078179i,0.00020317+0.0012055i,-0.00057759+0.00056023i,5.4748e-05-0.0003946i,0.00093366-0.00072115i,0.0011243+0.00034114i,0.00075898+0.00052616i,0.00050288+0.00049218i,-0.00025926+0.00076604i,-0.00089629+0.00059737i
-0.0011449-0.00080979i,-0.0017639-0.00087445i,-0.002098-0.00054786i,-0.0020239-3.8086e-05i,-0.00066272+0.0011185i,0.0002685+0.0019923i,0.00056474+0.0014905i,0.00051822+0.0005245i,-3.6175e-05+0.00012945i,0.00033776+0.0001015i,0.0001175-0.00011318i,-0.00085658-0.00061817i,-0.00097538-0.00020491i,-0.00066929+0.00064276i,-0.00063241+0.00027831i,-0.00045809-0.00035285i,0.00042036-0.00055886i,0.00067105-0.00017803i,0.00028408+0.00018454i,-0.00022182+0.0001398i,-0.00020849+0.00059302i,0.00018903+0.00059736i,0.00015549+0.00025652i
