-0.00013772+0.0014888i,0.0004454+0.00098698i,-0.00087844+0.0004462i,-0.00065017+0.00050127i,-0.0001586+0.00076301i,-0.00011014+0.0013376i,0.00018539+0.0019246i,0.00052825+0.001354i,0.0014834+0.00028894i,0.0018371-3.7046e-05i,0.00088446-0.00011501i,0.00016936-0.00047915i,-0.00043073-0.0004538i,-0.0010258-0.00014383i,-0.00055538+0.00019162i,-0.00028139+5.2138e-05i,-0.00032768-0.00022564i,0.00036708-0.00025137i,0.00039125-0.0005027i,0.00023011-0.00071278i,0.0010659-3.4294e-05i,0.0006347-4.6182e-05i,-0.00041435-7.6513e-05i
-0.0021152-0.0014789i,-0.0030848-0.0014316i,-0.0041799-0.00071744i,-0.0032548-0.00069673i,-0.0017648-0.00015676i,-7.9528e-05+0.00033746i,0.0004683-0.00034715i,9.0702e-05-0.0002574i,-0.00070423-0.0004597i,-0.00089406-0.00088244i,-0.0001947-0.00029985i,-0.00015671-0.00028158i,-0.00079815-0.0007086i,-0.0009009-0.00052363i,-0.00032653+0.00015513i,-0.00062376+0.00030706i,-0.00048872-0.00021833i,2.2082e-05-4.4448e-05i,-0.00046151+0.0002948i,-0.00071415-0.00013911i,-0.00024605-6.8528e-05i,-0.00064655+0.00022302i,-0.0012821+0.00018845i
0.00017382-0.00022997i,-0.00016761+0.00028336i,-0.00014072-0.00032693i,-0.0001752+0.00050825i,-1.0913e-05+0.00067825i,0.0005248-0.00010848i,0.0001271-0.00058861i,0.00030344-0.00084027i,0.0010131-0.00072543i,0.00047877+1.8509e-05i,1.8979e-05+0.00039966i,0.00016909-0.00024887i,0.00021008-0.00060219i,-0.00016756-0.00029353i,-0.00040593-0.00020671i,-0.00032616-0.00055882i,-2.2472e-05-0.00039175i,0.00058563+0.00042655i,0.00039147+0.00043267i,6.8603e-05-0.00015381i,-0.00029736-7.8761e-05i,-0.0005985+9.0642e-05i,-0.00077601+1.6966e-05i
0.00090013+0.0014979i,0.00092336+0.0013248i,0.001432+0.00091613i,0.0011109+0.00027432i,0.0008794+0.00015321i,0.00080534+0.00022494i,0.00012024+0.00027685i,-0.00053571+0.00062799i,-0.00012704+0.00048261i,0.00038054+0.00073537i,-8.5992e-05+0.0007219i,-0.00041445-0.00024554i,-0.00022528-0.00097618i,-0.00066733-0.0009767i,-0.00035333-0.00045446i,0.00050893-0.00015309i,0.00074416-0.00017746i,0.00047341+5.8703e-06i,0.00011879+0.00067256i,0.00036668+0.0007723i,0.0007773+0.00076287i,0.00057907+0.001133i,0.00021416+0.0012251i
6.3461e-05-0.0013829i,-0.00027553-0.0018356i,-0.0016194-0.0023672i,-0.0015335-0.0022917i,-7.787e-05-0.0014475i,0.0011116-0.0010803i,0.00043267-0.00074838i,3.054e-05-0.00052903i,0.00070525-0.0011337i,-5.3086e-05-0.00093599i,-0.0010929-0.00080936i,-0.0007602-0.00083485i,-0.00034888-0.00010515i,-0.00051727-0.00010901i,4.3021e-05-0.00060284i,0.0001892-0.00035884i,-0.00049766-8.908e-05i,-6.9885e-05-0.00050332i,0.00061577-0.00084477i,0.00012847-0.00063361i,0.00022312-5.2369e-05i,0.00093051+0.00019928i,0.0007002+0.00037172i
-0.00082585-2.6898e-05i,-0.001297+6.625e-05i,-0.00067116-0.00037726i,-0.0004128+0.00033535i,-0.00075467+0.0013542i,-0.00066071+0.0013082i,-0.00017232+0.00096544i,0.00052137+0.00035431i,0.00085463+0.00031483i,0.00077696+0.0003678i,0.00063741+0.00012295i,0.00077935-7.8769e-05i,0.00039718-0.00067874i,0.00016864-0.00061144i,0.00049893-0.00053798i,0.00043931+6.0207e-05i,0.00050448+0.00066936i,9.8113e-05+0.00046284i,-0.00021527-2.8439e-05i,-0.00034531-8.8544e-05i,-0.00043056+0.0006219i,-0.00012082+0.00031145i,0.00062262-0.00039053i
-0.00067414-0.00068133i,-0.00039528-0.0010234i,0.00049273-0.00010918i,0.00062736+0.00012801i,0.0016681+3.8292e-05i,0.0026089-0.00017188i,0.0011633-0.00049939i,0.00032317-0.00063682i,0.00022933-0.00032006i,-0.00016155+0.00015684i,-0.00045637+1.5122e-05i,-0.00085042-0.00072335i,-0.00046853-0.00045792i,-0.00032566-0.0006045i,-0.00058414-0.00051467i,0.0002451+0.00019883i,0.00029747+1.7152e-05i,-0.00031527-0.00059543i,0.00041015-0.00065366i,0.0013701+0.0001152i,0.0011778+0.00047396i,-0.00010771+0.00031038i,-0.0012194+5.7874e-05i
0.00037496+0.00037825i,-7.2427e-05-0.00048297i,-0.0010986+0.00017636i,-0.0013918-0.00010539i,-0.00041951+4.164e-05i,0.00034738+0.00023764i,0.00016607-0.00046707i,0.00088532-0.00023425i,0.0014167+5.6515e-05i,0.0010234+0.00028541i,-0.00037568+0.00018538i,-0.00032301-6.2792e-05i,-7.2832e-05+0.000693i,-0.00089868+0.0007122i,-0.00071324-0.00023703i,-6.9798e-05-0.00096622i,-0.00013642-0.0011823i,-9.8373e-05-0.00082268i,0.000719-0.00028182i,0.0006977+0.00014811i,0.00073684+0.00015019i,0.00036166+2.0173e-05i,-0.00039149+0.00032099i
0.00043948+0.0017459i,0.0014412+0.0023143i,0.00094614+0.0011306i,0.00047275+0.00074323i,0.0010898+0.00048526i,0.0010668-0.00058882i,0.00078623-0.00012117i,0.00075001+0.00090965i,0.0014141+0.0011916i,0.0013111+0.0006457i,0.0005203-2.3581e-05i,0.00042186-0.00077392i,0.00069776-0.0011338i,-9.1683e-05-0.0013888i,-0.00080362-0.0008038i,-0.00061953-0.00021951i,-0.00060275-0.00032554i,-0.00078832-0.00044687i,-0.0009742+8.9704e-05i,-0.00077851+0.00045551i,-0.0002648-0.00014122i,0.0003024-0.00029561i,0.00026319-0.00044883i
0.00082821-0.0018717i,-0.00028324-0.0016563i,-0.00069552-0.0011401i,-0.00054044-0.00030955i,0.00032786-0.00033156i,0.0002189-0.00093716i,-0.00014734-0.00046131i,-0.00026671+1.5951e-05i,-0.00021221-0.00055985i,0.0008385-0.00058862i,0.0014802+0.00022951i,0.00094548+0.00059597i,0.00041682-3.0032e-05i,0.00045789-0.00059494i,0.00016594-0.00042749i,-0.00014771-0.0002889i,-0.00028765+0.00020358i,-0.0003533+0.00072776i,-0.00017476+4.8878e-06i,-6.2777e-05-0.001286i,0.00011996-0.0012464i,0.00058791-0.00023137i,9.8642e-05+0.00065845i
0.0012392+0.0018746i,0.0010876+0.0013121i,0.0011554+0.0011458i,0.00049601+0.00039559i,0.00071465-0.00022694i,0.00073224-0.00073028i,0.001126-0.0014374i,0.0017167-0.00034976i,0.0015066+0.0010722i,0.0013446+0.00082675i,0.00052791+0.00015289i,0.00011168-0.00010939i,0.00065637+2.1232e-05i,0.00081332-0.00015605i,0.00017294-0.00060096i,-0.00045247-0.00017024i,-0.00054764+0.00015896i,-0.00037152+0.00015853i,0.00010585+0.00034117i,0.00040242+0.00012326i,0.00028266-0.00059707i,0.00017303-0.00049221i,-0.00017878+8.8815e-05i
