-0.00068275-0.00045998i,0.00031758+0.00024286i,-9.3521e-05-4.747e-05i,-0.00094719-0.0011964i,-0.0014135-0.001043i,-0.0012884-0.0011216i,-0.0015113-0.00080145i,-0.0013547-0.00037087i,-0.00060093-0.00015287i,-0.00030131+0.0008885i,4.1888e-05+0.00090946i,0.00057089-0.00035976i,0.0010159-0.0013743i,0.00080352-0.00048617i,0.00028492+0.00015507i,-0.00029214-0.00025024i,-0.00038578-0.00065269i,0.00040677-0.00011897i,0.0004854-2.3058e-05i,-0.00032657-0.00033456i,-0.00027925+0.00035702i,0.00062518-0.00012482i,0.00074414-0.00083975i
-0.00082615+6.1641e-05i,-0.0013178-0.00032684i,-0.0010394+0.00024338i,0.00013837+0.00036792i,8.8825e-05-0.0012816i,-0.00041092-0.0024532i,-0.0010618-0.00189i,-0.0016781-0.001239i,-0.0008192-0.0011173i,0.00020722-0.0010276i,1.9008e-05-0.0010124i,-0.00034231-0.00078122i,-0.00014635-0.00018077i,0.00020378+0.0004296i,0.00050101+1.4239e-05i,0.00051002-0.00057664i,0.00033573-0.00018561i,-0.00031196+0.00022149i,-0.00085738-8.8876e-05i,-0.00050073-0.00027607i,0.00023239-0.00073528i,0.00052524-0.0011664i,0.00012705-0.00084994i
-0.00071945-0.00074548i,-0.00042178-0.00093389i,-3.418e-05-0.0010553i,0.00015452-0.00095579i,0.00081171-0.0013351i,0.00052559-0.0024397i,-0.00085493-0.0026032i,-0.0011157-0.0021213i,-0.00067304-0.0017688i,-0.00055259-0.00090345i,0.00010014-0.00065611i,0.00053912-0.00058501i,0.00046798-0.00061912i,0.00066155-0.00030687i,0.00033095-7.4472e-05i,-0.0002859-0.0002742i,-0.00052954-3.3289e-05i,-0.0001097-0.00038507i,0.00018815-0.00086553i,-0.00025824-0.00076828i,-0.00079214-0.00028205i,-0.00029866+0.00012543i,0.00041034+0.00054879i
-0.00037242-0.0018221i,-0.00015294-0.001121i,-0.00021711-0.0007787i,-0.00093947-0.0015858i,-0.001389-0.0018674i,-0.0014288-0.0010042i,-0.0011256-0.0006452i,-0.00061438-0.00037984i,6.6373e-05-0.0003287i,-0.00045182-0.0010019i,-0.000536-0.00096875i,-0.00033011-0.00027494i,-0.00094235-0.00039615i,-0.0013388-0.00023074i,-0.00038936+0.00011229i,-0.00011008+0.00028446i,-0.00023643+0.00016097i,-2.7709e-05+0.00026103i,-0.00043414+0.00059271i,-0.00087809+0.00086373i,-0.00043434+0.00092463i,0.0003612+9.0626e-05i,9.7927e-05-0.0005216i
0.00078978+0.0001704i,-0.0012369+0.0012558i,-0.0010495+0.0008186i,-0.0011015-0.00053502i,-0.002222-0.0021508i,-0.0020989-0.00175i,-0.00092588-0.0011543i,0.00070406-0.0013602i,0.00094805-0.001378i,0.00025963-0.001662i,-0.00019185-0.0013825i,-7.3317e-05-0.00034324i,0.0009064-3.7534e-05i,0.00093645+0.00020172i,0.00022868+0.00097967i,-0.00017532+0.00066586i,-6.6398e-05+0.00029927i,-0.00029972+0.00013772i,-0.00082525+0.00026548i,-0.0012507+0.00058344i,-0.00098827+0.00068692i,-0.00039337+0.00015178i,-9.8296e-06-0.00039249i
-0.00038686-0.0011032i,-0.00035877-0.0017413i,0.00018386-0.0022391i,0.00011687-0.0022206i,0.00056798-0.0028883i,-0.00017198-0.0032282i,-0.00080508-0.0024811i,-0.00012742-0.00078864i,0.00018161+0.00022116i,0.00069518+4.3847e-05i,0.0013479+0.00017984i,0.0008203+0.00063485i,0.00051473+0.00079756i,0.0006286+0.00064195i,6.7348e-05+0.00021001i,-0.00060165+0.00046672i,-0.00067432+0.00026269i,-0.00038248-0.00028406i,-0.00033754+0.00013039i,8.3687e-06+0.0010415i,0.00011713+0.0013877i,-0.00039909+0.00036275i,-0.00015275-0.00021825i
0.00054994-0.00075987i,-0.00023968-0.00092317i,-0.0017306-0.0021033i,-0.0015744-0.0019842i,-0.0012904-0.0017996i,-0.001152-0.0016609i,-0.00079327-0.00089867i,0.00029687-0.0014312i,0.0011569-0.0021855i,0.00060376-0.0016024i,8.2258e-06-0.00059617i,0.00015158-0.00033067i,1.7056e-05-0.00036628i,-0.00064434-0.00016626i,-0.00091835-1.0882e-05i,-0.00066317+0.00021292i,0.00032524+0.00045638i,0.00095536+9.923e-05i,0.00075262-0.00094647i,0.00043444-0.0011423i,0.00024681-0.00055719i,0.00036531-0.00037978i,0.0003286-0.00028917i
0.001962-0.001485i,0.00151-0.00024951i,0.0001133-0.00042082i,-0.00075127-0.0005297i,-0.00073494-0.0011416i,-1.6076e-05-0.0016118i,2.1911e-05-0.0018889i,0.00035196-0.0024672i,0.0011512-0.0020725i,0.00082917-0.0013224i,0.0002492-0.00041162i,0.0001149+0.00041533i,0.00041426+0.00074829i,0.00064773+0.0007223i,0.00076132+0.00034169i,0.00036016+0.00056054i,8.7716e-05+0.00040594i,-0.000231-4.5158e-05i,-0.00067015+0.00025467i,-0.00054635+0.00066051i,-8.3272e-06+0.00022563i,-0.00046671-0.00013627i,-0.0010667+0.00076099i
-0.00071602-0.00013921i,-0.00035772+3.5029e-05i,2.5672e-05-0.00023775i,0.0012681-9.9729e-05i,0.00088195-0.0013815i,-0.000495-0.0028742i,-0.00096127-0.0021784i,-0.00088764-0.0010034i,8.3845e-05-0.0012618i,0.00021147-0.001765i,0.00020907-0.00070396i,0.00044964-7.8711e-05i,0.00025641-0.00016369i,5.5639e-05+0.00017418i,-0.00043598+5.4075e-05i,-0.00067839-0.00016282i,-0.00075296-0.00044605i,-0.00020909-0.00073563i,0.00015067-8.2555e-06i,-0.00047769+0.00027223i,-0.00059615-0.00019246i,-0.00030464+0.00015112i,4.8052e-05+0.00050836i
0.00085539-1.0588e-05i,2.3011e-05-0.00031492i,0.0012785-0.00040693i,0.0019537-0.0014316i,0.0012282-0.0022777i,-5.7801e-06-0.0025537i,-0.001101-0.0013978i,-0.0011061-0.00025217i,2.8249e-05-1.5733e-06i,0.00073816-0.0001416i,0.00071827-0.0011298i,0.00028306-0.0016591i,0.00027889-0.0015607i,0.00062267-0.00082345i,0.00064144+7.1452e-05i,-8.5591e-05-9.6683e-06i,-0.0011015-0.00071315i,-0.0010753-0.0010807i,-0.00032743-0.0012187i,0.00022124-0.0010116i,0.00062475-0.00075836i,0.00077959-0.00045401i,0.00070032+0.00011724i
1.7705e-05-0.00093967i,-0.00029743-0.00094891i,-0.0012051-0.0015698i,-0.0020973-0.0021433i,-0.0020191-0.0019735i,-0.00016643-0.0013781i,0.0014529+8.225e-05i,0.0012332+0.00013514i,0.00083177-0.0009117i,0.00015571-0.0011041i,-0.0010343-0.00020628i,-0.00072274+1.6343e-07i,0.00035238-0.00014121i,0.0007964+0.00021001i,-0.00020167-0.0001203i,-2.935e-05-0.0004086i,0.00074323-0.00040922i,0.00036068-0.00030982i,-0.00014246-0.00048639i,-0.00010068-0.0007307i,-0.00022462-1.4753e-05i,-0.00030344+0.00010389i,0.00027981-0.00012098i
