9.4105e-05+7.1085e-05i,0.00099636-0.0013697i,0.00059393-0.0019239i,-0.00044569-0.0012234i,-0.0028485-0.00042081i,-0.0041291+0.00051054i,-0.0015014+0.00069359i,0.00035005+0.0015398i,0.00097223+0.0014971i,0.0021174+0.00074389i,0.0013378+0.0006318i,2.5637e-05-0.00033644i,-0.00029418-0.0011965i,-0.00037484-0.00062719i,-0.00071613+0.00018184i,-0.00072615+7.1939e-05i,-0.00034915-0.00043625i,0.00052154-0.00055639i,0.0011134-0.00056948i,0.00065967+0.00016483i,0.00014054+0.00084647i,-0.00036012+0.00021818i,-0.0010103-0.00065631i
-0.0011175-0.001108i,-0.0014237-0.0020362i,-0.00085679-0.001972i,-0.00013862-0.00010365i,-0.00014903+0.0008459i,-4.5164e-05-0.00033845i,0.00013755-0.00084635i,0.00030917-0.00029218i,0.00039183+0.00063741i,-3.4382e-05+0.00095955i,4.2007e-05+0.00065035i,-0.00015292+0.00013735i,-0.00053143-0.00017109i,0.00011838+0.0001667i,0.00050104+0.00076348i,0.0005592+0.000432i,0.0011604-0.00051553i,0.00074989-0.00048109i,-0.00026749+0.00026169i,-0.00089831-0.00022123i,-0.00063687-0.0013103i,-0.00016912-0.0007075i,-0.00057584+0.00071012i
0.0014152+0.00034472i,-0.00036564+0.00046419i,-0.0014804-0.0001129i,-0.001074-0.00092259i,-0.0010343-0.0011084i,-0.0016096-0.00080227i,-0.0020683-0.00022823i,-0.001562+0.000103i,-9.6614e-05+0.00043075i,0.00070243+0.00082824i,0.00076327+0.00050614i,0.00072809+0.00020631i,0.00090917+8.7661e-05i,0.00061098-0.00063306i,5.8095e-05-0.00033521i,8.1153e-05-3.2796e-05i,0.00045873+0.00017573i,0.00070027+0.00043468i,0.0011195+0.00018946i,0.00028008+0.00055157i,-0.00010009+5.6884e-05i,0.00074663-0.00063784i,0.00050225-0.00025895i
-0.0018315+0.00095054i,-0.0011346+0.00070826i,-2.6578e-05+0.0012703i,-0.0009368+0.0015252i,-0.0018753+0.00088972i,-0.001835+7.5535e-05i,-0.0011351-0.00058602i,-9.1553e-05-0.00028889i,0.00053449+0.00034822i,-4.5342e-05+0.00099523i,-0.00059772+0.00090623i,0.00012481+0.00050936i,0.0011874-5.4184e-05i,0.0012737-0.00015423i,0.00056366+0.00026833i,-0.00056283+0.0006057i,-0.00092173+0.00057175i,3.1003e-05+0.00019124i,2.8798e-05+0.00030506i,-0.0011235+0.00022808i,-0.00089386-0.00023885i,-0.00058993-0.00069489i,-0.00071306-0.0011878i
-0.00081071+0.0010753i,-0.0013044+0.00036923i,-0.00082901-0.00071623i,-0.00055142-0.0005265i,-0.00097613+0.00051624i,-0.00048671+0.00054381i,0.00051381+0.00089072i,0.00087396+0.001013i,0.0011414+0.00080144i,0.0013093+0.00032474i,0.00058983+4.3967e-05i,0.00011168+0.00020147i,0.00019814+0.00057481i,8.761e-05+0.0002706i,0.00036631-0.00039499i,2.6835e-05-0.00014508i,-1.467e-05+0.00030272i,0.00092593+2.3771e-05i,0.0010368-0.00018026i,0.00048365-0.0006613i,3.6473e-05-0.0010493i,4.8397e-05-0.00031387i,0.0001422+0.00038296i
0.001005+0.00039494i,0.00034351-0.00012981i,0.00056825-0.00073206i,0.00053122-0.0011323i,-0.0007534-0.0010872i,-0.001371-0.00049274i,-0.00040337-0.00014193i,-0.00084251+0.00037189i,-0.001379+0.0012204i,9.6987e-05+0.001085i,0.001617+0.0004559i,0.0013014+0.00039048i,-0.00040298+0.00012267i,-0.00062944-0.00055978i,-3.5843e-05-0.00081181i,0.00040702+6.5692e-05i,0.00064991+0.00052199i,0.00038623-0.00042043i,0.00066993-0.00085923i,0.00058035-0.00018449i,0.0001778+0.00042355i,-0.00052421+0.0005678i,-0.00069111+0.00027858i
0.00019999-0.00043556i,5.172e-05-7.3977e-05i,0.00030555-0.00093642i,0.00019135-0.0015817i,-0.0011133-0.001802i,-0.0023142-0.0015672i,-0.001804-0.00058473i,-0.00010573+0.0004685i,0.00033438+0.00087902i,0.00033495+0.0012415i,0.00083336+0.0010299i,0.00099464+0.00061107i,0.00081301-7.9635e-05i,0.00083845-0.00080525i,0.00086888-0.00066175i,0.00027621-0.0004741i,0.00017129-0.00057133i,-4.3569e-05-0.00096595i,-0.00017414-0.00072258i,0.00038946-0.00047707i,0.00060767-0.00033373i,8.452e-05-0.00018264i,0.00034002-0.00011548i
-0.0024305-0.0011271i,-0.0017408-0.0016079i,-0.0018439-0.00093323i,-0.0022357-0.00022594i,-0.0018243+0.00033072i,-0.0012485+0.00085501i,-0.00074626+0.00065177i,-0.00047399+0.00065013i,-0.00018075+0.00089873i,-0.00059829+0.0011329i,-0.00052712+0.0012491i,7.8204e-05+0.0012158i,0.0001285+0.0007506i,-8.2218e-06+0.00044185i,-0.00018619+0.00040725i,0.00011162+0.00046117i,0.00033486+0.00051771i,5.268e-05-4.586e-05i,0.00027536-0.00064425i,0.00039726-0.00047558i,-0.00049647-0.00027144i,-0.00090467-0.00083115i,-0.00077515-0.00082227i
0.0013946+0.00033067i,0.00041309+0.00042906i,0.00064523-0.0001551i,0.00063345-0.00039666i,-0.00015098-0.00072124i,-0.00096122-0.00093223i,-0.0010003+2.9925e-05i,-0.00041498+0.00076222i,0.00021654+0.00096724i,0.0008607+0.001241i,0.00099834+0.00072687i,0.0010209-0.00046806i,0.00061688-0.00012281i,0.00034796+0.00054281i,0.0005519+0.00028374i,0.00041503+0.00025579i,0.00010746+0.00047715i,-5.5553e-05+0.00046153i,0.00032484-0.00019528i,0.0003787-0.000265i,-0.00040661-7.8434e-05i,-0.00028739+2.3708e-05i,0.00015308+0.00033853i
0.00042089+0.00066743i,-0.00046153+0.00052925i,-0.00058828+1.8329e-05i,-0.00098612-0.00036204i,-0.0016783-0.00033276i,-0.0015213-0.00053176i,-0.00087698-0.00070434i,-0.00046413+8.6711e-05i,0.00020326+0.00055061i,0.00080165+0.00011811i,0.0005857-0.00058487i,0.00045996-0.00042819i,0.00057691+0.00012376i,-0.00020599+0.00018766i,-0.00021771-0.00076733i,0.00066781-0.001155i,0.00093956-0.00010497i,0.00038006+0.00043752i,-0.00034179-1.2052e-05i,0.00015892-0.00017387i,0.0010584+0.00032269i,0.00044571+0.00018362i,4.1798e-05-0.0010024i
-0.0014904-0.00018359i,-0.00035917-0.00053354i,-0.00053231-0.00071496i,-0.0013026-0.00055186i,-0.00079931-0.00039377i,2.0653e-05-0.00061705i,0.00034406-0.00074649i,0.00055599+0.0001601i,0.00040939+0.0011216i,0.00072285+0.0018593i,0.0012647+0.0018258i,0.00051613+0.0012266i,-0.00016343+0.00079343i,-7.5276e-05+0.00018084i,0.00042675-5.4256e-05i,0.00077997-0.00010817i,0.00050247+0.00040556i,0.00077803+0.00091398i,0.00088025+0.00012975i,0.00090606-0.00068976i,0.00093993-0.00039441i,0.00040416+0.00055727i,-0.00033793+0.00071147i
