0.0035804-0.00011189i,0.0041101-0.0013354i,0.0028598-0.0020594i,0.00087372-0.0020762i,-0.0020135-0.00098437i,-0.0034441+0.00057347i,-0.0018375+0.0016208i,0.00018273+0.0013015i,0.00085441+0.00024208i,0.00054056-0.00094602i,0.00057696-0.0011289i,0.00051844-0.0011974i,-0.0002372-0.00068816i,-0.00058995-0.00028998i,-0.00045354-0.00086425i,-0.00024352-0.0005341i,-0.00089468+0.00027687i,-0.00099127+0.00014954i,-0.00039773+1.3391e-05i,-5.2791e-05+0.00010998i,0.00038068+0.00019043i,0.00060551+0.00066433i,0.00025538+5.9878e-05i
-0.00097825+0.0021333i,-0.0010973+0.0022518i,-0.00025208+0.002686i,0.00088365+0.0028242i,0.00024852+0.0019345i,-0.0005728+0.00056639i,7.3779e-05-0.00014802i,0.00038248+0.00037136i,-0.00025451+0.001308i,-5.7839e-05+0.0018188i,1.4355e-05+0.0014463i,-6.7441e-05+0.00045902i,0.00058642+0.00031364i,0.0010633+0.00050346i,0.00082297+0.00084816i,0.00063002+0.00091047i,0.0003889+0.00042387i,-0.0004111+0.00064008i,-0.0010174+0.00044414i,-0.00098269-0.00047985i,-0.00034257-0.00079387i,-0.00031429-0.00039243i,-0.00023373-0.00015813i
0.00052104+0.0011406i,-0.00035478+0.00099546i,-0.00071315+0.00067353i,-0.00022014-7.5209e-05i,4.2075e-05-0.0012662i,0.00068781-0.0011092i,0.0013378-0.0002159i,0.0014011+0.00020075i,0.00035591+0.00035261i,-0.00023543-0.00030741i,0.00017357-0.0010112i,0.00032968-0.0014931i,0.00035353-0.0017297i,0.00038125-0.00095653i,0.00017978-0.00026748i,7.5352e-05+0.00030516i,-0.00014042+0.00065817i,-0.00035806+0.00079123i,-0.00024815+0.00026255i,1.824e-05-0.00025521i,0.00022104-0.00070139i,-6.6742e-05-0.00076014i,-0.0012035-0.00075208i
0.00041545-0.00055875i,0.00063524-0.00015268i,0.0003245+5.4959e-05i,2.3333e-05-5.6856e-05i,-6.6993e-06+0.00012466i,0.00022447+0.0003515i,0.00049163+0.00031724i,0.0006054+0.00052902i,0.00014367-0.00020904i,-0.00020204-0.00066507i,0.00019191-2.0183e-05i,0.0002592-0.00012131i,0.00014137-0.00035124i,0.00052153-4.992e-05i,0.00068027+0.00038353i,0.000198+0.00034876i,0.00024612-0.00034057i,0.00037933-0.0003911i,0.00064937-0.00014788i,0.00063481-1.179e-05i,-0.00033521+0.00015358i,-0.00031637+0.00027489i,0.00029913-0.0001045i
0.00060308-0.0013089i,0.00046812+0.00027448i,-7.9082e-05+0.00036467i,-9.6272e-05-0.00038247i,-0.00050124-0.00091233i,-0.0009783-0.00074334i,-0.00032959+0.00047496i,0.00092138+0.00069728i,0.00082337+0.00067983i,-0.00065055+0.00085311i,-0.0011758-9.2454e-05i,-0.00017017-0.00089075i,0.00086226-0.00029114i,0.00030081-0.00045216i,-0.00034561-0.0012127i,-8.256e-05-0.00056228i,0.00012827+0.00041405i,0.00066463+0.00025771i,0.0003377+0.00018247i,-0.0007048+0.00044996i,-0.00081357+0.00061558i,-0.0001528+0.00013867i,-0.00039313+0.0001428i
-0.0007674+0.0015245i,-0.00029211+0.0020037i,0.00056285+0.0026974i,0.00072861+0.0013631i,0.0012025+0.0001496i,0.00097702-0.00014452i,8.2905e-05+0.00014953i,2.8751e-05+8.2873e-05i,0.00026133-0.00055334i,0.00061478-0.00050167i,0.00081094-0.00061319i,9.7419e-05-0.00067094i,-0.00017277-0.00018949i,0.00022554+7.1808e-05i,0.00068612-0.00014056i,0.00089316+0.00023229i,0.00081539+0.00023651i,0.00078495-0.0007196i,0.00071252-0.00046854i,0.00043514+0.00043365i,0.00044795+0.00010086i,0.00106+0.00014738i,0.00088717+0.00083668i
-0.002323+0.0022907i,-0.0025387+0.0014067i,-0.0026382+0.0017798i,-0.0014535+0.0013911i,-0.00017374+0.0010081i,0.00072318+0.0010687i,0.0011319+0.00090658i,0.001174+4.8958e-05i,0.0010255-0.00079473i,0.00067467-0.00057499i,0.00048566-0.00010176i,0.00045666-0.00037053i,0.00069095-0.0003169i,0.00016767+0.00035312i,7.4074e-05+0.00027561i,0.00027869-0.00040607i,-0.00064999-0.00079762i,-0.0010037-0.00096341i,-0.00058732-0.0011413i,-2.0247e-05-0.00081251i,0.00048927-0.00042857i,7.8724e-06-0.0004402i,-0.00077605-0.00077732i
-0.0018392+0.00053881i,-0.001156+0.00029904i,-0.0018937+0.0010169i,-0.0016744+0.0018376i,-0.00083287+0.0016875i,0.00018526+0.00034542i,0.00082223-0.00012627i,0.00084651+0.00071778i,-0.00035818+0.00053007i,-0.00055985-0.00019746i,0.00032318+6.1631e-05i,0.00034393+0.00054218i,-0.00026185+0.0005137i,0.00026989+0.00097323i,0.00035356+0.0009996i,-0.00040799-0.00032771i,-0.00090832-0.00052947i,-0.00039879-4.815e-05i,0.00076844-0.00026164i,0.00071299-8.2752e-06i,-4.9753e-05+2.1779e-05i,0.00021504-3.3409e-05i,0.00031987+0.00028849i
0.00029623-0.0014889i,-0.00011881-0.00039657i,-0.000432+7.7511e-05i,0.00028012-0.00061268i,0.00059027-0.0011519i,5.8739e-05+0.00029818i,-4.9845e-05+0.0011614i,1.018e-05+0.00039971i,-0.00049954-0.00038186i,-0.00053617-0.00054873i,0.00026157+0.00019638i,0.00010891+0.00084989i,0.00022257-1.9609e-05i,0.00034948-3.3958e-05i,-0.00067714+0.00062941i,-0.00045224+0.00018475i,-1.7667e-05-0.0001378i,-0.00037412-0.00018316i,-0.00034805-0.00047993i,-0.00038818-2.0369e-05i,-0.00048019+0.00059324i,-9.2389e-05-0.00016715i,-2.312e-05-0.00039974i
-0.0012025+3.3298e-06i,-0.00016546-0.0010713i,-0.00061959-0.0010291i,-0.00093934-5.8199e-05i,-0.00096442+0.00099573i,-0.00031944+0.00089433i,0.00020152+0.00054681i,-3.3324e-06+0.00084098i,-0.0007399+0.00084042i,-0.00067276+0.0006734i,0.00041598+0.00043595i,0.00053952-0.0010365i,0.00024281-0.0014039i,0.00030896-0.00043145i,-0.00023215-0.00021518i,-0.001167-0.00037234i,-0.0010607-0.0003907i,-0.00024034-0.00069807i,-0.00036974-0.0005217i,-0.00042848-0.00017458i,-0.00053338+0.00049064i,-0.00075285+0.00035463i,0.00039744-0.00013854i
-0.0024941+0.00012277i,-0.0022399+0.0011498i,-0.002615+0.00097699i,-0.0028807+0.00078593i,-0.0019796+0.0014453i,-0.00078041+0.0012071i,-0.00027387+0.00098419i,-0.00047897+0.00081405i,-0.00091913+0.00016101i,-0.00024437+0.00010654i,-0.00016271+0.00043647i,-0.00044078-0.00025254i,-0.00050585-0.0005631i,-4.334e-05+0.0004982i,0.0007377+0.00074561i,0.0010144-0.00031101i,0.00043091-0.00045682i,-3.3358e-05-0.0011245i,0.00032112-0.0014295i,0.00068783-0.00077387i,0.00061329+0.00015499i,0.00041704+0.00064469i,-0.0003105+0.00034619i
