-0.0012878+0.00088466i,-0.00066956-4.1283e-05i,-7.7898e-05-0.0017497i,-0.0005427-0.0028349i,-0.0020287-0.0033196i,-0.0024053-0.0017041i,-0.0019256+0.00075467i,-0.00072944+0.00085808i,0.00014775-0.00090569i,0.00018888-0.001577i,-0.00035637-0.0013813i,-0.00020354-0.0011496i,0.00057243-0.00014433i,0.00030446+0.00057684i,-0.0001765+0.00056799i,0.00016756+0.00029442i,0.00066562+0.00045483i,0.0010933+0.00050574i,0.00064962-2.2885e-05i,0.00047517-0.00062864i,0.00091434-0.00054969i,0.00053272+0.00013812i,-0.00066645+0.00025274i
0.0021902-0.0023196i,0.001724-0.0017123i,0.00079223-0.0019568i,-0.0015864-0.0022833i,-0.0032602-0.0028299i,-0.0024478-0.0021154i,-0.001322-0.00046295i,-0.00086459-0.00069561i,-0.00094195-0.0017326i,-0.0010473-0.00084722i,-0.0010283+0.00014004i,-0.0012889-4.6138e-05i,-0.0011696+0.00029012i,-0.00046083+0.00060546i,0.00020753+0.00090516i,-0.00023761+0.00089289i,-0.00047716+0.00025328i,-5.871e-05+0.00061841i,0.00032606+0.0007754i,0.00040778-0.00050277i,-2.9797e-05-0.00072294i,-0.00039329+0.00023007i,1.5203e-05-5.1359e-05i
0.00037697-0.0001917i,-8.3452e-05-0.00047819i,-0.0012626-0.00062103i,-0.00095464-0.0010068i,-0.00048992-0.0025672i,-0.00067822-0.002579i,-0.00085571-0.0009997i,-0.00051464+0.000369i,-0.00043893+0.00067579i,-0.0003771-4.2407e-05i,-0.00025721+5.8151e-05i,-0.00084424+0.00064324i,-0.00065934+0.00084825i,0.00018643+0.0006199i,0.00032401+0.00073776i,6.459e-05+0.0010174i,-0.0004541+0.00051469i,6.9256e-05-0.00042911i,0.00095648-9.7138e-05i,0.00080146-1.8728e-05i,7.0128e-05-9.1443e-05i,0.00039691-6.9782e-05i,-4.4325e-06+0.0002101i
0.0012998+0.0011666i,0.00089801+0.00051023i,0.0011759-0.00037012i,0.00093963-0.00074475i,0.0006667-0.0010065i,-0.00022811-0.00097619i,-0.0012053-0.001129i,-0.0010003-0.0011807i,0.00029847-0.001037i,0.00055898-0.00094696i,-0.00053866-0.00044778i,-0.00058447-0.00023865i,0.00068469+0.00014982i,0.0012499+0.000358i,5.0336e-05+0.00080371i,-0.00021919+0.00085912i,0.00043444+0.00018776i,0.00023443+9.9207e-06i,0.00042367+0.00013641i,0.00063905+7.0769e-05i,0.00025882-0.00080365i,0.00014451-0.00060856i,-4.5113e-06+0.00025171i
0.0017055+0.0008151i,0.0023343+0.0012279i,0.0022794-9.5922e-05i,0.0010567-0.0027054i,-8.4107e-05-0.0037624i,-0.0013733-0.0028273i,-0.0017829-0.0019142i,-0.001642-0.00199i,-0.00097562-0.0014988i,-0.00016306-0.00084257i,0.00019259-0.0014619i,-1.6217e-05-0.001459i,-0.00033286-0.00088986i,9.5242e-05-0.00066729i,0.00031311+0.00011045i,-2.1994e-05+0.0014723i,9.9018e-05+0.0010118i,0.00055262+7.371e-05i,0.001037+0.0002077i,0.00067276+0.00010086i,-0.00010837+0.00028802i,-1.2548e-05+0.00051217i,0.00057569-0.00011229i
-0.00018292+5.0593e-05i,-0.00051059-0.00034097i,-0.00075072-0.00064822i,-0.00064738-0.00065428i,-0.00091166-0.0010185i,-0.0008835-0.00177i,-0.00072029-0.0018076i,-0.0004563-0.0010062i,-0.00079093-0.0005345i,-0.00076061-0.00061625i,-9.3775e-05-0.00022051i,-0.00045338-0.00021433i,-0.0009422-0.0003076i,-0.00052323+0.00045879i,0.00010846+0.00088762i,0.00020765+0.00072961i,0.00064446+0.00063533i,0.00082517+0.0003706i,8.0834e-05-6.3926e-05i,-0.00049553-0.00013806i,-0.00060155-8.6923e-05i,-0.00011052+5.7974e-05i,0.00047525+3.2062e-05i
-0.00091549+0.0010367i,-0.00083291+0.001009i,-0.001253+0.00011686i,-0.0013313-0.0013382i,-0.00098085-0.0031289i,-0.00086864-0.002198i,-0.00063488-0.00040203i,-0.00059506-0.00064258i,-0.00070003-0.00096235i,3.3199e-05-0.00010764i,-0.00016311+0.00021679i,-2.3178e-05+0.0003333i,0.00058545+0.0012517i,-0.00020517+0.0020808i,-0.00012414+0.0017446i,0.00017808+0.00075792i,0.00028731+0.00030476i,0.0004137-0.0004037i,0.00054651-0.00024371i,0.00083465+0.00026764i,0.00077681+0.00047647i,0.00034964+0.00075038i,0.00010558+0.00042272i
-0.0021831-0.00061529i,-0.0019817-0.00059621i,-0.0021218-0.0010618i,-0.0021964-0.0012851i,-0.0020093-0.0010186i,-0.0017628-0.0012504i,-0.0013617-0.001097i,-0.0013539-0.00092506i,-0.0010393-0.0011461i,-0.00025679-0.00077418i,-6.9934e-05-0.0002376i,-0.00087286+0.00046017i,-0.00060632+0.00099714i,0.00066928+0.00075137i,0.00066217+0.00028211i,0.00038749+0.00019929i,0.00016142-4.7e-05i,0.00034543+2.1652e-05i,0.00078533+0.00011229i,0.0009678-0.00051384i,0.0008856-0.0008161i,-3.8085e-05-5.5255e-05i,-0.00034213+0.00072441i
0.00050143-3.92e-05i,-0.00025139-0.00056187i,-1.8751e-05-0.00070707i,0.00018254-0.0013945i,-0.00036651-0.0023672i,-0.0012673-0.0023227i,-0.0013933-0.0019152i,-0.00026524-0.0014009i,-0.00020536-0.00055451i,-0.00076975-0.00049011i,-0.0002737-0.00032949i,0.00014587-6.4846e-05i,-2.6112e-06-0.00014535i,0.00033303+0.00031271i,0.00042519+0.00096084i,0.00014025+0.00071211i,0.00012811+0.00046916i,0.0008071+0.00058239i,0.001549+0.00068504i,0.0012355+0.00061894i,0.00027685+0.00034286i,-0.0005981+2.5495e-06i,-0.00036237+0.00019299i
0.0020132+0.0029671i,0.0028925+0.0021786i,0.0029012+0.002428i,0.00089835-0.0001401i,-0.00078279-0.0024373i,-0.0017504-0.0019357i,-0.0014332-0.0011457i,-0.00092202-0.00075578i,-0.0014291-0.00033133i,-0.0016539-0.00031458i,-0.0011841-0.00088897i,-9.7353e-05-0.0010419i,0.00024405-0.00035718i,-0.00016581-9.0262e-05i,-0.00035451+0.0001843i,-8.7085e-05-0.00010263i,0.00034983-0.00073753i,0.00039607-0.0003141i,0.00027638-0.00013924i,-9.8815e-05-0.00022273i,-0.00072538+0.00016551i,-0.00081079+0.0002045i,-0.00066631-0.0006577i
-0.00062246-0.00064099i,-0.0010519-0.0020385i,-0.0015338-0.0026765i,-0.0017909-0.0024704i,-0.0024135-0.0018515i,-0.0023068-0.0014548i,-0.0018859-0.00081675i,-0.0011847-0.00091702i,-0.00054743-0.00027279i,-0.00077313+5.3554e-05i,-0.00064281+0.00017532i,-0.00054965+0.000151i,-0.0005762-0.00032904i,0.00022076-0.00051758i,0.00070665-0.00026195i,0.00011494+0.00011037i,-0.00022845-0.00043568i,2.9809e-05-0.00054939i,-3.2621e-06+8.2143e-05i,-0.00034504-3.2832e-05i,-0.00062242-0.00049665i,0.000175-0.00062313i,0.00085816-0.00018074i
