0.00045451+0.00026006i,0.0018277-0.0023034i,-0.00022509-0.003906i,-0.0019745-0.002771i,-0.0020733-0.00017165i,-0.0017986+0.0019915i,-0.0012183+0.0034362i,0.00035475+0.0028128i,0.0014748+0.00089367i,0.0017405+0.00016618i,0.0010353+0.0005174i,0.00027365+0.00077953i,0.00018445+0.00043264i,7.1034e-05-0.00036459i,0.00085634-0.00047315i,0.00088889-0.00062251i,0.00052752-0.00081382i,0.00020276-0.00068563i,0.00017353-0.00058628i,0.00041863-0.0001338i,0.00015163-0.00049181i,-0.00038673-0.0005253i,-0.00041451+0.00032736i
-0.00013684+0.0014294i,0.00040762+0.0010912i,0.0012558+0.00033845i,0.0018013-0.0003729i,0.0017504-0.00072059i,0.0012711-0.00069808i,0.00081383-0.00062866i,0.0014335-0.00017335i,0.0017139+0.00021606i,0.0015252-1.6025e-05i,0.001099-0.00068875i,0.00068813-0.00079815i,6.1868e-05+0.0003344i,-0.00059411+0.00085578i,-0.00094219+0.00050224i,-0.00051307-2.7084e-05i,0.00025615+0.00016514i,0.00038799+7.8297e-05i,-6.1916e-05-0.00028877i,-0.00026121-0.00014171i,0.00015893-0.00032235i,0.00014672-0.00030452i,-0.00031876+1.4374e-05i
-0.0015683-0.00065564i,-0.0016015-0.0012895i,-0.0019048-0.0009964i,-0.00022108+0.00037103i,0.0011571+0.001352i,0.0017614+0.0010527i,0.0012529+0.00093301i,-6.02e-05+0.00084502i,-0.00035343+0.00047108i,-0.00068308+0.0002905i,-0.00017243+0.00097444i,-7.0095e-05+0.0016124i,-0.00051072+0.00064342i,-0.00010273-0.00057529i,0.00068598-0.0012912i,0.00070115-0.0011009i,0.00045882-0.0002785i,0.00049995+0.00034424i,0.0009492+0.00022349i,0.00073208-0.00036656i,-0.00067697-4.8308e-05i,-0.00070417+0.0001147i,-3.9441e-05-3.3435e-05i
-0.0012286-0.00010153i,-0.0012073-0.00035583i,-0.0017111+0.00038588i,-0.0014184+0.0010296i,0.00022261+0.0013393i,0.0012637+0.00092445i,0.001304+7.7025e-05i,0.00089753+0.00014457i,0.0005166+0.00032426i,0.00033531+0.00028628i,-3.4162e-05+0.00053126i,0.00023626+0.00046558i,0.0013057-9.6584e-05i,0.0012599+3.986e-05i,0.00035122+1.9452e-06i,-1.2989e-05-0.00063739i,-0.00035189-0.00011674i,0.0004189+0.00032882i,0.00084847+0.00023539i,0.00018788+0.00051838i,0.00013336+0.00029061i,0.00077019+0.00010969i,0.00063608-0.00031975i
0.00027343-0.00057237i,0.00032941-0.0016474i,0.00015827-0.0018899i,-0.0002448-0.0015364i,-0.00055474-0.00045785i,-0.00044953+0.00065035i,-0.00025017+0.001013i,7.9333e-05+0.0010463i,0.0003929+0.0009138i,-6.6471e-05+7.4316e-05i,-0.00024241-0.00012101i,-0.00012747+9.9633e-05i,0.00053265-0.00020209i,0.0007017-0.00071224i,0.00030268-0.00038643i,-8.6635e-05+0.0001981i,-0.00033284-6.3002e-05i,0.00032827-0.00025563i,0.00060185-5.6194e-06i,0.00019883+0.000839i,-0.00032536+0.00084783i,-0.00092351-0.00067997i,-0.00070906-0.0012447i
-0.00064337+0.0017927i,0.00040888+0.00096569i,0.00089292+8.7054e-05i,0.0018247-9.3223e-05i,0.0027806-0.00014721i,0.0019867-0.00019864i,0.0013698+0.0010963i,0.00083506+0.001539i,0.00082487+0.00083236i,0.0011947+0.00032527i,0.00094989-0.00010205i,0.00082729-8.6898e-05i,0.00063549-8.4841e-06i,5.42e-05+7.9868e-05i,-0.00016444-0.00017682i,-0.00025118-0.00017862i,-0.00019122-0.00044877i,0.00025455-0.0007837i,0.0001667-0.00036443i,-7.9103e-05+0.000399i,0.00018481+0.00011449i,-0.00026069+9.6687e-05i,-6.0049e-05+0.00094404i
-0.0016608-0.0033275i,-0.00092918-0.0044678i,-0.0022732-0.0030991i,-0.0030264-0.00012704i,-0.00049317+0.0014963i,0.0015081+0.0014099i,0.0011822+0.0010174i,0.00065953+0.0012456i,0.00062239+0.0011548i,0.00085637+0.00026484i,0.00082592-0.00027443i,0.0010122+7.2515e-05i,0.0016222-0.0004328i,0.0012804-0.00065375i,0.00042648-0.00017072i,0.00046156-0.00021887i,0.00056968-2.7575e-05i,-0.00028166-9.3985e-05i,-0.00026355-0.00059605i,0.0007156-0.0012614i,0.0010999-0.00070863i,0.00078641+0.00029834i,-1.7168e-05+0.00041547i
0.0024474+0.00081659i,0.0016777-0.0002348i,0.0012762-0.0012518i,0.0010947-0.0015764i,-0.00063561-0.0012852i,-0.0014365-0.00010908i,-0.00041412+0.00083111i,0.0004048+0.00072512i,0.0011679+0.00018373i,0.0017241-0.00034932i,0.00098588-7.8209e-05i,0.00023369+0.0011807i,0.00026054+0.0013819i,-0.00014394+0.0005966i,0.00027306+0.00027207i,0.00060736+0.00075701i,0.00024122+0.00019401i,-0.00017663-0.00041594i,-5.6411e-05+0.00017927i,0.00040989+0.00066537i,0.00025957+0.00064471i,-0.00013415+0.00078576i,-0.00016372+0.001068i
5.8962e-05+0.00032063i,0.0011057-0.0007723i,0.0012509-0.0018215i,0.00080005-0.0016355i,-1.1306e-05-0.00066448i,-1.9172e-05-0.00017271i,0.00036627+0.00056359i,0.0005752+0.00057957i,0.00029808+2.0964e-05i,-0.00054449-5.8187e-05i,-1.8455e-05+0.00018653i,0.0012598+0.00072945i,0.0010849+0.00065502i,0.00016968-0.00044966i,0.00046861-0.0010116i,0.0012078-0.00085376i,0.00098136-0.0010549i,6.8282e-05-0.00059033i,-0.00014042+0.00032362i,0.00018465+0.0009149i,-0.00051099+0.00061436i,-0.001148-0.00052736i,-0.00078587-0.00070848i
-0.0010535+0.0016817i,-0.0011294+0.0013472i,-0.0010173+0.00062891i,0.00027143+0.00033693i,0.0015372+0.00039298i,0.0017045+0.00040511i,0.0013302+0.00095255i,0.001224+0.0012479i,0.0015233+0.00099852i,0.0010189+0.00060294i,0.00014793+0.00035318i,0.00027042+8.1915e-05i,0.0006033-0.00031634i,0.00026139-0.00058509i,0.00053841-0.00062653i,0.0010218-0.00024922i,0.00097877+0.0004381i,0.00013785+0.00099207i,9.5204e-05+0.00033928i,0.00054694+0.00015977i,-0.00012758+0.00057376i,-0.00071088+0.00058601i,-0.00052714+1.3948e-05i
-0.0010974+3.8721e-06i,-0.00056956-0.00015941i,-0.00027365+0.00089129i,-5.5987e-05+0.001195i,0.00058344+0.00073413i,0.00067306+0.00031235i,0.00020964+0.00090884i,0.00064542+0.0014995i,0.0009113+0.00067018i,-2.0981e-05-0.00025467i,-0.00058148-0.00039049i,-0.00010729-0.00080783i,0.00073973-0.001108i,0.00049109-0.00078809i,-0.000459-0.00025801i,-0.00086641+0.00019127i,-0.00011278+0.0002246i,0.00054256+0.00036974i,0.00026702+0.0010121i,0.00013238+0.00097648i,0.00042102+0.00082489i,0.00013151+0.00038039i,-9.4455e-05-0.00050156i
-0.00093575-0.00091925i,-0.00089865-0.00046341i,-0.00071877-0.0012636i,-0.00015405-0.0015724i,0.0015067-0.00066976i,0.0020463-5.3782e-05i,0.00058836+4.3107e-05i,-0.00020813+3.33e-05i,8.6904e-05-0.0002129i,0.00014286-2.3837e-05i,0.00071022+0.00048944i,0.0012253-9.0898e-05i,0.00071661-0.00099077i,0.00089686-0.00065156i,0.00057352-1.0556e-05i,0.00023337-0.00014479i,0.00064536-0.00023729i,-0.00016377-0.00042122i,-0.0003203-0.00038114i,0.00031611-0.00025933i,7.0383e-05-6.7232e-05i,-0.00013025+0.00023379i,-8.7168e-05-3.1888e-05i
