-0.0049873+0.0011766i,-0.005175+0.00064345i,-0.0056956+0.0027543i,-0.0024761+0.0033079i,0.00078483+0.0034436i,0.00038952+0.0020883i,-0.00055962+0.0017572i,0.0006701+0.0021156i,0.0013959+0.0012914i,0.0012492+0.0010725i,0.0011119+0.00045625i,0.0010345-0.00053069i,0.00083594-0.00094216i,0.00064895-0.0012043i,0.0010072-0.00098901i,0.0006579+3.827e-05i,0.00042331+0.00055502i,0.00055553+0.00050226i,-6.299e-05+0.00018941i,-0.00041742+8.896e-05i,0.00017599+0.00044456i,0.00081374+9.517e-05i,1.8936e-05-0.00025586i
0.0013368-0.0019533i,0.00093796-0.00074569i,0.0014257-0.00048544i,0.00040137-0.00016444i,-0.00069034+0.00029573i,-0.0011107+0.00081083i,-0.00091266+0.00033922i,-0.00072758-7.411e-06i,-0.0010765-0.00059411i,-0.0005792-0.00052167i,0.00019226+0.00084204i,-0.00055739+0.00089726i,-0.00090009+0.00014759i,0.0003089-9.7193e-05i,0.00035527+1.1273e-05i,-0.00043461+7.2611e-06i,-0.0004756-0.00019153i,-0.00015068+6.192e-05i,-3.2557e-05+0.00049847i,-0.0008723+0.00028722i,-0.0012935+0.00071399i,-0.00061025+0.00060297i,-0.00053383+6.8824e-05i
0.001333+0.00092988i,0.0012401+0.0021756i,0.00030064+0.0020525i,-8.5733e-06+0.0006496i,0.00010429-8.8267e-05i,0.00032082-0.00053608i,0.00067687-0.00061839i,0.00016308-9.3008e-06i,-0.00029634+0.00016968i,0.00036961+7.1939e-05i,0.00039736-2.1726e-05i,0.00032675-0.00042398i,0.0007073-0.00049356i,0.00047483-0.00039415i,0.0001513-0.00011687i,-0.00042835+0.00085451i,-0.00075846+0.00077509i,-8.0204e-05-4.403e-05i,0.00059805-0.00054331i,0.0010225-0.00036004i,0.00056907+0.00042452i,-6.092e-05+0.00073353i,-0.00032282+0.00036974i
0.0013331+0.00066812i,0.0018587+0.00028056i,0.0022847-0.00041636i,0.0015272-0.00079793i,0.00022614-0.0002187i,-0.00054659+0.00026476i,-0.00060767+0.00084271i,0.00026626+0.00077164i,0.00052114+0.00039371i,-6.1442e-05+0.00073343i,-4.9086e-05+0.00034428i,-2.3734e-05-0.00043381i,2.6374e-05-0.00087483i,0.00026678-0.00077213i,0.00012049-0.00037952i,0.00021023-0.0002258i,2.1745e-05-0.00057719i,-0.00018774-0.00037639i,-0.0002486+1.5605e-05i,-0.00087+0.00015896i,-0.0005966-4.3367e-05i,2.7191e-05+0.00010722i,0.00041395+7.2432e-05i
-0.00039049+7.3348e-05i,-0.0009771+5.5552e-05i,-0.0013063+7.63e-05i,-0.0012931+0.00081654i,-0.0013353+0.00044865i,-0.00034099+0.00032055i,0.00075412+0.00092784i,0.00045383+0.00030743i,5.5587e-06-0.00074006i,-0.00018572-0.00088132i,-0.00036828-0.00054355i,-0.00047771-0.00025206i,-0.00039417-0.00027157i,0.00036154+1.1289e-05i,0.00037169+0.00091578i,-9.6509e-05+0.0009308i,-0.0003322-0.00019652i,-0.00014941-0.00093979i,0.00028583-0.00041368i,-5.2655e-05-8.7031e-05i,-0.00034668-0.00090042i,-0.00086268-0.00043401i,-0.0012149-0.00010245i
0.0018785-0.0012713i,0.0015686-0.0013353i,0.00091302-0.0026447i,-0.00021391-0.001589i,-0.00066362+0.00027863i,-0.00040484+0.00045414i,-0.00050414+0.00035231i,-0.00091864+0.00074982i,-0.00065911+0.00065106i,-0.00019051+5.851e-05i,0.00016303+0.00019064i,0.00037576+0.00018525i,0.00067258+0.00038824i,0.00031367+0.00077032i,0.00020045+0.00017904i,0.00046528-0.00023953i,0.00040368-0.00028879i,0.00014325+1.6737e-05i,0.00023085-0.00010333i,0.00015962-0.00076937i,-0.00011901-0.00088706i,-0.00025917-0.00035406i,-0.00020135+0.00051895i
0.0011534+0.001731i,0.0013635+0.0015277i,0.0014984+0.0012456i,0.0012728+0.00040907i,0.00069639-8.4337e-05i,-0.00044189+0.00024159i,-0.00041365-0.00033414i,-8.6338e-05-0.00048472i,-0.00073008+0.00030395i,-0.00060386+0.0003904i,0.00011662+0.00012876i,0.00029749+0.00068204i,0.00026191+0.000318i,-3.1363e-05-0.0006266i,-0.00045202-0.00056192i,-3.9348e-05-0.00032589i,-0.00013124-0.00046786i,-0.00014765+8.1434e-05i,-0.00025331+0.00089443i,-0.00072711+0.0012581i,-0.00034813+0.0005386i,0.0004447+0.00038563i,0.00054037+0.00052498i
-0.00081187-0.00011581i,-0.00064821+5.2527e-05i,-0.00062765+0.00042899i,-0.0007153+0.00057635i,0.00056647+0.00060934i,0.0012301+0.00025131i,0.00031795-0.00022239i,-0.00037456+0.00021847i,-8.9469e-05+0.00076393i,0.0006183+0.00053868i,0.0009271+0.00016281i,0.00096971+0.00018837i,0.00063198+0.00062525i,-0.00010014+0.000478i,-0.00023959+0.00011807i,0.00031729-0.00013159i,0.00069678-0.00037463i,0.00073119-0.00059199i,0.0008718-0.00036776i,0.00064558-0.00026665i,0.00081386-0.00033959i,0.00068147-0.00039976i,4.8981e-06+0.0001869i
-0.0015268-0.0011893i,-0.0015216-0.00035835i,-0.0019251+0.00081236i,-0.0019779+0.0014937i,-0.00092589+0.001364i,-8.1872e-05+0.00069605i,-8.2639e-05-0.00079035i,-5.7364e-05-0.0015919i,-0.00076796-0.0010606i,-0.0007718-0.00059624i,0.00028516+0.00033159i,0.00014264+0.0009952i,-0.00032837+0.00048589i,-0.0003655-0.00046644i,3.6962e-05-0.001064i,0.00072354-0.00035918i,0.0005506+0.00042915i,4.634e-05-9.5608e-05i,-0.00039327-0.00049026i,-0.00047413-0.00044913i,-0.00025165-0.00015945i,-0.00073076+8.6453e-05i,-0.0010914+0.00045716i
-7.7985e-05+0.00036271i,-0.00053598+0.0011071i,-2.1761e-05+0.0017957i,0.00047306+0.0012388i,-2.4665e-05+0.0003671i,0.00019321+0.00025136i,0.00063779+0.00027596i,0.00042459+0.00044058i,-0.00010268+0.00047256i,-0.00016177+0.00033154i,-9.0168e-06+0.00010711i,0.00023979-3.8479e-05i,0.0008756-0.00058663i,0.00079815-9.5081e-05i,4.9851e-05+0.00045786i,-0.000165-0.00041956i,-2.4431e-05-0.00084235i,0.00022885-0.00048171i,-4.7168e-05-0.00026356i,-0.00013932+0.00024474i,-0.00032115+0.0004867i,-0.00084938+0.00051887i,-0.0005412+0.0010048i
-0.0015639-1.8943e-05i,-0.0015717+0.00097436i,0.00033274+0.0013548i,0.0013567+0.0024481i,0.00083825+0.0013807i,3.8983e-05-0.00032923i,-0.00013727+0.00048101i,0.00035902+0.001415i,0.00080437+0.0013686i,0.00058779+0.00088272i,0.00067803+0.00019096i,0.00076897-1.9414e-05i,0.00046284+9.7393e-05i,0.00022077-0.00012354i,0.00054266+0.00020236i,0.00081238+0.00056783i,0.00024106-6.646e-05i,-0.00042032-0.00047603i,-0.0005143-0.00058658i,-0.00039731-0.00097072i,-0.00050039-0.00088588i,-0.00010967-0.00063373i,-0.00031459-4.5475e-05i
