-0.00058455-0.00033422i,-0.00032548-0.0016136i,-0.0008999-0.0016351i,-0.0017187-0.0010054i,-0.0017267-0.00050694i,-0.0015378+0.00034866i,-0.001551+0.0020167i,-0.0008281+0.0023287i,0.00041628+0.0012852i,0.00081275+0.00050437i,0.0004656-0.00030688i,-4.3761e-05-0.00092134i,-0.00051581-0.0008192i,-0.0010513-0.00086532i,-0.00060804-0.00033092i,-3.4839e-05-0.00012555i,7.3894e-05-0.00025688i,0.00022433+0.00024076i,-0.00024636+5.8245e-06i,-0.00030651-0.00013257i,0.00012344+0.00013952i,0.00015739-0.00018715i,0.00021612-0.00037583i
0.00015895-0.00086821i,-0.00018982-0.0012801i,-0.00034585-0.00090757i,-0.0002548-0.00016264i,-0.00045176-0.00010994i,-0.0011656-4.902e-05i,-0.00057283+0.00065322i,0.00011512+0.00058851i,-0.00012521+0.00052314i,-0.00052918+0.00048341i,-0.0005791+0.00017389i,-0.00044497+1.8716e-05i,-9.857e-05-0.00018691i,0.00040361-0.00041869i,0.0005451-0.00056975i,-6.4145e-06-0.00026514i,-0.00083653-6.8394e-05i,-0.0010012-3.8648e-05i,-0.00029288+6.2179e-05i,-8.7558e-06-0.00088056i,-0.00040347-0.0012108i,-0.0006406-0.0006845i,-0.0005522+0.00034135i
-0.00023249-0.00053099i,-0.00074341+0.00029325i,-0.0010779+0.00017361i,-0.0011974-0.00076679i,-0.001203-0.00042997i,-0.00082881-0.00027857i,-0.00056765-0.0010618i,-0.00091274-0.00099122i,-0.00036067-0.00088637i,0.00096875-0.0010928i,0.00045617-0.00065858i,-0.00023626-5.3373e-05i,0.00019618-0.00068295i,0.0008057-0.00042988i,0.00066975-0.00030892i,0.00043833-0.00046111i,-3.8243e-05-0.00032921i,-0.00076019-0.00080098i,-0.0004279-0.00056702i,-4.432e-05-0.00035409i,2.4717e-05-0.00080398i,-0.00036794-0.0004433i,-0.00094326+3.917e-05i
0.00083934+0.00018886i,-0.00097532+0.00014396i,-0.00029742-0.00044748i,9.4492e-05-0.0013052i,-0.00094923-0.0016515i,-0.0015994-0.00077497i,-0.0019518+0.00034398i,-0.0013982+0.00055629i,-6.4865e-05+7.5668e-05i,0.00059223-0.0002568i,3.0385e-05-0.00041147i,-0.00027318-0.00011681i,-9.7548e-05-0.00032845i,8.8621e-05-0.00081808i,-9.5269e-06-0.00097701i,-0.00041918-0.00090193i,-0.00057124-0.00063356i,4.3148e-05-0.00023283i,-5.6737e-05+4.9056e-05i,-0.00012157-0.00022077i,0.00058227-0.00032655i,0.00063608-5.9758e-05i,0.000787-0.00064886i
-0.00094394-0.00036451i,-0.0013943-0.00061599i,-0.0001538-0.00099866i,0.00078706+0.00015807i,0.0010151+0.0010773i,0.00077975+0.0011388i,0.0004536+0.0010994i,0.00065939+0.00018322i,0.00025233-0.00045729i,-0.00046501-0.0006736i,-0.00033587-0.00078849i,0.00019345-0.00074095i,0.0001373-0.0010447i,-0.00024793-0.0010158i,-0.00030728-0.00054561i,-0.00028794-1.3018e-05i,-0.00024084-6.4115e-05i,3.296e-05-0.00017057i,-0.00047272-0.00037201i,-0.00011513-0.00059285i,0.00066068-0.00022567i,0.00045728+0.00012809i,-1.7113e-05-0.00024748i
0.0023705-0.0030086i,0.0019687-0.0027385i,0.0002359-0.0028137i,-0.0024538-0.0020695i,-0.0034937-0.0017249i,-0.0030148+0.00011684i,-0.0016615+0.0015207i,0.00011996+0.00029173i,0.00062799-0.00046809i,5.2793e-05+0.00021817i,-0.00062214+0.0005099i,-0.00066055+0.00024213i,0.00055557+0.00037509i,0.0010353+0.00051852i,0.00032479+0.00069592i,0.00031229+0.00037039i,0.00075437-0.00065819i,0.00041096-0.0011189i,-0.00013982-0.00099886i,-7.8145e-05-0.00061153i,-0.00017641+6.5787e-05i,-0.00018223+0.00029428i,-0.00015408-0.00044022i
0.0014389-0.0010018i,0.00079962-0.00086028i,0.00084038-0.00069758i,-0.00032342-0.00074404i,-0.0021554-0.00037926i,-0.0027584+0.00056737i,-0.0021258+0.00035742i,-0.00090591-0.00010761i,-0.00040985-0.00013892i,-0.00063613-0.0001995i,-0.00047176-0.00035463i,-0.00032369-5.2069e-06i,-0.00047277+0.00033148i,-0.00053046+0.00030076i,0.00016623+0.00029909i,0.0005962+0.00046055i,-5.4011e-05+0.00062683i,-3.8736e-05+0.00033552i,0.00029759-0.00017367i,0.00021081-0.0001064i,-8.3979e-05-0.0001127i,-0.00031016-0.00066368i,0.00014716-0.00049466i
8.7668e-06-0.0020132i,0.00013671-0.0040082i,5.6856e-06-0.0022799i,-0.00056349+2.0019e-05i,-0.0011597+0.00044938i,-0.0011564+0.0005471i,-0.0010622+8.373e-05i,-0.00074195-0.00029251i,-0.00074113+0.00028136i,-0.00087815+0.00018658i,-0.00033675-0.00027923i,0.00037161+0.0004421i,8.8621e-06+0.00059284i,-0.0010093-0.00023195i,-0.00075196-0.00055993i,-0.00060689-0.00015659i,-0.00094503-0.00037449i,-0.00026704-0.00037617i,9.7275e-05-0.00036244i,-3.2205e-05-0.0010021i,-0.00034484-0.00081228i,-0.00065785-0.00027992i,-0.0009143+0.0003208i
-0.00049722-0.00043092i,-0.00066157+0.00052382i,0.00029875+0.00036186i,0.0010248+0.00043438i,-4.6911e-05-9.6543e-05i,-0.0012408-0.00074962i,-0.001445-0.00055866i,-0.00075867-0.00011453i,-0.00016239+6.5089e-05i,0.0001092-4.4721e-05i,0.0006976+0.00030947i,0.00083762+0.00062793i,-0.00037444+0.00049073i,-0.00057672+0.00050315i,-0.00043039+0.00023325i,-0.00053189-0.00038156i,-0.00071741-0.00043649i,-0.0004401-0.00024177i,0.00020165-9.5215e-05i,-0.000302-0.00029318i,1.3039e-05-0.00021523i,0.0011936+7.6294e-05i,0.00107+0.00091584i
0.00032818-0.00073195i,0.00081164-0.00090725i,0.00012608-0.0010593i,-0.00090445-0.0015098i,-0.001018-0.00081559i,-0.00099808+0.00015089i,-0.0010315+0.0011634i,-0.00089369+0.00098208i,-0.00040139+0.00044507i,2.7287e-05+0.00014292i,-0.00034152+3.9535e-05i,-0.000468+0.00014992i,0.00042993+0.00012681i,0.001161+0.00011443i,0.00089734-0.00061973i,0.0005463-0.00096353i,0.00031901-0.0003263i,0.00015587+0.00021363i,0.00047742+0.00058679i,2.739e-05+0.00058844i,-0.00067515+0.00013276i,-0.00013673-8.64e-05i,0.00076622+3.5498e-05i
0.00023788+0.00073553i,-0.00014141-5.4555e-05i,0.0001854-0.00022346i,0.00031005-0.00021836i,7.8777e-05-0.00045588i,-0.00083473-0.00010313i,-0.0015933+0.00023011i,-0.00095593-0.00055002i,-8.3167e-05-0.0014294i,8.1658e-05-0.0010844i,1.9783e-05-0.00094809i,-0.00010174-0.00092885i,-2.5858e-05-0.00046623i,-0.00014541-0.000241i,-0.00086029-0.0002336i,-0.00047119+0.00015771i,-9.9034e-05+0.00018925i,-0.00012721-0.00047276i,0.00012385-0.00087953i,-0.00011061-0.0006162i,-0.00043021-0.00011033i,-0.00014457+0.00050248i,3.6106e-05-1.235e-05i
