-0.0012338+0.0012149i,-0.00050245+0.00055416i,-0.0017983+0.0011492i,-0.0028661+0.0013132i,-0.0022752+0.0016376i,-0.0010173+0.0019351i,-0.0011031+0.0017062i,-0.0014215+0.0011589i,-0.0012917+0.00046001i,5.851e-05+0.00064711i,0.0016647+0.00049248i,0.0014652-0.00055195i,0.00038005-0.0018436i,-7.9399e-05-0.0017393i,-0.00033755-0.00064119i,-0.00024364-0.00011989i,-8.3947e-05-0.00031909i,8.8481e-05-0.00052921i,0.00012308-0.00046097i,-0.00046796-0.00073128i,-0.0005576-0.00091779i,-0.0003563-0.0010936i,-0.0008144-0.0010694i
0.0011242+0.00032064i,0.0016315-0.00022848i,0.0017191+0.00018325i,0.0018167+0.0010261i,0.0015254+0.00095019i,0.00072105-0.00040113i,-9.7389e-05-0.0014398i,-0.00081226-0.0011876i,-0.0013495-0.0008176i,-0.0011794-0.0010934i,0.00022398-0.0016421i,0.00095255-0.00094548i,-0.00015884-9.7973e-05i,-0.00032346-0.00055412i,0.00058044-0.0011006i,0.0010252-0.0011695i,0.0014975-0.00076306i,0.0011858+0.00021807i,0.00065125+0.00086623i,0.00041579+0.00034435i,0.00021301+0.00010772i,7.9178e-05+0.00020986i,3.3682e-05-0.00016701i
0.0017237-0.0009729i,0.00096157-0.00070364i,0.00094311-0.0011079i,0.0016707-0.00068362i,0.0010043-0.00069797i,-0.00034663-0.00083841i,-0.00096806-0.0006384i,-0.00046819-0.00054392i,-0.00035694-0.00014497i,-0.00089565-0.0002238i,-0.00099476-0.00021579i,-0.0012912-0.00050655i,-0.00056948-0.00094625i,0.00039833-0.00030795i,0.00090826+5.4485e-05i,0.00059898+8.4017e-05i,0.00011267+0.00025787i,0.00030844-0.00033151i,0.00035531-0.0010733i,2.3269e-05-0.00076292i,-0.0006943-0.00037875i,-0.00067178-1.5348e-05i,-6.5052e-05+0.00024566i
0.0017029-0.00088277i,0.00091825-0.0014923i,0.0010191-0.002623i,0.00092412-0.0036062i,0.00033938-0.0035329i,-0.00071523-0.0019443i,-0.0012015-0.00056962i,-0.0011156-0.00019162i,-0.0013605-0.00068537i,-0.0009557-0.0016223i,-0.00022577-0.0012796i,6.1861e-05-1.2477e-05i,-0.00010605+8.0176e-05i,0.00017939-0.00065629i,0.00068263-0.00071586i,0.00027762-0.00061874i,2.0502e-05-0.00075784i,0.00042023-0.00010446i,0.00092185+6.9449e-05i,0.0013089-0.0003416i,0.0010089-0.00032824i,0.00049822-1.2634e-05i,0.00052267+0.00016269i
0.00094628-0.0022199i,0.0012038-0.0020822i,0.0010568-0.0011973i,0.00026924+0.0001424i,-0.0011144+0.00070569i,-0.0013243+0.0004275i,-0.0013566-0.00018854i,-0.0014421-0.00030705i,-0.0010956-0.00054455i,-0.0012363-0.00039401i,-0.00089473-1.2298e-05i,-0.00013018-9.5543e-05i,0.00026189-0.00041731i,0.00090508-0.0010611i,0.0012512-0.00096032i,0.00077187-0.00090592i,0.00012581-0.00092697i,-0.00022926-0.00018537i,-0.00033517+4.141e-05i,-5.6766e-05-0.00056095i,0.00031059-0.00031841i,0.00010818+0.00059442i,0.00029093+0.00052877i
-0.00012021-0.002009i,-0.00045634-0.0018864i,-0.0012725-0.00076317i,-0.0016044+0.0012051i,-0.001567+0.0014543i,-0.0013859+0.00078698i,-0.00099219+2.4667e-05i,-0.0011062-0.00040552i,-0.00099081+0.00034819i,-0.00096534+0.00090344i,-0.00079593-0.00020859i,0.00018659-0.0014332i,0.00089484-0.0013133i,0.00042351-0.00079857i,-7.2128e-05-8.0334e-05i,0.00042322+0.00011629i,0.00038522+0.00045044i,4.9166e-05+0.00087497i,-7.3587e-05+0.0010354i,-6.822e-05+0.00071632i,0.00016502+0.00030398i,8.6778e-05+5.2822e-05i,0.00017471-0.0007319i
-1.0085e-05+0.00051567i,0.00085222-0.00051366i,0.00091653-0.00030561i,0.00046926-0.00060667i,-0.00073555-0.0010408i,-0.0010175-0.00048055i,-0.0007657-0.00072186i,-0.00098119-0.001544i,-0.00084702-0.0013235i,-0.00085315-0.00032477i,-0.00016427+0.00020688i,0.0010202+0.0001627i,0.0008723+0.00014062i,0.00011749-0.00035519i,0.00023742-0.00050144i,0.00039591-0.00023185i,-1.4523e-05-0.00035038i,-8.6691e-05-0.00015419i,0.0004965-0.0003672i,0.00033038-0.00067648i,-0.00021259-0.00076999i,-0.00014811-0.00031874i,-0.00040634+0.00080134i
-0.0010213-0.0011729i,-0.0001082-0.0011897i,0.0011549-0.00045865i,0.0013892+0.00034785i,0.00062775+0.00078196i,-0.00020173+0.00042575i,-0.001018-0.00041989i,-0.001393-0.001025i,-0.00071657-0.00028505i,-0.00027073+0.00017662i,-0.00046327-0.00046861i,0.00016928-0.00093425i,0.00058122-0.00063663i,0.00041368-0.00063552i,7.7119e-05-0.00034621i,-0.00092941+0.00088328i,-0.00092223+0.00067578i,-0.0003493-0.00019344i,0.00080473-0.00038993i,0.00099776-0.00028237i,0.00011528-0.00059104i,-0.0011735-0.0011651i,-0.0011717-0.0010226i
-0.0013653-4.2833e-05i,-0.00070894+0.00083659i,-0.0015985+0.0019376i,-0.0018321+0.0023225i,-0.00089527+0.0014019i,0.00041459+8.5248e-05i,0.00027338-0.00051248i,-0.00045221-0.00080014i,-0.00059791-0.0002596i,-0.00035568+0.00038965i,-0.00070782+0.00091714i,-0.00025233+0.0008321i,0.00088937-6.6518e-05i,0.0011085-0.0004748i,0.00017922-0.00036411i,-0.00057767-0.00032757i,-0.00047858-1.9674e-05i,-0.00036186+0.00058026i,-6.8328e-05+0.00078144i,6.8604e-05+0.00024409i,0.00016382-0.0006441i,-1.5267e-05-0.00080904i,9.2204e-05-1.2306e-05i
0.00023229+0.00013788i,0.001509-0.00055509i,0.0011558-0.00073973i,0.0002408+5.2732e-05i,0.0010379+0.00055337i,0.0012742+2.788e-06i,0.00037973-0.00035703i,-0.00045904-0.0009234i,-0.0012135-0.00045323i,-0.0013756+0.00076235i,-0.00090304+0.00082046i,0.00015031+0.00024834i,0.00029225-0.00047537i,-0.00045578-0.00047076i,-0.00046407-0.00055899i,0.00049963-0.0011448i,0.001067-0.0012373i,0.00039757-0.00075475i,-0.00016325-0.0001722i,-0.00018078+0.00036591i,-0.00016218+0.000375i,-0.00026993-0.00019832i,-0.0003707+0.00024461i
0.00019037-0.0013876i,-9.5085e-05-0.001434i,-0.0007006-0.00057797i,-0.00024644+0.00029483i,-0.00011188-0.00037499i,-0.00053131-0.00068502i,-0.00094989-0.0010176i,-0.00082544-0.0013994i,-0.0014318-0.0012494i,-0.001213-0.00090764i,-0.00084111-0.00051568i,-0.0014706-0.00022587i,-0.0010257-0.00059164i,-0.00032125-0.00070423i,-0.00029245-0.00062345i,0.00020598-0.00086061i,0.00047406-0.00037991i,0.0001673-2.218e-05i,-1.167e-05+0.00021023i,-0.00036802+0.0001333i,-0.00060523-0.00050155i,1.4922e-05-0.00084731i,5.4255e-05-0.00061263i
