-0.0040018+0.0010774i,-0.0026404+0.001396i,-0.0019436+0.0025561i,-0.0002607+0.003264i,0.00082683+0.0037689i,0.001993+0.0038359i,0.0021208+0.002567i,0.0012783+0.0011315i,0.00060698+0.0011057i,0.00060898+0.0015381i,0.0012071+0.0011364i,0.0018845-4.5635e-05i,0.001454-0.0015048i,-0.00012501-0.0025954i,-0.0014264-0.0023397i,-0.0017104-0.0017147i,-0.00070696-0.00080405i,0.00057352+0.0003904i,0.00084211+0.00094917i,0.00054546+0.00049942i,-0.00020648-0.00024982i,-0.00065016+0.00014089i,-0.00093466+0.00073943i
-0.0015407+0.0018868i,-0.0014908+0.0016179i,-0.00035318+0.0015482i,0.00063143+0.00082707i,0.0012664-0.00015833i,0.0011336-0.00017858i,0.0010631-0.00010326i,0.00092897+0.00061963i,-0.0003049+0.0012873i,-0.00080164+0.00055113i,-0.00049947-0.00030156i,-0.00056106-0.00090054i,-0.00046269-0.00043337i,-0.0003666-5.451e-05i,0.00023047+0.00022245i,0.00084954+5.5106e-05i,0.00089905-0.00023429i,0.00046165-0.00045286i,0.00019477-0.00053989i,-0.00038528-0.00071243i,-0.00012486-0.00061567i,-8.7011e-05+0.00025103i,-0.00021925+0.00061155i
0.0012962+0.00011339i,0.0010113+0.0011448i,0.0010062+0.001362i,0.0008623+0.0015012i,0.00067422+0.0018614i,0.0010738+0.0014245i,0.00099837+0.00086239i,0.00097799+0.0002464i,0.0009006+0.00026743i,5.9516e-05+0.0010542i,-0.00043983+0.00072123i,-0.00062424+2.9811e-05i,-0.00065363+0.00016978i,-0.0010828+0.00019513i,-0.00087546+0.0002267i,-0.0005831+0.00038372i,-0.00089655+0.00031648i,-0.00033987+4.439e-05i,2.0393e-05-0.00029615i,-3.2936e-05-0.00010651i,-0.00015024+0.00064037i,0.00045567+0.0008601i,0.00020116+0.00061706i
6.9821e-05+0.00025941i,-0.00023297-0.0002247i,0.00071176+0.00031832i,0.00093684+4.1441e-05i,0.00089374-0.0010956i,0.00051843-0.00072833i,0.00083539-8.0698e-06i,0.0012894+0.00052155i,0.001134+0.0010045i,0.00069789+0.00054582i,0.00016154+0.00019417i,-0.00011917+0.00044502i,-0.00043853+0.0011831i,2.2159e-05+0.00085123i,-1.365e-05-5.3095e-05i,-0.00075601-0.000326i,-0.00041463+9.3393e-05i,-9.806e-05+3.2703e-05i,-0.00062987-0.00033988i,-0.00043234+0.00060781i,0.00013703+0.0013561i,0.00062424+0.00084634i,0.00095473+0.00018144i
-0.00074714+0.00019156i,-0.00092973+0.00078331i,-2.481e-05+0.0017388i,0.00026888+0.0013738i,0.0002245+0.0017269i,0.00025516+0.002204i,0.0002911+0.0018721i,0.00019+0.0011913i,0.00025198+0.00033013i,0.00053048+9.7945e-05i,0.00033803+0.0004701i,-0.00017399+0.00039975i,-0.00050148+5.9505e-05i,-0.00043043+0.00045542i,-0.00033354+0.00080171i,-0.00059815+0.00052473i,-0.00037205+0.00022568i,4.2635e-05-7.6688e-05i,-0.00018569-0.00035032i,-0.00083153-0.00048665i,-0.00080906-0.00063493i,0.00075783-0.00066785i,0.00097803-0.00035725i
-0.00083323-0.00047337i,-0.0010824+0.00079076i,-0.00015823+0.00030518i,0.00011873+0.00068323i,0.00012669+0.00073966i,0.0012676+0.00052313i,0.0019369+0.00093032i,0.0012111+0.00062926i,0.00021985-0.00049214i,9.1177e-06-0.00068493i,0.00044958-8.5748e-05i,0.00080211+0.00011832i,0.0005439-5.884e-05i,-0.00022347-0.00027151i,-0.00067879-0.00029186i,-0.00036323-0.00020926i,-8.4011e-05-0.00012471i,0.00018955-0.00043001i,0.00038882-0.00070351i,0.00035038+9.3235e-05i,0.0002649+0.001389i,0.00010031+0.002063i,-0.00048277+0.001215i
-0.00065053+0.0006061i,-0.0014586+0.0011592i,-0.0022125+6.26e-05i,-0.0010199+0.00024979i,-1.5305e-05+0.0016536i,0.00071675+0.0015498i,0.0010616+0.00066954i,0.00062514+7.7117e-05i,0.0001695-9.1318e-06i,0.00029586+0.00029948i,0.00036435+0.00060965i,4.9744e-05+0.00054176i,-0.00036784+0.00018291i,-0.00015296+0.00023077i,-6.9904e-05+0.00073186i,-0.0002684+0.00088162i,-0.00073292+0.0012374i,-0.00063002+0.0006874i,-9.3604e-05-0.00051725i,3.2493e-05-0.00050602i,-0.0001203+0.0009127i,-0.00065738+0.0014456i,-0.0010876+0.00096395i
-0.00094749+5.0551e-05i,-0.0011923+0.00069908i,-0.000538+0.0024098i,0.0010158+0.0028089i,0.001888+0.0022167i,0.0022825+0.0014013i,0.0024944+0.00055663i,0.0016392+0.00034747i,0.00044833+0.00055061i,0.00039945+0.00036714i,0.00084056+0.00017905i,0.0010039+0.00022898i,0.00031042+5.8817e-05i,-0.00022589-4.7302e-06i,-0.00033983-3.4594e-05i,6.1333e-05-0.00020258i,-7.9722e-05-0.00011026i,-0.0003419-0.00021466i,-0.0005445-0.00031999i,-0.0010754-0.00019656i,-0.0008084-8.9546e-05i,0.00025837+0.00022774i,0.00033621+0.00039445i
-0.00067501+0.00015545i,-0.0013773+0.00055803i,-0.001624+0.00072787i,-0.0018739+0.00080169i,-0.0015196+0.0010401i,-0.00039506+0.0017061i,0.00020317+0.0014234i,0.00037168-0.00014973i,-0.00020831-0.00095142i,-0.0011832-0.00012011i,-0.0011794+0.0010917i,-0.0010642+0.00148i,-0.00050867+0.00043075i,0.00044647-0.00082821i,0.0004817-0.0010737i,-0.00040415-0.00010129i,-0.0016392+0.00062499i,-0.0013975+0.00015742i,-0.00078209+8.4664e-05i,-0.00070591-2.2508e-06i,-0.00031554+9.761e-05i,0.00029339+0.00042452i,0.001172+0.000711i
-0.0014171+0.00059588i,0.00010327+0.00062428i,0.001556+0.00089968i,0.0011796+0.00030412i,0.00064731+0.0002189i,0.00016503+0.00088191i,-0.00022671+0.0009074i,0.00019259+0.00083187i,0.00044741+0.0010956i,-0.00023836+0.0010541i,-0.0012213+0.00062522i,-0.00139+0.00015566i,-0.00084262-0.00097336i,3.0171e-05-0.0011611i,0.00055079-0.00054226i,0.00063445-0.00038671i,0.0012884-0.00038034i,0.0015819-0.00020385i,0.00037068+0.00037698i,-0.00027098+0.00067884i,0.00055423+0.0005475i,0.00094454+0.00064269i,0.00028522+0.0008542i
-0.00048018+0.00013743i,-0.00092528-0.00027388i,0.0003052-4.3633e-05i,0.0010141-0.0005078i,0.00046621-0.00023449i,0.00046054+0.00046296i,0.00075501-1.5227e-05i,0.00042447-0.00028789i,4.8879e-05+3.8948e-05i,0.0007158-8.1053e-05i,0.0014264-6.3243e-06i,0.00034923+0.00087536i,-0.00070108+0.00099504i,-0.0001917+0.00069774i,1.4285e-05+0.00041009i,6.6153e-05-4.0429e-06i,-3.6692e-06-0.00038442i,-0.00065568-0.00066747i,-0.00040092-0.00033561i,-0.00052324+0.00016204i,-0.0010806+7.5233e-05i,-0.00099511-0.00034593i,-0.00011959-0.00058637i
