-0.0038292+0.0010347i,-0.0023815+0.00040962i,-0.0037996+0.00065983i,-0.0029148+0.00040001i,-0.00092068+0.00078908i,-0.00070641+0.001622i,-0.00098723+0.0019831i,-0.00056384+0.0011494i,0.00047613+0.00032755i,0.001896+0.00047385i,0.002467+0.00061595i,0.0019594-0.00044781i,0.0011932-0.0011115i,0.0002043-0.00054442i,-0.00028355-0.00051547i,-8.6354e-05-0.00015803i,0.00016042+0.0010582i,0.00061829+0.00099352i,0.00094454+0.00068675i,0.00079637+0.00027074i,0.00081097-0.00050686i,0.00020963-0.00064629i,-0.0006646-0.00080698i
-0.00028201+0.0025035i,-0.00080144+0.0028315i,-1.2254e-05+0.0028968i,0.0013018+0.0025299i,0.0020238+0.00063871i,0.0019468-0.00064641i,0.0017202+0.00039564i,0.00097412+0.0017804i,-2.8495e-05+0.00225i,0.00026498+0.0015299i,0.00058554+0.00068734i,-4.553e-05+0.00042642i,-0.00059751-0.00016813i,-0.0004187+5.4593e-05i,-0.00021999+0.00024298i,-2.1978e-05+3.1739e-05i,-6.9589e-05+0.00069809i,7.8295e-05+0.0013106i,0.00046805+0.0011299i,0.00057296+0.0003007i,0.00069169-0.00011348i,-0.00019923+0.00024348i,-0.00063646+0.00075198i
0.00025753-0.00062491i,-3.8758e-05-0.00030507i,4.3133e-05-3.2258e-05i,0.00031328+9.4023e-05i,9.2913e-06-0.00018804i,0.00056316-0.0003292i,0.00075847+0.00011797i,0.00053685+0.0007901i,0.00060286+0.00045159i,0.00059393+0.00022243i,0.00071302+0.00026217i,0.0006606-4.4942e-05i,0.00077241-4.2738e-05i,0.00091154+0.0002304i,0.00059325+0.00049771i,-0.00048057+0.00030659i,-0.001064+7.2245e-05i,-0.00042509+0.00033023i,0.00019051+0.0010076i,0.00051034+0.0012847i,0.00052678+0.001128i,4.5243e-05+0.00053694i,3.8452e-05-5.1532e-05i
-0.0024575-0.0006981i,-0.0021801-0.0009776i,-0.0029107-0.0004222i,-0.003052+0.00035704i,-0.0020308+0.00044325i,-0.00033451+0.00095145i,0.00079346+0.0007568i,0.0010883+9.5266e-05i,0.0012844+0.00014324i,0.0012778+0.00028076i,0.0010901+6.0175e-05i,0.00087618-0.00036376i,0.00061779-0.00078181i,0.0009818-0.00043624i,0.0011358+0.00021819i,0.00068108+0.00014129i,-0.00030982+0.00014325i,-0.00096615+0.0007458i,-0.00010808+0.0015475i,0.00074432+0.00098145i,0.00038953+0.00031126i,-0.00019755+0.00028665i,0.00015629-3.8005e-05i
0.0026781-5.5175e-05i,0.0024059-0.0001953i,0.0017752-0.00067174i,0.00012859-0.00065709i,-0.00091386-0.00086875i,-0.0001169-0.00066734i,0.00071644-0.00016629i,0.0010142+0.00026629i,0.0013015+0.00099647i,0.0014839+0.0016884i,0.0010366+0.0014095i,0.00092478+0.0010431i,0.0010562+0.00082068i,0.00079136+0.00021201i,0.00072483-0.00014643i,-0.00019493+0.00019678i,-0.00084137+0.00036439i,-0.00074387+0.00044602i,-0.00042481+0.00030836i,0.00026984-0.00043376i,0.0001721-0.00087009i,-0.00061904-0.00068783i,-0.00071734+3.5962e-07i
-0.0010676-0.0020388i,-0.00078624-0.001439i,-0.0011691+0.00014104i,-0.00081772+0.00068238i,0.00040573+0.0005256i,0.00061242-0.00021233i,0.00085149-0.00072714i,0.00065822-0.0002223i,-0.00012102+0.00093778i,0.00059294+0.0011047i,0.0011339+0.00044062i,0.00049752+0.00013971i,0.00099412-0.00038786i,0.00067891-0.00065267i,-0.00080816-0.0001089i,-0.00070196+0.00021954i,-0.00025175+9.9079e-05i,-0.0004984+0.00064813i,-0.00055377+0.00098829i,-6.09e-05+0.0010154i,9.5065e-05+0.00087323i,-0.00018107+0.0007997i,-0.00025887-0.00025192i
-0.0017892+0.00036668i,-0.001929+0.00078992i,-0.0014297+0.0023159i,0.00031634+0.0022447i,0.0014858+0.0012585i,0.0012103+0.00020526i,0.00084171+0.00021941i,0.00063755+0.00099137i,0.00035902+0.0011485i,0.00071074+0.0012197i,0.0012417+0.00064765i,0.001249-0.00010373i,0.00024589-0.00077652i,-0.00072536-0.0003143i,-5.8928e-05+0.0011523i,0.00049162+0.0015291i,-0.0002144+0.00095788i,0.00044025+0.0011395i,0.0018156+0.0016844i,0.0017203+0.0015807i,0.00090815+0.0011358i,0.00037607+0.00044027i,-0.00046456+0.00023144i
-0.0018955-0.0013275i,-0.0023873-0.00096578i,-0.0028999-0.0015415i,-0.0018999-0.00041704i,-0.00025515+0.0014i,0.0013067+0.0013481i,0.0018212+0.00067783i,4.7931e-06+0.00069428i,-0.00079891+0.0013503i,-0.00030462+0.0024563i,0.00022839+0.0019689i,3.3933e-05+0.0012541i,0.0001691+0.0007408i,0.00089453+0.00045188i,0.00080996+0.0010729i,0.00024958+0.0010416i,9.9509e-05+0.0010524i,-0.0005948+0.001652i,-0.00062139+0.0011204i,0.00058994+0.00071028i,0.0013993+0.00072822i,0.0010745-1.2072e-05i,0.00033702-0.0005816i
0.000662-0.0028093i,-0.00072965-0.001635i,-0.0027299-0.0016681i,-0.0027023-0.0018607i,-0.0019617-0.0015868i,-0.0018739-8.9231e-05i,-0.00096467+0.00038176i,-0.0010758+0.00021882i,-0.00096841+0.00030075i,0.00048535+0.00075465i,0.0020719+0.0015311i,0.0023147+0.0014717i,0.00079745+0.00033064i,0.00073908-0.00063994i,0.0011756-0.00030612i,0.00045515+0.00021701i,-0.00063643+0.00058111i,-0.0012471+0.00097766i,-0.00062607+0.00027761i,0.00011994-0.00043137i,0.00018808-0.00034542i,-6.3783e-06-0.00068107i,-0.0002624-0.00072731i
0.0013961-0.00064863i,3.985e-05-0.00038595i,-0.00046557-0.00070375i,-0.00090154-0.00065691i,-0.0013088-0.00076518i,-0.0008006-0.00089103i,-0.00049774-0.00035776i,-0.00019517+0.00060816i,0.00021724+0.0010555i,0.0004853+0.0012924i,0.00094376+0.00038723i,0.00049271-0.00076105i,-0.00011661+1.326e-05i,-0.00047006+0.0014007i,-0.00075086+0.00081775i,-0.00062909+0.0001601i,-0.00014915+0.00076211i,-0.00042715+0.0012145i,-0.00037594+0.0011222i,-0.00032874+0.00010146i,4.0965e-07-0.00092966i,-0.00043407-0.0010916i,-0.00064102-0.00061588i
-0.00091344+0.00089028i,-0.00046438+0.001308i,-0.00010433+0.0010809i,0.001105+0.00080411i,0.002369+0.0013349i,0.0021975+0.0013909i,0.00038656+0.00034347i,-0.00072255-0.00014536i,-0.00060926+0.00073215i,-0.00017372+0.0018332i,0.00085728+0.0011628i,0.0015594+0.00067957i,0.00071793+0.00087855i,-0.00050352+0.00026506i,-0.00067683+0.00050984i,-0.00035536+0.00096232i,-0.00034105+0.00051578i,-0.00064786+0.00059183i,-0.0004947+0.00076799i,-1.6204e-05-0.00031646i,0.0007321-0.00074428i,0.00083548-0.00078152i,0.00081071-0.00047421i
-0.0022152+0.00022383i,-0.0028265+8.4482e-05i,-0.0022305+0.0010596i,-0.0012006+0.001605i,-0.00073173+0.001133i,-0.0005296+0.00039858i,0.00027703-0.00034446i,0.00052412-0.00031858i,0.00037834+0.00015823i,0.0010326+0.00037979i,0.0013464+0.00064439i,0.00054608+0.00067901i,-0.00044057+0.00031234i,-0.00088036-0.00025904i,4.6189e-05-0.00014333i,0.0006525+0.00067385i,6.8943e-05+0.00059946i,-2.1902e-05+0.00037705i,0.00079206+0.00099951i,0.0007053+0.0008015i,8.7534e-05-0.00032256i,0.00013605-0.0012209i,0.00038455-0.00095258i
0.00055947+0.001063i,0.00087278+0.00055377i,0.0014127+0.0012252i,0.0019812+0.00090369i,0.0016041-0.00025944i,0.0013079-0.00012934i,0.0010171+0.00094794i,0.00078212+0.0016532i,0.00036304+0.0011709i,0.00066189+0.00054272i,0.0012676+0.00034395i,0.00072977-0.00016696i,0.00050879-0.00094916i,0.00049051-0.0011552i,0.00036523-0.00048342i,0.00011203+0.00045775i,5.5766e-06+0.00054584i,0.00024774+0.0005339i,0.0009415+0.00092246i,0.00062458+0.00051483i,-0.00012922-0.00019428i,0.00032513-0.00065469i,-8.7837e-05-0.00041521i
0.00039479+0.0018996i,0.0015571+0.001557i,0.0025334+0.0012105i,0.0025554-0.00025932i,0.0022266-0.0018277i,0.0018329-0.0012859i,0.0013002-8.9922e-05i,0.0011319+0.00018126i,0.00088275+2.6685e-05i,0.00059049+8.0782e-05i,0.00046435+0.00030039i,0.0001787+0.00035451i,-0.00065317+0.00053099i,-0.00088573+0.00098044i,-0.00089985+0.0008747i,-0.00079696+0.00040188i,-0.00040482+0.00046654i,-0.00034461+0.00067142i,-0.00038345+0.00061835i,9.9448e-05+0.00024212i,0.00014688-7.216e-05i,-0.00015812-0.00044514i,-0.00024176-0.00069293i
0.00019378-0.0035826i,-0.00012127-0.0031136i,-0.0011697-0.0023913i,-0.0023293-0.0019954i,-0.002173-0.0012578i,-0.00053368-0.00040072i,0.00095119+0.00029526i,0.00030896-5.3246e-05i,0.00046731-0.00026397i,0.00044739+0.00039912i,-0.00026877+0.0012146i,0.00046992+0.00096398i,0.00099814+0.00044113i,0.00089498+0.00023786i,0.00044821+0.00046412i,-0.00021625+0.0013912i,-0.00061435+0.00161i,-0.0005328+0.00096357i,0.00017209+0.00014197i,0.00077844-0.00032102i,0.00016204-0.00072539i,3.2614e-05-0.001094i,-2.893e-05-0.0011328i
-0.0015143+0.00032696i,-0.0009857+0.0028168i,-0.00082103+0.0032268i,-0.00028088+0.0018884i,0.00050392+0.0005433i,0.00097569-0.00017568i,0.00078289-0.00012933i,0.00051705+0.00041293i,0.0011871+0.0010805i,0.0010603+0.0017385i,0.00047604+0.0017836i,0.0003254+0.00091859i,-0.00026532+0.00019169i,-0.00055279+0.00076814i,0.00020296+0.00057959i,-0.00010589+8.2946e-05i,-0.0013749+0.00041489i,-0.00092322+0.00074285i,0.00032845+0.00090133i,0.001279+0.00094192i,0.00053143+0.00038542i,-0.00078799-0.00019395i,-0.00062232-5.9685e-05i
-0.0014814+0.001789i,-0.00068563+0.0013633i,-0.0003451+0.00098758i,0.00087347+0.0013117i,0.0018614+0.00074458i,0.002318-3.5721e-05i,0.0017642-9.6811e-05i,0.00078555+0.00032197i,0.00040715+0.00096164i,0.00075041+0.0015225i,0.0013774+0.0015648i,0.0012021+0.00077601i,0.00056352+4.2661e-05i,0.00014742-8.911e-05i,-0.00023853-0.00015679i,-0.00021538+0.00020449i,-0.00034792+0.0011938i,-0.00076003+0.001729i,3.3897e-05+0.0010178i,0.00088367+0.00028693i,0.0007066-0.00034557i,-0.00016645-0.00042077i,-0.0011015+4.7722e-05i
