-0.0055211+0.00056341i,-0.0036583+0.00014859i,-0.0044295+0.0011641i,-0.0033059+0.002775i,-0.0014773+0.003826i,-0.00033609+0.0038564i,0.00013433+0.0032064i,0.00075337+0.0024793i,0.0010217+0.0020454i,0.0013604+0.0012056i,0.0015696+0.00033696i,0.001213-0.00069642i,0.00086423-0.0022413i,-0.00015162-0.0024319i,-0.0006862-0.0010605i,0.00012414-0.00030168i,0.00030113+0.00029644i,0.000332+0.00082367i,0.00031425+1.5186e-05i,-0.00047598-0.00022356i,-0.00052702+0.00088287i,-0.00017779+0.00075685i,-0.00016203+0.00034476i
0.0027193-0.0024867i,0.0012747-0.0027227i,0.0005773-0.0030793i,0.00033164-0.0014292i,4.1253e-05-0.0001295i,-0.00011436+0.00022648i,-0.00015442+0.00017555i,-0.00054407+0.0003719i,-0.0008243+0.00081475i,-0.00054595+0.0010726i,-0.00017521+0.00062058i,0.00014279+0.00070751i,0.00034955+0.0012734i,-0.00019123+0.0013009i,-0.00041809+0.00047651i,-0.00036659+6.6718e-05i,-0.00056026-0.00034187i,1.9762e-05-0.00026969i,0.00047291+0.0002916i,0.00014386+0.00035097i,-0.00016381+1.4544e-05i,-0.00041896-1.7992e-05i,-0.00072536-0.00041055i
-4.2942e-05-1.6249e-06i,-0.001017-0.00045965i,-0.0014251-0.00090575i,-0.0017986-0.00092975i,-0.0013654-0.00065226i,-0.00058457+0.00048265i,0.00043864+0.00055911i,0.00066983+0.00062559i,0.00022866+0.0010845i,-7.4731e-05+0.0015079i,-0.00041635+0.0013341i,-0.00053314-3.6293e-06i,-0.0001721-8.3638e-06i,0.00052357+0.0012605i,0.00097355+0.0011497i,0.00075134+0.00062744i,0.00059973+0.00067463i,4.4793e-06+0.001149i,-0.00074703+0.0011945i,8.6815e-05+0.00067332i,0.00074699+0.00012332i,0.00069186-0.00052952i,0.00014837-0.00022277i
0.00045696-0.0024661i,-0.00052996-0.0019195i,-0.0015877-0.0013129i,-0.0013658-0.00024891i,-0.00056751+0.00080694i,-0.00027101+0.00080648i,-0.00039164+0.00048946i,-0.00094485+0.00034713i,-0.0008269+0.00036032i,-0.00062823+0.00086029i,-3.5152e-05+0.0012496i,0.0010625+0.00078309i,0.0014436+0.00083613i,0.0011064+0.00092048i,0.0010446+0.00016442i,0.00042725+0.00034398i,-4.7645e-05+0.00082614i,-0.0004771+0.00053393i,-0.0005209+0.00092417i,-0.00038011+0.0010923i,9.163e-05+9.9127e-05i,0.0012374-0.00050579i,0.00079013-0.000378i
0.0016989-0.00041049i,0.0015179-0.00091634i,0.00077657-0.0018056i,-8.3375e-05-0.0014479i,-0.00015817-0.00083598i,-0.00046224+0.00014769i,-0.00064494+0.0010056i,-0.00059158+0.001096i,0.00024576+0.00071117i,0.0005292+0.00029167i,-0.0002153+0.0005445i,-5.8595e-05+0.00052361i,0.0006957+0.00047813i,0.00059862+0.00098955i,-7.9961e-05+0.00091258i,0.00014808-0.0001992i,-5.9539e-05-0.00049563i,-6.7096e-05-0.0001349i,0.00014248+0.00016998i,-0.00036582+0.00020279i,-0.00038233-0.00060275i,-7.2879e-05-0.00069276i,0.00018704-0.00042596i
0.00056332-0.00083026i,7.2125e-05-0.0012644i,0.000816-0.0019913i,-0.00031505-0.001218i,-0.0011657+0.00050063i,-0.00086464+0.0011133i,-0.00052509+0.00075915i,-0.00046887+0.0005852i,-0.00084744+0.00047569i,-0.00092011+0.0007618i,-0.00067079+0.0012001i,-0.00085524+0.00072579i,-0.0011768-9.8862e-05i,-0.00081663-4.5218e-05i,-0.00042382-8.9208e-05i,-0.00022214-9.7497e-05i,-9.4497e-05+1.6639e-05i,-0.00079399-0.0001122i,-0.001023+5.34e-05i,-0.00042786+0.00033962i,0.00044629-8.4847e-05i,0.00078016+3.5399e-05i,-0.00021568+0.00019527i
0.00076847-7.495e-05i,0.0006809-9.674e-05i,0.00046653-0.00064536i,-0.00015776-0.00048778i,-0.00018216-0.00037108i,3.6126e-05-0.00013842i,-0.00017582+0.00020927i,-0.00036338+0.00046921i,-0.0004584+0.00043851i,-0.00027878+0.00032902i,7.0498e-05+0.00063488i,0.00071752+0.00061455i,0.0014715+0.00031491i,0.00091087-0.00014368i,-0.00037952+0.00020068i,-0.00077084+0.00095925i,-0.0002954+0.00083077i,-0.00029495+0.00077206i,0.00023222+0.00071992i,0.00090643+0.00056672i,0.00029151+0.00031025i,1.7669e-05-0.0002773i,0.00078161-0.00074897i
0.0019803+0.0007001i,0.0024277+0.00063567i,0.0021122-0.00092379i,0.0015841-0.0017431i,0.0010624-0.00082466i,0.00072367-0.00012548i,0.00087771-6.4254e-05i,0.0010606-0.0002741i,0.000944-0.00023113i,0.00033087+0.0004669i,2.4266e-05+0.0012323i,0.00014203+0.00096921i,0.00025474+0.00031287i,0.00045579-0.00021569i,0.00070596-0.00014765i,0.0010787+0.00075759i,0.00096975+0.0012685i,0.00079509+0.00085841i,0.00024667+0.00040206i,-0.000153+0.00026516i,0.00023937+5.0687e-05i,0.000287-0.00034806i,0.00029386-0.00033081i
-0.0008037-0.00098063i,-0.0021593-0.0017344i,-0.0027608-0.00098583i,-0.0012018+0.00014652i,-0.00018101+0.00094267i,-0.00010402+0.0010981i,0.00051681+0.00091776i,-1.5278e-05+0.00054245i,-0.0010181+0.00033069i,-0.00073048+0.0002685i,-0.0001925+1.657e-06i,6.2993e-05-0.00065215i,0.00048057-0.00069079i,0.00046212-0.00063225i,0.00026372-0.00047681i,-0.00031932-0.00037657i,-0.0010882-0.00032646i,-0.0015214-4.217e-05i,-0.0012991-0.00032068i,-0.00060365+0.0001666i,-0.00019511+0.0009375i,0.00016745+0.00035731i,-0.00013534-0.00031211i
-0.00087554-0.00032726i,-0.00089231-0.00024043i,-0.0014182-0.00016856i,-0.0019532+0.00079251i,-0.0013401+0.00153i,-0.00014555+0.0012384i,0.00011783+0.00030482i,-0.00066927+0.00013087i,-0.0008355+0.0011468i,-0.00055602+0.0018899i,0.00040324+0.0014039i,0.00055023+0.0005962i,-0.00056025+4.5923e-05i,-0.00087985+0.00061094i,0.000163+0.00071787i,0.0007223-0.00017448i,0.00019819-0.00077007i,0.0002258+2.7616e-05i,0.0006134+0.00077699i,0.0010772+0.00019038i,0.00074795-0.00057924i,0.00012051-0.00049594i,0.00060042+0.00072154i
-0.0010163+0.0012507i,-0.0012706+0.00024606i,-0.0015606+0.0011533i,-0.00043558+0.0018985i,0.0013491+0.0013935i,0.0018534+0.0014051i,0.00131+0.0012776i,0.00083618+0.00035525i,0.0011128+0.00040388i,0.00070772-0.00032525i,-4.9551e-05-0.00076703i,-0.00051884-0.00019888i,-0.0010454-0.00028497i,-0.00097022-0.00021952i,-0.00060558+1.8947e-05i,-0.00086714-0.00063725i,-0.00070613-0.00054528i,4.5996e-05+0.00084857i,0.00064464+0.0016662i,0.00023305+0.0010302i,-0.0006123+0.00022291i,-0.0014564+2.7938e-06i,-0.001475-0.00021558i
