-0.0050785+0.0004318i,-0.0032191-0.00057971i,-0.0032205+0.00079612i,-0.0029025+0.0029005i,-0.0022035+0.0032346i,-0.0015569+0.0016938i,-0.0012484+0.0018837i,-0.00043383+0.0023482i,0.00062877+0.00090658i,0.001267-0.00094337i,0.0014918-0.0013659i,0.00079404-0.001029i,-1.5944e-05-0.0011713i,-2.9493e-05-0.0019253i,0.00024466-0.0018716i,-5.6168e-05-0.001122i,0.00011718-0.00021247i,0.00042593-0.0001935i,0.00037278-0.00051554i,0.00013561-2.2367e-05i,-0.00020551+0.00049659i,-0.00065907+0.00058211i,-0.00096469+0.00041013i
-0.00067127-0.00014977i,-0.00052816-0.00014973i,-4.5432e-05-0.00018112i,-0.00026667-0.00042205i,-0.00029923+0.00052742i,-0.00082701+0.00049928i,-0.00051787+6.3089e-06i,0.00053051+0.00040576i,0.00067968-0.00027832i,0.00075776-0.0011283i,0.00085026-0.00118i,0.00038754-0.0013868i,8.0457e-05-0.0010073i,0.00012394-0.0010041i,0.00011425-0.00041553i,-0.0002587+0.00026905i,0.00012886+3.9348e-06i,0.00037147-0.000424i,0.00014074-0.00022515i,9.9503e-06+0.00065522i,0.00010024+0.0006326i,0.00067227-4.369e-05i,0.00091919-0.00051817i
-0.0011815+0.00066962i,-0.001399+0.00073408i,-0.0015503+2.845e-05i,-0.00069506-0.00032289i,-0.00075686-0.00041531i,-0.00097825-0.00050312i,-0.00033646-0.00033821i,6.1199e-06-0.00062129i,-1.5919e-05-0.00027858i,0.00048726-0.00027389i,0.00051907-0.00079616i,-0.00021686-0.00096994i,9.1304e-05-0.00076879i,0.00044834-0.00089637i,-2.5372e-05-0.0009142i,-0.00049864-0.00041544i,0.00010488-0.00012849i,0.00082321+0.00014883i,0.00081773+8.824e-05i,-5.3175e-05-0.00061186i,-0.0005166-0.00095182i,-0.00025931-0.00047757i,-0.000527+0.00047451i
-0.00018031-0.00073494i,-0.00041933-0.0014504i,-0.0012809-0.0022187i,-0.0012523-0.0016585i,-0.0015349-0.00062262i,-0.0013609-0.00036035i,-0.00062732-1.7401e-05i,-0.00082964+4.9543e-05i,-0.00041641-0.00079328i,0.00023567-0.0012185i,-4.8622e-05-0.00066169i,-0.00097129-0.00037552i,-0.0011166+0.00019349i,-0.00025806+0.00047529i,0.00023389-9.9416e-06i,-0.00035651-0.00033656i,-0.0002475+7.2165e-05i,0.00018738+0.00051634i,-0.00014175-0.00022609i,-5.991e-06-0.00090171i,-0.00010007-0.00030545i,0.00021017+1.1653e-05i,0.0010848-0.00022843i
0.00025053+0.00056613i,0.00018272-8.1793e-05i,0.00037951+0.00022382i,0.00031876+0.00035096i,8.172e-05+0.0003825i,-9.9022e-05+0.00061271i,-0.00027288+9.8655e-06i,-0.00054206-0.00029568i,-0.00037504-0.00039757i,0.00033181-0.00074386i,0.0005487-0.00046487i,0.0011128-0.000566i,0.0014669-0.00035742i,0.00053761+0.00017717i,-6.8375e-05-0.00053642i,0.00078607-0.0017272i,0.00098235-0.00090916i,0.00054193+0.00015575i,0.00023634-0.00033926i,-0.00034642-0.00047075i,-0.00076995-9.6586e-05i,-0.00045749+6.3941e-05i,-0.0004348-0.00039314i
0.0014928+0.00077664i,0.0014419+0.0011136i,0.0012041+0.00020281i,0.0011005-0.0020734i,0.00027991-0.0028804i,-0.00043159-0.0015142i,-0.00028108-0.00021539i,-0.00010186+0.00013398i,-0.00056814-0.00033039i,-8.8194e-05-0.0012892i,0.00051688-0.001611i,-0.00027867-0.0011819i,-0.00010685-0.00062655i,0.00086213-0.00046931i,-0.00020729-0.00091028i,0.00011014-0.0006711i,0.00076512+0.00033194i,0.00078685+0.00083231i,0.0010499+0.0007045i,0.00052046+0.00072552i,1.8098e-05+0.0005512i,0.00055664-1.1914e-05i,0.0009096-0.00047473i
0.0012878-0.0011702i,0.0013045-0.0011073i,0.00014222-0.0015251i,-0.0015931-0.00070567i,-0.0024268+7.2596e-05i,-0.0012305+0.00055611i,-0.00029715+0.00060168i,-0.00015311-5.4763e-05i,0.00031534-0.00096996i,0.00017579-0.0010086i,0.00020412+0.00021209i,0.00035836+0.00034105i,0.00084546-0.00061537i,0.0012892-0.00021858i,0.0003666+0.00040766i,0.00029123+0.00038724i,0.00087961-0.00017121i,0.00042586-0.0011047i,6.1584e-05-0.0013702i,0.00037548-0.00027915i,-0.00019376+0.00038139i,-0.00076108-0.00030265i,-0.00083466-0.00019112i
-0.0028834-0.0013398i,-0.0025671-0.00085282i,-0.0019879-0.00030008i,-0.0015257+0.00047306i,-0.00042898+0.0010325i,0.00081761+0.00031329i,0.00076119-0.00030488i,0.00030356+0.00041004i,0.00039222+0.00074144i,0.00066069+0.00018725i,0.00035089-0.00028519i,3.1764e-05-0.00062248i,-0.0006422-0.00081967i,-0.0014084-0.00098782i,-0.0011258-0.00084459i,0.00048275-0.00029968i,0.00094298+0.00042747i,0.00072875+0.00033864i,0.0009026-0.00036247i,-0.00023364+0.00029128i,-0.00056503+0.0010677i,0.00039212+0.0014939i,3.2094e-05+0.0013343i
-0.00049361-0.0014758i,-0.0008068-0.0018524i,-0.00097971-0.0017764i,-0.00067453-0.00092436i,-0.0010941-0.00030866i,-0.0013194+5.5787e-05i,-0.00086037+0.0008606i,-0.0010522+0.00075905i,-0.0015032-0.0004547i,-0.0015405-0.00092805i,-0.00095902-0.00025834i,-3.3497e-05+0.00027178i,0.0001869-0.00061522i,0.0001112-0.0012806i,0.00091104-0.00094876i,0.00087109-0.00080889i,0.00076853-0.00069496i,0.0008605-0.0008048i,0.00054099-0.00071251i,0.00029706-0.00025248i,-4.5878e-05-5.3778e-05i,-0.00033687+0.00029968i,-0.0010488+0.00051316i
0.00065475-0.0018651i,0.00072927-0.0022692i,6.8537e-05-0.0019894i,-0.0016496-0.0014658i,-0.0020524-0.0015985i,-0.0015437-0.00086248i,-0.0011573+0.00046266i,-0.00020012-6.4407e-05i,0.00038797-0.00061854i,0.00022191-0.0007084i,8.9551e-05-0.00083834i,-0.00021294-0.00052105i,0.00038122-0.00024665i,0.0011419-0.00038323i,0.0014989-0.00074369i,0.0012449-0.00067802i,0.00075119-0.00048329i,0.0012506-0.00072677i,0.0012798-0.00053294i,0.00092733-0.00078805i,0.0009853-0.00057085i,0.00060273-0.00022724i,-0.00035448-0.00020445i
-0.0013301+0.00013606i,-0.00061909+0.00033822i,-7.4864e-05+0.00074639i,-2.1847e-05+0.00080215i,-0.00011029+0.00053452i,0.00031476+0.00054091i,-0.00029395+0.00070134i,-0.00021044+0.00046973i,0.00050582+0.00044082i,0.0012034+7.5749e-05i,0.00090685-0.00064846i,-0.0002546-0.00097698i,-0.00055332-0.00010939i,-1.3237e-05+0.00060719i,-0.00025081+0.00060548i,-0.00039728+0.00032607i,0.00043611+0.00019009i,0.0012785+0.00027957i,0.00095269+0.00071036i,0.00056261+0.00093753i,0.00037968+0.00012471i,-5.5604e-05-0.00037353i,-2.2962e-06-0.00030704i
