-0.0029702+0.00014561i,-0.00069514-0.0008023i,-0.0011331-0.00031779i,-0.00086412+0.00012595i,-9.6356e-05+0.00084686i,0.00016316+0.0017304i,0.00035377+0.0023978i,0.0001745+0.0026109i,-8.5089e-05+0.0015149i,6.6289e-05+0.00024482i,0.00060155+0.00012319i,0.0014508+0.00016501i,0.00090751-0.00055448i,6.7642e-05-0.00094921i,-0.00043166-5.5757e-05i,-0.0011471+0.00016791i,-0.00082701-0.00033313i,-0.00089856-0.00053948i,-0.00051917-0.00029971i,0.00019975+0.0001914i,-1.0651e-05+0.00078109i,-0.00012683+0.00053924i,-0.00014601-0.00024727i
0.00056642+0.0018899i,2.1872e-05+0.00053228i,-0.00051854+0.00044739i,-0.00054917+0.0013534i,0.00012088+0.00079997i,0.00062108-0.00027549i,0.00055937-0.0014666i,0.00020071-0.0012612i,-6.0308e-05-0.00021293i,-0.00036886+0.00010377i,-0.00036105+0.00059327i,1.9813e-05-1.2089e-05i,3.4905e-05-0.00094187i,-0.00017025-0.00087362i,-0.00063228-0.0003611i,-0.00095381+0.00038393i,-0.00023558+0.00071412i,0.0006069-4.1013e-05i,0.00054712-0.00032143i,0.00021467-0.00025664i,0.0002814-0.00012602i,0.0004605+0.00012682i,-0.00024194+0.00029852i
-0.00012697+0.00073889i,0.00097627+0.00012002i,0.0016139-0.00031055i,0.0020874+0.0008091i,0.0015614+0.001885i,0.00017421+0.0018082i,-0.00013888+0.00059167i,-0.00045518-0.00025374i,-0.0014766+0.0004857i,-0.0010338+0.00045303i,-0.00048316+0.00043802i,-0.00086028+8.1351e-05i,-0.00076662-0.001187i,-0.00042539-0.0013581i,-0.00025712-0.00092972i,-0.00047274-0.0005885i,-0.0002459+0.00030233i,0.0001598+0.0010872i,-8.8727e-05+0.00063101i,-0.00022297-6.1751e-05i,3.4723e-05+3.312e-05i,0.0002878+0.0005289i,0.00032137+0.00016641i
0.00062732+0.0014727i,-0.00024668+0.00029829i,-2.5062e-05-0.00026117i,-0.00021529+0.0008514i,0.00038608+0.0013237i,0.0011763+0.00037321i,0.0012723-0.00069306i,0.00097902-0.00097936i,7.6405e-05-0.00019527i,-0.00034704+5.098e-05i,0.00051571-0.00015087i,0.00031964-0.00024973i,-0.0012507-0.00021971i,-0.0022741-9.4795e-05i,-0.0020151-0.00032526i,-0.0011067-0.00043031i,-0.0012788-0.0002544i,-0.0014248-7.6844e-05i,-0.00031516+0.0007241i,0.00031588+0.00086335i,-0.00045924+0.00057297i,-0.00131+2.2306e-05i,-0.0019404-0.00021173i
-0.00086667+0.00015708i,-0.00024121-0.00012288i,0.00073205+0.0004607i,0.0010265+0.0011954i,0.00087794+0.0014226i,0.00025097+0.00075063i,0.00076402+5.075e-05i,0.001353+9.3679e-05i,0.00078312+0.00061085i,0.00034366+0.00079569i,4.0967e-06+0.00046379i,3.0354e-05-0.00041783i,6.4641e-05-0.00090038i,-0.0009425-0.00077191i,-0.00097866-0.00092623i,-1.3894e-05-0.000911i,0.00070261-0.00062094i,0.0005541-0.00032801i,0.00037126+0.00064842i,0.00037044+0.00093524i,0.00090392+0.00069267i,0.0015026+0.00026605i,0.0011514-4.2663e-05i
-0.00046644-0.00097966i,-0.00092196-0.0018368i,-0.0012445-0.00089014i,-0.0010427-0.00013561i,0.00047678+0.00050866i,0.0013391+0.00097142i,0.00068559+0.00028605i,0.00025363-0.00024602i,1.427e-05+1.4786e-05i,-0.00066156+0.0010925i,-0.00057502+0.0011577i,0.00010425+0.00013207i,0.00014671-0.0011771i,-0.00057596-0.0014358i,-0.00070514-0.00056948i,-0.00047308-9.0375e-05i,-0.00076816-0.00043262i,-0.00050654-0.00012418i,0.00018573+0.00093915i,0.00031011+0.00085645i,0.00014627+7.5769e-06i,-0.00016207-0.0006236i,-0.00033288-0.00047629i
0.0035504+0.0018131i,0.0024734+0.0012111i,0.0023411+0.00092609i,0.0019475+0.00011072i,0.00069279-0.00069769i,-9.4562e-06-0.00025217i,0.00066709+7.6169e-05i,0.0005314+0.00040581i,-0.00051304+0.00030852i,-0.0010758-0.00034312i,-0.0014583-0.00025549i,-0.0010236+5.1324e-05i,8.9808e-06+0.00021111i,-4.0921e-05+3.7464e-05i,-0.00074714-0.00027524i,-0.00098567-0.00027369i,-0.00057656-0.00011237i,6.838e-05+0.00088973i,0.00025343+0.0015526i,0.00026628+0.00082634i,0.00055087-0.00059376i,0.00072111-0.00098874i,0.00098245-5.0865e-05i
0.0010467+0.0020637i,0.00090843+0.0013097i,0.0013125+0.00039347i,0.0013018-0.00079598i,0.0012654-0.00077102i,0.0014059-0.00047759i,0.00093153-0.00053619i,0.00031944-0.0011038i,-0.00034664-0.0011053i,-0.00031396-8.6185e-05i,-0.00053989+0.00037664i,-0.0004012+0.00019099i,-0.0001362+0.00020567i,-0.00082792+0.00053701i,-0.00052541+0.00012779i,0.00030939-7.8399e-05i,0.00024945+0.00060708i,0.00080675+0.0011504i,0.00090447+0.0014253i,0.00035793+0.0010433i,0.00034703+0.00010369i,-2.6661e-05+7.0519e-05i,-0.00056418+0.00050429i
0.0014673+0.00062373i,0.0010704+0.0016869i,0.00051614+0.0022562i,0.00021468+0.000833i,9.5924e-05-0.00039644i,0.00078507+0.00017767i,0.0011197+0.00029968i,0.00061983+0.00021893i,-0.00018536+0.00070007i,3.8226e-05+0.00041396i,0.0002449+1.704e-05i,-0.00034661-0.00071226i,-0.00042664-0.00047284i,-0.0004565+0.00040119i,-0.0005695+0.00067916i,-0.00097581+0.00010109i,-0.00062417+0.00020436i,7.4468e-05+0.0010487i,-0.00039911+0.0012471i,-0.00018828+0.0010284i,0.00034972+0.00049482i,0.0002663+0.00010493i,6.5743e-05+0.00019054i
0.00029606+0.0016459i,0.00035446+0.00062678i,0.00037789+0.00045287i,0.00099405+0.00051178i,0.0014578+0.00053277i,0.0011087+0.00066518i,-1.9112e-05+0.0007288i,-0.00095374+0.00029959i,-0.0014944+0.00010011i,-0.00090409+0.00025561i,0.00029506-0.00047803i,-0.00015713-0.0013899i,-0.0012922-0.0019205i,-0.0011632-0.0013345i,-0.00049087+0.00053195i,-0.00021747+0.00076117i,-0.00053632-6.5417e-05i,-0.00095613+0.00013121i,-0.00045857+0.00024946i,0.00049588-0.0001576i,0.0009109-0.00057418i,-0.0001764-0.00079019i,-0.0013166-0.00050594i
0.0021738-0.002567i,0.0013798-0.0023589i,0.00034012-0.0020658i,-0.00046892-0.0021942i,-0.001087-0.0012925i,-0.00053795-1.2981e-05i,0.00024463-1.2879e-05i,0.00014158-0.0010253i,-0.00041372-0.00084133i,-0.00048265-4.1122e-06i,8.2482e-05-0.00032581i,0.00023697-0.00063309i,0.00035937-0.00085857i,0.00029929-0.00084226i,0.00021605-0.00022427i,-4.7587e-05+0.00034515i,-0.00013968-0.00015852i,0.00014861-0.00066978i,7.7331e-05-2.4871e-05i,-1.8778e-05-6.4137e-05i,0.00046929+0.00040692i,0.0004305+0.00013942i,0.00083002-0.00065353i
