-0.0044094+8.6681e-05i,-0.0032848-0.00015042i,-0.0044642+0.0013853i,-0.0039327+0.0023313i,-0.00085957+0.0019598i,0.00070943+0.0017683i,0.00041021+0.0019325i,0.00093445+0.0016436i,0.0017148+0.0013718i,0.001572+0.0012082i,0.0015092+0.00099627i,0.0011851+0.0010525i,0.00058486+0.001095i,0.00036626+0.0005586i,0.00038203+0.00035451i,0.00012121+0.0013041i,-0.00077447+0.0012618i,-0.00093896+0.00018824i,-0.00037234-6.2352e-05i,0.00016928+0.00044463i,0.00022788+0.00011474i,-7.6021e-05-0.0001776i,-0.00052857+0.00027829i
-0.0022293-0.00076011i,-0.001245-0.00028701i,-0.0018644+0.00024037i,-0.001468+0.0011213i,-0.00073353+0.0011771i,-0.00067219+0.0011168i,-0.0003941+0.00060989i,0.00040859+0.00018422i,0.00079802+0.00039115i,0.00047617-0.00049887i,-0.00014578-0.00046464i,-0.00038731+0.0004293i,9.9316e-05+0.00034492i,0.00015494-0.00023942i,0.00023667-0.00023854i,0.00030297-0.00031857i,0.00025068-0.0003763i,0.00032981+0.00037541i,0.00031483+0.00078582i,0.00022166+0.0003672i,0.0006021-6.8365e-05i,0.0005107-0.00029663i,0.00040982+1.2219e-05i
-0.000814-0.0021425i,-0.001126-0.00079822i,-0.0017364-0.00056451i,-0.0017022-0.0013091i,-0.0010323-0.00086585i,3.2976e-05+0.00057409i,0.00057141+0.0015475i,0.00014208+0.00098105i,0.00023264+0.00036928i,8.3508e-05-0.00012776i,1.6411e-05-0.00059871i,0.00065352-0.00052771i,0.00067263+0.00037213i,0.00016857+0.0012242i,-0.00028192+0.0014785i,-0.00019725+0.0012437i,-0.00014176+0.00073552i,-0.00042954+0.00043555i,-0.00011111+0.00010668i,0.00034379+6.1626e-05i,0.00011515+0.00084816i,-0.00067404+0.00090365i,-0.00082693-0.0006114i
-0.00017177-0.0013548i,-4.4593e-05-0.0010218i,0.00015687-0.00060858i,-0.0008343-0.0006882i,-0.0015104-0.0011538i,-0.00065943-0.00038732i,-0.00037566+0.00072693i,5.5308e-05+0.00096442i,-3.3353e-05+4.8225e-06i,-0.00025708-0.00020797i,-0.00022871+0.00012825i,0.00012103-0.00053739i,0.00034589-0.00044164i,-4.034e-05+0.00024851i,-0.00023782+0.00025601i,7.6041e-05-4.9343e-05i,1.8829e-05-0.00030653i,0.00021936-0.00054037i,0.00032075-0.00047756i,-0.00017902-0.00025085i,-0.00034918-0.00073972i,-7.4601e-05-0.00066592i,-0.00040464+7.961e-05i
-0.00028058+0.0019144i,-0.00098622+0.0016091i,-0.0014177+0.0011176i,-0.00085088+0.0012833i,-0.00057543+0.001411i,5.6963e-05+0.0012309i,0.00030027+0.00057293i,0.00086403-0.00024908i,0.0014373+0.0001435i,0.0012986+0.0011381i,0.00073702+0.00097288i,0.00051893-0.00027664i,0.00069681-0.00039637i,0.00040214-0.00051428i,9.7474e-05-0.0004472i,-0.00032557-0.00013938i,-0.00095277-0.00017718i,-0.00056662-0.00011288i,-7.5838e-05+3.8582e-05i,-0.00060185-5.4996e-06i,-0.00032578-0.00048894i,0.00024858-0.00052448i,0.00022636+6.8805e-05i
-0.00011545+0.00041502i,0.00030449-0.0004204i,0.00040792-0.00095i,3.4046e-05-0.00034219i,-0.00032427+0.00043312i,0.00053078+0.00043275i,0.0011862+0.00030648i,0.0014482+0.00097475i,0.0013687+0.00081817i,0.00074147-8.1263e-05i,0.00036818-0.00047673i,0.0010066-0.00058224i,0.0012461-0.00047182i,0.0009588-0.00025219i,0.00019634+8.6664e-07i,-0.00020989-9.3272e-05i,0.00018213-0.00033151i,0.00069355+0.00032232i,0.00027528+0.00048766i,-0.00039269+0.00018568i,-0.00028423+0.00024807i,0.00032981+4.0918e-06i,0.0004919-0.00039i
-0.00010204+0.001277i,0.00022557+0.0015784i,0.00098419+0.0023329i,0.0014701+0.0018724i,0.0011382+0.00091348i,2.1797e-05+0.00014735i,-0.0010163+0.00033056i,-0.00075819+0.0011834i,-7.6478e-05+0.0012902i,-2.7353e-05+0.00062587i,1.406e-05-0.0001474i,0.00086692-0.00014884i,0.001153+0.00042687i,0.00038546+0.00020814i,0.00016891-0.00022953i,0.00058434+0.00015484i,0.00054575+0.00021324i,0.00026564+0.00017631i,0.00021851+0.00052415i,-0.0004086+0.00024431i,-0.00060566-0.00013559i,0.00012081-8.0226e-05i,0.00025122+0.00023745i
0.001528+7.6385e-05i,0.00059796-1.6191e-06i,3.8023e-05-0.0006152i,-0.00021437-0.00088009i,-0.00096589-0.00010983i,-0.00079781+0.00060283i,0.00036765+0.00078067i,0.00088541+0.00080816i,0.0003118+0.00063532i,-3.2923e-05+0.0002316i,-1.7745e-05+0.00032271i,0.00013599+0.00061249i,-1.7199e-05+0.00024038i,-0.00012668-0.00014891i,0.00019904+0.00039727i,-5.3073e-06+0.00095174i,0.00032065+0.00097576i,0.00031435+0.00065507i,-0.00056666+0.00037456i,-0.00057675+0.00022553i,0.00027133+1.3542e-05i,0.00032685+0.00027131i,4.0777e-05+0.00044532i
-0.0017238-0.00039573i,-0.0014189+0.00062651i,-0.0015238+0.00057755i,-0.0015614+0.00060803i,-0.00024565+0.0011911i,0.00094056+0.00092912i,0.001011+0.00032768i,0.00093803+0.00039715i,0.00043504+0.00067231i,8.1651e-06+0.00051003i,-0.00029762+0.00053611i,0.00017068+0.00070355i,0.00017785-0.00022719i,0.0004451-0.0013156i,0.00075428-0.00072032i,0.00042125-0.00035194i,0.00023296-0.0011147i,-6.8763e-05-0.00053901i,0.00050937+0.00085825i,0.00136+0.001074i,0.001159+0.0010169i,0.00086158+0.00072194i,0.00064547+0.00028988i
-0.00086932-0.0027804i,-0.00012011-0.0016326i,5.0401e-05-0.0011259i,-0.00025661-0.00030977i,-0.00076805+0.0013767i,-0.00033018+0.0016019i,0.0010042+0.0012479i,0.0013306+0.0016709i,0.00059358+0.0015957i,-0.00018201+0.0017325i,0.00048248+0.0022829i,0.00057081+0.0024402i,-0.00012359+0.0017868i,-0.00021934+0.0011598i,-0.00060673+0.00027544i,-0.00067435-0.00070291i,-1.6405e-05-8.8609e-05i,0.00013704+1.4539e-05i,-9.7266e-05+7.7103e-05i,-0.00032065+0.0004283i,-0.00060873+0.0001384i,-0.00021906-0.0002523i,-0.00043634-0.00037947i
0.00057252-0.0016813i,-0.00035199-0.0019937i,-0.00038096-0.002897i,-0.00061902-0.0027324i,-0.0010169-0.0011853i,0.00025937+0.00034773i,0.0009718+0.0005432i,0.00010707+0.00013871i,-0.00035477+0.00028307i,0.001+0.00026215i,0.0015844-0.00013734i,0.00047053-0.00015656i,-0.00011549-0.00049112i,-0.0005518-0.00096115i,-0.00036921-0.0012076i,0.00019937-0.00097236i,0.0006216-0.00049878i,0.00020024-2.7374e-05i,-0.00063779-0.00017461i,-0.00026536-0.00049222i,0.00062632-0.00018495i,0.00056519-4.3559e-06i,-1.948e-05-0.00034944i
