-0.0012979+0.00028183i,-0.0018044+0.00027237i,-0.0023094-0.00018836i,-0.0024003-0.00078565i,-0.0026981-0.00088377i,-0.0025397-0.000243i,-0.0013684+9.5385e-05i,7.4292e-05-9.9306e-05i,0.00026076+0.00043086i,-0.00057885+0.00020269i,-0.0012745-0.00040368i,-0.00091081-0.00036068i,5.8509e-05+0.00051924i,0.00068176+0.0013161i,0.00051962+0.00068333i,-0.00036806+0.0001999i,-0.0003152+0.00017015i,0.00021876-0.00026074i,0.0005509-0.00010908i,0.00085318-0.00011534i,0.00098289+0.00011996i,0.00050476+0.00040267i,0.00029038+0.00049211i
0.00061148-0.00024523i,0.00071588-0.00099951i,0.00072603-0.0009255i,0.0011318-0.00094463i,0.00063389-0.00085689i,-9.534e-05-0.00069068i,-0.00054647+9.3607e-05i,-0.00024762+0.0007786i,-0.00038994+0.0017576i,-0.00057487+0.0015231i,-0.00020734+0.0010043i,0.00010001+0.00098012i,-9.2199e-05+0.00069389i,-0.00060754+0.00061725i,-0.00048045+0.00019167i,-0.00018145+0.00080389i,0.00045206+0.00080925i,0.001148+2.7556e-05i,0.00034794+0.00013047i,0.00027999+0.00016658i,0.00056557+0.00059117i,-9.9982e-05+0.00051776i,-4.2623e-05+0.00063149i
6.7463e-05-0.00025383i,-0.0001309-0.00017779i,-0.00039105-0.00042273i,-1.4676e-05-0.0001909i,0.00053041-7.7115e-05i,1.2211e-05-0.00073557i,-0.00056214-0.00092902i,-0.00042633-0.00032892i,-0.00026288+0.00026276i,0.00025205+0.00010127i,0.00069476-1.6955e-05i,1.6395e-05+0.00017624i,-0.00047525+0.00043693i,-9.1298e-05+0.00052679i,0.0009626-0.00024308i,0.0012275-0.00044351i,-6.8702e-05-4.0214e-05i,-0.00043049-0.00010378i,0.00024361+0.00030956i,0.00067172+0.00040285i,0.00039416+0.00014037i,0.00055043+6.7805e-05i,0.0006387-0.00040287i
-0.00067844-0.00042037i,-0.0010988+0.0003895i,-0.00078797+0.00050297i,-0.00012676-0.00019603i,0.00010757-0.00060936i,0.00028725-0.00074709i,2.5025e-05-0.00034298i,-0.00030094-8.1869e-05i,-0.00017005+1.6084e-05i,-0.0002759+0.00026988i,-0.00024391+0.0003311i,0.00032839+0.00048517i,0.00099853+0.00026643i,0.00065501-0.00031899i,5.995e-05-0.00062991i,0.00015748-0.00090405i,0.00039779-8.809e-05i,-4.1919e-05-8.6946e-05i,-0.00040485-0.00020946i,0.00012216+6.1948e-05i,0.00032764+8.1527e-05i,-0.0002653+0.00033495i,-0.00048094-4.7915e-05i
-0.00061752+0.00021894i,-0.0013288-0.00010305i,-0.00020448+0.0004094i,0.00023973+0.001603i,0.00030492+0.00089991i,0.00029544-0.00017581i,-9.8792e-06-0.00082086i,0.00011338-0.0007624i,-0.00054572+0.0001291i,-0.0005744+0.0010404i,-0.00048+0.0011317i,-0.00028762+0.00071339i,-3.628e-05+0.0011429i,-0.00012764+0.00098803i,-0.0003093+0.0002506i,-6.9888e-05+0.00051315i,0.00066484+0.00073273i,0.000629+9.0771e-05i,1.287e-05-0.00032644i,-0.00051486-8.7927e-05i,-0.00086849-4.6675e-05i,-0.0009662-0.00037239i,-0.00022212+0.00042555i
0.00076371-0.0010193i,-0.00014979-0.0014868i,0.00010245-0.0012015i,-0.00048392-0.00086839i,-0.0012369-0.0012667i,-0.00066714-0.0013099i,2.8928e-05-0.00097581i,9.0834e-05-0.00052708i,-0.00027752-0.0003898i,-9.962e-05-0.00093246i,9.7583e-05-0.00082344i,-0.00030151-0.00038594i,-0.00044182+0.00015742i,0.00031247+0.001034i,0.00064669+0.0007649i,-1.9474e-05-0.00066752i,-4.0322e-05-0.00054581i,0.00028065-0.00024356i,0.00038951-0.0004383i,-0.00023181-0.00020082i,-0.00082604+2.1966e-05i,-0.00034489+0.0005747i,0.00014365+0.00082082i
-0.00011513+0.0014214i,0.00049605+0.0014141i,0.00073913+0.0011589i,0.0010014+0.00053391i,0.001298-0.00064955i,0.0013703-0.00079521i,0.00044669-0.00022797i,-0.00027186-0.00026849i,-0.0008311+0.00035034i,-0.00086694+0.0012594i,-0.00047818+0.0010425i,-0.0008965+0.00059549i,-0.00086565+0.00023217i,-0.00043521+0.00017711i,-0.00071381+0.00029044i,-0.00098793+0.00041844i,-0.00097775+0.00043406i,-0.00020831-0.00026346i,0.00027716-0.00028565i,-0.00014413-0.00050265i,-0.00012908-0.00090597i,-0.000256-0.00020262i,0.00062008+8.1839e-05i
-0.00011459-0.0026224i,-0.00058333-0.0019295i,-0.0020372-0.001098i,-0.0022612+0.00015957i,-0.0016469+0.0010266i,-0.00047392+0.00078639i,0.00050552+0.0010944i,-5.7303e-05+0.00069988i,-0.0011416-0.00015154i,-0.0016006+4.0584e-05i,-0.00097524+0.00037531i,-0.00043129+0.00090122i,5.676e-05+0.0012449i,0.00031603+0.0010481i,-0.00024296+9.0311e-05i,0.0001599-0.00041412i,0.00058314-5.1374e-06i,0.00042744+0.00048184i,0.00049296+0.0010896i,-0.00050124+0.00044382i,-0.000678+9.5636e-05i,-3.1144e-05-5.6689e-05i,0.00018213-0.00082344i
-0.00075667-0.00022378i,-0.00040292+0.00021552i,-0.00069022+0.001158i,-0.00054889+0.0010351i,0.00052731-2.1334e-05i,0.0012238-0.00099563i,0.0008843-0.00089479i,-0.00024101-0.00036716i,-0.00060244+8.0975e-05i,-0.00051869+0.0004496i,-0.00066577+0.00019429i,-0.00054703+0.00067402i,0.00018583+0.0012334i,0.00029898+0.00063153i,0.00025337+0.00052818i,0.00017213+0.00077382i,-0.00018597+0.00072619i,-0.00020646+0.00072555i,4.2457e-05+0.00015457i,1.9341e-05-0.00057356i,0.0002377-0.00085523i,0.00047069-0.00091745i,-2.4316e-05-6.4104e-05i
8.9636e-05-0.00060309i,0.00058751-0.0015384i,2.2299e-05-0.0018039i,-0.00021616-0.0013936i,0.00068761-0.0013795i,0.00047503-0.0011886i,0.00041178-0.00089336i,0.00074584-0.001321i,-0.00034222-0.0015149i,-0.0011592-0.00096507i,-0.00035368-0.00054219i,0.00071755-0.00032899i,0.00099032-0.00021949i,0.001151-0.00059195i,0.0011644-0.0010034i,0.0005039-0.00078086i,0.00026141-0.00029688i,0.00082626-0.0004452i,0.00046175-0.00063794i,-0.00024285-0.00046955i,-0.00055642-0.00042693i,-0.00057479-0.00080822i,3.5993e-06-0.001125i
0.00016534+0.00057843i,0.0011698+0.00074209i,0.0014985+0.00061635i,0.0013366+6.6467e-05i,0.0010399-0.00051621i,5.6109e-05-0.00076311i,-0.0004401-0.00062898i,-0.0001188+0.00031082i,-0.00051931+0.00085547i,-0.00065658+0.00012409i,8.5885e-05-8.7767e-05i,0.00019564+7.3688e-05i,3.987e-06-0.00014283i,0.00026828+6.8577e-05i,0.00011255-5.2139e-05i,0.00018405+3.6725e-05i,-0.00038633+0.00031365i,-0.0013447+0.00032146i,-0.0011329-0.00027416i,-0.00045859-0.00057211i,-4.0789e-05+0.00033745i,-0.00045708+0.00047705i,-0.00032004+0.00016225i
