0.00029174-0.0013055i,0.00048395-0.0013905i,-0.00043651-0.00021419i,-0.00053448+0.00027111i,7.9341e-05+0.00015996i,-0.00027262-0.00070924i,-0.00079411-0.0014751i,-0.0006454-0.00081691i,0.00068685+0.00027528i,0.0015986-0.00019761i,0.00064891-0.0008164i,-0.00057368-0.00039943i,-0.00036035-0.00027143i,-0.00039129-4.3854e-05i,-0.0010237+0.00050689i,-0.001121+0.00040113i,-0.00050928+0.00065264i,-0.0002902+0.00049603i,-0.00055534-0.0002066i,-0.00040898+4.4134e-05i,0.00010807+2.0664e-05i,-0.00028817-0.00016526i,-0.0008627+0.00013117i
0.00013823+0.0011076i,-0.00019169+0.0018294i,-0.0004295+0.0026717i,0.00027327+0.002038i,0.0007153-0.00013993i,0.0011564-0.0016545i,0.00089788-0.0015081i,-0.00091102-0.0011784i,-0.0019049-0.00032i,-0.0010342+0.00040468i,-0.00012486-0.0008232i,-0.00015511-0.0011315i,-0.00035725-0.00027244i,-6.1061e-05+0.00036374i,-0.00042769+0.00064974i,-0.0003302+0.00067486i,-2.9785e-05+0.00042239i,0.00011695+0.00028579i,0.00021816+0.00055401i,-0.00053052+0.00064451i,-0.0011285+0.0010063i,-0.0011097+0.001298i,-0.0005834+0.00024921i
-0.00046588+0.0014249i,-0.00012128+0.00061123i,-0.00033792+0.0009535i,0.00045596+0.0013386i,0.001332+0.00098314i,0.00093418+0.00021448i,0.00016703-0.00023101i,-0.0011466-0.00081279i,-0.0020026-0.00040098i,-0.0010409+0.00094701i,0.00022346+0.00044458i,-3.831e-05-0.00080657i,-0.00034861-0.00024906i,-4.1375e-05+0.00068226i,1.3499e-05+0.00048153i,0.00025468+0.00057034i,-6.7029e-05+0.00049412i,-0.00056562-0.00022801i,-0.00022065-0.00035791i,0.00074712+0.00026909i,0.00093581-7.064e-05i,0.00046243-0.00066407i,7.1251e-06-0.00087103i
0.0007386+0.00083071i,0.00051228+0.0013357i,0.0012451+0.0014011i,0.00060337+0.0007277i,-0.0011593-0.00070737i,-0.0022485-0.0014545i,-0.0025267-0.0011779i,-0.0025318-0.0010001i,-0.0024455-0.00099011i,-0.0013225-0.00049903i,-0.00011329-0.00012011i,0.00037041-7.7914e-05i,0.00015277-0.00025967i,-0.00054823-1.9478e-05i,-8.0213e-05+0.000325i,0.00050233+0.0007194i,0.00031472+0.0012101i,0.00015785+0.00069073i,-0.0002378-7.5764e-05i,-0.0008796-0.00026574i,-0.00076174-7.9708e-05i,-0.00019567-0.000358i,0.00045091-0.00021955i
-0.00092861+0.0017851i,-0.00031228+0.0013408i,0.0013094+0.0016219i,0.003118+0.0013837i,0.0030944+0.00013027i,0.0015564-0.0012315i,-0.00018147-0.0020626i,-0.0017031-0.0013857i,-0.001028-0.00038664i,0.0004224+0.00027451i,0.00080695+0.0014548i,-0.00027571+0.0016401i,-0.0011647+0.00094307i,-0.00024542+0.0005782i,0.00045911+0.00030735i,-0.00020797+0.00074494i,-0.0011668+0.00084029i,-0.0007525+0.00040116i,-0.00022963-0.00031769i,-0.00074813-0.0004839i,-0.00063037+3.2265e-05i,-4.7947e-05+0.00030571i,0.00033996+0.00027089i
-0.00025521+0.0010391i,0.00044561+0.0011983i,0.00074515+0.0013266i,0.00060413+0.00080395i,0.00050488+7.6969e-05i,0.00054557+6.3953e-06i,-0.00046777-0.00024723i,-0.0015112-0.00021547i,-0.00213+0.00071076i,-0.0019577+0.0013667i,-0.00034594+0.00094049i,0.00040742+0.00039803i,-0.00024035+0.00067143i,-0.00093936+0.00030037i,-0.00085288-0.00018514i,0.00021248+0.00014176i,0.00030881+0.000744i,-0.00031417+0.0013469i,-0.00012953+0.00087338i,-0.00011923+0.00025837i,-0.00031882+0.00021006i,0.00040974-7.8818e-05i,0.00073841-0.00056035i
-0.0010116-1.1136e-06i,-0.00043592+0.00023596i,-0.00032561+0.0012913i,0.00014516+0.00083849i,0.00030066+5.0099e-05i,9.0551e-05-0.00054931i,-4.5226e-05-0.0012433i,-0.00099489-0.0016098i,-0.001712-0.00073175i,-0.00081425+0.00016572i,-0.00018492+0.00028603i,-0.00067739-0.0003973i,-0.00085119-0.00044306i,-0.00077095-0.00018651i,-0.00057356-0.00032031i,9.9301e-05-0.00014131i,0.00058538+0.00021003i,1.3459e-05+0.00041317i,-0.00080713+0.00018584i,0.00015829-9.6784e-05i,0.0010516+0.00038383i,0.00075013+0.00059913i,3.5262e-05-4.185e-05i
0.0010983+0.00086133i,0.00085267+0.0011531i,0.00030928+0.0010621i,1.0185e-05+0.00024401i,-0.00042061-0.00058437i,-0.00057841-0.00052235i,-0.00048743-0.00041266i,-0.0014444-0.0004015i,-0.0018453-1.2414e-05i,-0.00094395-3.4172e-05i,-0.00012782-0.00059173i,0.00041065-5.3015e-05i,0.00036622+0.00027191i,0.00048488-2.967e-05i,0.00033999+0.00020618i,3.8811e-05+0.00049608i,-8.1921e-05+7.2723e-05i,-0.00018786+6.5136e-05i,0.00016205-0.00026428i,0.00025238-0.00054001i,1.3953e-05-0.00014292i,-0.00062919-0.00012416i,-0.00035443+0.00040241i
0.00052253+0.00093135i,-0.00046335+0.0007009i,0.00033917+0.00020579i,-0.00015068+0.00043206i,-0.00094578+7.2265e-05i,-0.00012537-0.0012684i,-9.5802e-05-0.0016776i,-0.0008819-0.001087i,-0.0018503-0.00054314i,-0.0012639+0.00019625i,-3.6155e-05+0.0006314i,0.00063471+0.00087987i,0.0012908+0.00059351i,0.001328-0.00015208i,0.00040569+2.7115e-05i,-0.00013163+0.00011601i,-0.00048326+0.00039601i,-0.00037637+0.00082077i,-0.00034893+0.00029857i,-0.00047169-0.00046718i,-0.00043814-0.00089815i,-0.0005613-0.0010538i,-0.00019642-0.0010172i
0.00088926+0.00060427i,0.00097047+0.0016639i,0.0009854+0.0017692i,0.001151+0.00077186i,0.00042327-0.00028812i,-0.00018894-4.6736e-05i,-0.00089704-0.00022207i,-0.0018785-0.0010531i,-0.0018864-0.00023064i,-0.0012482+0.00025128i,-0.0004466-0.00036459i,-0.00021703-0.00092737i,-0.00041547+0.00014261i,0.00023282+0.00087573i,0.00063804+0.00047243i,0.00032099+0.00018741i,-0.00062739-2.7166e-05i,-0.0009677+0.00058837i,-0.0007728+0.00080853i,-0.00048723+0.00032638i,-0.0002155+0.00038841i,-4.8582e-05+0.000398i,0.00040368+0.00047964i
0.0005934+0.0020327i,0.00030323+0.0015402i,0.00037294+0.00070157i,0.00040664+1.7534e-05i,0.00034611-0.00063407i,-0.00015813-0.001614i,-0.00072743-0.0017061i,-0.0012281-0.0013893i,-0.0013117-0.00042798i,-0.00096328+0.00041426i,-0.00093759+0.00023611i,-0.00038763+0.00040448i,0.00026012+0.0010875i,-0.0002796+0.0011614i,-0.00062594+0.0002662i,-7.6116e-06-1.1971e-05i,0.00018452-0.00032522i,0.00038858-0.00067087i,0.00039-0.00038142i,-9.3803e-05-0.00046198i,-4.2722e-05-0.00066065i,0.00010226-0.00055584i,0.0001612-0.00094522i
