0.0014317+0.00055129i,0.0024428-0.00014106i,0.0021884-0.00016054i,0.0010647-0.00067667i,-0.00036541-0.00087236i,-0.0010745-0.0001684i,-0.0013768+0.00065675i,-0.0014998-0.0003748i,-0.00096628-0.00082706i,-0.00011248-0.00017731i,4.3762e-05-0.00056793i,-0.00020779-0.0012199i,-0.00094654-0.00090407i,-0.00037618-0.00036838i,0.00056706-0.000454i,-0.00016811-0.00044957i,-0.00029124-0.00044323i,0.00038551-0.00022197i,8.8508e-05-0.00029443i,-0.00015797-6.1434e-06i,-0.00031975+0.00075693i,-0.00072499+0.0005922i,-0.00054291+2.3856e-05i
-0.00017614+0.00017388i,-0.00041859+0.00026655i,0.00013214+0.00070455i,2.2417e-05+0.00069449i,0.00052459-0.00021143i,0.00010626-2.4356e-05i,-0.00092287-9.2209e-05i,-0.0013093-0.0012077i,-0.0014289-0.0015206i,-0.00060847-0.00058593i,0.00048123-0.00020357i,0.00063403-0.00076871i,0.00052181-0.001019i,0.00069995-1.5075e-05i,0.00018187+0.00093274i,-0.00061465+0.00024466i,-0.0005652-9.25e-05i,-0.00066375+0.00032017i,-0.00068899+0.00026419i,-0.00017697-0.00036876i,-0.00051076-0.00073065i,-0.00091805-0.00095184i,-0.00058214-0.00094812i
9.7031e-05-0.0012499i,0.00053754-0.0010632i,0.001369-0.00060134i,0.0010972-0.00055306i,0.00027463-0.00086908i,0.00043358-0.00073963i,0.00084479-0.0012925i,0.00020079-0.0013506i,-0.00051304-0.00038944i,-0.00058897-5.5064e-05i,-0.00019095+2.9719e-05i,4.3877e-06+0.00035105i,0.00017735+0.00019117i,-0.00043688+0.00026097i,-0.0007373-0.00045924i,0.00059562-0.00054315i,0.00049884-0.00012072i,0.00015459-0.00036366i,0.00081046-0.00011499i,0.00089514+0.0001178i,0.0005155-9.0147e-05i,0.00074243+0.00033336i,0.00055584+0.00010984i
-0.00068185-2.1132e-05i,-2.2354e-05+0.0016033i,8.8416e-05+0.0014778i,0.00061986+0.0012132i,0.00037728+0.00034375i,-0.00011901-0.00089547i,0.00013298-0.0013443i,-0.00021299-0.0015942i,-0.0016002-0.00049242i,-0.0012249+0.00056589i,0.00059717+0.00030146i,0.00017303+0.00032461i,-0.00056699+0.00041052i,-0.0001123-0.00023321i,-0.00026119+0.00048808i,-0.0006599+0.00095073i,-0.00050005+0.0002058i,-0.00049819-2.0951e-05i,-0.00056628+0.0001806i,-0.00045959+0.00012019i,-0.0005353-0.00013891i,-0.00073494+4.5177e-05i,-0.00085491-3.2305e-05i
0.00018206-6.3145e-05i,-0.00027363+0.00023459i,-0.00059304+0.0012601i,-0.0007904+0.0015444i,-0.00038099+0.0013985i,-0.00093726+0.0010625i,-0.0014999-0.00017374i,-0.00075126-0.0015383i,-0.00024876-0.0018811i,-0.00087842-0.0009622i,-0.0011309-0.00019078i,-0.00076292-0.0003747i,-0.00033496-0.00069486i,0.00053256+3.0011e-05i,0.001214+0.00052586i,0.00095204+0.00041471i,0.00082373+0.00057162i,0.00050203+0.0005547i,0.00013142+0.00027481i,0.00040338-0.000582i,0.00056909-0.00093018i,9.296e-05-4.8649e-06i,-0.00011544+0.00086907i
0.0013214+0.00015762i,0.00022871+0.00058086i,-0.00029619-0.00026429i,-0.00045795-0.00039855i,-0.00090898-0.00012224i,-0.00084977-0.00055844i,-0.00039134-0.00019925i,-0.00029928-0.00042933i,-0.00087573-0.0009338i,-0.0015163-0.00065714i,-0.00083556-0.00048907i,-0.00027642-7.5044e-05i,-0.00024495+0.00029062i,-0.00030437+0.00021568i,-5.0955e-05-0.00020082i,0.00028574-0.00026314i,0.00073899-0.0001186i,0.001244+0.00021053i,0.00077769+0.00011882i,-0.0003431+0.00026514i,-0.00063352+0.00043162i,-0.00010529-0.00019886i,0.00014343-0.00046066i
-7.9253e-05-0.00036004i,0.00034262-0.00029399i,0.00045972-0.00043752i,0.00017068+0.00013898i,-0.00034232+6.4224e-05i,-0.00099575-0.00097813i,-0.001096-0.0010331i,-0.0009606-0.0010809i,-0.0003585-0.00072011i,-0.00026358-1.0287e-05i,-0.0008212-0.00018395i,-0.00049152-0.00023884i,0.00039791+6.9832e-05i,0.00012003-2.5802e-05i,-0.00022828+9.0911e-05i,0.00031597+0.00054278i,0.00029902+0.00033646i,2.2662e-05-0.00032297i,0.00053371+3.1057e-05i,0.0010413+0.00061597i,0.00030647+0.00056127i,-0.00069964+0.00014756i,-0.00064064-0.00013091i
-0.00071725+0.0011886i,-0.0007998+0.00066911i,-0.00014761+0.00044694i,0.00049155+6.7437e-05i,0.00079109-0.00022621i,0.00061882-0.00095843i,-0.00043636-0.00096084i,-0.001562-4.734e-05i,-0.001804-8.9401e-06i,-0.0012321+0.0003324i,0.0001102+7.3389e-05i,0.0004883-2.1359e-05i,-0.00021185+0.00052049i,-0.00080977+0.00023587i,-0.00035267-0.00040671i,9.5302e-05-0.00012515i,0.00015473+0.00013879i,0.00017707-9.3408e-05i,0.0002863+0.00027648i,-0.00043276+0.00079667i,-0.00086663+0.001114i,-0.00084338+0.00094714i,-0.0001633+0.00057597i
0.0005573-0.00016966i,0.00026613-0.00035949i,-0.00052396-0.00048765i,-0.0018781+0.00016853i,-0.0026127-0.0003147i,-0.0023244-0.00066527i,-0.0016121+0.00045213i,-0.0016734+0.00052677i,-0.0018645+0.0008213i,-0.0011795+0.00061622i,-0.00016439-0.00051332i,-0.00025594-0.00073436i,-0.00045226-9.7377e-06i,-0.00015208+0.0005794i,0.00019714+5.6365e-05i,0.00012891-0.00059219i,0.00058356-0.0007585i,0.00067662-0.00021853i,6.899e-05+0.00031564i,0.00029061+0.00053936i,0.00039166+0.00092108i,0.00020147+0.00098415i,-8.2897e-05+0.00046401i
0.00034473-0.00048866i,0.00025107+5.1933e-05i,0.00061024+0.0010505i,0.00023465+0.00067675i,8.4055e-05-0.00045887i,0.00028897-0.00083837i,7.7415e-05-0.0012474i,-0.00087827-0.0015238i,-0.0016747-0.0010912i,-0.00081716-0.00033623i,0.00089546-0.00025573i,0.00088874-0.00069886i,-2.1086e-05-0.00034149i,0.00036991-0.00029993i,0.00053159-0.00040743i,0.00017733+6.7518e-05i,-0.00044869+0.00028586i,-0.0012424-3.46e-05i,-0.00013063+0.00029267i,0.00060235+0.0005497i,0.00034054-0.00031634i,-5.4683e-06-0.00081362i,-0.00068841-0.00047911i
0.00058539+0.00038887i,0.00011496+0.0010816i,-0.00013968+2.7571e-05i,-0.00097514-0.00020946i,-0.00089597-0.00027256i,-0.00086034-0.00041265i,-0.00073838-0.00057253i,-0.0014834-0.0013881i,-0.0018617-0.0010717i,-0.00097571+0.00014932i,0.00059024-1.3832e-05i,0.00093492-0.00019794i,0.00042011-0.00010728i,0.00064845+0.00064468i,0.00075906+0.00084808i,0.00085316-0.00010247i,0.00045897-0.00050963i,0.00039252-0.00036963i,0.00038705-0.00025303i,-0.00028023+6.3915e-05i,-0.00028915+9.2123e-06i,0.00010514-0.00076009i,-0.00093147-0.00059464i
-0.00086113-0.00063551i,-0.00089141+0.00017087i,-0.00036867+0.00027053i,9.0581e-05-0.00042487i,0.00051736+2.4589e-05i,0.00041435+0.00080722i,-0.00024798-2.2709e-05i,-0.00057157-0.0010742i,-0.00054548-0.0014507i,-0.00027013-0.0008696i,-0.00011233+0.00040326i,-0.00031311-6.1113e-05i,-8.0202e-05-0.00067873i,0.00046827-0.00018773i,0.00022793-5.2192e-05i,0.00034102+0.00066716i,8.4523e-05+0.0013222i,-0.000538+0.00065962i,-0.00049609-0.00017065i,-4.6934e-05-0.00060736i,5.1714e-05-0.00026792i,-1.7972e-05+0.00037942i,0.00053882+0.00026586i
-0.00088655+0.00014689i,-2.5532e-05+4.2442e-05i,0.00021452-9.2792e-05i,0.0011341-0.00031588i,0.00081384-0.00093562i,-0.00024026-0.00071861i,-0.00050491-0.00053199i,-0.0010087-0.00062318i,-0.0016414+3.4099e-05i,-0.0011361+8.0303e-05i,-0.0006464-0.00034509i,-0.00092408-0.00093856i,-0.0012045-0.0014926i,-0.0014641-0.00098536i,-0.001039-0.00066349i,-0.00055982-0.0011043i,-0.00011449-0.00050402i,0.00017265+0.00040246i,-0.00039089+0.00034311i,-0.0005489+0.00037461i,0.00013417+0.00061615i,0.00042242+0.00088611i,0.00023374+0.0010002i
