0.000374+0.00034737i,0.00053064+0.00028064i,0.00032336-0.00026226i,-0.00035839-0.0008752i,-0.0011478-0.00064232i,-0.0016052+0.00031269i,-0.00070029+0.0013325i,0.0012198+0.0024655i,0.0022542+0.0023013i,0.0016518+0.0014505i,9.8029e-05+0.00097788i,-0.00014328+0.00059776i,-0.00019662+0.00061173i,-0.0010839+3.8789e-05i,-0.00096602-0.00058426i,-0.00028389-0.00021092i,0.00062632+0.00026582i,0.00061735+0.00052361i,6.2857e-05-7.876e-05i,-0.00039064-0.0013748i,-0.00057138-0.0016627i,-0.00020515-0.00089203i,0.00038184-0.00057849i
0.00020833+0.00057804i,-0.0011708-8.6929e-05i,-0.0012331-0.0010526i,-0.001036-0.0016913i,-0.00069354-0.0010187i,-0.00025551-0.00014307i,0.00018985+0.00064376i,0.00073892+0.0015056i,0.00087857+0.001321i,0.00023599+0.00090763i,-0.00021172+0.00049298i,-0.00012191+1.3105e-05i,-9.0764e-05-8.3107e-05i,-0.00043501-0.00022507i,-0.00071394-0.00017566i,-0.00042224-0.00049774i,-0.0003466+2.9995e-06i,-0.00055993+0.00013574i,-0.00055385+7.3588e-06i,-0.00050445-0.00048585i,-0.00052038-0.00088383i,1.7911e-05-0.0001669i,2.7627e-05+0.00015908i
2.3967e-05-0.00050163i,9.7752e-05-0.0011162i,0.00095434-0.0011637i,0.0013617-0.00051297i,0.0012107+0.00037421i,0.00062191+0.00081015i,0.00043136+0.00077624i,0.001216+0.0014938i,0.0020308+0.0017872i,0.0016116+0.00062285i,0.00019605+0.00015363i,-0.00034742+0.0005531i,0.00027127+0.00029322i,0.00059245+0.00036832i,-0.00015622+0.00072989i,-0.00033641+0.00044964i,0.00014058-0.00038981i,0.00029861-0.00041252i,0.0001147-0.00031598i,0.00029802-0.00092467i,0.00057828-0.0012986i,0.0003081-0.001273i,0.00056864-0.0014631i
0.0013205+0.00018507i,0.0012628+0.00016623i,0.00071838-0.00028636i,-0.00046119-0.0012594i,-0.0011546-0.0017385i,-0.00031688-0.00015404i,0.0001091+0.0013183i,0.00089313+0.0013499i,0.0012834+0.00052118i,0.00031629-0.00044785i,-0.00027285-0.00093574i,-0.00066891-0.00047209i,-0.00070559-0.00028274i,-8.9114e-05-0.00078193i,0.00045713-0.0011225i,0.00039564-2.6432e-06i,-0.00015753+0.00022376i,-0.00020408-0.00023916i,-0.00015587+0.00040249i,0.00038456+9.4921e-05i,0.00062764-0.00040045i,-0.00025184-0.00029037i,-0.00028836-0.0005069i
-0.00037503+0.00038851i,-0.00022259+0.00011193i,0.0010013-0.00071919i,0.00069144-0.001081i,-0.00057677-0.00058009i,-0.001098-0.00044808i,-0.0007528+0.00063163i,-0.00017552+0.0024109i,0.00067523+0.0023923i,0.001624+0.00089298i,0.0015406+0.00024971i,0.0012678+0.000528i,0.0012721+0.00053175i,0.00036168+7.368e-05i,-0.00044237-0.00032956i,-0.00029084-0.00019045i,2.2321e-05+0.00021548i,0.00043953-0.0002225i,0.00034707-0.00034552i,0.00018867+0.00080879i,0.00042345+0.0007768i,0.00018651-0.00058195i,-8.4779e-05-0.0010775i
0.0011371-0.0015173i,0.00066567-0.0022024i,-0.00061531-0.00319i,-0.0011188-0.0023061i,-0.00096016-0.0013743i,-0.00022232-0.00072279i,0.0013022+0.0011859i,0.0023105+0.001388i,0.0017938+0.00026304i,0.00097341+0.00034608i,-7.3555e-06+0.00025288i,-0.00043639+0.00052718i,0.00014781+0.0011116i,0.00038492+0.00055247i,0.00013829-0.00061324i,-0.00057808-0.00050478i,-0.00086869+0.00011923i,-0.00027859-0.00039889i,0.00041115-0.00072676i,-0.00018584-0.00021668i,-0.0010736-0.0001353i,-0.00055469+8.7399e-05i,0.00037903+0.00066944i
0.0010775+0.0016057i,0.00075287+0.0015604i,0.00070828+0.0004493i,-2.0148e-05-0.00046697i,-0.0015395+0.00032788i,-0.0013631+0.0012827i,3.334e-05+0.0014913i,0.00060119+0.0013052i,0.0012114+0.0017028i,0.00067069+0.0015824i,-0.0002883+0.00084734i,7.0878e-05-1.1906e-05i,0.00041086-2.5187e-05i,0.00046798+6.2923e-05i,0.0011462+0.00038947i,0.00062582+0.0011158i,-0.00011522+0.00055814i,-0.00027324-0.00053579i,-0.0001565-0.00096978i,0.00050172-0.00072744i,0.00069996-0.00023059i,0.00019327+9.2165e-06i,1.9268e-05+0.00048587i
0.0028081-6.3622e-05i,0.0011705-0.0013532i,0.00074972-0.0033423i,0.0008276-0.0040167i,-0.00028178-0.0036021i,-0.0010183-0.0023566i,-0.00017052-0.00021459i,0.0011414+0.0019285i,0.0019628+0.0021696i,0.0011745+0.00090581i,-1.0577e-05+0.00029251i,3.519e-05+0.00070813i,0.00018068+0.0012134i,-0.00024887+0.00097014i,7.2885e-06+0.00037106i,0.00018545+0.00019052i,0.00018208-0.00025662i,-0.00016449-0.00039687i,-0.00064415+0.00020263i,-0.00080329+0.00010374i,-0.00088896-3.0903e-05i,-0.00065924+0.0003198i,-9.1143e-05+0.00014999i
-0.0013214+0.00050527i,0.00030077+0.00063284i,0.00040356+0.00022729i,-0.0011557-0.00032033i,-0.0016995-0.00042796i,-0.00093093+0.00050086i,-0.00044969+0.00091729i,0.00037171+0.00087224i,0.0011769+0.0013051i,0.00018393+0.00048012i,-0.00091213-0.00072756i,-0.00014189-0.0004419i,0.00081773+0.0002297i,0.00085131-0.00015716i,0.00020773-0.00080395i,-7.6316e-05-0.00073114i,0.00066393+0.00018816i,0.00080353+0.00084559i,0.00042901+0.00086687i,-9.9215e-05+0.00059136i,-0.00031999+0.00039747i,0.00031423+0.00053178i,0.00071571-1.3082e-05i
0.00077872-0.00084503i,0.00045593-0.00061871i,0.00095634-0.0011492i,0.00054336-0.00099086i,-0.00020025-0.00072116i,-0.00026748+0.00019106i,0.0006239+0.00093439i,0.0014555+0.00091125i,0.0016229+0.00046316i,0.00079535-0.00032908i,-3.9556e-05-0.00020219i,0.00033175+0.00045958i,0.00047922+0.00036901i,2.4364e-05-0.00018928i,0.00022168-0.00084976i,0.00037735-0.00038462i,7.3573e-05-0.00036959i,-0.00010641-0.00038075i,0.00037291+9.0298e-05i,0.00058617-0.00027439i,0.00015432-0.0004208i,-2.4434e-06-5.509e-05i,-0.00018825-1.1574e-06i
-0.00015649-0.0010897i,0.00039944-0.0012406i,-0.00071041-0.0008241i,-0.0012248-0.00021703i,-0.00016501-0.00076439i,0.0012437-0.00037385i,0.00051176+0.00070526i,-0.00043822+0.0012039i,-5.4489e-05+0.0014579i,0.00020442+0.0011304i,0.00056624+0.00059859i,0.00072797-6.2652e-05i,0.00094918-0.00041926i,0.00060882-0.00034468i,-0.00031364-0.00033297i,-0.00050828-0.00036532i,-0.00018453-0.00060094i,4.4832e-05-0.00035965i,0.00015129+0.00029585i,0.0006646+3.745e-05i,0.001031-0.00031869i,0.00012375-0.00020616i,0.00011626-0.00026778i
