-0.00021779-0.0005998i,-9.8788e-05-0.0012811i,-0.0012628-0.00097194i,-0.0015051-0.00011614i,-0.0013324+0.00075164i,-0.00040506+0.0014372i,0.00012384+0.001111i,-0.00044936-0.00019918i,-0.00037727-0.0016732i,0.00010432-0.0012782i,0.00050098-0.0011644i,0.00086271-0.0018765i,0.00027115-0.0012778i,-0.00043592-6.17e-05i,-0.00056846+0.0008606i,-0.00070176+0.0008273i,-0.00031507+0.00096799i,0.00032853+0.00071749i,0.00086504-0.0001221i,0.000455-0.00052309i,-1.13e-06-0.00035515i,0.0003975-0.00010792i,0.0011051+0.00046848i
0.0002827+0.00018181i,0.0010042+0.00041233i,0.00025321+5.2118e-05i,-0.00013407+0.00022872i,0.00050342+0.00077818i,0.00062421+0.0012738i,0.00076148+0.00066229i,-9.0298e-05-0.0004646i,-0.00078557-0.001156i,-0.00040416-0.00077058i,0.00026126-0.00018061i,0.00040908-3.4478e-05i,-5.8201e-05-9.5429e-05i,-0.00030485-2.0917e-05i,-0.00029323+0.00038173i,0.00021956+0.00037181i,0.00057381+0.00015979i,0.0004615-0.00035148i,6.5911e-05-0.0008872i,-0.00029921-0.00036501i,-3.8802e-05+0.00068703i,-0.00032015+0.0005423i,-0.00066437+0.00054755i
0.00027053+0.00026055i,0.00068481-0.00060063i,0.0012141-0.0011289i,0.0012879-0.0014789i,0.00040825-0.0010342i,0.00026076-0.00072801i,0.00071381-0.00063052i,0.00060376-0.00046693i,0.00048677-0.0013846i,-0.00066365-0.0018339i,-0.0011742-0.00098637i,-0.0002679-0.00062088i,-0.000187-0.0009504i,0.00056668-0.0002016i,0.00097528+0.0008603i,-0.00046211+0.0011705i,-0.00057744+0.00049878i,-0.00010634-0.00025669i,0.00019678+0.00031056i,0.00015904+0.00086034i,-0.00069907+0.00046935i,-0.00065087-6.6908e-05i,-6.1353e-05+0.00054363i
-0.0018912+0.0016054i,-0.0022296+0.0016436i,-0.0022729+0.00111i,-0.0012249+0.00022856i,0.00015665-6.6147e-05i,0.00024211-0.00059526i,-0.0011263-0.0011058i,-0.0016076-0.0011355i,-0.00085225-1.1122e-05i,-0.00032686+0.00027952i,-0.0002995+0.00010152i,-0.00024365+0.00020376i,-0.00031031-0.0001504i,-0.00025095+0.00034309i,0.00058811+0.00061753i,0.00060933+3.7738e-05i,-0.0003494-0.00044865i,-0.00032377-0.00051392i,4.4576e-05-0.00055867i,4.9783e-05-0.00072741i,-6.1028e-05-0.00053881i,1.457e-05+0.00057015i,-0.0007768+0.0011558i
-0.00094041-0.00048571i,-0.00062726-0.00041996i,5.65e-05-0.00052905i,-0.00013162+0.00031932i,-0.00028087+0.00035506i,0.00064136+0.00043017i,0.0012102+0.00042792i,0.00077465-6.2923e-05i,0.00012511-0.0011252i,-8.7076e-05-0.0014109i,4.6614e-05-0.00073149i,-0.00028616+9.4537e-05i,-0.00044757+0.00079344i,-0.00010636+0.0005107i,0.00054688+4.8449e-06i,0.0010573+0.0003871i,0.0011029+0.00075338i,0.0001345+0.0012553i,-0.00039063+0.00084208i,-2.1875e-05+0.00059574i,0.00039087+0.00049543i,0.00098059-0.00024931i,0.00062172+0.00018143i
7.0572e-05+1.3791e-05i,0.0010846+0.00054868i,7.6872e-05+0.00089114i,-0.00038688+0.00087921i,0.0003887+0.0010536i,0.00049078+0.00021003i,-5.7597e-05-0.0011904i,-0.00041183-0.0022514i,-0.00034438-0.0020301i,-0.00048833-0.0008591i,-0.00054478+0.00018334i,-0.00025526+0.00058677i,-6.2418e-05-0.00029943i,-5.8786e-05+3.793e-05i,0.00038155+0.00072513i,0.00012438+0.00078364i,-0.00082882-6.5782e-05i,-0.00036179-0.00060152i,0.00039067+9.4967e-05i,0.00027224+0.00069625i,0.00027062+0.00046954i,-0.0003234+0.00038516i,-0.00042682+0.00034333i
0.00024286-0.0001741i,0.0013638-0.0010548i,0.0014126-0.002185i,0.00090736-0.0010121i,0.00010263+0.00065654i,0.00028719+0.00072564i,-0.00016512-0.00038855i,-0.00086213-0.0017009i,-0.0011498-0.0025647i,-0.00067852-0.001469i,0.00097607-0.00019841i,0.00099523+0.00017432i,-0.00049589+0.00049429i,-0.00091019+0.00053717i,-0.00031325+2.9539e-05i,0.0002384+0.00029891i,-3.6175e-05+0.0007581i,-0.00045486+0.0006368i,-0.00018635+0.0006221i,-0.00020037+0.00034259i,-0.00064601-0.00074702i,-0.00051077-0.0012222i,-4.4228e-05-0.0007399i
-0.00025955-0.00017347i,-0.00074619+0.0014709i,-0.0011079+0.0016938i,-0.00065599+0.0004642i,-0.00029952-0.00037667i,-0.00010661-0.0010238i,-0.00043205-0.001728i,-0.00095461-0.0013721i,-0.0015335-0.0010179i,-0.00096646-0.00031442i,0.00091879+0.00073572i,0.0011033+0.00059204i,7.7647e-05-0.00019434i,9.2727e-05-0.00013764i,0.00013996-0.00015675i,0.00034645-0.00080933i,5.2933e-05-0.00030786i,-8.1784e-05+0.00087226i,-0.00010555+0.0013799i,-0.00053617+0.00038754i,-2.3599e-05-0.00012432i,0.0004792+0.00058313i,0.00042505+0.00063686i
0.00018053+0.0011508i,-0.00068973+0.00051486i,-0.00018546-8.3717e-05i,0.00051575-0.00026889i,0.00044229-0.00032152i,-0.00021649-0.0010773i,-0.00071548-0.00078114i,-0.0010516-0.00087431i,-0.00052738-0.0011127i,0.00075585-0.0002835i,0.00084695+1.5296e-05i,0.00023795-6.5618e-05i,-0.00046596+0.00040083i,-0.00097181+0.00098716i,-0.00082491+0.0008016i,-0.00047251-0.00010003i,-0.000617-0.00027244i,-0.0002645-0.00077114i,-2.5179e-05-0.0012707i,0.00017974-0.00041607i,0.00029774+0.00039519i,-0.00014712+0.00094122i,-0.00073591+0.0010195i
0.00011349-0.00058049i,-0.00051541-0.00085489i,-0.00067058-0.00043602i,-0.00020205-0.00020124i,0.00085112+1.8772e-05i,0.0007322+0.00049921i,-0.00037126+0.00055109i,-0.00080573-0.00095466i,-0.00079321-0.0022403i,-0.00045091-0.0015801i,-0.00012423-0.0011644i,-5.5899e-05-0.00049245i,-0.00030193+0.00010963i,-0.00046967-0.00014097i,-0.000735-0.00028277i,-0.0008596-0.00072381i,-0.0010899-0.00072336i,-0.0009724+0.00027123i,-0.00064734+0.00063202i,-0.0010183-0.00040207i,-0.00083541-0.00072729i,-0.00012483-0.00021549i,-4.6253e-05+0.0003416i
3.9461e-05-0.00094345i,0.00011989-0.00084225i,-0.00024851-0.00072149i,0.00039546+0.0001972i,0.00017675+0.0010021i,-0.00023533+0.0012714i,-0.00045119+7.7357e-06i,-0.00088717-0.00083401i,-0.00095304-0.0007485i,-0.00036877-0.00022846i,0.00042276+0.00046993i,0.00026399+0.00011986i,0.00014172-0.00047361i,3.8506e-05-0.00047568i,0.00020251+0.00034767i,0.00090497+0.0015387i,0.00064106+0.0017296i,-4.2681e-05+0.0011065i,-0.0007984+0.00059006i,-0.0009491-0.00016175i,-0.00078457-0.00037505i,-0.00092208-0.00026685i,-0.00022241-0.00013605i
