-0.00066463+0.0022936i,0.00095818+0.0012552i,0.00049539+0.00036156i,-0.00039412+0.00083792i,-0.00099431+0.0023998i,-0.0010518+0.0024264i,-0.00098586+0.0014705i,-0.00070344+0.00095046i,0.00025586+0.00056721i,0.0013552-5.9705e-05i,0.0013725-0.00048876i,0.00044332-0.00038251i,-0.00019671-0.00010327i,-0.00062084-0.00036121i,-0.00066035-0.00019611i,-0.00017296+0.00058186i,6.6979e-05+0.0011016i,-7.8933e-05+0.0004971i,-0.00016954-0.00067113i,9.0622e-05-0.0011919i,0.00040205-0.00012631i,0.0006648+0.00045863i,0.00036317+0.0002531i
0.00097713-0.0017878i,-0.00015719-0.0020894i,0.00017476-0.00098263i,-0.00049495-0.00041328i,-0.00027329-0.0007063i,0.00023036-0.00062911i,0.00017741-0.00027374i,0.00090222-0.00012951i,0.00099304-0.00039686i,0.0004504-0.00062288i,4.1689e-05-0.00090804i,0.00018534-0.00038975i,0.00075553+9.4883e-05i,0.00060426+0.0004394i,0.00052737+0.00088469i,0.0010483+0.00071992i,0.00071682+0.00078274i,0.00016871+0.00078018i,-4.6656e-05+0.00014713i,-0.00063525-0.00020701i,-0.0011251-6.74e-05i,-0.00042955-9.4281e-05i,0.00019918-4.9248e-05i
-0.00079711+0.001077i,-0.00091222+0.0006647i,-0.0005931+0.0013014i,-0.00023238+0.0019806i,-0.00057075+0.00098895i,-0.0010561-0.00066309i,-0.0012273-0.0010474i,-0.00037995-0.0004582i,-0.00023215-0.00012661i,-0.00010631-0.00068149i,0.00045843-0.00086309i,0.00071957-0.00035982i,0.00067782+0.00014357i,0.00019807+0.00020009i,-0.00025696+0.00033418i,-0.00017669+0.00034146i,0.00020702-0.00024698i,0.00084194-0.00062934i,0.0012705-0.00034846i,0.00063937+0.00015118i,-7.9053e-05+6.48e-05i,-0.00034805-0.00040979i,-0.00054871-0.0007698i
-0.0003325+0.0014489i,0.0010494+0.00085951i,0.0016413-8.161e-06i,0.0010677+2.0291e-05i,0.00025897+0.00017869i,-0.00022667-0.0002511i,-0.00017606-0.00050725i,-6.6714e-06-0.00067111i,0.0001237-0.00060674i,0.00020718-0.00068587i,0.00085094-0.00049856i,0.00049518-0.00037655i,-0.00066139-0.0005114i,-0.0010442+0.00011937i,-0.00064345+0.00090249i,-0.00022824+0.00039497i,6.0671e-05-3.7358e-05i,0.00047256+9.3309e-05i,-0.0003873+0.00024094i,-0.00083835+0.00065687i,-0.0006517+0.00091404i,2.0846e-05+0.00037756i,0.00077396-0.00032339i
-0.00038822-0.0011336i,0.00041875-0.00064729i,0.00012979+0.0004514i,-0.0011901+0.00083709i,-0.0016666+0.00042238i,-0.0011097+0.0010539i,-0.00035349+0.0011508i,0.00032408+1.0686e-05i,-1.212e-05-0.0009754i,-0.00071433-0.00070586i,-0.00078932+0.00084069i,-0.0004173+0.00094568i,0.00058071+0.00051589i,0.00081814+0.00050438i,0.00026677-0.00041784i,0.00084514-0.00055448i,0.0016934+0.00035616i,0.0014533+0.00074987i,0.0003113+0.00046784i,-9.2077e-05+0.00054617i,-0.00048963+0.00030228i,-0.00064661+0.00011408i,-0.0005772+0.00030365i
0.00059237-0.00027169i,0.0011894-0.00029774i,0.0010404-0.00011808i,0.00034002-0.00012093i,-0.00050051-0.00025276i,-0.00072491-0.00011551i,-0.0003507-0.00031715i,-0.00045186-0.00095788i,-0.00037494-0.0011873i,-0.00037212-0.00063046i,-0.00031059-4.4593e-05i,-7.6514e-05-0.00020671i,3.5532e-05-0.00029481i,0.00034645+0.00030884i,0.00042449+0.00088685i,0.00025493+0.00096484i,0.00065264+0.00074474i,0.00079136+0.00037939i,0.00058997+0.00050629i,-7.0638e-05+0.00033144i,0.00030717+0.00017007i,0.00030461-9.3989e-05i,-0.00019464-0.00032614i
0.00086454+0.001793i,0.00032588+8.7829e-05i,0.001286-0.00041743i,0.0011874-0.00025042i,-0.00045782-0.00035107i,-0.0013929-0.0011437i,-0.00061929-0.0011101i,0.00032044-0.00021968i,0.00017523+0.00026319i,-0.00019912+0.00022547i,-0.00011189+0.0001407i,-0.00056176+1.3002e-05i,-0.00046763-0.00018704i,1.1883e-05-9.6782e-05i,0.00019075+0.00029149i,0.0001207+0.00056362i,-1.8257e-05-3.3972e-05i,0.00041691-0.00027107i,0.0002754+2.7809e-05i,-0.00044002-0.00033527i,-0.00012329-0.00064826i,0.00026966-0.00038892i,-0.0003166-0.00048049i
0.0021416+0.00099253i,0.0023198+0.0011462i,0.0011944+0.0008333i,-0.00025272+0.00087627i,-0.0012076+0.0011088i,-0.0014911+0.00037153i,-0.00067377-0.00033602i,-0.00026611-0.00035225i,-0.00075982-0.00059242i,-5.5038e-05-0.0006401i,0.0012499-0.00038035i,0.0010668-0.0003208i,0.00016531+0.00012966i,-0.00014075-3.0703e-05i,-5.4773e-05-0.00075307i,-0.00035419-0.00061929i,-0.00036646+5.4028e-05i,-0.00021849+1.0939e-05i,-0.00072393-0.00020348i,-1.9201e-05+0.00029753i,0.00035613+0.00052203i,-0.00018312+0.00029556i,-8.4019e-05-0.00020787i
-0.00065107+0.00069643i,-0.0001093-0.00056435i,0.00057586+8.5399e-05i,0.00069355+0.00082824i,0.00054501-0.00019731i,-0.0002756-0.00053778i,-0.00024531+0.00051315i,0.00065918+0.00066188i,-0.00018138+0.00018619i,-0.00079934-7.6492e-05i,-0.00047461-0.00022634i,-0.00080423-2.6375e-05i,-0.0011461-0.00040248i,-0.00018783-0.00073891i,0.00061737+0.00020375i,0.0011288+0.0001528i,0.00097547+1.2432e-05i,0.00081693+0.00027171i,0.00085707-3.2763e-05i,0.00078792+4.8062e-05i,0.00070812+0.0006127i,0.00019503+0.00092401i,0.00027825+0.00019469i
0.00011941+0.0018665i,-0.00026384+0.00033039i,0.00015054+6.6625e-05i,0.0001119-0.00049975i,-0.00084739-0.001837i,-0.0014878-0.0024576i,-0.001242-0.0013074i,-0.00093563-0.00035207i,-3.1603e-05-0.00072655i,-0.00031673-0.0010417i,-0.001042-0.00071584i,-0.00081109-0.00066753i,-0.00057659-0.00041155i,-0.00038024+0.00038034i,-0.00047055+0.0014104i,-0.00057639+0.0017478i,0.00080644+0.00052058i,0.0011469-0.00015778i,0.00023119-0.00081571i,-0.00019558-0.0011113i,-0.00072797-0.00040744i,8.315e-05-0.00060911i,0.000708-0.00033089i
8.2746e-05-6.2683e-05i,0.00050086+0.00016467i,-0.00026067+0.00083256i,-0.0010416+0.0017542i,-0.000889+0.002612i,-5.9385e-05+0.0017448i,-9.5786e-05+0.00051473i,-0.00036876+0.00034191i,-0.00026259+5.0746e-05i,-0.00024309-9.0673e-05i,-0.00017669-0.00019905i,0.00035523-0.00048466i,0.00069942-0.00012731i,0.00015551-0.00034206i,-0.00062442-0.0007934i,-0.00039673-9.5457e-05i,0.00035827+0.00025215i,0.00085487-0.00042107i,0.00057871-0.00072912i,0.00063113-0.00054725i,0.00071442-0.00032221i,0.00046973-0.0001703i,0.000588-0.00025269i
0.0011687+0.0014797i,0.00079675+0.00050991i,0.00048197-0.00020309i,0.00043858+0.00023802i,-0.00018397+0.00024611i,-0.00079778-0.00014101i,-0.00016367-0.00035396i,0.00077941-0.00024631i,0.00078172+8.8604e-05i,0.00030348+0.00016106i,-0.00017831+0.00022213i,-0.000597+0.0004624i,-8.5524e-05+0.0007088i,0.00040144+8.5464e-05i,-0.00027577-0.00029308i,-0.00063163-9.747e-05i,-0.00023328+0.00034735i,-0.00011451-2.3174e-06i,0.00040668-0.00024128i,0.00081931+0.00012414i,0.00054484+0.00016304i,0.00058985+0.0003551i,0.00054551-0.00011299i
-0.00021149+0.0015725i,0.00028109+0.0017463i,-0.0007739+0.0013288i,-0.0017194+0.0002504i,-0.0013848+0.00041632i,-0.0013849+0.00052545i,-0.001219-0.00010489i,-0.00051244-6.1789e-05i,0.00015291+0.00038184i,0.00015805+0.00033313i,-0.00032406-0.00011755i,-0.00029984-0.00010386i,-0.00013533+0.00044417i,0.0003555+0.00031989i,0.00086496+0.00016042i,0.00074233+0.00039726i,0.00088952+0.00012232i,0.00092284-0.00026862i,0.00038466-8.2317e-05i,0.00041662+0.00020054i,0.0003987+0.00092512i,-0.00043566+0.00088024i,-0.00048701-0.00047061i
-0.00046011+0.00014002i,0.00031467+0.00073536i,0.00028127+0.00079378i,-0.00078302+0.00068064i,-0.0014499+0.00075985i,-0.001595+0.00043304i,-0.0014988+0.00045312i,-0.00023283+0.00044573i,0.0010679-7.084e-05i,0.00082524-0.00031726i,-0.0004416-0.00074622i,-0.00034367-0.001463i,0.00030756-0.0012115i,0.00037898-0.00048626i,0.00066436-0.00017546i,0.00068937+0.00036079i,6.7169e-05+0.00033058i,0.00016831+0.00026973i,0.00023438+0.0002187i,2.6837e-05+0.00040965i,-0.00028303+0.00061675i,-0.00036111+0.00069466i,-0.0004668+0.0002328i
