-0.0024207-0.0011967i,-0.00084745-0.00055699i,-0.0011083-0.00056872i,-0.0014241-0.0013472i,-0.00085562-0.00087741i,-7.779e-05+0.00069642i,0.0003402+0.0018723i,0.0002206+0.0020109i,0.00014025+0.0014758i,0.00070129+0.00057027i,0.00079229-0.00061804i,0.00082488-0.00099007i,0.00085607-0.00046651i,0.00042064-0.00057426i,0.00026297-0.0008371i,0.00079201-0.00030007i,0.00041916+0.0003394i,0.00042645+0.00031521i,0.00087344-0.00022562i,0.00078391-0.00043017i,-7.1487e-05-4.1688e-05i,-0.00052844+0.00018463i,0.00023997+0.00030297i
-0.0019074-0.0015519i,0.00029464-0.0011054i,0.00070482+0.00032056i,0.00035176+0.0010788i,0.00054202+0.00072464i,0.0014705-0.00040166i,0.0012464-0.0015497i,-0.00045042-0.0014061i,-0.0010232-0.001106i,-0.00055108-0.00036657i,-0.00062633+0.00085464i,-0.0010087+0.00063782i,-0.00011704-0.00020408i,0.00033854-0.00083989i,-0.00028963-0.00072382i,-0.0001633-0.00033172i,-0.00037339-0.00022028i,-0.0003313+0.00055933i,-0.00034229+0.00064516i,-0.00080181-7.0473e-05i,0.00010192-0.00079123i,0.00067278-0.00070391i,0.00049063-9.4386e-05i
-0.0010906+0.00045615i,-0.0014239-0.00057806i,-0.00078609-0.00093635i,0.0012187-0.00069706i,0.0016252-0.0013685i,0.0013858-0.0019086i,0.0010499-0.0016932i,0.00052814-0.00070586i,-0.00012859+6.3174e-05i,0.00034114+0.00073331i,0.001041+0.0011245i,0.00086851+0.00068427i,0.00089389+0.00031189i,0.00088484+0.00025086i,0.00012491-0.00048052i,-0.00042081-0.0008169i,-0.00035899-0.00074484i,1.9727e-05-0.00051458i,0.00046745-0.00054643i,0.00026863-0.00038203i,-0.00072235+0.00021441i,-0.0007766+0.00074407i,-2.1723e-06+0.0011245i
-0.0018591+0.0004214i,-0.00065575-0.00038994i,0.00076874-0.00063459i,0.0008653-0.00052795i,0.001287-0.0010191i,0.0016033-0.0011745i,0.00084-0.00079889i,-1.9738e-05-0.00087969i,-0.00063976-0.00027776i,-0.00053286+0.00023943i,-0.00014112-0.00012398i,-0.00012991-0.00026893i,0.00057077+0.00033122i,0.00076787+0.00020082i,-7.2403e-05-8.8266e-05i,0.00016969-0.00056916i,0.00058805-0.0012048i,0.00035304-0.00043373i,3.4395e-05+0.00054011i,-0.00020313+0.00046955i,-0.00044965+0.00036542i,-0.00050738+7.8132e-05i,-0.0013423+4.2763e-05i
-0.00056777-0.0014064i,-0.00030892-0.00022663i,0.00051859+0.001148i,0.00013559-0.00011321i,0.00012318-0.0016658i,0.0010936-0.0015004i,0.0006775-0.0011767i,0.00021872-0.00085215i,0.00053939+6.1025e-05i,0.00050545+0.00049097i,0.00012223-0.00015108i,-0.0002482+0.00031145i,-0.00035379+0.00066124i,-3.5136e-05-0.00029113i,-0.00061525-0.00033743i,-0.0008827+8.9173e-05i,-0.0002966+2.5091e-05i,0.00036713+0.00022236i,0.00069268-0.00013991i,0.00087035-0.00058508i,0.00062892-0.00094452i,0.00030961-0.00074358i,0.00025877-0.00017905i
0.00048914-0.00017598i,-9.5002e-05-0.00035755i,-0.00069368-0.00070399i,-0.00071812-0.00077455i,0.00012471-0.000595i,0.00096304-0.00052876i,0.00064814-0.00045792i,0.00027187-0.00041919i,-0.00034673-0.00057912i,-0.00064932-0.00030785i,-0.00065493+0.00060168i,-0.00025291+0.0010391i,-0.0002122+0.00093911i,-0.00074268+0.00052599i,-0.00087316-7.8063e-05i,-0.00033812-0.00099876i,-0.00083468-0.00085271i,-0.0011842-0.00038746i,-0.00048177-0.00035395i,-0.00028613-4.6063e-06i,0.00013177+0.00047694i,0.00051214+0.00097325i,0.00056983+0.00085867i
0.0015892+0.0012577i,0.0017529+0.00055914i,0.0015232+6.6913e-05i,0.0012355-0.00049213i,0.001156-0.0010623i,0.00076555-0.0015171i,0.00058778-0.00058999i,0.00032998+7.6714e-05i,-0.0004702+0.00020419i,-0.00052257+0.00042763i,0.00018958+0.00042477i,0.00042851+0.00052101i,0.00049668+0.00050376i,0.00079662+0.0003483i,0.00012086-0.00031278i,-0.00027921-0.0010353i,0.00038199-0.0010554i,0.00054545-0.00067906i,0.0001616-0.00029461i,0.00031793-0.00027424i,0.00041297-0.0004602i,0.00033825-0.00048514i,-0.00054636-0.00047872i
0.00011241-0.00033998i,-4.4375e-05+0.00063553i,-0.00062146-0.00015244i,-0.00012281-0.0016691i,0.0010178-0.0016905i,0.001686-4.4013e-05i,0.0011561+0.00091341i,0.0010005-0.0001106i,0.00056881-0.0012745i,6.129e-05-0.00052523i,-0.00024494+0.00035125i,-6.5449e-05+0.00044937i,-3.4058e-05+0.00043703i,0.0001467+0.00052825i,0.00024067+0.0005744i,-0.00042978-0.00040956i,-7.1266e-05-0.0013724i,0.00064952-0.00079336i,0.0008967+0.00085199i,-0.0002383+0.00091222i,-0.00098609-0.00035971i,-0.00013648-0.00026791i,-6.6501e-05+2.5113e-05i
-0.00085315-0.0010004i,-0.00075909-0.001366i,0.00026699-0.0013935i,0.00064589-0.0015714i,0.00066875-0.0017675i,0.0010253-0.0012025i,0.00039521-0.0001254i,-0.00020345-0.00024084i,-4.7805e-05-0.0001535i,3.9262e-05-6.6779e-05i,5.8129e-05-0.0001813i,-0.00015531+0.00035573i,0.00052628+0.0007195i,0.00039897+0.0010361i,7.4516e-05+0.00091614i,2.5837e-05+0.00024455i,-0.00044039-0.00066592i,-0.00075499-0.00069816i,-0.00031143-3.3177e-05i,-0.00033962+0.00056656i,-0.0013096-4.4294e-05i,-0.0010755-0.00080373i,-8.9727e-05-0.00032879i
0.00030815+0.00075822i,0.0005031+0.0011572i,0.00092186+0.00074602i,0.00060881+0.00039309i,0.00030401-3.9045e-06i,0.00029797-0.0004095i,0.00055193-0.00081629i,0.00028743-0.00072073i,-0.00021197-0.00035164i,-0.00013849-0.00043251i,0.00017664-0.00066124i,0.00049154-0.00056817i,0.0007456+0.00015376i,0.00074036+0.00044329i,0.00046894-0.00022504i,7.62e-05-0.0002861i,-0.00011903+0.00023309i,3.5203e-05+0.00022862i,3.5785e-05-9.6141e-05i,-0.00079996-0.00023069i,-0.00114-0.00063826i,-0.00058579-0.00064052i,-0.00021235-0.00019415i
2.4547e-05+0.0018461i,-0.0015938+0.001209i,-0.001137-0.00038709i,0.00043967-0.00081087i,0.0011177-0.00047792i,0.0008543-0.00018679i,0.00046546-0.00020929i,0.00064212-0.0006758i,0.00079505-0.00025433i,0.00059046+3.1424e-05i,0.00044213-0.00055809i,0.00028379-0.00028477i,0.00051567+9.2977e-05i,0.00061138+0.00066554i,3.0735e-06+0.00083294i,-0.00035471+0.00049359i,-0.00058633-4.8505e-05i,-0.0011281-0.00092812i,-0.00060871-0.0012815i,8.7276e-05-0.00086822i,0.00015039-6.5517e-05i,-0.00035229+0.00051015i,-0.00078265+0.00072652i
