-0.0011407+7.0744e-05i,0.00020664-0.0003911i,0.00025568-0.0010972i,0.00069029-0.00057087i,0.00022364-0.00052051i,-0.0002752-0.00074013i,0.00028888+5.0305e-05i,0.00028192+0.0002326i,-0.00013043-0.00049345i,-0.0003221-0.00020043i,-0.00015465+0.00049437i,-0.00012978-7.0742e-05i,-0.00031091-0.0005689i,-0.00091317+0.00022438i,-0.0011592+0.00042374i,-0.00090811+6.4812e-05i,0.000187-0.00022342i,0.00056017-0.00045891i,-0.00025147-0.00031553i,-0.0004237-0.00039367i,6.7272e-05+0.00016013i,-2.3297e-05-0.00034543i,-0.00010117-0.00034616i
6.4193e-05-0.0010041i,0.00011293-0.0010479i,-0.00040715-0.00096534i,-0.00023626-0.00064856i,0.00031484-0.00082188i,0.00038313-0.0015388i,-0.00013183-0.0018042i,-0.00023914-0.0010545i,-0.00042265-0.00092981i,-0.00062408-0.00085522i,0.00031409+0.00025196i,0.00081549+0.00094177i,-0.00015414+0.00061524i,-0.00085174+0.00037311i,-0.0003381+0.00029097i,-0.00048468+0.00058422i,-0.0011815+0.00090248i,-0.00070724+0.0005504i,5.8071e-05+0.00042255i,0.00021975+0.00061573i,8.2577e-05+0.00056198i,-0.00055666-0.00011267i,-6.8918e-05-0.00056004i
0.00026474-0.0010956i,0.0017669-0.0014563i,0.0021324-0.0018993i,0.00065645-0.0017272i,-0.00018664-0.0011937i,0.00021213-0.00032381i,-7.1155e-07-0.00076708i,-0.00075246-0.0013313i,-0.00065062-0.0014116i,-0.00074109-0.00036966i,-0.00089877+0.00058221i,-0.00025651+0.00022233i,0.00018585-0.00010231i,0.00021695+0.00047941i,8.2078e-05+0.0011347i,0.00023167+1.9117e-05i,-0.00026744-0.00092357i,-0.00068757-0.00037681i,-0.00023137+5.4412e-05i,-0.00020545+0.00010953i,-0.00080832+0.00070316i,-0.00082073+0.0010793i,-0.00070198+0.00046536i
0.00083978+0.00083341i,0.00010629+0.00026007i,0.00010002+0.00015059i,0.00091521-0.00024697i,0.0014717-0.0013785i,0.0013054-0.002024i,0.00071608-0.0015674i,0.00051398-0.00089059i,-2.7185e-05-7.5729e-05i,-0.0005333+0.00068352i,-0.00035945+0.00069745i,0.00027466+0.00041619i,-6.8334e-05+3.4468e-05i,-0.00049965+5.2885e-05i,-0.00081593+0.00014405i,-0.00095111+0.00015025i,-0.00027675+0.00033938i,0.00083833+0.00060584i,0.0016179+0.00023731i,0.0012149-0.0005435i,0.00038247-0.0010439i,-0.00013038-0.00092947i,8.5573e-05-0.0004341i
-0.00083297+0.00025104i,-0.00048606-0.0006069i,-4.164e-05+6.313e-05i,-1.0534e-05+6.9982e-05i,0.000473-0.00034838i,0.0013416-0.00055375i,0.00047076-0.00089345i,-0.0010041-0.00065967i,-0.0014065-0.00010077i,-0.0014448+0.00063446i,-0.00087994+0.00092637i,-0.00044521+0.0011176i,-0.00055699+0.00072428i,-0.001047+0.00075834i,-0.00067525+0.00077143i,-0.00012916+0.00027029i,-0.00020873+8.5563e-05i,-0.00030677+0.00081812i,-3.187e-05+0.0011592i,0.00038115+0.00019262i,0.00059259-0.00086038i,0.00054074-0.0011696i,-0.00075186-0.001034i
-0.00018886-0.0021495i,0.00063496-0.00099484i,0.00086755-0.0002577i,0.00031918-0.00045532i,-5.808e-05-0.00091814i,-0.00032839-0.0012756i,-0.00097993-0.0012504i,-0.0014653-0.00056603i,-0.0018503-0.00020614i,-0.0015848-0.00013423i,0.00013482+0.00064395i,0.00087254+0.00062296i,0.0003722-0.00050719i,-0.00040894-0.0010177i,-0.00083276-0.0007585i,-0.00049696-0.00028748i,-0.00081752+0.00019814i,-0.00081689+0.00057608i,-0.00047591+0.00029472i,2.9392e-05+0.00029025i,0.00036263+0.001114i,0.00049765+0.00070696i,0.00082754-0.00048802i
0.0027268-0.0014013i,0.0017332-0.0018581i,0.0011571-0.0017261i,0.0010363-0.00081598i,0.0010062-0.00096613i,0.0009647-0.0016783i,-1.344e-05-0.00050182i,-0.00083134+4.6566e-05i,-0.00064089-0.00027398i,-0.00030458-0.00023137i,-4.7768e-05+4.4966e-05i,-0.00016798-0.0001308i,-0.00077152-0.00028804i,-0.00060619+0.00037526i,0.00013853+0.00064672i,3.8002e-06+9.5006e-05i,-0.00083702+0.00024161i,-0.00054119+0.00086216i,0.00029634+0.0011473i,0.00026576+0.0011291i,-0.00055586+0.000785i,-0.00057488+0.00055034i,-0.00014037+4.7941e-05i
0.0032556+0.0013269i,0.0038074+0.00075117i,0.0035488-0.00080496i,0.0018559-0.0017815i,-0.00011004-0.0015662i,-0.00032269-0.0010182i,0.00063367-0.00067259i,0.00050436-0.00024187i,-8.9876e-06-0.00021568i,-0.00059245-0.00030743i,-0.00031787-0.00019431i,0.00014705-8.6552e-05i,6.5835e-05+0.00013567i,4.0862e-05+0.00037686i,0.00023072-0.0001822i,0.00078033-0.00021537i,0.0008784+0.00060279i,0.00037962+0.00079491i,0.00011283+0.00058092i,0.0007108+0.00059113i,0.00064194+0.0012215i,-0.00074117+0.00071228i,-0.0013739-0.00024665i
-0.0022293+0.00019547i,-0.0021597+0.00043366i,-0.0019251-0.00023576i,-0.00098605-0.00059283i,0.00015689-0.00095053i,2.8807e-06-0.0014261i,-0.00074168-0.0012437i,-0.00068803-0.00072723i,-0.00049259-0.00045826i,-0.00064857+0.00053042i,-0.00082222+0.00064663i,6.9041e-06-0.00014369i,0.0011966-0.0003256i,0.0011507-0.00036083i,0.00078078-0.00014747i,0.00027439+0.00018527i,0.00016703+0.00071287i,0.00055323+0.00027039i,0.00070128+2.8024e-05i,0.0003688+0.00054021i,-0.0003358+0.00037506i,-0.00091036+0.00024936i,-0.00039268-9.2135e-05i
-0.0012304-0.0040922i,-0.00020467-0.0043642i,-0.00022699-0.0028624i,-9.331e-05-0.0011221i,0.00042977-0.00089321i,0.0010187-0.0011044i,0.0005268-0.0017133i,-0.00042018-0.0017523i,-0.0014918-0.0009076i,-0.0016207-0.00040404i,-0.00051601+0.00044522i,0.0003877+0.00086394i,0.00046288-0.000228i,0.00060821-0.00089225i,0.00068626-0.0002936i,0.00035535-5.3349e-05i,0.00052338+0.00019241i,0.001143+0.00021273i,0.00137-0.00050886i,0.00035646-0.00067319i,-0.00060104-0.00073883i,-2.4358e-05-0.00096221i,0.00093591-0.00097824i
0.0020482+0.00089123i,0.0024402-0.00037039i,0.0019756+0.00029971i,0.0015376+0.00084019i,0.0017531+0.00016776i,0.0023024-0.001226i,0.00128-0.0017817i,-0.00058653-0.00082094i,-0.001286+0.00055576i,-0.0012412+0.00057366i,-0.00063594+0.00045048i,0.00039543+0.00085839i,0.00073698+7.2204e-05i,0.00058115-0.000653i,4.3185e-05-8.0862e-05i,-0.00026533+0.00067409i,0.00076206+0.000913i,0.0013166+0.0005032i,0.00060266+0.00015542i,-0.00012734+0.00026667i,-0.00019868+0.0011953i,-0.00025523+0.0012732i,-0.00033202+0.00013743i
0.00054543+0.001267i,0.00078702-0.0002029i,0.00064273-0.00083464i,0.00095457-0.00069776i,0.0012593-0.00090224i,0.0011732-0.001214i,0.00067694-0.00099718i,0.00020355-0.00073788i,0.0003482-0.00026585i,0.00030354+0.00031497i,-0.00047612+0.00049875i,4.378e-05+0.00042291i,0.00058046+0.00078647i,0.00018585+0.0011332i,-2.2579e-05+0.0011024i,-0.00052339+0.0004641i,-0.00065182-0.00024599i,-9.11e-05-0.00032635i,-0.00016914+0.00014311i,-0.00023745+0.00041754i,0.0001706+0.00086141i,-0.00036189+0.0011207i,-0.00050867+0.001246i
-0.00016377-0.0010207i,0.0011048-0.00076008i,0.0014817-0.0019411i,0.00067692-0.0031553i,1.4465e-05-0.0028609i,-0.00028467-0.0019022i,-0.00066763-0.0011944i,-0.00042803-0.00040635i,-0.00029766+0.00014837i,-0.00063362+0.00038787i,-0.00021681+0.00023043i,0.00022921-0.00012574i,0.000519-3.6082e-05i,0.00022858-0.00036134i,7.8248e-06-0.0011064i,-0.0006606-0.0010523i,-0.00062129+3.7673e-05i,0.00032819+0.00035943i,-5.0018e-05-0.00036979i,9.8729e-06-0.00068076i,0.0010137-8.1387e-05i,0.0012397+0.00036283i,0.00040322+0.00022677i
0.00058248-0.0022008i,-1.7982e-05-0.0017933i,-0.00049163-0.00095546i,0.00010895-0.0004019i,0.0003561+0.00030133i,0.00010119-2.7622e-05i,-0.00033166-0.00072384i,-3.371e-06-0.00019227i,-0.00015127-0.00055881i,-0.00052256-0.0010166i,-0.00062992-0.00075895i,-0.0010752-0.00026069i,-0.00042949+4.8077e-05i,5.2378e-05-1.7315e-05i,0.0003809+0.00012851i,6.1688e-05+0.00050467i,-0.00055814+0.0005867i,-0.00097295+0.00026918i,-0.00081314-0.00012398i,-0.00010974+0.00021811i,-0.00011644+0.00079086i,3.4751e-05+0.00089467i,0.00022758+0.00020486i
0.0017911+0.00010707i,0.0019283-0.00066074i,0.001726-0.001221i,0.00048375-0.0011405i,8.836e-05-0.0007601i,0.00039641-0.00075424i,-0.00034956-0.0013205i,-0.00017427-0.00088566i,-0.00014975+0.00058053i,-0.00063153+0.00051075i,-0.00041625+0.00050457i,-1.8678e-05+0.00054197i,6.2973e-06-0.00038343i,0.00026653-0.0012515i,0.00063448-0.0010552i,0.00061084-6.4895e-05i,5.1091e-05+0.00057485i,-0.00017264+0.0004269i,0.00051011+0.00049881i,0.00095915+0.00017085i,0.00072057+8.9349e-05i,0.00041038+0.00070278i,0.00024587+0.0007014i
-0.00025577-0.00073775i,0.00083184+0.00020113i,0.00028079-4.8777e-06i,3.9992e-05+0.000406i,0.00066444+0.00017017i,0.00097614-0.00029179i,-3.0729e-06-0.00016423i,-0.0011177+0.0002954i,-0.0014127+0.00075146i,-0.00082601+0.0010513i,-0.00039397+0.000928i,0.00027355+0.00052574i,0.00084405+0.00021468i,0.00043504-0.00082305i,-0.00010488-0.0010948i,0.00014314-0.00054179i,7.1396e-05+7.999e-05i,0.00019366+0.00081952i,2.0889e-05+0.00093647i,-0.00059616+0.0010945i,-0.00038292+0.0010021i,0.00045524+0.00055208i,0.00070195+0.00061877i
-5.2221e-05-0.00049163i,-0.00015821-0.0010744i,3.0126e-05-0.0010704i,-3.7457e-06-0.0012729i,0.00029523-0.0012295i,0.00058991-0.0008039i,0.00020994-0.001131i,-0.0003884-0.0016932i,-0.0005569-0.001154i,-0.00012525-0.00010087i,0.00054609+0.0008985i,0.00052361+0.0011113i,0.00028046+0.00083187i,-7.188e-05+0.00071521i,-0.00088571+0.00098688i,-0.0013458+0.00062122i,-0.00042257+0.00042093i,0.00048421+0.0007633i,0.00036458+0.00073639i,-6.3766e-05+0.0012039i,-0.00061529+0.00053753i,-0.00041916-0.00022693i,-0.0003678+0.00031209i
0.00039939+0.0017978i,0.0013435+0.0012165i,0.00068799+0.00059966i,0.00016822-0.00042511i,0.00015524-0.0017012i,0.00026051-0.0022123i,-0.00051403-0.0015138i,-0.0016737+0.00021723i,-0.0016018+0.00095776i,-0.0009484+0.0006611i,-0.0005168+0.00034796i,-9.5967e-05+0.00021488i,-0.000137-1.1563e-06i,-0.0008713-0.00016816i,-0.00067212-0.00026313i,-0.00016786-0.00041506i,-0.000295-9.4234e-05i,-0.0003996+0.00050617i,-0.00031994+0.0010404i,0.00024951+0.00035774i,0.00028849-0.00011879i,-0.00022895+0.00082351i,6.7558e-05+0.001033i
