0.0018975+0.0014575i,0.002446-0.00011364i,0.0022448-0.00083502i,-0.00010163-4.2124e-06i,-0.0023413+0.00024634i,-0.0026487+0.00051019i,-0.00079227+0.0017534i,0.00088258+0.002082i,0.0016285+0.00050215i,0.0015577-0.00085924i,0.00096487-0.00069389i,2.0119e-05-0.00034926i,-0.00071514-9.3321e-05i,-0.00045408+0.00059201i,-0.00071132+0.00070349i,-0.0014899+0.00026821i,-0.0011112-0.00072366i,-0.00058256-0.0010497i,-0.0002864-0.00077245i,0.00032262-0.0001684i,0.00022437+0.00040257i,-8.4877e-05+0.00057634i,-0.00014013+0.00072644i
-0.0015385-0.00078388i,-0.00088025+0.00033233i,-0.0011263+0.002005i,-0.00080518+0.0019131i,-5.1732e-05+0.0018884i,5.6543e-05+0.0018181i,0.00089098+0.0014955i,0.00062732+0.0012869i,0.00019006+0.00092796i,0.0006506+0.00058079i,0.00056424+6.4506e-05i,4.6725e-05-7.2337e-05i,-8.674e-05+0.00046879i,7.8776e-05+0.00075022i,0.00060318+0.00084417i,0.00095134+0.00027828i,0.00026118-0.00093484i,6.6691e-06-0.00058513i,0.00040938-0.0003469i,0.0002198-0.00089078i,-0.00027269-0.00079878i,-0.00069924-0.00043471i,-0.00085857-0.00072452i
-0.00042867-0.0012874i,-0.00067027-0.00070778i,-0.00079531+0.00022182i,-1.8343e-05+0.0015477i,0.00061108+0.0010694i,0.0014271+0.00046224i,0.001688+0.0010757i,0.00071331+0.0010911i,-0.00041003-0.00014416i,-0.0001958-0.00023541i,-0.00012347+0.00025628i,-0.00025293+0.00017382i,-0.000477+1.8359e-06i,-0.00061074-0.00045458i,-0.00086722-0.00029855i,-0.00082518-0.00048449i,0.000114-0.0003621i,0.00046626+3.905e-05i,0.00029993-0.00023368i,0.0003886+0.00030873i,0.00048468+0.00035803i,0.00035627-7.5308e-05i,0.00096446+0.00052549i
0.00044562+0.0011846i,0.00015007+0.00067436i,4.5242e-05-0.00067223i,0.00049239-0.00011867i,0.00021313+0.0012231i,-0.00056149+0.0011539i,-0.0012863+0.00094886i,-0.00093049+0.00074611i,0.00045415+8.8879e-05i,0.00063394-0.00023368i,-0.00062988-6.3362e-05i,-0.0011366+0.00051735i,-0.00068715+1.7761e-05i,-0.00012831-0.00062814i,0.00070022-0.0003891i,-9.8221e-05-0.00020395i,-0.0011392-0.00065136i,-0.00033565-0.0011461i,0.00069748-0.00097149i,0.00059181-0.00044169i,0.0002765+6.4758e-05i,-5.1069e-06+0.00016494i,-0.00057872-8.7436e-05i
-0.00033314-0.0015879i,-0.0018721-0.00010509i,-0.0015984+0.002427i,0.00027622+0.0029037i,0.00098079+0.00188i,0.00072464+0.0011539i,0.0006785+0.0005452i,5.8081e-05+0.00045271i,-7.0405e-05+0.00058185i,0.00071565+0.00025633i,0.00043836+0.00043974i,-0.00057548+0.00057206i,-0.00081416+0.00050509i,-0.00018658+0.00041115i,0.00029598+4.4856e-05i,6.2007e-05-0.00046651i,0.00010799-0.00098244i,0.00018906-0.00042551i,0.00017665+0.0002562i,0.00028017+0.00020198i,-0.00033214+0.00074574i,-0.00040853+0.00083444i,0.00067878+3.5447e-06i
0.0002396-0.00034326i,0.00031208+0.00027745i,-0.00036636+0.0012975i,0.00019348+0.0012025i,0.00071417+0.00056909i,-0.00026855+0.00062401i,-0.00025605+0.00073319i,0.00028331+0.00040371i,1.5288e-05+0.0003524i,0.00011966-1.5684e-05i,9.0114e-05-0.00081213i,4.7851e-05-0.00085726i,0.00014477-0.00019915i,-0.00041353-2.8919e-05i,-0.00040063-0.00032545i,-0.00032333-0.00023674i,-7.3161e-05-1.6382e-05i,0.00034728+0.00040921i,0.00035134+0.00094377i,0.00096254+0.00034088i,0.00069059-0.0006743i,0.00010447-0.001046i,-6.8871e-05-0.00047019i
0.00040864+0.0016386i,0.00025301+0.001066i,-0.0005746+0.0012655i,-0.00025909+0.0013088i,6.187e-05+0.0010253i,0.00012765+0.00082519i,0.00050232+0.0011867i,0.00052258+0.0011218i,0.00039286+0.0012138i,0.00050465+0.00065345i,0.00081093-6.0556e-05i,0.00033964+0.00027319i,-0.00013032+0.00027656i,6.0886e-06+0.00023745i,0.00052037-6.7188e-05i,0.00043001-0.0010523i,-0.00012897-0.0016462i,-0.00015315-0.00093957i,-0.00033338-0.00015271i,-0.00040821+0.00044503i,-0.0010231+0.00097802i,-0.00085395+0.00043309i,-0.00041551+0.00031889i
-0.00055027+0.0010664i,-0.0013494+0.00080332i,-0.00044923+0.00066744i,-0.00031663+0.00087778i,-0.00026736+0.00089659i,-2.282e-05+0.0012058i,-0.00033038+0.001856i,-0.00057509+0.0012251i,-0.00043403+0.00048205i,-0.00039254+0.00027238i,-0.0002554-0.00080501i,-6.2226e-05-0.00099471i,-0.00038434-0.0004548i,-0.00022256-0.00047283i,4.3528e-05-0.00057743i,-9.5086e-05-0.00058049i,-0.00033495-0.00058822i,-0.00048479-0.00015604i,0.00033175+0.00022188i,0.00080654+0.00036162i,-0.00061424+0.00022505i,-0.00091274-0.00022986i,3.7248e-05+0.00019948i
0.00092095+0.00056524i,0.00036058+0.00039726i,-6.3329e-05+0.001482i,0.00021488+0.0019691i,0.00047708+0.0018966i,-0.00016908+0.0012802i,-0.00071933+0.00075945i,-0.00043897+0.00079935i,-4.5907e-05+0.00045709i,0.00043574+0.00018807i,0.00069318-2.0723e-05i,-4.9503e-05+0.00024101i,-0.0009888+0.00054026i,-0.0010924-0.00017203i,-0.00057767-0.0010564i,-0.00033245-0.00092914i,-0.00021146-5.8904e-05i,0.00012949+0.00043066i,0.00012498+0.00087145i,-0.00031462+0.001014i,-0.00042475+0.00081803i,0.00038506+0.0010627i,0.00026421+0.00065021i
-0.0016162+0.00017089i,-0.0010987+0.00079636i,-0.0014962+0.00074374i,-0.0016282+0.0011657i,-0.0005402+0.001401i,0.00073033+0.0015929i,0.0005526+0.0010039i,0.00080055+0.00031847i,0.00096161+0.00054805i,-4.1551e-05+0.00093669i,-0.00018621+0.00090986i,-6.2196e-06+0.0003973i,-0.00044541-0.00025194i,-0.00075167+0.0001293i,-0.00062101+9.3694e-05i,-0.00069296-0.00010342i,-0.0001747+0.00029304i,0.00031757+0.00032589i,0.0006643+0.00011794i,0.00053415-3.2072e-05i,-0.00020139-0.00092336i,0.00014609-0.00089017i,0.00057383+0.00013744i
-0.00026712+0.00044439i,-0.0017041+0.0015763i,-0.00023111+0.0021371i,0.00091407+0.0013117i,0.00098543+0.00095921i,9.1263e-05+0.00028143i,-0.00024777+0.00028766i,0.00044776+0.00085394i,0.00050616+0.00080093i,-0.00034897-0.00065441i,-0.00021322-0.0015279i,0.00042734-0.0011683i,-0.00019523-0.0011665i,-0.00090173-0.00040631i,-0.00043418+0.0002402i,0.00030396+1.6774e-05i,-9.9711e-05-1.4628e-05i,-0.00098427+0.00032497i,-0.00088983+0.00018262i,-0.00025513-0.00012395i,4.2159e-05-0.00046646i,-0.00032484-0.00032878i,-0.00047196+0.00016045i
0.0011481-0.0010657i,0.0010362-0.00034261i,0.00025487+9.0055e-05i,0.00045619-0.00013436i,0.00057622-0.00012863i,-0.00040948+0.00031006i,-0.00042156+0.00061027i,0.00037359+0.00012869i,-0.00020253+2.722e-05i,-3.2799e-06+0.00086497i,0.00052157+0.0010917i,0.00032337+0.00061422i,0.00042459+0.00033933i,0.00088473-0.00032273i,0.00045916-0.0012068i,-0.0005457-0.0011104i,-0.0010948-0.00036701i,-0.00056911+5.2127e-05i,-0.00016314-0.00027827i,-0.00012576-0.00019923i,0.00015703+0.00024742i,0.00037537+0.00055308i,0.00045596+0.0003701i
-0.00085881+0.00031549i,-0.0017895+0.00089287i,-0.0019008+0.0010428i,-0.0011974+0.00092811i,-0.00011185+0.0010127i,8.8455e-05+0.0014452i,7.8594e-05+0.0012785i,0.00064862+0.00057535i,0.00035668-1.1765e-05i,-0.00040472-0.00077763i,-8.0217e-05-0.00073782i,0.00015246-0.00070115i,0.00034049-0.00043102i,2.1671e-05+0.00025585i,-1.1041e-05+0.00017921i,0.00026751+0.00044636i,-0.00023329+0.00032295i,-0.00022042-0.00050684i,0.00048159-0.00017886i,0.00029817-0.0004251i,-0.00043574-0.00053371i,-0.00042201+0.00037533i,-1.8773e-05+0.00038069i
-0.0011621-0.00060037i,-0.00065636+0.00017521i,-0.00069898+0.0010998i,-0.00064177+0.0019854i,-1.4502e-05+0.0012147i,0.00030835+0.00034411i,0.00050143+0.00052192i,0.00030153+0.00080489i,-0.00018018+0.00084613i,-0.0002767+0.00024197i,0.00028459-0.0001098i,0.00040187+0.00023929i,6.3497e-05+0.00059213i,-0.00089399-0.000196i,-0.0010311-0.0011229i,-0.00022311-0.0010583i,0.00011592-0.00087632i,7.4552e-05-0.0007531i,0.00058387-0.00081317i,0.00035677-0.00056252i,-0.00024408-0.00010815i,-0.00058912-0.00014946i,-0.00060962-0.00042306i
-0.00025366-0.0002491i,-0.00035963-0.00019234i,-0.00090653+0.001869i,-0.00057069+0.0027847i,0.00048137+0.0025399i,0.00053934+0.0023138i,0.00047357+0.00144i,-0.00026425+0.00037113i,-0.0010991+6.4668e-05i,-0.00030681-3.1203e-05i,0.00031791-0.00045311i,0.00015911-0.0010268i,-0.00024215-0.00083098i,-0.00072525-0.00016363i,-0.00056829+0.00033444i,-0.0001803+0.00038921i,0.00014864-0.00053582i,9.9186e-05-0.001484i,0.00023412-0.0011668i,0.00021778-0.00073922i,0.00066122-9.6397e-05i,0.00074004-0.00022394i,-4.1944e-05-0.00068897i
-0.00098042-4.1422e-05i,-0.00098182+5.0221e-05i,-0.00058172+0.0015168i,0.0001157+0.0024999i,0.00012955+0.001614i,0.00026592+0.00019777i,0.00013237+0.00025834i,-0.00048715+0.00027944i,-0.00023823-0.00018915i,-0.00054225-0.00072526i,-0.00076987-0.0011732i,-0.00044299-0.0006354i,-9.887e-06-7.4259e-05i,8.7504e-05-0.00026236i,-0.00058191+0.00012194i,-0.00075682+0.00060548i,-0.00015043-2.4211e-06i,0.00079586-0.00086327i,0.00077569-0.0010291i,-0.00016217-0.00053664i,-0.00048187-0.00043264i,-0.00015958-0.00046616i,0.00032722-0.00063318i
-0.00063754-0.00038431i,-0.0007584-0.00053558i,-0.00074129-0.00012931i,-0.0012928+0.00056188i,-0.0011377+0.0010654i,-0.00044462+0.0014059i,0.00016279+0.0011654i,-0.00013781+0.0010535i,-0.00010055+0.0008227i,0.00042848-3.2491e-05i,0.00043946-0.00018983i,1.2524e-06+0.00032449i,-0.00047957+0.00022763i,-0.00094053+3.6944e-05i,-0.00067354-9.301e-05i,5.8736e-05-0.0011919i,0.00048148-0.0014157i,0.00037067-0.00036519i,-0.00016696+0.00034523i,1.5692e-05+0.00024317i,3.3783e-06-0.00013809i,0.00053713-0.00074762i,0.00066474-0.00063803i
0.0014956+0.0010121i,0.0009603+0.0019939i,0.00040583+0.0016433i,0.00027498+0.00071921i,0.00087641+0.00054036i,0.00073958+0.000733i,0.0011991+0.0012031i,0.0017342+0.0011748i,0.001182+0.00090468i,0.00087999+0.00036496i,0.00035372-0.00020562i,-0.00012089-0.00017924i,0.00013827+0.0002837i,-0.00026796+0.00037463i,-0.00047004+0.00022516i,0.00024606+0.0007474i,0.00051093+0.001108i,5.797e-05+0.0008429i,-5.5659e-05+0.00022019i,-3.0674e-05+0.00078622i,-0.00029352+0.0010424i,-0.00023087+0.00041161i,0.00035971+0.0003963i
-0.00073193+0.0010509i,-0.00022156-0.00019931i,-2.2544e-05-0.00024661i,-0.0002706+0.00032724i,-0.00033487+0.00080381i,-0.00051662+0.0014162i,-0.00047933+0.0017314i,-0.00065467+0.0017347i,-0.00050515+0.0016255i,-7.5399e-05+0.00097263i,-0.00034227-1.1888e-05i,0.00011702-0.00026498i,0.00020324-0.00018962i,-0.00025023-0.0004315i,-0.00050128-0.00036844i,-0.00053039-0.00026068i,-0.0002437-0.0004977i,-0.00067504-0.00061686i,-0.00057612-0.00041629i,0.00011891+0.00014198i,-0.00026641+0.00040081i,-0.00066633+5.7142e-05i,-0.0002074-0.00020895i
0.00024117+0.0014421i,-0.0015431+0.001695i,-0.0023429+0.0024426i,-0.00096373+0.0025691i,0.00090092+0.0017846i,0.0017637+0.00088103i,0.0010262+0.0010349i,-5.147e-06+0.00092908i,-0.00011562+0.00037896i,0.0006898+0.00066973i,0.00086322+0.00064609i,0.00036536-0.00017949i,-0.00018152-0.00061542i,-0.00038753-0.00016736i,-5.5065e-05-0.00019528i,0.00046424-0.00049486i,0.00028177-0.00042046i,0.00012911-0.00032351i,0.00043013-0.00041229i,0.0002943-0.00024279i,5.0016e-05+0.00063296i,0.00061493+0.00080354i,0.0011151+0.00015741i
-0.00075765+0.00020292i,-0.0015049+0.00012991i,-0.0010945+0.0013105i,-0.00051338+0.0017696i,-0.00067638+0.0011833i,-0.00075593+0.00075281i,-8.8253e-05+0.00047824i,0.00025555+0.00045797i,8.8916e-05+0.00069051i,8.4996e-05+0.00078896i,0.00033119+0.00046178i,-1.6875e-05+6.7325e-05i,-0.00045128-0.0004559i,-0.00057934-0.00029479i,0.00013955+0.00012356i,0.00091258+0.00041591i,0.0010702-0.00015671i,0.00076072-0.00086454i,0.00034125-0.00051895i,0.00069895+0.00051996i,0.001199+0.00068065i,0.00093783+0.00042071i,-0.00017806-8.8963e-05i
0.0007273+9.561e-05i,-0.00052791+0.0005993i,-0.00064507+0.00047999i,-0.00091397+0.00097017i,-0.00080991+0.001811i,0.00026563+0.0024217i,0.00017204+0.0017964i,3.491e-05+0.00074394i,0.00016589+0.0002285i,0.00028742+0.00036772i,0.00050327-0.00020288i,-0.00039858-0.00079485i,-0.00086145-0.00043975i,-0.00047078+0.00021092i,-1.4705e-05-0.00027067i,-6.4504e-05-0.00043787i,-5.0778e-05-3.5581e-05i,0.00023692+5.1515e-05i,0.0002488-7.246e-05i,0.00053297-0.00052291i,0.0004016+1.3755e-05i,9.0809e-05+0.00097753i,6.9358e-05+0.0010322i
-0.0022473+0.00051043i,-0.0020929+0.00019478i,-0.0023591+0.0013557i,-0.0016725+0.0025473i,-0.00097039+0.0027893i,-0.00029948+0.0022291i,0.00050089+0.0010142i,0.0010368-0.00046953i,0.00078646+2.8607e-05i,1.0024e-05+0.00083738i,0.00026958+0.00047826i,5.1754e-05+0.00055758i,-0.00056324+0.00042077i,-0.00056553-0.00072796i,8.2163e-05-0.0014808i,1.5438e-06-0.00057162i,-0.00025331-0.00056248i,-0.00010294-0.00053114i,-0.00025395+0.00030731i,-0.00034648+0.00018305i,-0.00026891-5.6499e-05i,-0.00031676-5.9672e-06i,-0.00090348-3.4931e-06i
0.00040275+0.0011719i,-0.00069316+0.00093078i,-0.00037497+0.00085247i,-0.00019961+0.00087602i,0.00015308+0.0010185i,0.00055297+0.00087914i,-0.00029941+0.00077957i,-0.00055359+0.00050234i,0.00056128+0.00069011i,0.00023244+0.00098867i,-0.00027178+0.00061693i,-0.00015487-0.00013227i,-7.1158e-05-0.00020224i,-0.00018233-3.0095e-05i,-0.00017645-0.00015154i,0.00032983-0.00057471i,0.00046798-0.00059555i,0.00011904-0.0001441i,-0.00029654+0.00022375i,-0.00068777+0.00030015i,4.3288e-05-3.4453e-05i,3.1713e-05-0.00052956i,-0.00036209-0.00055343i
-0.00029349+0.00020982i,-0.00010473-0.00036124i,-0.0005477+0.00057339i,-0.00020339+0.0015278i,0.00043785+0.0017681i,0.00036407+0.0014171i,-0.00012602+0.00069801i,-0.00083769+0.0004755i,-0.0011233+0.00024887i,-0.00067554+0.0002474i,0.00010238+0.00071053i,0.00029678+0.00057235i,0.00033938-0.00011595i,0.00061797-0.00030908i,0.00082672+0.00024826i,0.00042813+0.0002318i,0.00059635-0.00025732i,0.00060733-3.3293e-05i,0.0002197+0.00026064i,0.00011161-4.0767e-06i,0.00034996-0.00010557i,0.00013006+0.00023485i,0.00015939+0.00056582i
