0.0024732-0.00053771i,0.0021317-0.0027004i,0.001597-0.0049492i,0.00012477-0.0047045i,-0.00089297-0.0017417i,-0.0007418+0.00013448i,0.00063039+0.00035267i,0.001554+0.00081564i,0.0019179+0.00056949i,0.0019614-0.0005274i,0.0010259-0.00072075i,0.00028425+0.00010089i,-0.00038904+0.00035281i,-0.0013402+0.00081699i,-0.0017976+0.0013086i,-0.00099272+0.00069851i,0.00051756+0.0001345i,0.00050283-0.00014958i,0.0003408+0.0003671i,0.00049145+0.00097225i,0.00014433+0.00020744i,0.00022648-0.00069389i,0.00080815-0.00017001i
-0.0020005-0.00088264i,-0.0031646-0.00067035i,-0.0041721-0.00012212i,-0.0022995+0.00071427i,0.00066571+0.000201i,0.0027559-0.0014709i,0.0031339-0.002205i,0.0013395-0.0015595i,-0.00042053-0.001706i,-0.00055713-0.0010216i,-0.00064835-0.0002499i,-0.00039446-0.00032893i,0.00082459-0.00033008i,0.0011336-0.00034906i,0.00053336+0.00024873i,9.7647e-05+0.00035214i,0.0001167+3.4887e-05i,-0.00019383-6.3321e-05i,-0.0001934-0.00035072i,-0.0003581-0.0002906i,-0.00062024-9.6255e-05i,-0.00061262+0.000374i,-0.00023121+0.00025365i
-0.0016295+8.4452e-05i,-0.00022407+0.0014121i,0.00044634+0.0016995i,-6.4307e-05+0.00113i,0.0011709-0.00017227i,0.0023819-0.0012722i,0.0026146-0.0014154i,0.0015345-0.000873i,-0.00018889+0.00047331i,-0.00093111+0.000722i,-0.00064458-1.8646e-05i,0.00014118-0.0003752i,0.0014769-0.00019776i,0.001489+3.3494e-05i,0.00018291-1.0259e-05i,-0.00011374+0.00036417i,0.00010548+0.00019881i,0.00011465-0.00035002i,0.00058346-0.00032199i,0.00091251+4.2626e-05i,0.0002032+0.00035611i,-0.00049707+0.00071883i,-0.00053089+0.00072776i
0.00052959+0.0010368i,0.00023034+7.5123e-05i,-7.8321e-05-0.00042479i,0.00019295-0.00043981i,0.00050236-0.00088916i,0.0007394-0.0012801i,0.0012592-0.001675i,0.00057968-0.0011411i,0.00043177-0.00074594i,0.0002445-0.00055799i,-0.00022548-0.00040643i,-0.00064851+0.00015989i,-0.0011472+7.9292e-05i,-0.00077767-0.00039237i,-0.00059108-8.3459e-05i,-0.000424+0.000244i,-0.00031648-0.0002951i,-0.00057237-0.00072474i,-0.00051625-0.00039357i,-0.00033589-0.00010895i,0.00017286+0.00040166i,0.00069743+0.00061639i,0.00060107+0.00020756i
-0.00078491-0.00077033i,-0.0014311-0.0015384i,-0.00085966-0.0010328i,0.00064487-0.00032502i,0.0018933-0.00032818i,0.0026253-0.00080288i,0.0019474-0.0012357i,0.00082369-0.0010407i,-9.7889e-05-0.00049435i,-0.0002725-3.634e-05i,-0.00016231-0.00019191i,-0.00077364+0.00013309i,-0.0010783+0.00058583i,-0.00031979+0.00013354i,0.00036031+3.9002e-05i,0.00017194+0.00048185i,-5.3521e-05+0.00040878i,-0.00020921+3.403e-07i,-0.00010141+0.00040225i,2.0441e-05+0.00030315i,-0.00016536+0.00020921i,-0.00024848+0.00012762i,-4.2222e-05-0.00085684i
-0.0018562-0.0010022i,-0.0012862-0.0014598i,-0.0021447-0.00069653i,-0.0018808+0.00040576i,0.00063139+0.00088651i,0.0025378-6.6977e-05i,0.0032082-0.0011797i,0.0023442-0.0017232i,0.00025421-0.0011907i,-0.00080844+0.00046534i,-0.00042665+0.0011832i,-0.00033562+0.001322i,-0.0009701+0.00127i,-0.00041614+0.0010584i,0.00066988+0.00092356i,0.00058809+0.00038894i,3.0395e-05+0.00053733i,-0.00073352+0.00077655i,-0.0011932+0.00035518i,-0.00059837-0.00057586i,-0.00053671-0.00078249i,-0.00025938-0.00010997i,0.00042879-0.00020945i
-0.00028059+0.00070957i,-0.00030224+0.0011884i,0.00014353+0.00085845i,0.00084334+0.000227i,0.0012933-0.00012335i,0.0010927-0.0013687i,0.00094444-0.0019739i,6.1402e-05-0.0014986i,-0.000782-0.00083648i,-0.00040727-0.00068046i,0.00010103-0.00057345i,-0.00015912-0.00024581i,-0.00039209-1.5779e-05i,-0.0004603+0.00051793i,-0.00039413+0.00073052i,-1.6864e-05+0.00059824i,0.00043206+0.00062766i,0.00048491+0.00045686i,0.00010046-0.00013943i,-0.00030605-0.00014817i,-0.00025154+0.00067023i,0.00013442+0.00060995i,0.00030933-0.00050091i
0.00068038-0.0018446i,-0.00047035-0.0023997i,-0.0010926-0.0015282i,0.00013061-0.00074127i,0.0017368+0.00010644i,0.0020867+0.00027943i,0.0014628-0.00052332i,0.001308-0.0014686i,0.0014174-0.001199i,0.00035822+0.00017796i,-0.00079834+0.00047749i,-0.00080678-0.00019744i,-4.2175e-05-0.00024936i,0.0002806+0.00074079i,0.00013884+0.00082303i,-6.6699e-05-0.00018438i,-0.00017609-2.3925e-05i,3.558e-05+0.00047283i,-9.7111e-05+7.2063e-05i,-0.00036927-0.00035539i,0.00016995-0.00019231i,0.00038307+0.00046859i,0.00017144+0.00046418i
6.9081e-05+0.0018478i,-0.00035918+0.0023222i,-0.0001613+0.0016966i,0.00044031+0.001462i,0.00076891+0.00088748i,0.0011443+0.00012988i,0.0013238-0.00075322i,0.00061114-0.0010859i,-0.00018588-0.00033512i,-0.00060448-0.00027147i,-0.00040633-0.00012971i,0.00051191+0.00053205i,0.00028675+0.0004101i,-0.00051104-0.00045536i,-0.00018006-0.00087925i,0.0004214-0.00062987i,3.2551e-05-0.00041727i,-0.00089461+0.00011279i,-0.00097504-0.00030215i,-0.00052224-0.001095i,-0.00028319-0.00017225i,-6.5017e-05+0.00011229i,-0.000454+0.00028864i
0.0020496-0.00080283i,0.0019102-0.0010996i,0.0020784-0.00099936i,0.0015096-0.0011509i,0.00081515-0.0016348i,0.0016548-0.001645i,0.00135-0.0014493i,-0.00049513-0.00051026i,-0.00064947+0.00022445i,0.00059413-8.483e-05i,0.00025049-0.00022228i,-0.00088463+0.00011865i,-0.0011998+2.9878e-05i,-0.0010833+0.00067037i,-0.00075454+0.0014631i,-0.00051896+0.0010601i,-0.00040208+0.00038314i,-0.00045451-3.2502e-05i,-0.00034488-6.3904e-05i,-0.00018356-7.1024e-06i,0.00018667+0.00055069i,-7.2836e-05+0.00046948i,-0.00045869-0.00072037i
-0.00090948-0.0018074i,-0.0019676-0.0025631i,-0.0021485-0.0017516i,-0.00099103-0.00028729i,0.00025297+0.00042445i,0.00066121-0.00019513i,0.00097288-0.00082504i,0.00020028-0.0011465i,-0.00077588-0.0012342i,-0.00041458-0.00063396i,0.00020936-0.00020859i,9.4789e-05-0.00041405i,0.00010808-0.00040651i,-0.00017484-0.00025509i,0.00024623-0.00026565i,0.00083968+0.00011498i,-0.0001758+0.0015004i,-0.00067589+0.0018289i,0.00028769+0.0011565i,0.00052685+0.00048177i,0.00024439-0.00024281i,0.00029343-0.00055377i,0.00054209-0.00067539i
