-0.0034154-0.00044018i,-0.0030875+0.00071505i,-0.0028196+0.0026702i,-0.0013704+0.0024915i,0.00061892+0.0011334i,0.00064608+0.0012029i,-9.6086e-05+0.0017683i,0.00089518+0.0017599i,0.0015946+0.0012322i,0.00178+0.00014862i,0.0021153+0.00010244i,0.002072+0.00031028i,0.0016617-0.00095348i,0.0015032-0.0011826i,0.0014271-0.0010947i,0.0014821-0.0014707i,0.00094535-0.0008538i,6.1846e-05-0.00044842i,-0.00035761-0.00069387i,-0.0001938-0.00089444i,0.00038197-0.00032499i,0.00010359+0.00026187i,0.00019821-0.00033637i
-0.00030339+0.00032199i,-0.0004098-0.00041903i,-0.0013831-0.00050225i,-0.0013933+0.00037207i,-0.00017203+0.00055059i,0.00024083+0.00026535i,0.00044659+0.00024824i,0.0003182+1.433e-05i,-0.00065351-3.7008e-05i,-0.00078326+0.00091737i,0.00019042+0.0013131i,0.00067281+0.00023839i,0.00021319+6.2463e-05i,0.00037478+0.00082427i,0.0014232+0.001027i,0.0014218-0.00018536i,0.00065925-0.00045164i,0.00027807+0.00011007i,0.00044716+1.7576e-05i,0.00068834+0.00016303i,0.00064559+0.00055938i,0.00085848+0.0002285i,0.00066199+0.0003932i
-0.00059712+8.3459e-05i,-0.00012123+0.00014638i,0.0012038+0.00014548i,0.0015329-0.00090458i,0.00085917-0.0017261i,0.0011102-0.0014939i,0.0012555-0.00052536i,0.00056188+0.00053587i,0.00034036+0.00098416i,0.00051094+0.0003546i,1.7453e-05-0.00023154i,-0.00024928-1.898e-05i,-0.00015404+0.00013724i,-0.00022305+0.00014975i,-4.8934e-05-0.00013685i,0.0006966+0.00046293i,0.0010552+0.00043112i,0.0013079+0.00047926i,0.00050207+0.00061996i,-0.00072409+0.00016678i,-0.00058326-0.00064738i,0.00015937-0.0010466i,0.00032637-0.0005877i
-0.0014228+0.0018775i,-0.0012716+0.0017029i,-0.0004097+0.0014986i,-0.00058089+0.0018752i,-0.00099308+0.0016003i,-0.00105+0.00054961i,-0.000452-0.00045108i,-0.00034778-0.00021157i,-0.0004297+0.00061685i,-0.00011965+0.00061782i,0.00054298-0.00028555i,0.00065995-0.00084375i,6.8855e-06-0.00024402i,-0.00033778-9.4432e-05i,9.4494e-05-0.00087333i,0.00031885-0.0011667i,0.0006636-0.00061312i,0.00061647-0.00011987i,0.00028636+0.00029488i,-0.00042855+4.3937e-05i,-0.0014688-0.00022525i,-0.00077746+0.00058678i,0.00079486+0.0009308i
0.00084191-0.0016103i,0.00032201-0.001213i,-0.00069803-0.001715i,-0.00066402-0.0025001i,-0.00017813-0.0017408i,0.00025997-0.00032721i,0.00037139+0.0002548i,0.00038942+0.0004178i,0.00038083+0.00051236i,0.00024475+4.8554e-05i,0.00054043-0.00052307i,0.00039701-8.3904e-05i,-0.00021146+0.00075443i,-0.00063527+0.00073185i,-0.00068399+0.00034046i,-0.00023195+0.00064089i,-3.3755e-05+0.00039861i,2.0349e-06-4.6701e-05i,-0.00025191-0.00057296i,-0.00013575-0.0011225i,1.5867e-05-0.0006814i,-0.00034208-0.00065764i,4.7593e-05-0.00056676i
0.00042492-4.7609e-05i,0.00085985-4.3571e-05i,0.00040787-0.00029376i,-0.00035636-0.00049924i,-0.00092064-0.00059184i,-0.0013046+0.00037634i,-0.0013293+0.00088399i,-0.00024464+0.00060002i,0.00024932+0.00061194i,-0.00048106+0.0011609i,-0.00058947+0.00097175i,-0.00081968+0.00021684i,-0.0013938-6.5279e-05i,-0.0012272+0.00017082i,-0.00021117-8.5213e-05i,0.00098115-0.00011476i,0.00087591-0.00023782i,0.00069529-0.00050231i,0.0012471-0.00030105i,0.0011944-6.5804e-05i,0.00060651+7.2109e-05i,0.00010407-0.00029272i,-6.7831e-05-0.00046825i
0.00019121+0.00089034i,0.00026612+0.00051549i,0.0012524+0.00013691i,0.0014793-0.0006398i,0.00068783-0.001188i,-0.00066732-0.00050606i,-0.0013332-0.00018346i,-0.00043039-0.00088361i,4.3031e-05-0.0010118i,-0.00043168-0.0006791i,-0.00063475-0.00021896i,-0.0011445+5.4164e-05i,-0.0012599-0.00013984i,-0.0005556+0.00014444i,-0.0001557+0.00072612i,0.0003571+0.00039262i,0.00057217-0.0002613i,0.0004844+0.00020218i,0.00053277+0.00071641i,0.00022384+0.00013047i,0.00032748-0.00033107i,0.00024956+0.00022426i,0.00011479+0.00059959i
-0.00061895-0.00058272i,-0.00011813+0.0012049i,-9.5022e-06+0.0024273i,0.00021874+0.0014844i,0.00044704+0.00075533i,-0.00033839+0.00073358i,-0.00113+0.00093065i,-0.00068829+0.00049361i,0.00017979-0.00045748i,0.00041196-0.00037596i,0.0003269+0.00036497i,0.00038483+6.4578e-05i,0.00072794-0.00018552i,0.00066122-0.00015381i,-1.0951e-05-0.00077512i,-0.00036926-0.00049582i,-0.00046767+0.00029672i,-0.00013279+0.00048031i,0.00060722+0.00080432i,0.0011853+0.0016799i,0.00082262+0.0016834i,6.6976e-05+0.00092262i,-0.00059284+0.00011111i
-0.00060532-0.0010203i,-0.00070045-0.00079961i,-0.00029545-0.00042311i,-0.00025432+0.00051071i,-0.00050353+0.00042574i,-5.6368e-05-0.00026724i,0.00031359+5.1896e-05i,0.00023018+0.00046614i,0.00013446+0.00068392i,5.6391e-05+0.0003734i,8.6473e-06-0.00066633i,4.6024e-05-0.00077865i,0.00041505-0.00057199i,0.00044018-0.00018253i,0.00010773+0.00012957i,-3.415e-05+0.00030884i,-0.00031088+0.0002347i,-0.0008662-4.2404e-05i,-0.0009483-0.00014284i,0.00012687+0.00033839i,0.00091403+0.00083401i,0.00062188+0.00062675i,-5.872e-05-0.00033464i
-0.00054241+0.0010955i,-0.00013427+0.00034081i,3.737e-05+0.00059233i,-0.00019594+0.00035475i,-0.00047465-0.00020461i,-0.00062007-0.00045309i,-0.00039048+0.0011879i,-0.00020065+0.0020794i,-0.00028483+0.0007542i,-0.00042624-0.00071568i,0.00021867-0.00037534i,0.00036515+0.00016862i,9.7216e-05+0.00022512i,-0.00019774-0.00018468i,-0.0010208-0.0010695i,-0.00079599-0.0010466i,-5.2618e-05-0.00045665i,0.00063273+0.00013755i,0.00081071+0.00046867i,0.00054883+0.0010248i,-0.00026298+0.0011843i,-0.00042039+0.0010224i,0.00035421+0.001057i
-0.00091947+0.00020502i,-0.00044557+0.00093592i,-0.00022947+0.0019675i,0.00010892+0.0014066i,9.5592e-05+0.00024891i,-0.00029019-0.00072081i,-0.0004984-0.00063685i,1.3164e-05+0.00026009i,0.00064027+0.00088004i,0.00089869+0.00099805i,0.0011138+0.00070849i,0.00043603-0.00028573i,0.00010433-0.00043666i,0.00045394-0.00022811i,0.0013112-0.00072195i,0.0016522-4.0771e-05i,0.00082815+0.00096028i,5.5153e-05+0.00073248i,0.00038816+0.00033134i,0.0007585-8.2033e-05i,0.00063945-0.00025301i,0.00085477-0.00031628i,0.00044758-0.00054604i
