-0.00029521-0.00011209i,-0.0009261+0.00010339i,-0.0016016-0.00013645i,-0.001549-0.00045487i,-0.0015468+0.00037769i,-0.0015038+0.0017458i,-9.7392e-05+0.0025665i,0.0017075+0.0024399i,0.0021682+0.0020156i,0.001268+0.0014972i,-0.00019843+0.00065108i,-0.0006593+0.00017466i,-0.00024332-0.00014549i,-0.00060442-0.00088477i,-0.00099438-0.001004i,-0.00038753-0.00010895i,0.00033657+0.00035047i,4.5597e-05+0.00029208i,-6.9346e-05-2.7074e-05i,1.9321e-05-0.00017523i,0.0001394+0.000207i,0.00034481+0.00038981i,0.00091921+0.00050156i
0.00028153-2.2675e-05i,0.00092515+0.00076186i,0.00045527+0.00088411i,0.0001993+0.00053246i,0.0008194+0.00051251i,0.0017207+0.00089436i,0.0017212+0.00090429i,0.00066095+0.00074462i,0.00042572+0.00074722i,0.00051443+0.00027169i,0.00018913-0.00011579i,-0.0012012-0.00014025i,-0.0019118-0.00037272i,-0.00058998-0.00098938i,-0.00011456-0.0012494i,-0.00045984-0.0010245i,-0.0003917-0.00072248i,-0.00032301-0.00056819i,-0.00025694+0.00033461i,0.0001292+0.0008327i,0.00030069+1.9568e-06i,0.00025859-0.00037382i,0.00058584-0.0003629i
0.00083768-0.0022984i,-1.9806e-05-0.0012855i,-0.00011455-0.00032594i,0.00042651+9.4218e-05i,0.0014432+0.00026446i,0.0012019-9.0502e-05i,0.00067735-0.00067167i,0.001296-0.0003041i,0.0016539+0.00046898i,-2.495e-06+4.3394e-05i,-0.00078954-0.00046453i,0.00019528-0.00029702i,0.00055841-0.00046473i,0.0004279-0.00014653i,0.00058094+0.00040033i,0.00019911+0.00065211i,-0.00067994+0.00060575i,-0.00045297+0.00015001i,6.5459e-05-0.00045433i,-3.2327e-05-0.00055727i,-0.00014632-0.00036261i,0.00013067+0.00032533i,0.00091131+0.00099606i
0.0018381-0.00069266i,0.0016585-0.0016146i,0.0011354-0.0012784i,0.00015556-0.00079062i,-0.00041725+0.00028032i,-0.00077318+0.00099536i,-0.00061615+0.00056343i,0.00017507+0.0010732i,0.00076923+0.0017624i,-5.0797e-05+0.0016469i,-0.00055786+0.001278i,-0.00072332+0.00095321i,-0.00047247+0.00073093i,0.00097347+0.00088437i,0.00046163+0.0007017i,-0.00078992+0.0005309i,-0.00093446+0.00047445i,-0.00044519+0.00025024i,0.00021462+0.00024095i,0.0003405+0.00032612i,0.00041734+0.00037365i,0.00042042+0.00013898i,9.6093e-05+5.5655e-05i
0.00032724+0.00036745i,9.0914e-05-0.00040488i,-0.00058322-0.001078i,-0.00012798-0.00042718i,0.00073543+0.00034352i,0.0014765-8.2988e-05i,0.0019616-0.00013867i,0.0013188+0.0011781i,0.00054173+0.00094331i,-0.00019618-4.7255e-05i,-0.00045102-5.9834e-05i,-0.00028331+2.7792e-05i,-0.0010408-0.00023942i,-0.00088897-0.00014508i,0.00085224+0.00083058i,0.00067843+0.00091872i,-0.00036996+0.00043047i,-0.00059639+0.00043327i,-0.00072792+0.00070827i,-0.00030494+0.00024333i,0.00036856-0.00055772i,0.00082269+0.00012032i,0.00083361+0.00048904i
0.0021887+0.00019057i,0.0017641-4.6145e-05i,0.0016215+2.3912e-05i,0.0016037-5.7909e-05i,0.00078841-0.00038686i,0.0003512+2.3634e-05i,0.0011843+0.00074501i,0.001388+0.0010378i,0.00058542+5.6135e-05i,0.00081031-0.00014043i,0.0013283+0.0005895i,0.00047082+0.0013574i,-0.00022539+0.00061551i,-0.00055976-0.00010097i,-0.00048227+0.00043605i,-0.00016399+0.00088532i,-8.348e-05+0.00074181i,0.00020836-0.00041065i,0.00032503-0.00058106i,0.00028117+0.00029452i,-9.5513e-05+0.00031713i,-0.00042176-0.00015741i,0.0001139-0.00022799i
0.00088112+0.00088845i,0.0011887+0.0004297i,0.00055658+0.0009713i,0.00020762+0.0007732i,0.0004681-3.882e-05i,0.00056879+5.0367e-05i,0.00039512-0.00012491i,0.00028795-0.00021627i,0.0001388+0.00011511i,-0.00027303+0.00054225i,-0.00031406+8.5843e-05i,1.1551e-05-0.0005848i,9.6055e-05-0.00047127i,-0.00046531-0.00028868i,-0.0002518-0.00064346i,0.00018875-0.00020611i,-0.0005978+0.00031528i,-0.0012635+4.687e-05i,-0.00051361-0.00077564i,0.00038525-0.0011482i,0.00043648-0.00034731i,0.00016443+0.00012267i,0.00051324+4.1686e-05i
-0.00017873+0.00031667i,-0.00029183+0.00060613i,-0.00035954+0.0009202i,-0.0006528+0.0012216i,0.0001466+0.00045989i,0.0013158-0.00020397i,0.0010045+4.8452e-05i,0.00057245+0.0010008i,0.00027296+0.0011654i,5.8643e-05+0.00016102i,-0.00012477-0.00020854i,-6.6353e-05-0.00022024i,-0.0005823+7.526e-05i,-0.00087355+0.00019123i,-0.00022087+6.3129e-05i,0.00058436+0.00053404i,0.00098443+0.00013457i,0.00068156-0.00056877i,0.00035829-0.00036847i,0.00042713-0.00042769i,0.00076088-0.00080866i,0.00033446-0.00068473i,-1.6788e-05-0.0002762i
0.0026609-7.5929e-05i,0.0022596-0.00046798i,0.00152-0.0014511i,0.00026338-0.0010605i,-5.7577e-05-0.00016614i,0.00038245+0.0001068i,0.0003632+0.00068114i,0.00013373+0.0011302i,8.2147e-05+0.00018076i,4.8753e-05-0.00065491i,2.2374e-05-0.00010532i,-0.00027677+0.0001722i,-0.00014843+0.0002695i,0.0003905+0.00021796i,0.00031602+3.8606e-05i,-0.00018067+7.9743e-07i,-0.0005058+0.00019784i,-0.00066336-7.9991e-05i,-0.00046826-0.00015574i,-0.0001157-4.6144e-05i,-3.7851e-05+1.009e-05i,0.00055813+0.00060821i,0.00071612+0.00052748i
-0.0022683+0.0007168i,-0.0019921+0.00088254i,-0.0024289+0.0013982i,-0.0017573+0.0015594i,-0.00017867+0.0014856i,0.00082594+0.0011828i,0.0011113+0.00035324i,0.00076408-0.00041982i,0.00013078-0.00055346i,-5.0774e-05+1.8065e-05i,0.00021164+0.00031835i,0.00077948-0.0002387i,0.00041094-0.00062504i,-2.2706e-05-0.0012069i,0.00029311-0.0013257i,-2.0223e-05-0.00058347i,-0.00018214-0.00028226i,0.00018594-0.00018051i,0.00068498-0.00051652i,0.00079648+8.9897e-06i,0.00085264+0.0007576i,0.00084645+0.00079604i,0.00040735+0.00049318i
-0.00025623-0.0014751i,-0.0014461-0.00080732i,-0.0016834-0.00040826i,-0.00078387+0.00023471i,-0.00051078+0.00069788i,0.00039449+0.00095897i,0.001002+0.001276i,0.0017441+0.0011781i,0.0018006+0.00082653i,0.00043558+0.00024154i,-0.00035733+0.00018666i,9.4531e-06+0.00087894i,0.00015242+0.00078808i,0.00046633-0.00034455i,0.00068804-0.0012487i,0.00048921-0.0010129i,0.00086475-0.00081955i,0.00084322-0.00050541i,0.00066949-0.00034198i,0.00035133-2.5403e-05i,0.00029011+0.00037326i,0.00092303+3.843e-05i,0.001032-0.00019863i
