-0.0011654+0.00042424i,-0.0012808-9.8852e-05i,-0.0021016-0.00052832i,-0.0015098-0.00057083i,-0.0011858+0.0012184i,-0.001139+0.0029773i,-0.0013863+0.0031979i,-0.0011743+0.0019714i,0.00092997+0.00022657i,0.0024479-0.00013396i,0.0016715+3.6395e-05i,0.00099966-7.872e-05i,0.00067869-0.00062164i,0.00038436-0.00070966i,-0.00024113-0.00026943i,-0.00036773+0.00010421i,0.00015191+0.00092828i,0.0003091+0.0010445i,0.00015699-7.9516e-06i,0.0004945-0.00088062i,0.0007681-0.00054195i,0.00012817-0.00018612i,-0.00018273-0.00056505i
0.0018997+0.0026321i,0.0029395+0.0020818i,0.0025996+0.0015874i,0.0008074+0.00052576i,0.00016146+0.00032003i,-0.00088648+0.00091487i,-0.0015819+0.0010848i,-0.00057811+0.00070722i,0.0010743+0.00056924i,0.0015659+0.0008539i,0.0010421+0.0010299i,0.00064581-8.9706e-05i,0.00043828-0.0012506i,0.00017258-0.0015689i,0.00051786-0.00094883i,0.00043307-0.00056757i,0.00043025-0.0011073i,0.00069849-0.0010317i,6.917e-05-6.5589e-05i,-0.00038277+0.00011566i,0.00018139-0.0008949i,7.4363e-05-0.0014583i,-8.3099e-05-0.000734i
0.00020841-0.00076518i,0.00031378-0.00032219i,0.00048684+0.0002553i,0.00037083+0.00076542i,0.00025644+0.001427i,-2.1919e-05+0.0027693i,-0.00069816+0.0023148i,-0.00026109+0.0010293i,0.00096215+0.0010105i,0.00097801+0.0011042i,0.0010577+0.00065981i,0.00097809+0.00064756i,0.00021098+0.00064355i,-0.00040587+0.00041617i,-0.00071055+0.00020376i,-0.00055198+0.00011317i,-3.0033e-05+4.8098e-05i,0.00017418+0.00012352i,-0.00012916+0.00046404i,0.00044074+0.00018105i,0.0010245-0.000212i,0.00094369+6.5072e-05i,0.00034491+0.00064382i
-0.0014698+0.00018053i,-0.00084878+0.0019576i,-0.00024932+0.0016974i,0.00062614+0.0011269i,0.00064055+0.002157i,-0.00018089+0.0023498i,-0.00037011+0.0015321i,0.00019546+0.0011307i,0.0008198+0.00065706i,0.0011153+0.00061667i,2.0466e-05-0.00010469i,-0.000488-0.0014073i,-9.0446e-05-0.0020415i,-5.9651e-05-0.0017133i,-8.0918e-05-0.00065572i,4.111e-06-0.00016086i,0.00055966+0.00013774i,0.00064183+8.1035e-05i,0.00075213-5.143e-06i,0.0015257+2.4408e-05i,0.0012232+0.0001606i,0.00023199-0.00012841i,-1.756e-05-0.00030195i
0.0020932+0.00049864i,0.0020455+0.00083401i,0.0023989+0.00077257i,0.001586+0.00053243i,0.00094096+0.0004351i,0.0011804+0.00083419i,0.00075296+0.00077874i,0.00044239+0.00070466i,0.00083617+0.0011355i,0.00058646+0.001114i,0.00022932-9.7146e-05i,0.00027966-0.00056449i,-6.9213e-05-0.00046225i,-0.00021064-0.00035579i,0.00042636-7.7138e-05i,0.00069081-0.00026047i,0.00032269-0.00045652i,0.00019204+6.3711e-05i,0.00011987-0.00015028i,-0.00018774-0.00058284i,-0.00070715-0.00024093i,-0.0010786-2.0952e-05i,-0.00050831-0.00063423i
0.00084915-0.0013698i,0.00054096-0.00017764i,0.00022475+0.00053378i,-0.0007977+0.00024162i,-0.0012295+0.00081753i,-0.0012906+0.0015655i,-0.0011998+0.00098519i,8.0548e-06-2.9665e-05i,0.00088631-1.0382e-05i,0.00067458+0.00051756i,0.00047869+0.00041949i,0.00025851+0.00035208i,-0.0003056+0.00034378i,-0.00051485+0.00012852i,-0.00098823+7.4444e-05i,-0.0016045-0.00020815i,-0.0011548+0.00014724i,-0.00065148+0.0010686i,-0.0005007+0.0005814i,-0.00011186-0.00019896i,-0.00029504+0.00019879i,-0.00053553+0.00036055i,-0.00067745+0.00044599i
-0.0010001+0.0015787i,-0.0014188+0.0019742i,-0.0010417+0.0027209i,0.00023207+0.003151i,0.00089267+0.0030144i,0.00091262+0.00217i,0.00041244+0.00072548i,-0.00027522+0.00019974i,-0.00024724-0.00033822i,-0.0003106-0.00093575i,0.00045327-0.00059524i,0.0009533+0.00016793i,0.00085666+0.0007622i,0.00087487+0.00074705i,0.00027233+0.00046785i,-0.00030846+0.00017122i,-0.00027722+3.3314e-05i,0.0003276-8.8176e-05i,0.0011809+0.00014753i,0.00080834+0.00029699i,8.8198e-05-0.00023i,-0.0002432-0.00018572i,-0.00033001+7.8248e-05i
-0.0016536+0.00061951i,-0.0017786+0.00099246i,-0.00026964+0.0021522i,0.00063827+0.0021434i,-0.0001069+0.0023783i,-0.0012546+0.0029076i,-0.0010319+0.0022843i,-0.00019032+0.0015958i,-0.00027682+0.0013516i,-0.00061805+0.0011105i,0.00023513+0.0014489i,0.00033902+0.00087281i,-0.00012832+0.00018371i,0.00051707+0.00032205i,0.00031507+0.00070191i,-0.00058646-8.3202e-05i,-0.00024564-0.00018741i,0.00013124+8.0402e-05i,0.00021964+6.5803e-05i,4.0253e-05+0.000161i,-0.00047882+0.00042105i,-0.0004447+0.0006616i,-0.00025935-7.3699e-05i
0.00055905-7.0724e-05i,-0.00072031+8.418e-05i,-0.00017504+0.00062189i,0.00074997+0.00033564i,0.0004753-1.7188e-05i,-0.00019414+0.0007454i,-0.00085138+0.0015481i,-0.00050457+0.0016984i,0.00099513+0.0015088i,0.001754+0.0010866i,0.0015526+0.00049836i,0.001402+0.00010512i,0.00074104-0.000274i,0.00026637-0.0013046i,0.00083871-0.0012805i,0.00083968+0.00017175i,5.0567e-05+0.00063796i,-0.00045368-0.00036947i,-0.00055495-0.0006627i,-0.00036304+0.00038676i,-0.00023031+0.0011595i,-0.00046138+0.00050871i,-0.00067548+0.00027392i
-0.0016698+0.0024992i,-0.001658+0.0038327i,-0.0014066+0.0053684i,-0.00065085+0.0047658i,4.3956e-05+0.0028701i,0.00044924+0.0017082i,0.00049423+0.0016722i,0.00090476+0.0017828i,0.0013767+0.0013914i,0.0012593+0.00099493i,0.0010091+0.00073679i,0.00044567-0.00013275i,-5.8427e-05-0.0010031i,-4.1578e-05-0.0004604i,-1.398e-05-3.986e-05i,-0.00020571+0.00017524i,0.00030382+0.00023824i,0.001016-0.00037819i,0.0016115-5.0041e-06i,0.0013608+0.00123i,0.00055013+0.00086178i,6.8944e-05-0.00042231i,3.2496e-05-0.0010401i
0.00044523+0.00038681i,0.00064685+0.00088205i,-9.2842e-05+0.0014186i,-0.00023008+0.0014288i,6.6994e-05+0.0015965i,0.00043131+0.0017402i,0.00097029+0.0016541i,0.0011544+0.0010265i,0.0013996-0.00017526i,0.0019408-0.00032822i,0.0017985-0.00015701i,0.00053878-0.00060749i,-0.00013552-0.00060725i,-0.00065278+0.00029486i,-0.00054942+3.5282e-05i,1.5969e-05-0.00039069i,4.5505e-05-0.00022954i,-0.00044177+9.543e-05i,-0.0006075+0.0009683i,-0.00053045+0.0009553i,-0.00061823+0.000323i,-0.00072675-6.5057e-05i,-0.00054059-7.7181e-05i
