-0.0029346+0.0001169i,-0.0030842-0.0012575i,-0.0033944-0.0018076i,-0.0024261-0.001196i,-0.0011676-0.00016985i,-0.00064082+0.001227i,-0.0003916+0.0022474i,0.00063304+0.0018489i,0.0011859+0.00039073i,0.00094932-0.00066106i,0.00043004-0.00063845i,7.6313e-05-0.00054313i,0.00063751-0.0011421i,0.00049609-0.00019158i,-4.7274e-05+0.00079412i,0.00059457+0.00068063i,0.00083798+0.0010289i,0.00055877+0.00054527i,0.00063015+8.7085e-05i,2.8389e-05-3.4787e-05i,-0.00018892-4.3749e-06i,-0.00038787+0.00035128i,-0.00026785+6.7286e-06i
-0.0022211-5.5204e-05i,-0.0016403-0.00093935i,-0.0029568-0.0024285i,-0.0031496-0.0019817i,-0.0011216-0.00016602i,0.00069544+0.00054657i,0.00030885-9.4907e-05i,0.00031399-2.9059e-05i,0.00070003+0.0007944i,0.00045375+0.0019231i,0.00026653+0.0013494i,0.00013783+0.00015487i,-0.00029992+0.00034557i,-0.00018877+0.0010719i,3.3009e-05+0.0010926i,-0.00030058+0.00040303i,-0.00086331+9.8548e-05i,-0.00082003+0.00010234i,-0.00065354+0.00031363i,-0.00037922+0.00089193i,0.00040368+0.0011593i,0.00053794+0.0013177i,0.00023017+0.0014187i
0.00056726-0.00039488i,0.00036183-0.0017244i,0.0012468-0.003633i,0.00098592-0.002835i,-0.00074228-0.0015328i,-0.0017581-0.0007831i,-0.00080243-0.00038548i,0.00042903-0.0008515i,0.0009789-0.0015336i,0.00070333-0.001209i,0.00014672-0.00082909i,-4.1084e-05-0.00080883i,8.4684e-05-0.00041963i,0.00047762-9.3271e-05i,3.3186e-05-0.00017422i,0.00029219+0.00011162i,0.0007445+0.0001424i,-0.00026378-7.7622e-05i,-0.0013879-0.00014587i,-0.0014728+4.6424e-05i,-0.00097217+0.00027627i,-0.00045718+0.00036402i,0.0001182+8.8695e-05i
-0.00037538+0.00020541i,-0.00053631+0.00030477i,-0.00081749-0.00026447i,-3.8e-05-0.0003091i,0.00077315-0.00026352i,0.00084497+0.00029545i,0.00043011+0.00071314i,0.00019768+0.00015585i,0.0003613+0.00019509i,0.00020219+0.00060896i,-9.1e-05+0.00016049i,5.6861e-05-0.00021552i,7.9062e-05-9.8145e-06i,-0.00035017-3.9503e-05i,-0.00069398+1.9211e-05i,-0.00043672+0.00043678i,-0.00024457+0.00036811i,0.00016948-0.00023457i,0.00049194-0.00031046i,0.0010108-0.00044163i,0.0011164-0.00027232i,0.00038454+0.00020662i,-0.00061981+0.00021445i
-0.001813+0.00041039i,-0.0014289+0.00055727i,-0.00043028-0.00030838i,0.00027123-0.00068587i,-0.00013677-0.0003903i,8.5143e-05-0.00019784i,0.00062667-0.00011623i,0.00077364+0.00031428i,0.00059023+0.0011054i,0.0004865+0.0013832i,1.2673e-05+0.00058303i,-0.00058226+0.00091989i,-0.00079208+0.0010235i,-0.0008005+0.00011429i,-0.000472+9.0618e-05i,-0.00060533+0.00013599i,-0.00060646+0.00013652i,3.8869e-05-6.0687e-05i,-0.00010655-0.00032219i,-0.00045563-0.00037032i,-0.00084498-0.00037253i,-0.0010292+0.00021883i,-0.00071922+0.0005741i
-0.00099755-0.0013919i,-0.00070791-0.0015607i,-0.00082212-0.0016642i,-0.00072385-0.0020918i,-0.00014076-0.0018661i,6.4383e-05-0.00052978i,-0.00040333+0.00050262i,-0.00071263+0.00036173i,-0.00066248+0.00014405i,0.00010962+0.00019638i,0.00081043+0.00039178i,0.00084999+0.00017361i,-0.00032575-0.00019489i,-0.0012529-3.0427e-05i,-0.00071925-1.4668e-05i,-0.00031198-0.00049737i,0.00012502-0.00083931i,0.00030831-0.00078507i,-0.00047-0.00040786i,-0.0007884-0.00065978i,-0.00054187-0.0011116i,-6.8477e-05-0.00081415i,1.5391e-05-0.00024373i
-0.00062797-0.0009527i,0.00095528-0.00085017i,0.00094947-0.0010017i,0.00066154-0.00063149i,0.0011408-0.00043677i,0.0004476-0.00020919i,0.00016545+0.00036819i,0.00047913+0.00077806i,0.00051642+0.0011205i,0.00061314+0.001049i,0.00057554+8.3336e-05i,0.00050559+1.2266e-05i,0.00084201+0.00018495i,0.00065837+3.16e-06i,0.00072769+0.0006284i,0.00088318+0.00044473i,-4.1772e-05-2.7667e-05i,-0.00036778+0.00027608i,-0.00028224-8.4177e-06i,0.00055856-1.9255e-05i,0.0012269+0.00029731i,0.0012155+3.0041e-05i,0.0010037+0.00014998i
0.00022395+0.0019653i,0.00096797+0.0023919i,0.0018685+0.0016717i,0.0019797+0.00015693i,0.00077778-0.00095251i,-0.00013356-0.0010423i,-4.7728e-05-0.00071159i,0.00058743+7.4632e-05i,0.00096444+0.0010598i,0.0012045+0.0009998i,0.0010038+0.0001161i,0.00035255-0.00023479i,-0.00013374+4.4245e-05i,0.00028365-0.00069438i,0.00013714-0.00052869i,-0.00018894-4.7791e-05i,-0.0006146-0.00029506i,0.00010223-0.00027163i,0.0012827-0.00058018i,0.00070917-0.00051503i,-0.00042308-0.00012418i,-0.00067139+3.065e-05i,-0.00072208-0.00025272i
-0.00042201+0.00060085i,-0.00031029-4.4881e-05i,-0.00049548-3.3968e-06i,0.00024558-0.00024419i,0.0011313-0.000759i,0.00017038-0.0007561i,-0.00022598-4.9321e-05i,0.00044846+0.00081618i,0.0010894+0.0008158i,0.00073163+0.00016509i,0.00021293-0.00022093i,0.00050511+0.00019873i,0.00078987+0.00080611i,0.00059429+7.7937e-05i,3.3413e-05-0.00012837i,-0.00030525+0.00044664i,-0.00033705+0.00065558i,-0.0001477+0.00046784i,0.00040284-0.00022446i,7.9521e-05-0.00074038i,-0.00010355-6.7441e-05i,0.00032345+0.00026445i,0.00040504-0.00033715i
-0.00068056-0.0028536i,4.4365e-05-0.0018731i,0.00031036-0.003224i,0.00015487-0.0033573i,0.00015704-0.0017324i,6.0717e-05-0.00022682i,0.00058286+0.00060932i,0.00048891+0.00021988i,0.00043456-0.00013841i,0.00042314-0.00011753i,-0.00023139-0.00026597i,-0.00050394-0.00018861i,-0.00030367+0.00025196i,-0.00069062+0.00039682i,-0.0010604+0.0001643i,-0.00098636+0.00022611i,-0.0005793-0.00015849i,0.00038792-0.00037159i,0.00026032-0.00041803i,-0.00024565-0.00017823i,0.00029677-6.4602e-05i,0.00044848-7.7364e-05i,-0.00021521+0.00052999i
-0.00082983+0.0012644i,-0.00059295+0.0012954i,-0.00032943-0.00042236i,0.00041393-0.0012538i,0.0010254-0.00095897i,0.00033137-0.00022047i,0.00034459+8.5681e-05i,0.00048166-3.9181e-05i,0.00071387+2.8135e-05i,0.0011128-0.00054557i,0.00088077-0.0013911i,0.00077737-0.00091909i,0.00085813+0.00068773i,-3.6567e-06+0.0007796i,-0.00015729+0.00013589i,0.00024659-0.00031048i,0.00082718-0.00024513i,0.001148+0.00013175i,0.00025871-4.2269e-05i,-0.00042672+0.00010519i,-0.00069764+0.00062469i,-0.00032431+0.00033288i,0.0002737+0.00029069i
