-0.00042907+0.00017243i,-0.00022338+1.667e-05i,-0.00084072-0.00057657i,-0.0017636-0.0007348i,-0.0021045+0.00026704i,-0.0018311+0.001592i,-0.00060445+0.0023904i,0.00065052+0.0020818i,0.0011477+0.0015141i,0.00095703+0.00091147i,0.00015715-0.00028581i,0.00018039-0.00086849i,0.00082691+0.00029507i,0.00041762+9.8374e-05i,-0.00060657-0.00083202i,-0.00083932-0.00045262i,-0.00011453+0.00012531i,0.00053091+0.00050938i,0.00037582+0.00039672i,-0.00052035-0.00070262i,-0.00046747-0.000465i,-0.00024865+0.00013671i,-0.00074557-0.00031143i
0.0012453+0.00014394i,0.00029828-0.00075192i,9.663e-05-0.0012997i,0.00029689-0.00061506i,0.00077432-2.8595e-05i,0.0014477-0.0002028i,0.0014369-0.00079724i,0.00076748-0.0004119i,0.00028951+0.00043628i,0.00016897+0.00021102i,-0.00015528-6.9878e-05i,-0.00038389+0.00029452i,-0.00034024-0.00024646i,1.1292e-05-0.00062383i,0.00059171+5.5087e-05i,0.00069821+0.00040493i,0.00016689+6.4234e-05i,-0.0008961+8.8412e-05i,-0.0010063-0.00014562i,-0.00050477-0.0004528i,-0.00033669+0.00042911i,-0.00011712+0.00081834i,6.1695e-05+0.00022782i
0.001282+0.00054058i,0.00106+0.00085179i,0.00098913+0.0018086i,0.00058139+0.0013958i,-0.00085484+7.0049e-05i,-0.0011676-0.00037625i,-5.8803e-05-0.00028721i,8.0305e-05+4.9172e-05i,-2.2139e-05+0.00051891i,0.00037839+0.00025404i,-0.00017261-0.0007193i,-0.00012024-0.00024107i,-0.00015459+0.00042982i,-0.00075213-0.00021256i,-0.00068497-0.00053075i,0.00025919-0.00086618i,0.0001525-0.0006078i,-0.00080433+5.9378e-05i,-0.00050361+0.00040492i,0.00028238+0.00065019i,-0.00012846+0.00092914i,-0.00038786+0.000442i,5.7759e-06+0.00048116i
-0.00079062-0.0014002i,-0.0013242-0.0012838i,-0.0020196-0.00066296i,-0.0012567-0.00045284i,-0.001102+0.0011498i,-0.0012525+0.0020999i,-0.0010164+0.0011065i,-0.0010193+4.1293e-05i,-0.00065574-0.0002005i,-0.00041596+0.00020703i,0.00020423+0.00072438i,0.00077179+0.00054427i,0.00056162-0.00020393i,0.00062372-0.00059591i,0.00066986-0.00038174i,0.00067577+0.00026701i,0.00077008+0.00092164i,0.0008216+0.00054543i,0.00081355-0.00028306i,0.00017956-2.0272e-05i,-0.00076668+0.00070621i,-0.00084266+0.00027451i,-0.00057102-0.00076407i
0.001993-0.0002247i,0.0019084+0.0011131i,0.0013232+0.0017498i,-0.00047081+0.001912i,-0.0013877+0.0019341i,-0.00090553+0.0015262i,-0.0013617+0.00058432i,-0.001406+0.00085778i,-0.00026705+0.0020673i,0.00067982+0.0013038i,0.00059714+0.00042409i,0.00052892+0.00010896i,0.00058677-0.00026589i,0.0001841-0.00025226i,8.3929e-05+0.00032721i,0.00027642+0.00029241i,0.00013706-0.00012114i,-0.00069168+0.00027704i,-0.0010593+0.00025855i,-0.00025215-0.00021419i,0.00049279+1.4334e-05i,0.00032199-0.00012583i,-7.8671e-05-0.00048338i
-0.00131+0.00080292i,-0.00081978+0.00050448i,-0.0015219-1.3409e-05i,-0.00082027+4.8633e-05i,-3.7443e-05+0.0010522i,-4.9311e-06+0.0007891i,0.00063099-0.00032849i,0.00069326-0.0011108i,0.00057621-0.00097851i,0.00061689-0.00046355i,-0.00031835+0.00019627i,-0.0016775+0.00038914i,-0.00077378-0.00039506i,0.00047928-0.00054211i,-0.00029469-0.00023846i,-0.00013103+0.00030301i,0.00086563+0.00089462i,0.00025642+0.00033805i,-0.00020084-0.00010261i,-0.0006799-0.0005588i,-0.00056158-0.00021939i,0.00029888+0.00075557i,0.00055753+0.00060964i
0.0022996+0.0028486i,0.0022095+0.0026513i,0.0016935+0.0019563i,0.0011532+0.00079622i,0.00026688-4.8332e-05i,-0.0009181+5.959e-05i,-0.0015794+7.2467e-05i,-0.00059133+0.00058826i,0.00013827+0.00061721i,0.0003868-0.00034244i,2.934e-05-0.00094684i,-0.00051346-0.00018395i,0.00024214+0.00039025i,0.00071975+0.00052734i,0.0004206+0.00011797i,-8.5741e-06+2.4693e-05i,-0.00033429+0.00010896i,-0.00074032-6.2936e-06i,-0.00044164+0.00076838i,0.00012656+0.00080118i,0.00039444-0.00027283i,0.0011305-0.00022588i,0.0014272+0.00053642i
-3.9804e-05-0.00068817i,-0.0011051-0.0015955i,-0.0014351-0.002037i,-0.0018675-0.001617i,-0.0012235-7.9608e-05i,9.5698e-05+0.0009135i,-0.00016003+0.00073362i,-0.00064855+0.00024587i,8.6299e-05-0.0001231i,5.2676e-05+0.00045471i,0.00022208+0.0014829i,0.00073511+0.0016475i,0.00011969+0.00098517i,-0.00059184+0.0007428i,-0.00091351+0.00052659i,-0.00054284-9.5078e-05i,0.00097404-3.603e-05i,0.0012114+6.6399e-05i,0.00050804+7.2001e-05i,-0.00010444-0.0001565i,0.00030475-0.00052421i,0.00031445-0.00032161i,-0.00044462-0.00028272i
0.0012413-0.001218i,0.00067634-0.0016369i,-0.0014283-0.0011735i,-0.0023988-0.00026929i,-0.0019578+0.00053529i,-0.00073957+0.0014723i,-0.00037386+0.0017002i,-0.00042896+0.0015189i,6.2292e-05+0.0012229i,0.00026309+0.00038324i,-6.5913e-05+0.00056777i,-0.00074079+0.0011405i,-0.00063978+0.0007078i,4.944e-05+0.00036387i,-5.538e-05+0.0003273i,0.00017488+0.00032708i,0.00042156+0.00014583i,-0.00028941-0.00028983i,-0.00082354-0.00020188i,-0.00058183+0.00019905i,-0.00041054-0.00029262i,-0.00036547-0.00060796i,-0.00057796-0.00046524i
-0.00075548+0.0010464i,-0.00028918+0.00082994i,0.00069812+0.0019722i,0.00096395+0.0020689i,0.0013604+0.0014971i,0.0011357+0.00033028i,5.096e-05-0.00018725i,-0.00049337+0.00018939i,-0.00032139+0.00034903i,-0.00037662+0.00079213i,0.00028977+0.00081859i,0.00057456+0.00034391i,0.00031419-0.00010689i,0.00051375-0.00015942i,0.00040674-0.00032619i,0.00019272-0.00034062i,0.00020462-2.6109e-05i,-0.00041036+0.00063354i,-0.0017744+0.00077728i,-0.001587+0.00040643i,-0.00015247+0.00031916i,0.00028361+0.00058885i,0.0004143+0.00037049i
-0.0013908+0.00095175i,-0.0020485+0.0018829i,-0.0026256+0.0021805i,-0.0022454+0.0011672i,-0.0014272+0.00095821i,-0.001016+0.00094359i,-0.0015345-0.00041885i,-0.0017756-0.0015696i,-0.0014861-0.000459i,-0.00092052+0.0006859i,7.1248e-05+0.00052394i,0.0013692-0.00026309i,0.00077099-0.00092418i,-0.00072391+0.00015523i,-0.0011952+0.00051758i,-0.00066016+0.00057136i,-0.00014108+0.0012497i,-0.00041222+0.001047i,-0.00059337-0.00013018i,-9.3907e-05-0.00043964i,4.9732e-06-0.00013409i,-0.00017348-0.00030385i,2.404e-05-0.00039304i
