0.00015881-0.0010027i,0.00048199-0.0022057i,0.00027686-0.003521i,0.00010426-0.0040231i,-0.00060718-0.0028326i,-0.001715-0.00089249i,-0.0012441+0.00052186i,0.00097521+0.0016638i,0.0018916+0.00076008i,0.0014299-0.00048984i,0.00064012-0.00042794i,0.00051401-0.00036112i,0.00039512-4.0997e-05i,0.00040977-1.1901e-05i,0.00071944+6.7113e-05i,0.00046255+0.00022717i,0.00036649+5.6633e-05i,0.00016982+8.0489e-05i,-0.00011581-0.00020958i,0.00021824-0.00061752i,0.00025963-0.00046032i,-1.5133e-05-0.00036654i,-6.424e-05-0.00046669i
0.0014098-0.000552i,0.00094552-0.00019216i,0.001005-0.0012667i,0.0010138-0.0014353i,0.00052464-0.0010084i,0.00041552-0.00081752i,0.00094658-0.00043204i,0.00084458+0.00019759i,0.00059992-8.5271e-05i,0.00053872-0.00079558i,0.00013634-0.00036342i,0.00043239+0.00046055i,0.0011238+0.00064535i,0.00097695+0.00042892i,0.0003307+7.0219e-05i,0.00046656-6.0094e-05i,0.00032855-7.0771e-05i,-0.0002706+0.00019324i,-0.00053906+0.00072801i,-0.00018401+0.0006206i,0.00040001-0.00050134i,0.0006095-0.00037804i,0.00059581+0.0006824i
-0.00096016+3.0184e-05i,-0.0018418-0.00085176i,-0.0023156-0.0017183i,-0.0012518-0.0011593i,0.00022635+0.0002055i,0.00053573+0.00081584i,0.00038501-0.00046916i,0.0003907-0.00095924i,0.00039864-0.00020304i,0.00043154-0.00043795i,0.00039717-0.00051518i,0.00034908-5.4474e-05i,0.00017869-0.00015104i,-0.00010101-0.00093383i,-0.00046949-0.00081823i,0.00020824-0.00017517i,0.00036846+0.00012999i,-6.0688e-05+0.000668i,-0.00036945+0.00027271i,-0.0009068+0.00020455i,-0.0011183+0.00013498i,-0.0003866+0.00023433i,0.00025628+0.0003013i
0.0016013-0.0014214i,0.0014981-0.0018369i,0.0013344-0.0025395i,0.00059613-0.001898i,-0.00037865-0.00029187i,-0.00063131+0.00013244i,-0.00037383-0.00023382i,-0.00014259-0.00047133i,0.00039131-3.394e-05i,0.00038693+0.00029705i,-3.5953e-05-4.8453e-05i,-6.4182e-05-0.00016729i,-3.5837e-05-0.00021805i,0.00019907-0.00045493i,0.000611-0.00015771i,0.0009118+0.00016255i,0.00093284-0.00035544i,0.00030654-0.00044697i,-0.00015553+0.00064573i,-0.00040063+0.0012093i,-0.00097337+0.00040882i,-0.00021678+0.00057601i,0.00051651+0.00080099i
-0.0001863-0.0024165i,-0.00066745-0.002133i,-0.00055344-0.001957i,-0.0011162-0.00058296i,-0.0017401+0.00063597i,-0.00016277+0.0011093i,0.00066819+0.0011825i,-7.9272e-05+0.00083085i,-0.00084823+0.00035422i,-0.00073533+0.00052937i,-0.00064437+9.9745e-05i,-0.00065611-0.00070178i,-0.00032601-0.00041376i,0.00042792-0.00013778i,0.00085435-4.507e-05i,0.00098248-0.00016678i,0.0009742-0.00041481i,0.00045946-0.00021804i,-0.00039167+6.0258e-05i,-0.00094173-4.0881e-05i,-0.0013211-0.00028685i,-0.0010936+0.00014755i,-0.00055414+0.00048997i
0.00028816-0.00015373i,0.00062464+0.00082009i,0.001412+0.00048988i,0.0019716-0.0007394i,0.0019397-0.00052885i,0.00071182-0.00016877i,-1.7444e-05-2.4608e-05i,0.00048294-0.00035414i,0.00067747-0.00058917i,0.0002176-0.00090796i,-0.00048924-0.0015749i,-0.00067844-0.0012972i,0.00021369-0.00041i,0.00063964+0.00024566i,0.00013524+2.8634e-06i,0.00033791-0.00040905i,0.000807+6.5927e-05i,0.00055516+0.00035092i,0.00062619-1.8327e-05i,0.00098883+0.00027289i,0.0008525+0.00042777i,0.0002159-0.00016367i,0.00029653-2.9156e-05i
-0.00042381-5.4007e-05i,-0.00025679-0.00025506i,0.00017018-0.00037155i,0.00045723-0.00034897i,-0.00018254+0.00086765i,0.00016346+0.0018806i,0.0010696+0.0013979i,0.00079049+0.00061557i,0.00047223+0.00061164i,0.00063695+0.00061711i,0.00038968+0.0002531i,0.00035556-0.00026955i,0.00076376-0.00062874i,0.001084-4.6842e-05i,0.00087305+0.00029649i,0.00078846+0.00030636i,0.00070829+0.00077876i,-0.0003205+0.0011506i,-0.0010127+0.001427i,-0.00080477+0.00048685i,-0.00053396-0.00027413i,0.00033801-0.00046821i,0.00086228-0.00016623i
0.0018909+0.00039619i,0.0017071+0.00051069i,0.001265-0.00041886i,0.0012173-0.00076352i,0.00048175-0.00066676i,-0.00045493-0.00082511i,-0.0009259-0.00060619i,-0.00048823-0.00080569i,0.00057146-0.0011872i,0.0004658-0.0010992i,0.00048976-0.00089482i,0.00018069-0.00034406i,0.00035415-0.00024366i,0.0007521-0.00053826i,0.00038268-8.6355e-05i,0.00062967-0.00013445i,0.00043692-0.00092896i,-0.00011172-0.00095758i,0.00012981-0.00032413i,0.00048178+0.00012234i,0.00041873+4.0815e-05i,0.00046201+0.00013151i,0.00069192+0.00032948i
6.3178e-06+0.00048393i,0.00021402+0.00035168i,0.00077337-0.00049207i,0.00091815-0.00049753i,0.00051595-0.00024626i,0.0014285+0.00022838i,0.0018109+0.00090346i,0.0012276+0.00046345i,0.0012627-0.0006429i,0.0016131-0.00092761i,0.00078141-0.0007017i,-3.6915e-05-0.00024258i,-0.00098706+0.00048612i,-0.0012577+0.00042862i,0.00045006+0.00025792i,0.0011406+0.00082613i,-0.00016411+0.0011965i,-0.00086471+0.00031717i,-0.00024668-0.00026441i,-0.00040037+0.0001399i,-0.00077235-0.00028431i,-0.0010033-0.00025511i,-0.00094105-0.00039933i
0.0020177-0.00083872i,0.0022344-0.00048163i,0.0029581-0.0019524i,0.0023059-0.0015385i,0.00031897-0.00011921i,-0.001022-0.00020897i,-0.001033-0.000982i,-0.0010354-0.0014168i,0.00033419-0.0016529i,0.0015726-0.0011846i,0.00076671-0.00064409i,2.5333e-06-0.00062066i,-0.00025682-0.00086168i,-0.00037123-0.00082043i,0.0002431-0.00023891i,0.00069813-0.00066816i,-4.0623e-05-0.00049015i,-0.00042495+0.00049273i,-0.00038743+0.00071088i,-0.00049304+0.00061437i,2.6574e-05+0.00045696i,0.00053456-6.9453e-05i,0.00029005-0.00048549i
-0.001464-0.0002179i,-0.0013979-0.00094058i,-0.00074776-0.0010395i,-0.0010226-3.4706e-05i,-0.00074159+0.0012212i,-8.2385e-05+0.0011175i,0.00021239+0.00082465i,0.00073055+0.0012462i,0.00078881+0.0015175i,0.000609+0.0011659i,0.00070279+2.4465e-05i,0.00078781-0.00054918i,0.0010565-0.00075064i,0.00091654-0.00038049i,0.00024306+0.00030795i,8.9397e-05+0.00052131i,-0.00011525+0.00064933i,-0.0001698+0.00085327i,0.00022348+0.00047807i,0.0012256-0.0002934i,0.0016921-0.00068039i,0.00017923-0.00081022i,-0.00094365-0.00031513i
0.00061262-0.0026913i,0.0011419-0.002442i,0.00013895-0.0024733i,-0.00056728-0.0015296i,-0.00065446-0.00087126i,-0.00024464-0.00051149i,2.1193e-05+0.00014624i,0.0009065+0.00071258i,0.0012033-6.0314e-05i,0.00061785-0.00012106i,0.00015998+0.00022161i,0.00035638-0.00037306i,0.00068405-0.00044844i,0.00056568+2.298e-05i,0.00043772+0.00072994i,-0.00029107+0.00066418i,-0.0014614+0.00038255i,-0.0013759+0.00024841i,0.00011982+0.00020832i,0.00064356+0.00036706i,-5.476e-05+0.00036825i,-0.00076179+0.00019168i,-0.0004517+0.00017911i
-0.00044796+0.00031439i,-0.00090918+0.00084532i,-0.000764+0.00069773i,-0.00036136+0.00015438i,-0.00069302+0.00078919i,-0.0012394+0.0011171i,-0.00033674+9.6624e-05i,0.00077831-0.00032067i,0.00071098-0.00054426i,0.001066-0.00078236i,0.00043259-0.00038577i,0.00028484+0.00025494i,0.00053729+6.1745e-05i,-0.00025871-0.00021098i,-5.6699e-06+0.00011772i,0.00037767+0.00033879i,0.00025311+0.00055103i,0.00028239+0.00053079i,0.00061883+0.00035421i,0.00022597+0.00029813i,-4.7253e-05-0.00038629i,-0.00014182-0.0012186i,-0.00059789-0.0015045i
