0.00051983+0.00018789i,0.00097698-0.00083564i,0.00015878-0.0010885i,-0.0010372-0.00095958i,-0.0018678+0.00013501i,-0.0025014+0.0012496i,-0.0029261+0.0018558i,-0.0024778+0.0014191i,-0.0011434+0.00070773i,0.00015329+9.5143e-05i,0.0013519-0.00072831i,0.00061469-0.00049117i,-0.00052876+0.00046841i,-0.00028655+0.00077613i,0.00024958-0.00013433i,0.00070007-0.00017317i,0.00089922+0.00095941i,-6.1926e-05+0.00082319i,-0.00078656-0.00027823i,-0.00031092-0.00033911i,-0.00010208-0.00011605i,-0.00019723-0.00028289i,-0.00046062+0.00015527i
-0.00015759+0.00077385i,0.0011211+0.00051114i,0.0015427-0.0011954i,0.0015345-0.0022222i,0.00060691-0.0016667i,-0.00074996-0.00038529i,-0.0010966-0.00019413i,-0.0010028-0.00044515i,-0.00099083-0.00031612i,-0.00024969+2.4429e-05i,-0.00017368-0.00079698i,-0.00033376-0.001347i,-0.00048474-0.0013098i,-0.00093425-0.0010214i,-0.00059716-0.00055867i,0.00038099+0.00014705i,0.0012092+0.0011019i,0.0013909+0.0010158i,0.00026476+0.00055429i,-0.00064997+0.00034418i,-0.00024463+0.00034125i,0.00063218+0.00043991i,0.00054944+8.8111e-05i
-0.0003421+0.00024198i,0.00020252-0.00020802i,0.0017697-0.00026142i,0.0021579+0.0001499i,0.0012755+0.00063807i,-0.00060055+0.00018074i,-0.0020819-0.0005368i,-0.0022384-0.00081013i,-0.0013159-0.00089742i,-0.00012476-0.00075318i,0.00025919-0.0006467i,-0.00017062-0.00075261i,-0.0001421-0.00053899i,3.1342e-05+7.4647e-05i,-0.00011606+0.00034439i,0.00038135-0.00031966i,0.0008225-0.00048225i,0.00070523-0.00023451i,0.000333-0.00010863i,-0.0003782-0.00013426i,-0.00050133+7.4061e-05i,-0.00049899-4.3653e-05i,-0.00067842-0.00019467i
0.0004045+0.00034947i,0.0012798-0.00081981i,0.00070652-0.00037958i,-0.0005417+0.00040497i,-0.0009587+8.9628e-05i,-0.00087947-0.00054843i,-0.0011345-0.00040025i,-0.0013553-0.00040889i,-0.00080504-0.00092488i,-0.00012484-0.00084764i,0.00012925-0.00083706i,0.00034402-0.00064911i,0.00045044-0.00025755i,0.00048835-7.0543e-05i,0.0006693+0.00027929i,0.00064973+0.00051467i,-0.00014505+0.00021417i,-0.00059464+0.00055039i,-0.00029953+0.00062951i,-0.00013348+0.00056724i,0.00028721+0.00055353i,-0.00018196+0.00039393i,-0.00044307+0.00060615i
0.00073703+0.0021693i,0.0022389+0.0016814i,0.0023208-0.000467i,0.0013533-0.0010112i,7.4125e-05-0.0001941i,-0.00039562-0.00075617i,-0.0010279-0.0011404i,-0.002325-0.00093475i,-0.0020066-0.00037273i,-0.00058917-0.00016376i,0.00051042-0.00019718i,5.8446e-05-7.4019e-05i,-0.00035959-0.00033898i,0.00055256+0.00017046i,-0.00045368+0.0012037i,-0.0011727+0.0016021i,-0.00070434+0.0010847i,-0.00069026+0.00048713i,-2.1087e-05+0.00017643i,0.00048515-0.00025189i,0.00049831-0.0001777i,6.7168e-05-0.0003669i,-0.00027856-0.00096737i
0.00013555-0.00080101i,-0.00041247-0.0008882i,-8.1101e-06-0.00064439i,0.000332-0.0010522i,-0.00035293-0.00068704i,-0.0018348-2.8971e-05i,-0.0022742+2.8372e-05i,-0.0016899-0.00026475i,-0.0013265-0.00037782i,-0.0009609-0.00057673i,-0.00050326-0.00084316i,0.00036864-0.00021445i,0.00069308+0.00033665i,0.00039997-1.9471e-05i,0.0005092-0.00039084i,0.00025217+0.000111i,-0.00032265+0.0005764i,-0.00025015+9.0543e-05i,0.00013696-0.00063188i,0.00049415-0.00025538i,-1.5394e-05+0.00067206i,-0.00099639+0.00046655i,-0.00083114-4.1405e-05i
-0.00030985-0.0023133i,0.00056451-0.0027072i,-0.00036155-0.0011758i,-0.0009198+0.0003497i,-0.00013491-0.00019162i,0.00051654-0.00064199i,-0.00027996-0.00026183i,-0.00098219-5.9249e-05i,-0.00086233-0.00019404i,-0.00061066-7.778e-05i,-0.00015981+0.00063374i,0.00030994+0.00047666i,0.00018422+1.8245e-05i,-0.00047156-5.1968e-05i,-0.00075241+0.00017064i,-5.9273e-05+0.0004553i,0.001046+0.00042267i,0.00074937+0.00038871i,0.00023014+0.00031824i,0.00035915+0.00030837i,-0.00012262+0.00019324i,-0.00023331+0.00041566i,0.00020177+0.000361i
0.0017676+0.00046972i,0.0032309-0.00078054i,0.0029545-0.0014435i,0.0017793-0.00081954i,0.0010947-0.00036942i,-0.0004179+0.00022441i,-0.0012845+0.0010065i,-0.0011453+0.0010717i,-0.00033618+0.00060186i,0.00013267+7.732e-05i,-5.1763e-05-0.00067731i,0.00011686-0.00081448i,-0.00027568-0.00025055i,-0.00064505-0.00028883i,0.00019881-0.00037708i,0.0009068-3.334e-05i,0.0011305+0.00046744i,0.0010677+0.0007371i,0.00026472+8.8212e-05i,-0.00051696-0.00054792i,-0.00066734+0.00064694i,-6.4919e-05+0.0011492i,-0.00034968-2.2905e-05i
-0.00026559-0.0024944i,6.1288e-05-0.0018159i,-0.00063909-0.0014517i,-0.0013932-0.001098i,-0.0013128-0.00012804i,-0.00079079-0.00016589i,-0.00026065-0.00039677i,-0.00034598+1.3113e-05i,-0.0011752-4.1739e-05i,-0.0012626+0.00017474i,-0.00035604+0.0011294i,-0.00012949+0.00087735i,-0.00026328+0.00032248i,0.00012223+0.0004583i,0.00012002+0.0009181i,-0.00029784+0.0013468i,0.00010049+0.0009736i,0.00038168+0.00040194i,0.00072351+0.00042667i,0.00088816+0.00021175i,0.00015364+6.2561e-05i,7.1686e-05+0.00017849i,0.00038052-0.00018246i
7.7565e-05-0.0010641i,0.0010191-0.0027969i,0.00069901-0.002878i,0.00055063-0.0021724i,0.00048132-0.0010693i,-0.0006076+0.00010515i,-0.0013032+0.00070584i,-0.001302+0.00045973i,-0.00078428-0.00057486i,1.1095e-05-0.001531i,-3.1243e-05-0.0011335i,-0.00087871+0.00026992i,-0.0011508+0.00056049i,-0.00049791+0.00016959i,0.00033695+0.00030665i,0.00067315+0.00026711i,0.00031599-2.95e-05i,0.00036343+0.00021091i,0.00059035+0.00010092i,0.00021882-0.00046308i,0.00032692-0.00052313i,0.00072402-0.00083273i,0.00041155-0.00052019i
2.295e-05+0.0016634i,0.00086537+0.00087521i,0.0013245+0.00041793i,0.00096555+0.00062023i,0.00072083+0.00038074i,7.6601e-05+0.00033198i,-0.0013985+0.00030609i,-0.001955+0.00050639i,-0.0011188+0.00049226i,-0.00017644+3.0473e-05i,0.00025884+0.00020676i,0.00036078-0.00025162i,0.00016559-0.00021134i,0.00032473+0.00083954i,0.00046083+0.00062707i,0.00042712-1.3434e-05i,0.00076834-0.00016236i,0.0010227-0.00049217i,0.00083685-0.00061009i,0.0004946-0.00094564i,0.00038753-0.00096717i,9.8072e-05-0.00030044i,0.00084253+0.00032392i
