0.0033689+0.00025368i,0.0024972+0.00051741i,0.0012102-0.00037678i,-0.00047489-0.00054668i,-0.0013909+0.0005887i,-0.00069156+0.0019846i,0.00029018+0.0020801i,0.0010111+0.0018004i,0.0012169+0.0009745i,0.00094776-0.00014115i,0.00029276-0.00023798i,-0.00022538-0.00017978i,-0.00016635+0.00025567i,-1.242e-05+0.001181i,0.00010151+0.0011427i,-0.0001177+0.00038382i,0.00048722+0.00017892i,0.0012661+0.00025824i,0.00041953-5.9054e-05i,3.5639e-06-7.166e-05i,-0.00030571+0.00025883i,-0.0006297+0.00025381i,-0.00061251+5.8788e-05i
0.00031622+0.0035147i,0.00037761+0.0026511i,0.0018022+0.0013732i,0.0016139-0.00061307i,0.00043167-0.0014808i,-0.00029489-0.0016235i,-0.00042659-0.00083836i,0.00075247+0.00021762i,0.0018095+0.0012373i,0.0011683+0.0013831i,-0.00067508+0.00067225i,-0.001107+0.00027812i,-6.9796e-05-0.00013737i,0.00060944-0.00064515i,0.0013309-0.0003092i,0.00066333+0.00044858i,-0.00062446+0.0002247i,-0.00013132-0.0002682i,0.00089632-0.00020298i,0.0007549+0.00019064i,0.00038726-0.00021155i,-0.00017425-0.00053432i,-0.00042065+8.3038e-07i
-0.0014267-0.0015877i,-6.5111e-05-0.0015493i,-8.3528e-05-0.00033965i,-0.0010884+0.00041351i,-0.0013326+0.001114i,-7.7868e-05+0.0011023i,0.00024053+0.00022074i,-0.00047979+0.00018295i,-0.00091695-0.00016646i,-0.00036601+0.00041128i,0.00022404+0.00088383i,-0.00062362-6.6775e-05i,-0.00020698-0.0010963i,0.00087281-0.00072287i,0.00080017+0.00040183i,0.00044318+0.00092647i,-4.5802e-05+0.00061009i,-0.00047239-0.00012387i,-0.00075281-0.00012116i,-0.00066715+0.00012972i,-0.00055131+7.2685e-05i,5.9649e-05+0.00048836i,9.4597e-05+0.00089503i
0.0020478+0.0014995i,0.0015169+0.0013651i,0.0015468+0.00010143i,0.0012626+0.0002046i,0.00026943+0.00024281i,-0.00050102-1.7502e-05i,-0.00018655-0.00036171i,0.00077792-0.00060646i,0.0012228+0.00012228i,0.00077503-0.00010028i,-0.00015247-0.00095364i,-0.00046597-0.00066741i,-0.0007047-6.4645e-05i,-0.00022754+0.00023182i,6.5001e-05-0.00028513i,3.9789e-05-0.00067061i,3.3221e-05-0.0003829i,-0.00082679-0.00050797i,-0.00038405-0.0011615i,0.00033612-0.00017294i,0.00022433+0.00090122i,6.4989e-05+0.0009409i,0.00026233+0.00066465i
0.00056666+0.00091266i,0.0013448+0.00038124i,0.0015041-0.00046814i,0.00013278-0.0008357i,-0.00074559-0.00047877i,-0.00062002+0.00017629i,4.9886e-05+0.00027726i,0.00066942-0.00022674i,0.00082997-0.0008182i,0.00021059-0.00021653i,-0.00080124+0.00075079i,-0.0013956+0.00063168i,-0.0011821+0.00039364i,-0.00026967-0.00018872i,-0.0004266-0.00063244i,-0.001185-0.00053949i,-0.00082905-0.00043959i,-1.4828e-05-0.00070247i,0.00034232-0.0010977i,0.00090952-0.00094245i,0.00088819-0.0002016i,5.766e-05+0.00045044i,-0.00022166+0.0010875i
-0.0010165+0.0022659i,-0.00093065+0.0022913i,-0.00087294+0.0022392i,-0.00034937+0.0021619i,3.8293e-05+0.0019232i,0.00067439+0.0013186i,0.0012125+0.00021282i,0.00026568+0.00011295i,-0.0011552+0.001172i,-0.0015068+0.0011589i,-0.00039833+0.00082384i,0.00036194+0.00085736i,9.682e-05+0.00036089i,0.00032162+2.6413e-05i,0.00028887+0.00039197i,0.00033719+7.0675e-05i,0.00035686+0.00021439i,-0.00039134+0.00070599i,-0.00011348+0.00038291i,0.00039231-0.00039162i,0.00064647-7.2023e-05i,0.00028855+0.00034443i,-0.00032352-0.00012146i
0.00070929+0.0017098i,0.0020626+0.00066978i,0.0026975-6.4311e-06i,0.0023373-0.0010373i,0.0012687-0.0001828i,0.00088979+0.00043871i,0.00093119-0.00045683i,0.00016134-0.0006008i,0.00020062-0.0005135i,0.00075457-0.00049032i,0.00025409-0.00025281i,-0.00041268+2.8149e-05i,-0.00069019+0.00070695i,-8.0861e-06+0.00059979i,0.00029895-3.6822e-05i,-0.00018628+0.00037129i,-0.00083523+0.0010457i,-0.00082704+0.00067828i,-0.00023216+0.00045633i,0.00012868+0.00072187i,0.00017529+0.0007034i,0.00030932-7.2758e-05i,0.00022688+0.00040558i
-1.7772e-05+0.0011053i,-1.6184e-06+0.00044869i,0.00062378+0.00012274i,0.00048861-4.8749e-05i,-0.00024765+0.00013462i,0.00010227+0.00021225i,0.00056763+4.5759e-05i,0.00046822+1.2665e-05i,0.00013683-0.00064996i,-0.00020336-0.00080579i,1.4299e-05-0.00049472i,0.00026867+6.9271e-05i,2.7505e-05+0.0009419i,-0.00029484+0.00070399i,-0.00037255-0.00024676i,-0.00028328-0.00020734i,3.9056e-05+0.00010626i,0.00053923-0.00033083i,-0.00030838-0.0001877i,-0.0016558+0.00050304i,-0.0011149+0.00070257i,0.00021729+0.00034042i,0.00031994+2.8295e-05i
-0.00092228+0.0016643i,-0.00090768+0.0017075i,-0.00066051+0.0016307i,-0.00020614+0.0010862i,-6.0685e-05+0.00055976i,0.0007393+0.00068876i,0.0006983+0.00082541i,-0.00053784+0.0011564i,-0.00037428+0.00083352i,0.00064831+0.00037045i,0.00079346+0.00039434i,0.00024522-5.5414e-05i,-5.3882e-05-0.00036132i,0.00038483-0.0005945i,0.00021187+4.2026e-05i,-0.0003475+7.3069e-06i,-0.00020921-0.00068115i,0.00025315+3.9288e-05i,0.00019372+0.00083836i,0.00011265+0.00074963i,0.00019173+0.00093624i,-0.00044076+0.0011314i,-0.00096077+0.00024896i
0.00080784+0.00034597i,0.0014632+0.00026618i,0.0022033-6.8761e-05i,0.0020031-0.00051703i,0.00080061+0.00011208i,-7.4704e-05+0.00048101i,0.00017801+0.00035968i,0.00094561+0.00034285i,0.00058454-0.00025758i,-0.0004403-0.00023401i,-0.0010128+0.0008239i,-0.00099319+0.0010664i,-0.00022315-0.00017672i,0.00066764-0.00085618i,0.00069512-0.00013664i,0.00049121+0.00016354i,0.0001546-0.00034578i,-0.00010245-0.00073229i,-0.00088905-0.00072317i,-0.00099476-0.0004148i,-0.00032214-0.00021995i,-0.00052153+0.00018929i,-0.00069955+0.00063866i
0.0011938+0.0015525i,0.00095677+0.0011548i,0.00097013+0.00020125i,0.00054588-0.00093673i,0.00046553-0.00023366i,-0.00036441+0.00053572i,-0.0011848+0.00016906i,-0.00060872+0.00073047i,0.0006797+0.00092967i,0.0010498+0.00030545i,0.00042916-0.00023648i,-3.0944e-06-0.00091986i,0.00036309-0.0013104i,0.00082136-0.00062683i,0.00029924+0.00052449i,-0.00012311+0.00026486i,0.00042269+0.00042388i,0.00048959+0.0011336i,0.00036317+0.0012489i,-0.00014868+0.00078986i,-0.00055598+0.00015663i,0.00011584-0.00042373i,0.0009009-0.00018121i
