-0.0010021-3.5051e-05i,-0.00073441-0.0021894i,-0.0014697-0.0031709i,-0.00084606-0.0011912i,-0.00034344+0.0015691i,-0.00043253+0.0014569i,0.00016486+0.00052389i,0.00055138+0.00055421i,0.0012277+0.00019099i,0.0013709+0.00010679i,0.0011416-0.00064209i,0.00029085-0.00099556i,-0.0005276-0.00062848i,-0.00047505-0.00085387i,-0.00036787-0.0012956i,-0.00096158-0.00095155i,-0.00096352-0.00084473i,-0.000179-0.00064629i,0.0005538-0.0007808i,1.4893e-05-0.00092704i,-0.001049-0.0002278i,-0.00049454-0.00035592i,0.00017178-0.0004355i
-0.001381-0.0013193i,-0.0010001-0.0010322i,-0.0023375+0.00088483i,-0.0024122+0.0016086i,-0.0012848+0.0018515i,-0.00070202+0.0012176i,5.3044e-05-0.00010362i,0.00060085+4.5434e-05i,0.00028587+0.00076022i,0.00030156+0.00053109i,0.00060432+0.00021644i,0.00080721-0.0005486i,2.6808e-05-0.00085619i,-0.0007961-0.00081205i,-0.0016989-0.00040942i,-0.0014245+9.6481e-05i,-0.00062207+0.00025713i,-0.00092817-0.00032391i,-0.00088221-0.0011804i,0.00034859-0.0012721i,0.00064492-0.00071085i,0.0003699+0.00012402i,9.6147e-05+7.1921e-05i
0.0010634+0.00045406i,0.0011597-0.00015454i,0.0014514-0.00066523i,0.00084096-0.00042569i,0.00093525+0.00012059i,0.0011237+0.00094395i,0.00032063+0.0010839i,0.00025198+0.00047826i,0.00046683+8.7354e-05i,0.00065319-0.00013286i,0.00054413-0.00059659i,-0.00049274-0.00065712i,-0.00043343-4.7069e-06i,-0.00074243+0.00043456i,-0.00084702+0.00039978i,-0.00041233+0.00070998i,-0.00016138+0.0010512i,-0.00080117+0.0005444i,-0.0012193+0.00024153i,-0.00066204-1.8615e-05i,-9.8011e-05-0.00028569i,0.00018957-0.00023382i,0.00021767-0.00033556i
-0.00015412-0.0015561i,-0.00014788-0.0019218i,-0.00054106-0.0016934i,-0.00039449-0.00036796i,0.00014412+0.00095972i,0.00015899+0.00089191i,-0.00034077+0.00065602i,-0.00029577+0.00050279i,-0.00028576+0.0003076i,-0.00055447+0.00049755i,6.208e-06+0.00052396i,0.00048688+0.00066083i,2.3545e-05+0.0004358i,-0.00042815+7.2766e-05i,-0.00019088+3.0735e-05i,-0.00065621+0.00014876i,-0.00042993+0.0004198i,0.0004048-0.00026487i,0.0005356-0.00094281i,0.00036208-0.00035272i,0.0004019+0.00041244i,0.00019985+0.00042165i,-5.5669e-05+0.00016273i
0.00067589-0.0021196i,-0.00043968-0.0024253i,-0.0024338-0.001143i,-0.0026456-5.5684e-05i,-0.0018807-0.00018604i,-0.0001348-0.00028012i,0.00076177-0.00024403i,0.000359-0.00043935i,-0.00024001-0.00047245i,-0.00080495-0.00035871i,-0.00049011-0.00044903i,0.00018039-0.00063609i,0.00026395-0.00032477i,0.00028119+8.8992e-05i,4.8194e-05+6.1308e-05i,0.00025805+4.3181e-05i,0.00074038-9.5363e-06i,0.00042306-0.00056327i,-0.00046558-0.00011036i,-0.00097066-3.3386e-05i,-0.0014236-0.00065582i,-0.0016704-0.00061369i,-0.0011818-0.00057725i
-0.0011227-0.00032728i,-0.0010304-0.0012184i,-0.00099978-0.00045783i,-0.00053095+0.00043134i,-8.315e-05+0.00036632i,0.00016329+0.00032479i,0.00053487+0.00034706i,0.00046947-0.00038372i,0.00038152-0.00020941i,-4.1137e-05+0.00060565i,-0.00015958-5.0898e-05i,-0.00075626-0.00082019i,-0.0013238-0.00094984i,-0.0011965-0.00040032i,-0.00040321-2.7866e-05i,0.00031333-0.00035242i,-5.3307e-05-0.00042684i,-0.00051938-0.00070848i,-0.00057145-0.001319i,-0.00044209-0.00096048i,0.00018209+0.00019201i,0.00036191+0.00072424i,-5.214e-05+0.00057854i
-0.00058216+0.0010731i,9.3262e-05-0.0002428i,4.3003e-05+4.763e-06i,0.00052776+0.0010961i,0.0015455+0.0016286i,0.0014789+0.0001983i,0.00077123-0.0014683i,0.00042582-0.0012937i,0.00014733-0.0002165i,0.00010472+0.00011377i,0.00013964+0.00014475i,-0.00026791+0.00011681i,-0.00023177+7.9996e-05i,-0.00062044+0.000489i,-0.00098196+0.00045771i,-0.00052902-0.00023325i,-0.00051577-0.00048793i,-0.0006546-0.00046849i,-0.00023869-0.00029818i,0.00030424+0.00022058i,0.00070823+0.0002474i,0.00092237-2.3628e-06i,0.00015297+0.0004378i
-0.0012224-0.00030888i,-0.001649+2.2759e-05i,-0.0018821+0.00090056i,-0.00013776+0.0026118i,0.0017676+0.0031864i,0.0018476+0.0013841i,0.00091409-0.00019464i,0.00057241-0.00016026i,0.00043749+0.00010534i,0.0005596+0.00028709i,0.00056101-9.3868e-05i,3.6288e-06-0.00073325i,-0.00034283-0.00069262i,-0.0009315+8.9693e-05i,-0.00086172+0.00033121i,-0.00050007+0.00084838i,-0.00029846+0.00064362i,5.6491e-05-0.00023236i,0.00015297-0.0008455i,0.00050527-0.00086247i,0.00016438-0.00057743i,-0.00036313-0.00085338i,-0.00018073-0.00067496i
-0.0020753-0.00023871i,-0.00037509-0.00098791i,-0.00078821-0.00016316i,-0.00064469+0.0019885i,0.00053874+0.0031407i,0.0015434+0.0012618i,0.0010605-0.00023316i,-0.00029983+0.00037016i,-0.0011546+0.00026849i,-0.0008422-0.00077251i,-0.00031262-0.00076508i,-0.00036934-0.00028105i,-0.00090011-0.00028326i,-0.00087577-0.00067451i,-0.00034255-8.0916e-05i,-0.00061085+0.00099181i,-0.0013079+0.0013055i,-0.0010886+0.00039412i,-0.0004412-0.0005858i,-0.00027365-0.00075933i,-0.00023176-0.00050531i,-0.00029099-0.00021526i,-0.00072996+5.2189e-05i
-0.00069485+0.00019759i,-0.0006145-0.00097871i,-2.5978e-05-0.00040533i,0.00044855+0.00046104i,0.0013945+0.00071165i,0.0007896+0.00050577i,-6.7141e-05-0.00062307i,2.8954e-06-0.0010484i,-0.00054563-7.8298e-05i,-0.0011676+0.00061408i,-0.0013189-0.00022027i,-0.001241-0.0011844i,-0.00068351-0.00066357i,-0.0009916-0.00036666i,-0.0010041+0.00013202i,-0.00041447+0.00093635i,0.00022016-7.5636e-05i,-0.00019222-0.0009522i,-0.0010835-0.00055527i,-0.00067937-0.00013418i,-0.00058627-0.0001757i,-0.00087741+0.00014262i,-9.4001e-05+0.00037512i
-0.00087781-0.0011373i,-0.0017992-0.00086401i,-0.00069302-0.00014149i,-0.00044947+0.00067258i,-0.00052586+0.0011246i,0.00063107+0.00047692i,0.0012415-0.00018651i,0.00057559-0.00010204i,-1.1376e-05+0.00025618i,-0.00064073+0.00048474i,-0.0011274+0.00010374i,-0.00055539-0.00040684i,-1.5356e-05-0.000405i,-0.00044438-0.0002039i,-0.00055219+9.4628e-05i,-0.00057897-0.00014318i,-0.00048104+0.00027898i,-2.8126e-05+0.00038674i,0.00062049-0.00068668i,0.00037487-0.00049492i,-0.00039191-0.00018825i,-0.00079473-0.00025537i,-0.00078067-0.00018275i
-0.00034188-0.0025674i,7.4849e-05-0.0023713i,-0.0006265-0.0025015i,-0.00068976-0.00099331i,-0.0011652+7.7578e-05i,-0.00080341+0.00054387i,0.00032435-5.4399e-05i,0.00020043-0.00065332i,-0.00024457-0.00084236i,-0.0009841-0.0012847i,-0.0008626-0.0010259i,1.6434e-05-0.00039715i,0.00036721-0.00075451i,0.00077608-0.00052053i,0.00089981+0.00066108i,0.0012722+0.0008541i,0.00095384+0.0010902i,4.5251e-05+0.00023221i,0.00022746-0.00025304i,0.00038885-0.00015479i,0.00012686+0.00058971i,-0.00019113+0.002139i,-0.00023781+0.0012821i
9.3599e-05-0.00080456i,0.00015199-0.0013308i,-0.0011743-0.00098363i,-0.0014826-0.00040645i,-1.8851e-05+5.5449e-05i,0.0004349+0.00024524i,0.00023488+0.00050943i,0.00038716+0.00030618i,0.000326+3.1852e-05i,-0.00015705+0.00037094i,-0.00024494+0.00033056i,0.0001107+0.00064685i,0.0004525+0.00064779i,-0.00036621-2.0674e-05i,-0.0010685+0.0001796i,-0.00035006+0.00079381i,-0.00012271+0.00093862i,-0.00084869+0.0008761i,-0.0013225+0.0001365i,-0.0010253-0.00038542i,1.2573e-05+0.00060489i,0.00019028+0.0013555i,-0.0010621+0.000547i
-0.00011605-0.0015112i,0.00064268-0.0017288i,4.6387e-05-0.001518i,-0.001173-0.00071048i,-0.0016538+1.9916e-05i,-0.00063913+2.4626e-05i,0.00058259-0.00048641i,0.00079418-0.00071668i,0.00058964-0.00055589i,0.00013149-0.00089343i,-5.8788e-05-0.0011328i,-0.00065515-0.00068902i,-0.00092673-0.00066477i,-0.00045744-0.00094387i,-0.0008025-0.0010339i,-0.0014093-0.00089315i,-0.00056682-0.00042746i,0.00035317+6.5975e-05i,0.00013208+0.00065619i,-0.00036325+0.00026063i,-0.00029251-0.00072061i,-0.00019364-0.00022441i,-0.00046012+0.00015643i
-0.00076323-0.0012728i,-0.00096864-0.0014768i,-0.0013971-0.00076907i,-0.001149-0.0010956i,-0.00012378-0.0011567i,0.00044788+0.00023868i,0.0012201+0.00034569i,0.0012673-0.00014469i,0.00022265-0.00012985i,-0.0004659-0.00020024i,0.00022214-0.00036551i,0.00051475-0.00039396i,-0.00013015-0.00033427i,-0.00066153-0.00083915i,-0.0007426-0.00073637i,-0.00056917+9.2031e-05i,-0.00099964+8.7699e-05i,-0.00083066-0.00079027i,2.5332e-06-0.0014052i,0.00015077-0.00076796i,-0.0002406+0.00024003i,-0.00029734+0.00040172i,-1.1523e-05+0.00039971i
-0.00054236+0.0011442i,-0.00063833+7.2238e-05i,-0.00072426-0.00032564i,-0.00017248-8.6346e-05i,0.0016809+0.0008332i,0.0025739+0.00060604i,0.0016441-0.00054033i,0.00057129-0.00052285i,-0.00043208-0.00066836i,-0.00076544-0.00093117i,-0.00055589-0.00083303i,-0.00043816-0.00089447i,-0.0011376-0.00047726i,-0.0010724+0.00032255i,-0.00083741+0.00017586i,-0.0012762-0.00049272i,-0.0009943-0.00039865i,-0.00056383-0.00018565i,-9.3247e-05-0.00045238i,0.00029213-0.00028982i,0.0004606-0.00055562i,-0.00010134-0.00017087i,-0.0006686+0.00046598i
0.002201-0.0028831i,0.001841-0.0036451i,-1.6715e-05-0.0033334i,-0.0015635-0.001895i,-0.0021419-9.3648e-05i,-0.0020573+0.00099521i,-0.00094872+0.0010744i,-0.0003597+0.00028618i,-0.00066897-0.00044968i,-0.0016479-0.00047772i,-0.0016888-0.00033054i,-0.00061251-0.00035795i,-0.00011665-0.00035065i,-0.00022578-0.00045863i,-0.00033551-0.00046637i,0.00032532+0.00031379i,0.00099314+0.00047167i,0.00022618+0.00033573i,-0.00040675+0.00042043i,0.00014902-8.6386e-05i,0.00042645+7.54e-05i,-3.6377e-05+0.00047706i,0.0005405+0.0001128i
0.00010932+0.00076806i,-0.00064057+0.00051759i,0.00060244+0.00020675i,0.00062736+0.001138i,0.00093474+0.0017948i,0.0011768+0.0010809i,0.00085971-4.8394e-05i,0.00047857-0.00078235i,-0.00046488-0.00083914i,-0.00031323-0.00077653i,-2.728e-06-0.0011181i,-0.000225-0.0013105i,-7.9636e-05-0.00050633i,-0.00023116-0.00025056i,-0.0010626-0.00039689i,-0.0009066+0.00048079i,0.00012342+0.00086383i,0.00054259-0.00056551i,0.00042514-0.0012987i,7.0253e-05-0.00069451i,-0.00015927-0.00048504i,-0.00039888-0.00022673i,-0.00043775+0.00016263i
-0.00049429-0.00019575i,-0.00096744-0.0012935i,-0.001213-0.0014701i,-0.00051718-0.0011426i,-9.8487e-05-0.00079765i,0.00079678-0.00074053i,0.00075793-0.00090088i,0.00017866-0.00051664i,0.00029366-8.6049e-05i,9.4981e-05-0.00021545i,2.4914e-05-0.00023807i,0.00064366-0.00011357i,0.00035993-0.00015213i,-0.00018854-0.00042146i,0.00012679+0.0004869i,0.00056741+0.00061177i,0.00077752-0.00025188i,0.00066624+0.00037121i,-7.4145e-06+0.00063287i,-0.0010981+5.0802e-05i,-0.0010119+0.00030586i,-0.00011248+0.0006476i,-0.00012348+0.00016397i
-3.9259e-06+8.5992e-05i,0.0016034-0.00013915i,0.0018608-0.00043675i,0.001404-0.00022608i,0.0011495+0.00023987i,0.0013168+0.00010772i,0.0010586+0.00031553i,0.00053607+0.00017049i,-3.0724e-06+0.00014492i,-0.00077369+0.00034522i,-0.00055706+0.00055831i,-0.0003182-5.0578e-05i,-0.00062874-0.00034873i,-0.00096743+0.00026042i,-0.00046586+0.00045108i,0.00053023+0.00038293i,0.00058921-8.1651e-05i,0.00036267-0.00081261i,0.00049444-0.00066985i,0.00034162-0.00038912i,0.00050321-0.00074884i,0.0012217-6.3088e-05i,0.000708+0.00044588i
0.00052543-0.00095342i,-0.00018228-0.0012803i,-0.00032408-0.0012646i,5.1448e-05-0.0014697i,0.0007666-0.000821i,0.00044154+0.00029415i,0.00017848+0.00017112i,5.5466e-05+0.00036286i,-0.00011814+0.00077001i,0.00014097-2.4144e-05i,0.00075382-0.00078779i,0.0005049-0.00027015i,-0.00032302+0.00034409i,-0.00036802+0.00015127i,-0.00029009-4.7523e-05i,-0.000819-8.7562e-05i,-0.00059051-0.0004964i,0.00030836-0.00043109i,-1.1098e-05-0.00011023i,-0.00017834-0.00032032i,0.00046174-0.0003893i,0.00061454-0.00021799i,0.00063758-0.00036493i
-0.00049406+0.00087881i,8.1474e-05+0.00070334i,0.00058288+0.001497i,0.00086828+0.0018333i,0.0011046+0.0012587i,0.0010589+0.00029933i,0.0011005-0.00017366i,0.00083295-0.00031599i,-0.00031784-0.00063567i,-0.0005959-0.00060571i,3.4219e-05-9.3169e-05i,-8.6296e-05+0.00050578i,-0.00087733-4.662e-05i,-0.00099007+0.00021078i,-0.0012876+0.0011851i,-0.00079286+0.00081052i,-0.00010859+0.00082776i,-0.00038194+0.0016083i,-0.00020355+0.00099957i,-0.00031811+9.4834e-05i,-0.00034267-0.00012753i,0.00017103-0.00015448i,0.00030211-2.1377e-05i
0.00092782-0.0013006i,4.7848e-05-0.0018016i,-0.0011629-0.0025261i,-0.0015002-0.001446i,-0.0016725-0.00010611i,-0.0010034+0.00023722i,7.9623e-05-0.00034765i,2.6501e-05-0.00039196i,-0.00057298-0.00018195i,-0.00072252-0.00085461i,-0.00015069-0.0012923i,-3.6539e-05-0.00070827i,6.9076e-05-0.00021015i,0.00047517+0.00040797i,0.00023127+0.0011807i,-9.4177e-05+0.00081415i,-0.00024706+0.00038541i,-0.00015911-0.00047251i,0.00012548-0.00012231i,7.1313e-05+0.00075253i,0.00049355+0.00061376i,0.00096091+0.00042982i,0.00074091+0.00076763i
