-0.0012153+0.001968i,0.00098904+0.001973i,-0.0004316+0.0015213i,-0.00096319+0.0010809i,-0.00025828+0.0017075i,-0.00040095+0.0017956i,-0.0011088+0.0014635i,-0.00087312+0.00086071i,0.00013815+0.00066858i,0.0012128+0.0010287i,0.0010458+0.00027123i,-0.0002557-0.00020014i,-0.00077173-0.00013128i,-0.00014412-0.00062743i,0.00019044-0.0010563i,0.00013392-0.0010279i,0.00037221-2.0334e-06i,-0.00020727+0.000453i,-0.00078277-0.00030322i,-0.0002684-0.00054059i,0.0005077-0.00050726i,0.00079471-0.00016981i,0.00072375-0.00018362i
0.00012984+0.0009254i,-0.00010835+0.0011028i,0.0015614+0.0010667i,0.0027354-0.00010441i,0.0020367+0.00031171i,0.00075424+0.0011812i,-1.3602e-05+0.0012951i,0.00041662+0.00080373i,0.0011563-0.00013422i,0.0011235-0.00056558i,-0.00010522-0.00011903i,-0.00085799+0.00022891i,-0.0010339+4.3206e-05i,-0.0014202-0.00011545i,-0.00088472-0.00026255i,0.00027328-0.00083497i,0.00051363-0.00072757i,-0.00012608+0.00012538i,-0.0007343+0.00065804i,-0.00077383+0.00029039i,-0.00074136-0.0002285i,-0.00075588-0.0010965i,-0.00048334-0.001492i
0.00056233+0.0026917i,0.00030624+0.0023827i,0.0012674+0.0012361i,0.0012094+0.00082848i,0.00014127+0.00060999i,-0.00083327+0.00035535i,-0.0014835-2.4035e-06i,-0.00054122+0.00035422i,0.0009762-5.4323e-05i,0.0016545-0.00041644i,0.0010021+0.00016213i,0.00062544+0.00010609i,0.00062743+0.00025572i,-0.00022608+0.00057411i,-0.00043781+8.4845e-05i,-6.2771e-05-0.00076928i,-5.0915e-05-0.0010168i,-0.00073956-0.00048869i,-0.00020715+0.00096655i,0.00062019+0.0013639i,0.000859-0.00052991i,0.0006774-0.001612i,-0.00015375-0.0012203i
-0.0011834+0.00039523i,-0.0012643+0.00043194i,-0.0012762-0.00045133i,-0.00010631-0.00042568i,0.00027608+0.00052868i,-0.00047506+0.00049967i,-0.00033377-3.1807e-05i,-0.0001189+0.00080168i,-0.00036174+0.0013544i,6.2132e-05+8.4761e-05i,-8.0698e-05-0.00065752i,-0.00023015-0.0006494i,-9.0816e-05-0.00053501i,-0.00023318-0.00031188i,-6.4622e-05-0.00054412i,0.00038737-0.00081608i,0.00029271-0.00077323i,-9.9497e-05+1.7509e-05i,-0.00011015-3.21e-05i,-0.00017253-0.00085405i,-0.00060682-0.00059887i,-0.00019499+0.00040434i,0.00024558+0.0011056i
0.00031142+0.00077908i,0.00087055+0.00038774i,0.0027633+0.00027872i,0.0025235+0.00018284i,0.00080994-0.00049547i,-3.3616e-05-0.00068434i,-0.0010234-9.3985e-05i,-0.0010657+9.4408e-05i,-8.1948e-05+0.00025935i,-7.4546e-05+0.00041412i,2.7697e-05+0.00070768i,-0.00029234+0.00047873i,-0.00051996+0.00028062i,-0.00030424+0.00065829i,-0.00053707+0.00035775i,-0.00062275+0.00010178i,-0.00019605+0.00026502i,0.00093651+0.00026031i,0.0011835+0.00020326i,0.00060878+0.000571i,0.00041435+0.00083813i,3.323e-06+0.00072343i,-0.00020357+0.00013944i
0.00058827+0.0021513i,0.00026157+0.0028825i,0.00092696+0.001926i,0.001044+0.0008098i,2.3708e-05-0.00016535i,-0.0007291-2.122e-05i,-0.00083711+0.00040901i,-0.00030086+0.00051105i,0.00038252+0.00048762i,0.00055656-0.00066715i,0.00031121-0.0013182i,-0.00022557-0.0012279i,-0.00032518-0.00038367i,0.00014757+8.865e-05i,0.0004548-0.00059512i,0.00037208-0.00021593i,4.0027e-05-0.00013812i,-0.00010686-0.00093841i,6.6798e-05-0.00038149i,-0.00010617+0.0001386i,-7.1292e-05-0.00066805i,0.00019796-0.0012365i,-6.0403e-05-0.00074659i
0.00062484+0.0013725i,0.0016316+0.0009721i,0.0018279+0.00025111i,0.0011473-0.0011084i,0.00065299-0.0011198i,-0.00043752-0.00035888i,-0.00089539+0.00054663i,-0.00047222+0.0010639i,-6.5267e-05+0.00079493i,0.00084044-0.00027183i,0.0011503-0.0009615i,0.000287+0.00035703i,0.00028324+0.00080724i,0.00029746+0.00077851i,0.00064887+0.00032754i,0.0010126-0.00039317i,0.001113+0.0004205i,0.00066526+0.0014546i,-0.0002898+0.0014559i,-0.00030655+0.0013783i,-4.1223e-05+0.00103i,-0.00058783+0.00075369i,-0.00038932-9.5798e-05i
-0.0019478-0.00073877i,-0.0012518-0.00026821i,0.0010258+0.00032254i,0.00094129+0.00092044i,-0.00031938+0.0014328i,-0.00022617+0.0004815i,-8.8184e-06-0.0007207i,-0.00072048-0.00092655i,-0.00012979-0.000752i,0.00058644-0.00059519i,0.00041212-0.0012888i,0.00018539-0.0013594i,2.1788e-05-0.00053318i,-0.00029255-9.8023e-05i,-0.00023654+1.3004e-05i,0.00035792+0.00017896i,0.00092736+3.0923e-05i,0.00093545-0.0004881i,0.00095347-0.00027824i,0.00067935+0.00061884i,-0.00038081+0.00096476i,-0.0010605+0.00088965i,-0.00060626+0.0001679i
0.001215-0.0010179i,0.00064478+9.2556e-05i,0.00016611+0.00039539i,-0.00023671-0.00064421i,-0.00034096-0.0010065i,-0.00056153-0.00033828i,-0.0013398-2.4391e-05i,-0.00044972+0.000155i,0.00063612+0.0003713i,0.0012502+0.00029583i,0.00098235+0.00047944i,1.7843e-05+0.000127i,-0.00025651-0.00019814i,-0.00010055-5.3213e-05i,0.00018288-0.00017062i,0.00042689+0.00035916i,0.00035501+0.0006433i,8.808e-05+0.00032533i,-0.00032111+0.00058325i,-0.00038545+0.00059696i,-0.00022475+0.00022106i,-0.00063945-1.4253e-05i,-0.0014097+0.00029644i
-0.00012125+0.0012929i,-0.00046411+0.0002004i,0.0012091+0.00027512i,0.0026848+0.00022649i,0.001595-4.1873e-05i,-0.0011524+7.5618e-05i,-0.0018047+0.00078039i,-0.00046004+0.00073766i,0.00022438+0.00011583i,0.00054137+3.6674e-06i,0.00013078-0.00011562i,-0.0005002-7.098e-05i,-0.000207-0.00018554i,-0.00031366-0.00054918i,-0.00015553-9.4246e-05i,0.00071948+0.00030784i,0.0012459+0.00050104i,0.00014806+0.00077516i,-0.00087073+0.00047561i,0.00033664+8.0985e-07i,0.0011367-0.00014016i,0.001329-0.00029225i,0.00055553-0.00013441i
-0.0008414+0.0013137i,-0.0010135+0.0010598i,-0.00071944+0.001478i,-0.00052684+0.00073799i,-0.00039701-0.00027611i,-0.00060658-0.00015633i,-0.00073925+0.00016516i,-0.00043671+6.2828e-05i,0.00024394-0.00026309i,0.0004632-0.00035405i,0.00031512-0.00021547i,0.00066755+0.00045556i,0.00023585+0.00056189i,-0.00018935+2.8731e-05i,0.00080493-0.00024666i,0.0016166+7.8198e-05i,0.00079812+8.3017e-05i,-0.00018173+0.00016867i,-0.00058613+0.00038612i,8.6667e-05-0.00026784i,0.00083406-0.00060941i,0.00020215-0.0002437i,-0.00072032-0.00021919i
