-0.0042235-0.0021807i,-0.0037946-0.0022015i,-0.0024921+0.00048382i,-0.0018515+0.0021704i,-0.0012897+0.0018381i,-0.00014654+0.0013958i,-0.00026655+0.0014753i,0.00027095+0.0016606i,0.0016141+0.0013444i,0.0020471+4.8776e-05i,0.0017942-0.00086186i,0.00078883-0.0010884i,0.00023697-0.0013812i,-0.0002695-0.0014343i,-0.00091586-0.0010605i,-0.00096755-0.00038844i,-0.0007393+0.00080763i,-0.00065527+0.00065894i,-0.00027253-0.00013542i,0.0004312+0.00034213i,0.00065516+0.00094232i,0.00072704+0.00041412i,0.0004698-4.8017e-05i
0.0031494+0.0013222i,0.004091+0.00017268i,0.0035939-0.00089327i,0.0026037-0.00088852i,0.0023237-0.00092028i,0.0016485-0.00091515i,1.2242e-05-0.00067894i,4.5576e-05-0.0003973i,0.00089739-0.00084376i,0.00036453-0.00096052i,-0.00056287-0.00041407i,-0.00062994+0.00042544i,-0.00017506+0.00056608i,0.00015979+0.00025614i,-0.00075605+0.00010359i,-0.0013832+8.6427e-05i,-0.00079462+0.0003081i,-0.00035545+8.5722e-05i,-0.00023171-0.00076463i,-0.00011139-0.00093172i,0.00013364-0.00037724i,0.001095+3.3294e-05i,0.0015482-0.00010173i
1.2855e-05+0.0013443i,-0.00039243+0.0026442i,0.00027838+0.0034153i,0.0019372+0.001658i,0.0018289+0.00023724i,0.00090765-0.00047423i,0.00088266-0.00038279i,0.0005234+0.0004592i,-0.00033657+0.00017325i,-0.00039836-0.0006448i,-0.00013242-0.00063329i,-0.00022206-0.00040625i,-0.00056885-0.00073513i,-0.0005615-0.00016885i,-0.00067228+0.00063552i,-0.00047711+0.00038759i,0.00031399-0.00038173i,0.00020237+0.00011754i,0.00011448+0.0006349i,0.00066512+0.00021452i,0.00056535-8.0217e-05i,-7.9844e-05+0.00025008i,-0.00026979+0.00091182i
-0.0012662+0.00020137i,-0.00081501-0.0015258i,-0.00048191-0.001102i,0.00073901-0.00070826i,0.0013808-0.00097789i,0.0011506-0.0015669i,0.00067942-0.0013829i,0.00059628-0.00080373i,6.0826e-05-0.00054336i,-0.00010837-0.00018894i,0.00019204+0.00023414i,-0.00031331+7.8475e-05i,-0.00057556-0.00066771i,-0.00053835-0.00082313i,-0.00011301+0.00022354i,0.00018559+4.5472e-05i,0.00044029+0.00029357i,0.00073254+0.0010459i,0.00084409+0.00074864i,0.00052166+0.00032593i,0.00018964-0.0001549i,-2.3109e-05+0.00051992i,-0.00023912+0.00097859i
0.001074+0.00066791i,0.0019517+0.00038645i,0.0028678+0.00040329i,0.0026351+0.00037339i,0.0020664-0.00026006i,0.00077865-0.00036038i,-0.00092447-0.00048169i,-0.00052586+4.6573e-05i,-0.00010984+0.00023436i,-3.2686e-05-7.0682e-05i,-0.00030811-5.2479e-05i,-0.00092453-6.4348e-05i,-0.001225+7.7157e-05i,-0.00065547+1.7366e-05i,-0.00022355-0.00024511i,-0.00045873-0.00055809i,-8.8253e-05-0.00097278i,0.0010513-0.00036299i,0.00092376+0.00043581i,0.00025244-5.0128e-05i,0.00052127-0.0004132i,0.00092166+8.4779e-05i,0.00084448+0.00062252i
-0.00062684+0.00040697i,-9.661e-05+0.0010557i,-0.00096283+0.001842i,-0.0002252+0.001548i,0.00023289+0.0008395i,-0.00019439+0.00015844i,0.00041112-0.0004886i,0.00087586-0.00098293i,0.00095618-0.00097477i,0.00049701-0.00030959i,3.5513e-05-0.00036861i,-0.0005154-0.0010945i,-0.0010872-0.0014957i,-0.00074244-0.0010599i,0.00035906-0.0004647i,0.00021304+0.00016779i,-0.00048416+0.00047744i,-0.00071086+0.00029561i,-0.00054014+0.00083221i,-0.00039875+0.00070516i,-0.00043269-0.00029562i,5.5004e-05-0.00017847i,0.0001273+0.00035039i
0.00017003+0.0020391i,-1.6943e-05+0.0011472i,-0.00021053+0.00088991i,0.0012744-0.00092875i,0.0024545-0.0011589i,0.0014897-0.00048012i,0.00027366-2.1237e-05i,0.00025395+0.0006122i,0.00063317-0.00011103i,3.4835e-05-0.00076436i,-0.00033022-7.2782e-05i,-0.00054937+0.00040177i,-0.0011333+0.00071719i,-0.0010186+0.00044942i,-0.00019416-0.00035556i,6.7886e-05-0.00036059i,9.2228e-06-0.00030582i,0.00024445+0.00033489i,0.00021976+0.00034476i,0.00024084-4.5013e-05i,0.00019155-2.6879e-05i,4.2121e-05+0.00055951i,8.8723e-05+0.00032614i
0.00041354-0.0014499i,0.0011284-0.0012491i,0.0010378-0.0013094i,-0.00018535-0.00144i,-0.00054664-0.0014474i,-0.00025614-0.0010128i,-0.00035928-0.00021408i,-0.00023599-8.8605e-05i,-0.00018649-0.00066373i,-0.00083306-0.0009705i,-0.0004015-0.00070947i,-0.00034866-0.00025826i,-0.00069068-0.00023369i,-0.00025694+0.00038198i,-0.0002993+0.00056875i,-0.00035576+0.00041096i,-6.2206e-05-0.00020974i,0.00033735-0.00098714i,0.00078449-0.0012173i,0.00065808-0.00061729i,0.00012281-0.0003474i,0.00012097-0.00053626i,0.00057006-0.0011075i
0.00117-0.00057783i,0.0009276-0.0010588i,0.00089076-0.001453i,0.00068339-0.0011673i,0.0012158-0.00093349i,0.00083812-0.00012665i,0.00045481+0.00044189i,0.00035721+0.00010584i,0.0002756-0.00089905i,0.00013114-0.0011075i,-0.0003967-3.9976e-05i,-0.00074929+0.00040552i,-0.00018671+0.00019016i,2.7705e-05+6.755e-05i,0.0001099-0.0004205i,2.4466e-05-0.0001284i,-0.00026568+0.00039466i,-0.00030635+0.00020251i,-0.00020064-0.00030328i,0.00010855-0.00036635i,0.00034063-0.00010614i,0.00052224-0.00045809i,0.00037055-0.00061521i
-0.00010366-1.9616e-05i,-0.00042462+0.00043427i,-0.00061294+0.0018019i,-2.2315e-05+0.0008155i,-0.00020219-0.00047809i,-0.00039477-0.0006609i,-0.00024906-0.00042929i,-0.00064788-0.00038588i,-0.00064168-0.0010884i,-0.00012788-0.0014728i,-0.00037068-0.0013932i,-0.00062903-0.00091235i,-0.00036135-9.0715e-05i,-0.00010884-9.9197e-05i,-0.00073003-0.00074748i,-0.0015101-0.00060385i,-0.0010841-0.00010197i,-4.1911e-05+0.0003564i,0.00010144-0.00040882i,0.00014978-0.0015621i,0.00027866-0.00083585i,0.00015797+2.988e-05i,-5.096e-05+0.00043391i
0.00046822-0.00088113i,-0.00010409-0.00097764i,-0.00047613-0.0025678i,0.00067868-0.0030623i,0.0010756-0.0023736i,0.00081346-0.0011086i,0.00069237-0.00016751i,0.00067711-0.00013265i,0.0005858-0.00097195i,0.00025195-0.0012941i,2.3437e-05-0.00096805i,-0.00019166-0.00058893i,-0.00050804-0.00072617i,7.5485e-05-0.0011794i,0.0006998-0.00033034i,0.00056376+8.7506e-05i,0.0003427-0.00041553i,0.00019771+3.2667e-05i,-7.9055e-05+0.00061379i,-0.00026953+0.00033801i,-0.00060715-4.4916e-05i,-0.00092316+0.00032383i,-0.0005772+0.00092317i
