-0.0049327-0.00025241i,-0.004416-0.00031093i,-0.0046107+0.0011735i,-0.0047249+0.0018967i,-0.0038155+0.0016583i,-0.0016379+0.0013751i,-0.0004184+0.0018494i,-0.00035111+0.0024713i,6.1261e-05+0.0026382i,0.0008903+0.001763i,0.0018062+0.00040146i,0.0023406-0.00015521i,0.0023385-0.0010907i,0.0010541-0.0019784i,-0.00047522-0.0016232i,-0.00086393-0.001419i,-0.00089134-0.00071232i,-0.0011381+0.00015413i,-0.00099543+0.00019131i,-0.00021954-4.2165e-05i,0.0001478+0.00039351i,-5.6076e-05+0.00062415i,1.8177e-05+0.00071492i
0.0013155+0.0024964i,0.001488+0.0010166i,0.00091272-0.00021183i,0.00032462+0.00025148i,-0.00070352+0.00052759i,-0.001783+0.00050253i,-0.0015163+0.0011713i,-0.0007484+0.0013985i,-0.00085337+0.0016527i,-0.00028013+0.0013739i,0.00070559+9.191e-05i,0.0010254-0.0012716i,0.00048591-0.0014722i,-0.00032199-0.00058961i,-2.4762e-05+0.00026103i,-0.00030967+0.00091513i,-0.0009328+0.00068805i,-0.0011833-0.00046031i,-0.0013176-0.00079887i,-0.00097167-0.00013145i,-0.00029799+0.00049764i,0.00010962+0.0011029i,-0.00035764+0.00072179i
-0.00060918+0.00023692i,0.00049753+0.00054796i,0.00033666+0.0010742i,0.00089128+0.001088i,0.00075363+0.00073918i,-0.00025904+0.00034071i,-0.00064592+0.00032136i,-0.00065402+0.00064025i,-0.00028622+0.00098688i,0.00062318+0.0011799i,0.00097886+0.00030624i,0.00069936-0.00027313i,0.00059848+0.00040597i,0.0011054+0.00013917i,0.00076139-0.00030089i,0.0005719-0.00010566i,0.00055696-0.000379i,0.00026807-0.00029238i,-0.00021232+0.00052416i,-0.0010585+0.00069833i,-0.0011288+0.0008263i,-0.00062486+0.0009695i,-0.00011301+0.00048382i
-0.00046445+0.0014545i,-0.00046279+0.00043457i,-0.00067016+1.4983e-05i,-0.00082769-0.0011664i,-0.0013934-0.0016088i,-0.0014046-0.00049673i,-0.00086691+0.0004341i,-0.00080186+0.00049996i,-0.0004303+0.0010631i,0.00059493+0.0012978i,0.00079161+0.00046125i,5.5681e-05-3.6352e-05i,-0.00074362+0.00046237i,-0.0015249+0.00090352i,-0.00066437+0.00036372i,-0.00058969-0.00045983i,-0.0011545-0.00087849i,-0.00068974-2.9452e-05i,-0.00045317+0.00027577i,-8.3991e-05+0.00039981i,0.00048542+0.0010653i,0.0011054+0.00099306i,0.00090559+0.0014074i
0.00032982-0.00085132i,0.00059776-0.00082672i,-0.00036441-0.00075631i,-0.0017522+3.8098e-05i,-0.0023582+0.00082989i,-0.0012369+0.00063854i,-0.00024263-6.322e-05i,0.00012226+0.0002304i,-0.00017111+0.0011831i,0.00029105+0.0010453i,0.00086585+0.00035019i,0.0011107+0.00018608i,0.00096127-4.9381e-05i,0.00037987-0.00054971i,5.1923e-05+0.00029127i,0.00023531+0.00088029i,-8.7832e-05+0.00028749i,-0.00027317+0.00068711i,5.8313e-05+0.00048701i,0.00034599-0.00012489i,0.0004859-0.00044617i,0.00015447-0.00077638i,-0.00032922-0.00071227i
0.0023797-0.0011525i,0.002142-0.0018034i,0.0013981-0.0025293i,-0.00054176-0.002052i,-0.0021393-0.0014792i,-0.0021245-0.00082545i,-0.00098426+0.00026278i,-1.6698e-05+0.00040093i,-0.00039195+0.00012673i,-0.00066298-1.7675e-06i,-0.00029583-0.00010401i,0.00027847-9.083e-06i,0.00065983+0.00060848i,-6.6853e-05+0.0006224i,-0.001045+0.00048911i,-0.00096689+0.00070407i,-0.00076092+0.0003653i,-0.00046179-0.00032307i,4.4182e-05-0.00075646i,0.00024713-0.00047148i,0.00063621-0.00045494i,0.00102-0.00028747i,0.00059751+0.00031304i
0.0022213+1.167e-05i,0.0019397+3.3417e-05i,0.0013456-0.0007812i,5.6483e-05-0.0010245i,-0.0010028-8.4094e-05i,-0.0013019+0.00090272i,-0.00079945+0.0009675i,-0.00014407+0.00097546i,-0.00017875+0.00083274i,-0.00067727+0.0010815i,-3.1569e-05+0.0010075i,0.00074898-0.00019353i,0.00070497-0.00096579i,0.00027439-0.00054273i,0.0001953+0.00036348i,0.0010517+0.00074274i,0.0011239+0.00035008i,8.2184e-07-0.00034364i,-0.00061787-0.0003092i,-5.0578e-05+0.00024485i,0.00045733+0.00056767i,0.00059264+0.00067676i,0.00035454+0.00053406i
-0.00077433-0.0010328i,-0.00076881-0.00062161i,-0.00063867-0.0013395i,-0.0010127-0.001568i,-0.00084712-0.00082254i,-0.00010102+7.1825e-05i,-0.00015004+0.0010989i,-0.00047294+0.0012793i,-0.00054339+0.0015134i,-0.00015043+0.0020439i,-9.0878e-05+0.0016343i,3.663e-05+0.00077205i,0.00088101+0.00048231i,0.00098132+0.0002597i,0.00065689-0.00072624i,0.00033075-0.00074375i,-0.0002648-0.00040193i,-0.00025706-0.00051299i,0.00037979-0.00042915i,0.00090139-0.0004418i,0.00057734-0.00062538i,-0.0007774-0.00034804i,-0.00067868-0.00045802i
-0.00037616-0.0016574i,-0.0017032-0.0015988i,-0.0027622-0.0017554i,-0.0033379-0.0010294i,-0.0024526+0.00022782i,-0.001105+0.00089936i,-0.0001275+0.00094464i,-0.00066018+0.00019788i,-0.00089548-0.00033835i,2.8723e-05-0.00037536i,-0.00020731-0.00069392i,-0.00019716-0.0014133i,-3.0531e-05-0.0015602i,7.7881e-05-0.0014753i,0.00030868-0.0010449i,4.6005e-05-0.0006144i,-0.00065899-0.00088793i,-0.00096585-0.00072532i,-0.00029396-8.4059e-05i,0.00014153+6.361e-05i,0.00033451+0.00061446i,0.00083191+0.00012657i,0.00046583-0.00015036i
0.0013751-0.0002571i,0.00032726-3.5497e-05i,0.00068394-0.00048618i,0.00020386-0.00022148i,-0.00093838+0.00050627i,-0.00049069+0.00079677i,0.00062163+0.00051759i,0.00020817+0.00020299i,-0.00037055+0.0010733i,-0.00066096+0.0016301i,0.00014281+0.0011917i,0.00061806+0.00089631i,-0.00070125+0.00073899i,-0.0012008+0.00065396i,-0.00048556+0.00014336i,-0.00010227-0.00035715i,-8.2077e-05-0.00039499i,-0.00040465-0.00016067i,-0.00049587-0.00019074i,-0.00035771-0.0003177i,-0.00019425-0.00017693i,-0.00032213-0.00041363i,-0.00031945-0.00024389i
-0.00041752-0.00060907i,-0.00032626-0.00013843i,0.00013306+0.00024486i,-0.00083483-0.00012696i,-0.0021688-0.00065992i,-0.0020482-0.00031912i,-0.00060334+0.00031639i,0.00051996+0.00044225i,0.0010042+0.00087873i,0.0016304+0.0012359i,0.00094332+0.00056913i,0.00016345-0.0007351i,2.8689e-05-0.0012958i,0.00010989-0.00072641i,0.00045598-0.00022231i,0.0004085-0.00074812i,-0.00062482-0.0010991i,-0.00057297-0.00055404i,7.2951e-05-0.00014605i,-0.00037788-0.00069254i,-0.0010387-0.0012554i,-0.00079107-0.00097255i,-0.00065593-0.00025689i
-0.0027999-0.00054144i,-0.0025368+0.00060027i,-0.0025998+0.0012881i,-0.0019188+0.0017103i,-0.0010064+0.0019974i,-0.00041209+0.0012884i,-0.000815+0.0013847i,-0.0018418+0.001965i,-0.0010556+0.0017392i,0.00044793+0.00094058i,0.00098534+0.00060976i,0.0012329+0.00032087i,0.00091306-0.0006466i,-7.1182e-05-0.00077401i,-0.00081996-3.7992e-05i,-0.00068125-5.7111e-05i,-0.00049646-0.00043161i,-0.0008994-0.00056212i,-0.0013877-0.00066417i,-0.0013977-0.0010356i,-0.00073886-0.00099906i,0.00013577-0.00017302i,0.00091404+0.00015055i
