-0.0014628+0.0011659i,-0.00066029+0.00052486i,-0.0022962+0.00027383i,-0.0028229+0.00029211i,-0.0020475+0.001219i,-0.0006045+0.0016686i,-0.00041459+0.001074i,-0.00012996+0.00072424i,0.00045603+0.0012335i,0.00084724+0.0013182i,0.00093057+0.00028336i,0.00025825-0.00049473i,-0.00089949-3.7632e-05i,-0.00039871+0.00040001i,-0.0004749-0.00028318i,-0.0012304-0.00099949i,-0.00078683-0.0004419i,9.2271e-05+1.0345e-05i,0.00086674-0.0002949i,-4.319e-05-0.001036i,-0.00069327-0.0013234i,-0.0010286-0.0011741i,-0.0013857-0.00083799i
-0.00051366+0.00064213i,0.00097441+1.7707e-05i,0.0012908+8.9323e-05i,0.00046875+0.00045586i,0.00077359+0.00050444i,0.00081777+0.00013792i,0.00076491-0.00043226i,-0.00016451-0.0013987i,-0.0013497-0.00077413i,-0.0013247-0.00013306i,-0.0010678-5.7274e-06i,-0.00054932+0.00020288i,1.0371e-05+0.00066604i,0.00015694+0.0011217i,0.00020215+0.0013176i,0.00043193+0.0012484i,0.00019031+0.00024585i,-0.00020102-0.00026903i,0.00031607-0.00011451i,0.00044902+0.00016529i,0.00033456+0.00058004i,5.4745e-05+0.00063894i,-0.00037965+0.00045188i
-0.00033403+0.0014667i,-0.0015938+0.00045542i,-0.0014265-0.0020425i,-0.00056656-0.0024201i,-0.0007934-0.00052745i,-0.00058887-0.00013152i,-0.00025722-0.0013815i,-0.00077751-0.0016143i,-0.001053-0.0011004i,-0.00088476-0.00059618i,-0.0006155-0.00034072i,-0.00067244+0.00054616i,-0.0010378+0.0018496i,-0.0015459+0.00095923i,-0.0016032+9.698e-05i,-0.00089123+0.00070854i,-0.00027259+0.0011971i,-0.00020025+0.00065143i,-0.00066114+0.00047824i,-0.00090973+0.00044836i,-0.00030977+0.0001402i,-2.4211e-05-7.734e-05i,9.7704e-05-9.2308e-05i
-0.00090205-0.003847i,-0.00053734-0.0036417i,-0.0017016-0.0027198i,-0.0031157-0.0011701i,-0.0025855+0.00024836i,-0.00087019+0.00036698i,-0.0003046-0.00010779i,-0.0015489-0.00098351i,-0.0022915-0.0015841i,-0.0010751-0.0013414i,-0.00036988-0.00072961i,-0.00057894+0.00048643i,-0.00033722+0.0010918i,0.00037335+0.0010925i,0.00035392+0.00092672i,3.9736e-05+3.0415e-05i,0.00010659-0.00021565i,-5.97e-05+3.5785e-06i,-0.00066352-0.00041179i,-0.00020518-0.00079589i,0.00058344-0.00022704i,0.00036485+5.1999e-05i,-0.00027088-0.00052928i
0.0020611+6.4651e-05i,0.0019548+0.0001723i,0.0016167+5.0774e-05i,0.00025831-0.00022845i,-0.0010356-0.00077297i,-0.00096773-0.00089066i,-0.00063697-0.00034648i,-0.00076563-0.00062605i,-0.00053799-0.001223i,-0.00070967-0.001092i,-0.001366-0.00056332i,-0.0013276+0.00019481i,-0.00095995+0.00079599i,-0.00031546+0.00073026i,0.00053954+0.00015347i,0.00023249-0.0002081i,-0.00011602-0.00054544i,0.00022693-0.00050962i,-9.7165e-06-0.00015548i,6.7375e-05+8.4173e-05i,5.2135e-06-0.00011639i,0.00026573+0.00022844i,0.00092048+0.00037119i
-0.00066501+0.0013349i,-0.0014202+0.0004234i,-0.001417-0.00021439i,-0.0006772-0.00095622i,-0.001115-0.00088846i,-0.0010953-0.00042584i,-0.0006218-0.00048746i,-0.0007262-0.00067836i,-0.00097345-0.00058131i,-0.00099975+0.0010471i,-0.00092321+0.0013979i,-0.001103+7.2484e-05i,-0.00034634-0.00048292i,0.0010344+5.8102e-05i,0.0015417-6.6042e-05i,0.0005409-9.4646e-05i,-0.00024952+0.00057561i,0.00054009+0.00089279i,0.0014977+0.00070142i,0.0013937+0.00036038i,0.00095499+0.00022901i,-0.00010698-0.00021791i,-0.00083154-0.00046298i
0.00098161-0.0016838i,0.00018648-0.0031679i,-0.00043583-0.0023145i,-0.00065673-0.0015745i,-0.0012552-0.0010263i,-0.0018004-0.0001198i,-0.0012559+0.00065591i,-0.0012413-0.00012495i,-0.0016175-0.0010382i,-0.001112-0.00081502i,-0.00034372+2.5028e-05i,-0.00034833+0.0010137i,-0.0005827+0.00094443i,0.00051912+0.00024719i,0.0010183-0.00012792i,0.00014551-0.00043781i,-0.00014135-0.0003772i,-0.00018916+0.00038142i,-0.00041005+0.00015452i,0.00014749-0.00055029i,0.00050104-0.00019636i,1.2669e-05-0.00022236i,-0.00046272-0.0006376i
0.0032314-0.0004419i,0.0012984+7.5168e-05i,-6.4844e-05-0.001258i,-0.00066466-0.0028286i,-0.0019294-0.002977i,-0.0020536-0.0019077i,-0.00076222-0.0015762i,0.00012867-0.0016289i,0.00013027-0.0015375i,-0.00055153-0.0012208i,-0.0012013-0.00050442i,-0.0011319-0.00042433i,-0.00080052-0.00021823i,-0.00084871-0.00017267i,-0.00033677-0.0001289i,0.00022743+0.00029959i,0.00018839+0.00018759i,-0.00011165+3.9367e-05i,0.00023404+0.00025973i,0.00023379+0.00054375i,-0.00012861+0.00058656i,0.00013232+0.00014591i,-0.0003968-0.00033827i
-0.00085722-0.0016237i,-0.00021812-0.00037636i,-0.001237-0.00014882i,-0.0022446-0.0004184i,-0.0022101+0.00026839i,-0.0021297-0.00029146i,-0.0014551-0.00082914i,-0.0014577-0.00072688i,-0.0018241-0.00097854i,-0.001559-0.00015744i,-0.00075965+0.00045474i,-0.00020147+0.00064244i,-0.00081454+0.00033724i,-0.00031711+0.00025154i,-0.00034212+0.00051008i,-0.00085115+7.9943e-05i,-0.0003814-0.00028492i,0.00012865-0.00024917i,0.00037146-3.3726e-05i,0.00038679-0.00034644i,0.00054177-0.00085993i,0.00039394-0.00026085i,-0.00039085+0.00040519i
0.00069569-0.00071752i,0.00011374-0.0015677i,-0.00027238-0.0015573i,-5.0455e-05-0.0013125i,0.00031358-0.0010292i,0.0010042-0.00085396i,0.00079882-0.00037176i,0.00013976-0.00097107i,-0.00077718-0.00063528i,-0.0010437-0.00017836i,-0.00083324-0.00021749i,-0.0013925+0.00067747i,-0.0010865+0.0010866i,-0.00031128+0.00056558i,-7.9154e-05+5.7655e-05i,-7.9942e-05-0.00035339i,-5.9135e-05-0.00042063i,8.5587e-05-0.00017219i,0.00041912-6.1495e-05i,0.00097592+0.00018494i,0.00084383+0.00051373i,0.0006266+0.00056367i,0.00038208+0.00021546i
0.00099908-0.000299i,0.00050233+0.00033679i,-0.00035839-0.00046309i,-0.0011453+4.855e-05i,-0.001305+0.00095738i,-0.00055305+0.00070181i,0.00076188-0.00046694i,0.0010835-0.0013247i,9.2389e-06-0.0014499i,-0.0012682-0.00071534i,-0.0015636+0.00053314i,-0.0010216+0.00085542i,0.00024439+0.00094824i,0.0010601+0.00068728i,0.00043421+0.00039918i,-0.00051498-2.2613e-06i,-0.00050883-0.00013923i,0.00035564-0.00024572i,0.00068292+5.6179e-05i,9.7826e-05+0.00063822i,-0.00058691+0.000137i,-0.00074907+0.00051098i,-0.00042902+0.0007936i
