-0.0023495+0.0008886i,-0.0015039-0.00015421i,-0.0023387+0.0015525i,-0.0014525+0.0020861i,-0.0008115+0.0013595i,-0.00023173+0.00011766i,-0.0001173-5.6448e-05i,-2.0889e-05+0.00066344i,0.00095869+0.0008501i,0.001395+2.2514e-05i,0.0007883-0.00056595i,-0.00013844-0.00083794i,-0.00070752-0.00083981i,-0.00075136-0.00083415i,-0.0012928-0.00019283i,-0.0017124+0.00032027i,-0.0012825-0.00040175i,-0.00083679-0.00026673i,-0.0003859-0.00031193i,-0.00061539-0.0010382i,-0.0008444-0.0010051i,-0.0001519-0.00088332i,0.00025487-0.00071873i
-0.00043772-0.00032144i,-0.00014813-0.0011038i,0.00030121-0.0010505i,0.00048068-0.00063581i,0.00071467-0.00043511i,0.00039639-0.0005189i,6.3961e-05+0.00040018i,-0.00017641+0.00046638i,-0.0010933-0.00037591i,-0.00094042-0.0012557i,0.00012784-0.0014298i,0.00052445-0.00050467i,4.39e-05-0.00011141i,-0.00050261-0.00027851i,-0.00077238-0.00017513i,-0.00036794+0.00011352i,0.00034397+0.00048748i,0.00060973+0.00018637i,2.6358e-05-0.00014567i,-0.00040495+0.00036252i,-0.00013044-2.0681e-05i,0.00010336-0.0010845i,0.00022933-0.00069876i
-0.00081407-0.00012496i,-0.00056514+0.00072216i,-0.0015404+0.00040773i,-0.0017154+0.00048168i,-6.244e-05+0.00084621i,0.001081+0.00084985i,0.00089501+0.0010252i,0.0003025+0.00054819i,0.00028601-0.00024472i,0.00045047-0.00041976i,0.00043851+0.00015997i,0.00071667-0.00029282i,0.001297-0.00086501i,0.0012079-0.00040452i,0.00097065-8.0101e-05i,0.00066008-0.00031282i,-0.00080186+0.00013075i,-0.0011576+0.00058899i,0.00093899+0.00062071i,0.0011414+0.00054485i,-0.00028809+5.8309e-05i,-0.00025396-0.00029931i,7.7715e-05-0.00014374i
0.00087301+0.00031592i,-0.00029579-0.00018224i,0.00064486-0.0010702i,0.0010941-0.0008741i,0.00040876-0.00073184i,6.8425e-05-0.0018404i,0.00037497-0.0014328i,0.00034275-0.00051679i,4.4857e-05-0.00050791i,-0.00017908-0.00079258i,-6.4926e-05-0.0010439i,-0.00010005-0.0005235i,-0.00015947-6.5011e-05i,7.7956e-05+0.00019356i,3.2132e-05+0.00061708i,-0.00032511-1.6865e-05i,-0.00032438-0.00071494i,-0.00051091-0.00079224i,-0.00035262-0.00015979i,0.00036229+0.00073772i,0.0004678+0.00067946i,0.000318+3.5212e-05i,-0.00040707-0.00035361i
-5.1095e-05+0.00026168i,0.00095404-0.00035462i,0.001478-0.00074761i,0.0012498-0.00064598i,0.00070538-0.00084166i,0.00021765-0.0011276i,0.00012527-0.0004934i,7.3245e-05-0.00047054i,0.00054705-0.00073855i,0.00081498-0.00046773i,0.00079374-0.00038962i,-0.00010429-0.00053149i,-0.00042368-0.00031185i,0.00040433+0.00034791i,0.00026212+0.00020789i,-0.00045607-0.0003847i,-0.00023322-0.00019762i,-0.00014288-0.00080139i,-0.00048315-0.0014146i,-6.0959e-05-0.0011495i,-9.8115e-05-0.0011267i,-0.00051445-0.0002491i,-0.00019377+0.00072174i
0.00090842-0.0030724i,0.00013708-0.0021124i,-0.0002177-0.0024338i,-0.0011741-0.0018609i,-0.0023175-0.00088706i,-0.0016524+0.00021264i,-0.00040205+0.00047749i,0.00021051+0.00026432i,0.00042905-6.0382e-05i,0.00079317-0.0010256i,0.00096001-0.0013945i,0.00068465-0.0010429i,0.00074011+0.00023341i,0.0010531+0.0011959i,0.00066477+0.00082561i,-0.00014706+6.4493e-07i,-0.00064587-0.00011159i,-1.0179e-05+0.00066486i,-0.00015673+0.0008182i,-0.00042843+0.00053204i,-0.00012772+0.00033035i,0.00011682-0.00028782i,0.00031807-0.00068905i
0.00038018-0.00097959i,-0.00012336-0.0012972i,0.00028469+0.00020199i,0.0013104+0.001578i,0.0017138+0.0015562i,0.0014831+0.00058291i,0.00081041-0.00017134i,0.00067632-0.00047858i,0.00090911-0.00050343i,0.00032451-0.00040835i,-0.00028607-0.00069469i,-0.00075132-0.0011587i,-0.0011773-0.0011133i,-0.0016796-0.00073909i,-0.00087226-0.00036885i,0.00033135+0.00040375i,0.00066588+0.00043373i,0.0003781-0.00041416i,-4.9728e-05-0.00013647i,-0.0004443+0.00032474i,-0.00056871-6.3817e-06i,-0.0001861-0.00057081i,-4.1088e-05-0.00092904i
0.00040129+0.00037781i,0.00066616+0.0001059i,0.0004315-0.00068366i,0.00013455-0.001343i,-0.00021564-0.001262i,-0.00028888-0.0014378i,7.2449e-05-0.00096104i,-8.0339e-05-0.00030497i,-0.00012248-0.00066987i,6.2611e-05-0.00087392i,3.9934e-05-5.671e-05i,-5.9717e-06+0.00031719i,0.00018087+4.7534e-05i,0.00020075+0.00021094i,-4.0154e-05+0.00079902i,-9.3944e-05+0.001248i,2.2575e-06+0.0006033i,-0.00015698+0.00020263i,0.00014551+0.00090996i,0.00067669+0.00094528i,0.00032303+0.00047313i,-0.00010665+0.00043596i,-0.00023316+0.00044093i
0.00017467-0.00079354i,0.00057283-0.00032219i,0.00062157-0.00073163i,0.00039203-0.00086926i,-0.00010328-0.00051931i,0.00025381-6.8636e-05i,0.00064812-7.8724e-05i,0.00054457+2.9192e-05i,0.00068799+4.9859e-05i,0.00024053-0.00028856i,0.00038409-0.00052016i,0.0012497-0.00068016i,0.0010712-0.00057859i,5.6171e-05-3.5927e-05i,-0.00040582+0.00020673i,-0.00034103+0.00049133i,7.1444e-07+0.00039053i,0.00069211+0.00018301i,0.00079079+0.00044177i,0.00032661+0.00022222i,0.00028522-3.7792e-05i,0.0001931+0.00010712i,-0.00011071+0.00027866i
-0.0014596-7.3246e-05i,-0.00083816+0.0015333i,-0.00052592+0.0027831i,-2.4414e-05+0.0024601i,0.00063969+0.0016992i,0.00075801+0.00066532i,-0.00019873-0.00064555i,-0.00036687-0.00035649i,-0.00024917+0.00036762i,-0.00069215-0.00044687i,-0.0010538-0.00093515i,-0.00025606-0.00089388i,0.0006472-0.0010896i,0.00036743-0.00062809i,-5.3297e-05-4.0679e-05i,0.00061744-9.2469e-05i,0.00065966-6.6995e-05i,0.00013793-7.9071e-05i,-0.00010629-0.00016557i,-0.00037742+2.2885e-05i,-0.00031081+0.00019128i,0.00015708+0.00027854i,0.00050225+8.366e-05i
-0.0008989+0.0019864i,-0.00093535+0.0026654i,-0.0017602+0.0010243i,-0.0014303-0.000243i,-0.0009941+0.00045144i,-0.00053418+0.00070828i,0.0002181+0.00016744i,-0.00018655+0.00013169i,-0.0008952-0.00034956i,-0.00098382-0.00045321i,-0.00041437-0.00024142i,0.0001823-0.00024681i,0.00024987-0.00084766i,6.0387e-05-0.0010749i,-0.00046097-0.00062812i,-0.00085965-0.00026837i,-0.00091428-0.00014094i,-0.0009014-0.00024133i,-0.00067063-2.8743e-05i,-0.00047391+0.00045084i,-5.8666e-06+0.00027457i,0.000407-0.00013962i,-8.8599e-05-0.00061891i
