-0.0035705+0.00085665i,-0.0015888+7.4717e-05i,-0.0015385-0.00074568i,-0.0015797+0.0001156i,-0.0013924+0.002262i,-0.00095433+0.0023708i,-5.7338e-05+0.001566i,-4.6633e-05+0.0013473i,0.00043807+0.0016903i,0.00038193+0.0012601i,0.00038741-0.00039944i,-9.6566e-05-0.00084191i,-0.0010103-3.3205e-05i,-0.0011248+8.2404e-05i,-0.00046537-0.00018937i,0.00058982-0.00018682i,0.00083541+8.2284e-05i,0.00020902-0.00037161i,-0.00053674-0.00040876i,-0.00048835+0.00010825i,0.00011062+0.00023602i,-9.7137e-05+0.00015862i,-0.00072882-0.00052156i
-0.00066197+0.0014667i,0.0010433+0.0024198i,0.0023429+0.0027179i,0.003108+0.0018891i,0.0034526+0.00075395i,0.001847-0.00020055i,0.0003446-0.00031148i,-0.00030078+0.00043714i,-0.00063925+0.0010131i,-0.0005192+0.00066789i,-0.0003493+0.00081758i,0.00021958+0.0014748i,0.00060603+0.0008738i,0.00035809+0.0010958i,0.00010772+0.0014532i,-0.00016037+0.0011253i,-0.00045672+0.00082336i,-0.0011007+0.0004953i,-0.001284-0.00064316i,-0.00058724-0.0010322i,-0.00016164-0.00063818i,-0.00017085-0.00053888i,-0.00033169-0.00052959i
0.0013569+0.0021036i,0.0010867+0.0013081i,0.0012071+0.0015989i,0.0017975+0.00093907i,0.0011309+4.9819e-05i,-6.1021e-05-0.00024167i,-0.00020184-8.2686e-05i,0.00016808+0.00074253i,0.00024642+0.0012273i,9.4869e-05+0.0010268i,-0.00029649+0.00040249i,-6.6833e-05+0.00025702i,7.3209e-05+0.00087567i,7.6626e-05+0.00079372i,0.00047677+9.5511e-05i,-2.3988e-05+0.00086106i,-0.00055944+0.00089264i,-0.00035285+0.0005444i,-0.00022624+0.00043103i,-0.00042352+0.00023728i,-0.00022128+0.00076698i,0.0003451+0.00068722i,0.00078162+0.00050929i
-0.00050768-0.0010282i,7.7122e-05-0.00087803i,0.00018756-0.00094794i,-0.00023775-0.00034704i,-0.00017794+0.00087264i,-0.0003415+0.0011777i,-0.00043549+0.00025047i,-0.00020183+0.00014454i,0.00031152+0.00049098i,0.00070499+0.00016588i,0.00042121+0.00018493i,-0.0006213+0.00095597i,-0.00063851+0.0013278i,0.00010941+0.00051965i,0.00037203-0.00042436i,0.00040247-0.00079776i,0.00043162-0.0010438i,0.00054964-0.0012018i,0.00065367-0.00043107i,0.00028359+0.00046661i,3.2301e-05+0.00030546i,-0.00015475+9.8913e-05i,-0.00010446+0.00022947i
0.001166-1.2465e-05i,0.00079287-0.00081778i,0.00087737-0.00053437i,0.00034539+0.00064707i,0.00011346+0.0012545i,-0.00036981+0.0014588i,-0.001038+0.0011435i,-0.000649+0.0012285i,-4.6834e-05+0.001789i,-0.00028343+0.001399i,-0.00028958+0.00052079i,-7.2227e-05+2.9747e-05i,-0.00053606+0.0001015i,-0.00079556+0.00011894i,0.00011165+0.00022393i,0.00078609+0.00043808i,0.0002217-0.00033544i,-0.0002253-0.00095867i,0.00033714-0.00024741i,0.00070128+6.8092e-05i,0.00081534-7.8367e-05i,0.00083035-0.00018621i,0.00057702+0.00018492i
0.00058194+0.0015411i,3.3468e-05+0.0013672i,0.00062912+0.0018792i,0.0014857+0.0016183i,0.0015891+0.0011383i,0.00091344+0.00093356i,-0.00049631+0.00074366i,-0.00090368+0.0012339i,7.6215e-05+0.0010503i,0.00034363+0.00078987i,-0.00039812+0.0007746i,-0.00061064-3.6149e-05i,-0.00058372-0.00087977i,-0.00040435-0.00031938i,-0.00020397+0.00089681i,-6.0852e-05+0.00087455i,0.00010207+0.00045675i,-8.4428e-05+3.8991e-05i,-0.00036376-0.00062248i,-0.00031904-0.00036352i,-0.00046712-3.5411e-05i,-0.00024655-0.00018555i,0.00012292-0.00070068i
1.3626e-05+0.00046612i,0.00024289+0.00083686i,0.00042398+0.00038249i,0.00084488-0.00016847i,9.4251e-05-0.00036169i,-0.00099649+0.00044429i,-0.00024605+0.00071151i,4.9634e-05+0.00065131i,-0.00030165+0.0007699i,-0.0001072+0.0002329i,-0.00013759-9.5004e-05i,-0.00053147+5.3477e-05i,-0.0005189+0.0006852i,0.00011596+0.0007287i,0.00056184+0.00035154i,0.00026887+5.4437e-05i,-0.00010817-0.00056495i,-0.00060009-0.00068357i,-0.00065832-0.00045885i,-0.00018408-0.00080712i,0.00024091-0.0010003i,0.0007203-0.00062131i,0.00040027-0.000743i
0.00080715-0.00036471i,9.9723e-05-0.00048123i,0.00060631-0.00014165i,0.00093191+2.0132e-05i,9.5621e-05+0.00021271i,-0.00026749+0.00044714i,0.00016379+0.00036232i,0.00063805+0.00099968i,0.00089669+0.0016571i,0.00079138+0.00097461i,0.00018749+0.00029099i,0.00040535+0.00039299i,0.00053073+0.00011422i,0.00065374+0.00014001i,0.0009811+0.00059972i,0.00042969+0.00035752i,-6.9948e-05-3.6441e-05i,-0.00018651-0.00053323i,0.00031739-0.00066895i,0.00092187+0.00011652i,0.00064299+0.0003248i,0.00035847-0.00016161i,-0.00011066-0.00094577i
-0.0015847+0.00027582i,-0.00039676-0.00043939i,-4.0236e-05+0.00065189i,0.00013226+0.0006326i,0.00084744-4.8416e-05i,0.0014767-0.00010783i,0.00073545-0.00018296i,-0.00056962+0.00046765i,-0.0010316+0.0014909i,-0.0010591+0.0017198i,-0.00061397+0.0010506i,-0.00069964+0.0011962i,-0.00021812+0.00164i,0.0007005+0.0016503i,0.00055252+0.0010881i,0.000602+0.00025764i,0.00040142+7.3894e-05i,-7.9363e-05+0.00029521i,7.8669e-05+0.00040886i,-0.00016087+9.9281e-05i,0.0004026-0.00041637i,0.00099704-0.00048679i,0.00077932-0.00060254i
-0.0013221-2.4699e-05i,-0.00078809+0.00022854i,0.00018773+0.00091875i,0.00080865+0.002044i,0.0010206+0.0020989i,9.3108e-05+0.0013987i,-0.0013193+0.0021124i,-0.0010481+0.0023581i,-0.00010403+0.001543i,3.9777e-05+0.0012418i,-0.00010727+0.00063145i,0.00027417+0.00046166i,0.0011787+0.0007457i,0.0016358+0.00065019i,0.0011267+3.4312e-05i,0.00014689+0.00022948i,0.00038317+9.7086e-05i,0.0006464-0.00052005i,-0.00011245+0.00037154i,-3.7225e-05+0.00057715i,0.00059692+0.00067946i,0.0010993+0.00046291i,0.00091977-0.00029373i
0.00020464+0.00044778i,0.00067338+0.00047487i,0.00047302+0.0013845i,0.0011295+0.0022928i,0.0012648+0.002159i,0.0007113+0.0010586i,0.00049797+0.00037118i,0.00013715+0.00035842i,0.00017456+0.0007098i,0.00051429+0.0011709i,0.00014342+0.0013117i,-0.00050771+0.0012458i,-0.00025023+0.00042289i,1.414e-05-0.00030959i,-0.0003575+0.00042853i,-0.00092666+0.0012675i,-0.00084819+0.00078433i,-0.00081417+0.00020043i,-0.00059969+4.7527e-05i,-0.00065747+4.0332e-05i,-0.00078487-7.2029e-05i,-0.00091374+0.00011399i,-0.00065899+0.00074165i
