-0.0024114+0.0005765i,-0.0009831+0.00093558i,-0.0019329+0.0040084i,-0.0024711+0.0072564i,-0.0019894+0.0085699i,-0.00093227+0.0055047i,-0.00073457+0.0022943i,-0.0004031+0.00069497i,0.00039661-0.00068761i,0.00043034-0.00062397i,0.00012105-0.00054365i,-0.00027995-0.0010265i,-0.00051521-0.0013337i,-0.00095562-0.0013038i,-0.0017728-0.0012217i,-0.00091916-0.00039087i,-8.0051e-05+0.00030418i,-0.00068714+0.00044848i,-0.00098128+0.00047518i,-0.00023849+0.00030968i,-9.9093e-05+0.00086928i,-0.00050702+0.0010574i,-0.00030454+0.00072771i
0.0002707-0.0012845i,-0.0011348-0.00060717i,-0.0035455+0.0020894i,-0.0043127+0.0048974i,-0.0026316+0.0052889i,-0.00092667+0.0028389i,-0.00063683+0.00040381i,-0.0010177-0.00065112i,-0.0010856-0.00079934i,-0.00096761-0.00010358i,-0.00099521+0.00027127i,-0.0011362-0.00071539i,-0.000466-0.0015053i,0.00022774-0.0014102i,0.0001602-0.000971i,-0.00015442-0.00055214i,-0.00041713+0.00032968i,-0.00026151+0.00074533i,0.00029892+0.00067924i,7.4879e-05+0.00039731i,-0.00052249+0.00024758i,-0.00049085+0.00021117i,-0.00015229+0.0007051i
0.0011256-0.00092599i,-0.00052705-0.0011417i,-0.0017678+0.00080683i,-0.0029887+0.0040443i,-0.0032439+0.0053566i,-0.0029337+0.0032405i,-0.0029281+0.00053559i,-0.002174-0.00049975i,-0.0011642-0.00069106i,-0.00062467-0.0010744i,0.00010342-0.0010881i,0.00028032-0.00045856i,0.00013731-0.00048729i,5.8153e-05-0.0010495i,-0.00018699-0.00070276i,-0.00032339-0.00025498i,8.9753e-05-0.00031227i,1.9253e-05+0.00082258i,-0.00037607+0.0016322i,-0.00065315+0.0012681i,-0.00085253+0.00059381i,-0.00032728-0.00051862i,0.00026576-0.00060995i
8.9275e-05+0.00065302i,-0.00071588-0.00030493i,-0.0033509+0.0011269i,-0.004541+0.0040371i,-0.0027981+0.0052131i,-0.0011992+0.0031346i,-0.0013049+2.7225e-05i,-0.0013276-0.00046313i,-0.00039213+0.00014001i,0.00057742+9.2323e-05i,0.00051465+0.00040736i,0.00022798-0.00023225i,5.7914e-06-0.0012982i,-0.000874-0.0013264i,-0.00077105-0.0014927i,-0.00019433-0.001535i,-0.00033253-0.0011917i,-0.00051062-0.00057641i,-0.0004287-0.0001515i,-0.00012461-0.00011259i,0.00021531-0.00020916i,0.00050188-0.00065915i,0.00064779-0.00068559i
-0.00013163+0.0012831i,-0.00051543+0.0021277i,-0.0021129+0.003928i,-0.003549+0.0062693i,-0.0035907+0.005881i,-0.0021771+0.0024489i,-0.0018593-0.0003705i,-0.0024223-0.00093458i,-0.0013076-0.0010502i,-8.6736e-05-0.0011604i,-0.00034109-0.0014334i,-0.00023422-0.0014506i,9.2713e-05-0.00059101i,-0.00036336-0.00058879i,-0.00061415-0.0011853i,-0.00017185-0.00074363i,-2.2193e-05-0.0004931i,-0.00051771-0.00064501i,-0.0010311-0.00026647i,-0.0005661+0.00020075i,0.00016676+5.6599e-05i,-0.00067999-0.00016034i,-0.0013846+0.00033244i
-0.0027519+0.00026894i,-0.0030949-0.00036788i,-0.0021416+0.0018728i,-0.0018364+0.0039573i,-0.00081871+0.0038357i,-0.00068134+0.0018034i,-0.0021314-0.00068339i,-0.0031542-0.00082856i,-0.0018272-0.00010021i,0.00020265+0.00015722i,0.00070028+0.00057384i,0.00036012-0.0003726i,-0.00064704-0.0012528i,-0.0013395-0.0011532i,-0.00069301-0.00097166i,0.00018992-0.00052614i,0.00015707-0.00028204i,-0.00034475-0.00057037i,-9.0616e-05-0.00081474i,0.00050499-0.0013047i,0.00087174-0.00091514i,0.00071536+0.00016435i,0.00065062+0.00072539i
0.00028285-0.0012657i,0.00014844-0.0014806i,-0.0021789-0.00020992i,-0.0041385+0.0032901i,-0.0034342+0.0050178i,-0.0014778+0.0033059i,-0.0015866+0.0004344i,-0.001488-0.0010174i,9.5053e-05-0.00098463i,0.00065889-0.00019151i,0.00052199+0.00057953i,0.00022469+0.00040274i,0.00069512-0.00025748i,0.0015915-0.00079648i,0.00099255-0.0015683i,-1.6101e-05-0.001163i,-0.00024783-0.00022323i,-0.00035247-0.00010404i,-0.00034364+0.00057265i,-0.00016253+0.0007044i,-1.2345e-05+0.00030021i,-0.00039201+0.00039392i,-0.00089108+0.00072191i
0.0015311-0.00062496i,0.00044058-0.0003542i,-0.0023244+0.0010017i,-0.0039417+0.0037442i,-0.0032329+0.0055577i,-0.0021157+0.004188i,-0.0022293+0.0020563i,-0.002018+0.00067175i,-0.00067922+0.00026239i,-0.00011784+0.00083712i,-0.00033347+0.00050886i,-0.00017052-0.00029188i,-0.00013399-0.00058236i,-3.8909e-05-0.00097156i,0.00016238-0.00069977i,-1.5253e-06-8.258e-05i,-0.00016155+0.00065502i,-6.6692e-05+0.0011713i,-0.00059633+0.0011111i,-0.0010833+0.0011538i,-0.00038454+0.001309i,1.9557e-05+0.00047374i,0.00060674-0.0006228i
0.0012196-0.0010292i,0.00037199+1.4789e-05i,-0.0020674+0.0027384i,-0.0029186+0.0057082i,-0.0013673+0.0064569i,-0.00067006+0.0044451i,-0.001795+0.0010842i,-0.0014079-0.00093745i,-0.00074793-0.0012589i,-0.00062208-0.00067642i,0.00015928-0.00011306i,-2.3988e-05+0.00034147i,-0.0003558+0.00030883i,-0.00054588-0.00037037i,-0.0001329-0.00069269i,0.00095089-0.00096509i,0.00084993-0.00093156i,-0.00025627-0.00066746i,-0.0010735+0.00014446i,-0.00087825+0.00037178i,-0.00022573+0.00021504i,-0.00021971+0.00014546i,-0.00064306-0.00056002i
0.00082946+0.0003203i,0.00053331+0.00073374i,-9.6023e-05+0.0022956i,-0.00064753+0.0046483i,-0.00097778+0.0045721i,-0.0010901+0.0013188i,-0.0011843-0.00090531i,-0.0010439-0.00099311i,-0.00050332-0.00054825i,0.00011381-0.00053565i,1.1172e-05-0.00065032i,0.00025042-0.00082117i,0.00070028-0.00081708i,0.00047468-0.00033766i,0.00063073+0.00023047i,0.00045638+0.00064444i,-0.00035816+0.00067994i,-0.00077871+0.00099849i,-0.00036053+0.0014572i,-0.00047965+0.00066466i,-0.00019417-0.00068051i,0.00024151-0.00086139i,-0.00034033-0.00073578i
-0.00065334+0.0005123i,-0.0012845+0.00084805i,-0.0038021+0.0025792i,-0.0042029+0.0057298i,-0.0015481+0.00639i,-0.00014122+0.0042077i,-0.00044902+0.0010072i,-0.00054128-0.00041237i,-0.00010398-0.00076423i,0.00013381-0.0012097i,0.00027351-0.00051635i,0.00012796+0.00025929i,8.4753e-05-0.00010699i,8.3436e-05-0.00032464i,0.00024166-0.00045064i,-0.00012632-0.00084197i,-0.0011931-0.00075282i,-0.00073891-0.00094133i,-7.7884e-05-0.00048376i,-1.6564e-05+0.00048158i,2.1681e-06+0.00047758i,0.00010856+5.6835e-05i,0.00046698-0.00087912i
