0.00022501-0.0020315i,-0.00025757-0.0016346i,-0.00096074-0.00069414i,-0.0018051-0.001214i,-0.0021344-0.0011381i,-0.0021285+0.00078808i,-0.00085271+0.0017806i,0.0012219+0.0015136i,0.0016875+0.00032439i,0.00065777-0.00047006i,-0.00034375-0.00025902i,-0.00092371+9.267e-05i,-0.00018372-2.9559e-05i,0.0010715+0.00032536i,0.00041391+0.0016002i,-0.0004481+0.0014969i,-0.00058396+0.00057368i,-0.00011446+0.00059064i,0.00057194-0.00010603i,0.00052958-0.00063423i,0.00035955+7.0583e-05i,-0.00035825+0.00034524i,-0.00079453+8.6008e-05i
-7.6347e-05+0.0029327i,0.00098251+0.0031044i,0.0011006+0.0039244i,0.0014689+0.0035826i,0.0012882+0.0010794i,-8.2784e-05-0.0016208i,-0.0013846-0.00131i,-0.00099254-0.00013042i,0.0005615+0.00087252i,0.00062022+0.00027342i,8.1265e-05-0.0011693i,0.00029964-0.0014536i,-0.00031182-0.0016144i,-0.00020274-0.0019358i,-0.00026246-0.0015313i,-0.00083715-0.00076474i,-0.00042044-0.0002814i,0.00025199-2.9949e-05i,4.3865e-05-0.00014554i,-0.00013652-0.00020552i,-5.0856e-05-0.00019613i,0.00058054+0.00030029i,0.0010857+0.00089013i
-0.000677-0.00061294i,-0.00047337-0.0013125i,0.00066499-0.00069409i,0.00055633-0.00013666i,-0.00013781-0.00059878i,-0.00055715+0.00070245i,-0.00046813+0.0024359i,-2.7929e-05+0.0014594i,0.00077012-0.00017994i,0.0011538-0.001215i,0.00061126-0.0012568i,-4.652e-05-0.00072688i,-0.00015923-0.00023199i,6.7221e-05+0.00061108i,2.7237e-05+0.00094425i,-7.3447e-05+0.00048067i,-0.00053768-0.00043352i,-0.00041866-0.00066813i,0.00019339-0.00027424i,-0.0001113-0.00041936i,-0.00073269-0.00085381i,-0.00089037-0.00066832i,-0.00087944-0.00020987i
-0.00013995-0.00058803i,-0.00012098+5.7042e-05i,-0.00074946+0.0011808i,-0.00053094+0.0023057i,-0.00072149+0.0030838i,-0.00040686+0.0018537i,-0.00046855+0.0013384i,-0.00077244+0.0011916i,-0.00083817+0.00010544i,-0.0010904-6.1171e-05i,-0.00073095-7.8444e-05i,-0.00042485-0.00035026i,-0.00051234+0.00035008i,0.00015322+0.00057806i,0.00069703+0.0006542i,0.00055877+0.00069836i,3.1296e-06-1.9539e-05i,-0.00062587+0.00021341i,-0.00091874+0.0004596i,-0.00047834-0.00024558i,-0.00030841-0.00041521i,-0.00013722-1.9247e-05i,-0.00039276-0.00015685i
0.00082657+0.0013588i,0.0020438+0.00069154i,0.0026667+8.0361e-05i,0.0017609-0.0001138i,0.00012519-4.9086e-05i,-0.00060013-0.00073161i,0.00022158-0.00095257i,0.00082848+0.00033754i,0.00067141+0.0010273i,4.6703e-05+0.00048767i,0.00025927+2.1821e-05i,0.00029066-0.00056044i,-0.00013644-0.00082182i,-0.00066874-0.00075743i,-0.0001224-0.00010733i,0.00015634+0.0002227i,0.00042351+9.9331e-05i,0.00056665+0.00053382i,-3.2255e-05+0.00069863i,-0.00031145+9.7179e-06i,-0.00042738+9.4035e-05i,-0.00074837+0.00056947i,-0.0012345+0.00094438i
-0.00016099+0.00055593i,0.00050948+0.0012806i,0.00040091+0.0015024i,0.00020041+0.00019483i,4.3002e-05-0.0009055i,-0.00032277-0.00058699i,3.8116e-05+0.00076028i,0.00035475+0.00055257i,0.00013473-0.00011979i,0.0011061-0.00052803i,0.0010329-0.00049891i,-0.00033364+0.00034926i,-0.00020792+0.0010767i,0.00031382+0.00084828i,-0.00029916+0.00045532i,-0.00077759+0.00044936i,-0.00019034+1.3262e-05i,0.00060676-0.00019123i,0.0016712-0.00057241i,0.0011853-0.0010313i,-0.00023655-0.00050869i,-0.0011378-0.00012043i,-0.0014911-7.3964e-05i
-0.0016677-0.001458i,-0.0021224-0.00060624i,-0.0022629+0.00075522i,-0.001488+0.00089525i,-0.0014372+0.0004157i,-0.0017045+0.0004169i,-0.0001407+0.00040706i,0.0003277+0.00054802i,-0.00015785+0.00054026i,4.8477e-05+0.00045142i,4.4375e-05+6.1035e-05i,-0.00014041+0.00024403i,-0.00050407+0.00049402i,0.00060454+0.00012839i,0.0012445-3.3799e-05i,0.00051271+0.00058388i,0.00012066+0.00030312i,-0.00015756-0.00039888i,-4.1551e-05-0.0004443i,0.00028297+1.7712e-05i,0.00010898+0.00039917i,0.00011659+0.00015819i,0.00018237+0.00036465i
-0.00072306+0.00085408i,-0.0013521+0.0026286i,-0.0012316+0.0019177i,-0.0012448+0.0012327i,-0.001981+0.00077763i,-0.0019092+0.00012959i,-0.0011771+9.1445e-05i,-8.3299e-05+9.1693e-05i,0.00071809+0.00026382i,0.00073721-0.00017227i,0.00037887-0.00047191i,0.00056205-0.00056763i,0.00016967-0.00073546i,-0.00075365-2.4331e-05i,-0.00094783+0.00027202i,-0.0002994+3.6085e-05i,0.00046172+0.00088172i,0.00060168+0.0010212i,-5.9273e-05+0.00020872i,-0.00012027+0.00060434i,0.00069403+0.00072998i,0.00077023+0.00027153i,0.00057415+0.00027515i
-0.00097988+0.00055143i,-0.00052278+9.9193e-05i,0.0011478-0.0001579i,0.00090698-7.8545e-06i,-0.0010182+8.7083e-06i,-0.00096073-0.00029978i,-3.1315e-05+2.9834e-05i,0.00027794+0.0007945i,-7.562e-05+0.00054913i,-0.00013216-9.239e-05i,0.00049599-0.00018844i,0.00061544-0.00024855i,-0.0001667-0.00070528i,-0.0010336-0.0012472i,-0.00053074-0.0010522i,0.00035894-0.00074729i,0.00042203+0.00026367i,0.00033736+0.00063128i,0.00020762+3.5226e-05i,0.00031461-0.00018649i,0.00026292-0.00043237i,-0.00022736-0.00065914i,-0.00024003-0.00050204i
0.00019325-0.00069864i,0.00067371+0.00058611i,0.00097405+0.0017372i,0.0010218+0.0014111i,0.00032948+0.00042731i,-0.00019058+0.00060937i,0.00030385+0.0004613i,0.00097255-0.00051644i,0.00038411-0.0013427i,-8.5073e-05-0.00098346i,0.00051591-0.00035908i,0.00075425-0.00026422i,-0.00030255+2.7493e-05i,-0.00084806+0.00063086i,-0.00065565+0.0012975i,-0.00047523+0.00083675i,-7.8416e-05-0.0001877i,0.00057669-0.00068528i,0.00055178-0.00057138i,-0.00033261-0.00019973i,-0.00065967+0.00038472i,4.5882e-05+0.00047329i,0.00014359+0.00049147i
0.00052814-0.0016489i,0.00027198-0.0013033i,-0.0010121-0.0012409i,-0.0016121-0.00057882i,-0.0012934+5.632e-05i,-0.0011646-0.00018075i,-0.00087019+0.00015232i,9.5399e-06+0.00093977i,-0.00021272+0.00060998i,-0.00062746-0.00034915i,-6.6208e-05-8.6558e-06i,0.00012313+0.00012066i,-0.0008371+0.0002504i,-0.0013603+0.00070919i,-0.0006991+0.00070027i,-0.00023421+0.0011822i,-0.00043732+0.00083985i,-0.00039325-8.1276e-05i,0.0004246-8.8589e-05i,0.00091812-0.00018058i,0.00036233-0.00023658i,-0.0010005+0.00022208i,-0.0012466+0.00026268i
-0.00080733+0.00080142i,-0.0006417+0.0019291i,0.00033624+0.0023594i,0.0003713+0.0011347i,0.00019927-0.00016582i,-6.1622e-05-0.0005474i,0.00021005-0.00060992i,0.00058669-0.00044683i,0.00044623-0.00053306i,0.00021533-0.0010462i,0.00031059-0.00083717i,0.00051027-0.00011942i,0.00038614+0.00030228i,8.5954e-05+0.00011463i,0.00041576-0.00077772i,0.00084499-0.00058541i,0.00023871-0.00021004i,-0.00042749-0.00015392i,-2.8266e-05+0.00019103i,0.00025855-0.00023141i,-9.3121e-05-0.00063443i,-0.00046474-0.00011526i,-0.00073504-4.1974e-05i
-0.0013182+0.00061792i,-7.7833e-05+0.00073077i,0.00039439+0.0011589i,6.4881e-05+0.00026533i,-0.00053861-0.0001494i,-0.00072587+0.00011891i,-0.00026056+0.00019926i,0.00049804+1.9532e-05i,3.6747e-05-0.00016224i,-0.00051242+4.5616e-05i,-0.0001596+0.00020448i,0.0010611-0.00036719i,0.0016503-0.00028952i,0.0002101-0.00048159i,-0.00059708-0.00095075i,-0.00038968-0.00021432i,0.00015146+0.00042878i,0.00022225+0.00027548i,-0.00043957-0.00027939i,-0.00031747-0.00055243i,-0.00037837-0.00049395i,0.00026519-0.00036697i,0.00083764-0.00032703i
-0.00026584+0.00039752i,0.0013906+0.0012818i,0.0023306+0.0019705i,0.0019008+0.0012623i,0.00087124+0.00015781i,-0.00078361-0.0010098i,-0.0018439-0.00089735i,-0.0011849-8.4636e-05i,-0.00069423+6.6108e-06i,-0.00012262+6.6843e-05i,0.00042463-6.574e-05i,0.00042206-0.00044672i,0.00018033-0.00026334i,-0.00011292-0.00031207i,-8.894e-05+8.291e-05i,-5.5362e-05+0.00085266i,0.00033172+0.001117i,0.00078041+0.00106i,0.00093294+0.00050667i,2.7758e-05+0.00015073i,-0.00018075+0.00042848i,5.8333e-05+0.00038666i,0.00014045-0.00022897i
