-0.00062896-0.0010951i,0.0005572-0.0016951i,7.9221e-05-0.001608i,-0.0015438-0.0013788i,-0.0017599-0.0006968i,-0.0012112+0.00074511i,-0.00041381+0.0014591i,0.00038925+0.00099521i,0.0011798+0.00047573i,0.0017034+0.00048067i,0.0015309+0.00016741i,0.00018248-0.00037902i,-0.00043383-0.00057341i,5.5304e-05-0.00082344i,-0.00024966-0.00076904i,-0.00047947-0.0010879i,-0.00021849-0.00096211i,0.00019499-0.00060511i,0.00070258-0.00037318i,0.0010588+0.0001811i,0.00080909+0.0002063i,0.00012343-0.00035403i,-8.4944e-05-0.00027026i
0.0011671-0.00049595i,8.0708e-05-0.00066218i,-0.0019736-0.0010183i,-0.0022804-0.0013957i,-0.0014749-0.0012708i,-0.00059412-0.00038727i,-0.00053983+0.00042565i,-0.0009661+0.0005706i,-0.0012799+0.00021277i,-0.0013659+5.261e-05i,-0.00046264+0.00016549i,0.00042518+0.00068274i,0.00038737+0.0014158i,-0.00030307+0.0011914i,-0.00080439+0.00048599i,-0.0003424-0.00042072i,0.0002588-0.00086437i,0.00038843-0.00024533i,0.00030131-0.0001165i,0.00054273-0.00057253i,0.00033111-0.00046119i,2.27e-05-0.00014329i,0.0002436+4.7236e-05i
-0.00091211-0.001674i,-0.00069254-0.00092286i,-0.0012381+0.00028841i,-0.0010699+0.00064313i,-0.0012158+0.00085801i,-0.0014175+0.0017332i,-0.00042033+0.0014658i,-2.5475e-05+0.00010861i,0.00031744-0.00020887i,0.00059505-0.00016758i,0.00049503-0.00060845i,0.00022489-0.00052332i,0.00033699-0.00014679i,0.00054707-0.00050235i,0.00047069-0.00077041i,0.00076687-0.00047206i,0.00051017-0.00023584i,-6.5179e-05-0.00024097i,0.00044698-0.0004366i,0.00068988+0.00060708i,0.00010923+0.0015179i,-0.00064475+0.0012775i,-0.0008963+0.0005815i
-0.001702-0.00088344i,-0.0017282-0.0015607i,-0.0013404-0.0017823i,-8.0917e-05-0.00064989i,0.00011879+0.00016683i,-0.00018888+0.00025502i,0.00074503+6.6975e-05i,0.00074588+0.00053916i,0.00016423+0.00087694i,0.00018577+0.00035711i,9.3778e-05-0.00024182i,0.00014661+0.00020526i,0.00020618+4.128e-05i,0.0005903-0.00028217i,0.0007771-0.00050208i,0.0003304-0.00049411i,-0.00020298+0.00041467i,-0.00089184+0.0010988i,-0.00085037+0.00010559i,-0.00028969-9.9346e-05i,-9.6392e-05+0.00027173i,-5.114e-05+0.00073908i,-7.8979e-05+0.0012852i
0.0011517+0.00081023i,0.00087899+0.001222i,0.00038145-0.00061271i,-1.1668e-05-0.0020311i,-0.00043175-0.0014434i,-0.00099088-0.00080871i,-0.00095643-0.00040876i,-0.00015786+0.00012725i,0.00068427+0.00072921i,0.0006135+0.00090221i,0.00051092+0.00063026i,0.00051777+0.00045179i,-0.00027929+5.7968e-05i,-0.0015789-0.00016068i,-0.0011891+0.00045848i,-0.00020913+0.00076559i,-0.00026706+0.00013844i,0.00035901+0.0001838i,0.00057824+0.00040235i,0.00026831+0.0006806i,2.7169e-05+0.00066025i,-0.00037074+0.00031223i,-0.0001501-1.3469e-05i
-0.00073431-0.0020676i,-0.0014628-0.0010168i,-0.0020513-0.00014639i,-0.0022984+0.00054183i,-0.0021769+0.00040636i,-0.0023181+0.00013411i,-0.0017931+6.9481e-05i,-0.00064235-0.00038613i,0.00016681-3.5953e-05i,0.00017923+0.00055452i,0.00060553+0.00043286i,0.00030854+1.5461e-05i,-0.0004455+2.0322e-05i,-0.00014877+5.983e-05i,0.00021604-0.0002079i,7.2731e-05-0.00021689i,-8.1031e-05-0.00047646i,0.0002521-0.00052023i,0.00011269-5.2109e-05i,0.00023579+0.00040568i,0.00011938+6.9898e-05i,-0.00034343-0.00045448i,0.00019129+0.00018228i
0.00062795-0.0024182i,0.00045595-0.0023982i,-0.00021692-0.0019048i,-0.0012682-0.0016314i,-0.0013307-0.00071968i,-0.00043983+0.00030587i,-0.00034013+0.00052278i,-0.00019615+0.00051287i,0.00053884-6.7487e-05i,0.00036253-0.00055888i,-0.00024109-0.000285i,-0.00047754+0.00031807i,0.00032864+0.00069274i,0.0013054+0.00063548i,0.00074826+0.00034546i,0.00036542-0.00069041i,0.00047625-0.00070915i,0.00067-6.93e-05i,0.00059133+0.00039795i,0.00054155+0.00050916i,0.00053581-3.9346e-05i,3.5993e-05+9.1139e-05i,-0.00022948+0.0004159i
0.00070446+0.00079245i,0.0007206+0.00059186i,0.00075229-0.00010452i,-0.00013687-0.00054301i,-0.0010362-0.001036i,-0.0016281-0.00099374i,-0.001205-0.00077704i,-0.00021859-0.00074125i,0.00013475-0.00035061i,0.00052241-0.00026938i,-3.6623e-05+0.00025884i,-0.00056075+0.00017857i,-0.00012636-0.00027029i,0.0001746-0.00018483i,0.00064297-0.0005211i,0.0010878-0.000244i,0.00060362-4.81e-05i,-0.00030262-0.00034745i,-0.00023236+0.00034968i,0.00023232+0.0010983i,0.00024561+0.0014136i,0.00033861+0.001081i,-6.2267e-05+0.00063992i
-0.0018617+0.0012642i,-0.0013736+0.00040051i,-0.00092601+0.0010577i,-0.0011468+0.00069206i,-0.0014853-0.0010032i,-0.001636-0.0020918i,-0.00086109-0.0011727i,-0.00022286-7.8578e-05i,0.00082528+0.00052061i,0.001167+0.00053074i,0.00072586-0.00023185i,0.00014699-0.00058482i,6.5858e-06-0.00066686i,1.2218e-05-0.0008555i,-0.00065539-0.00065304i,-0.00083818-0.00037626i,-0.00019097+0.00012042i,-0.00024232+0.0006364i,-0.00023251+0.00016686i,0.00077171-0.0003827i,0.00085735-0.00050834i,0.00017089-0.00093086i,-3.0729e-05-0.00082035i
0.00096844-0.0030229i,0.0023169-0.0034336i,0.0024633-0.0036493i,0.00096323-0.002935i,2.6343e-05-0.001872i,5.9261e-05-5.6709e-05i,-0.00021148+0.00051367i,5.5372e-05+0.00029114i,0.00025486-0.00011384i,-7.5636e-05-0.00069553i,-0.00076775-0.00062491i,-0.0013958-0.00036857i,-0.00079302-0.00014512i,0.00020651+0.00041055i,0.00068461+0.0007892i,0.00030979+0.0006845i,-0.00017401+0.00049522i,0.00019314+0.00048555i,0.00040795+3.5757e-05i,-0.00034137-0.00014547i,-0.00016973-0.0004971i,0.0004261-0.0011811i,0.00067812-0.0011514i
0.0011883-0.00021108i,0.00031356+0.00065308i,-0.0011067+0.0010665i,-0.001724+4.4128e-06i,-0.0016185+0.0002478i,-0.00048784+0.00045263i,0.00068565-0.00011324i,0.00075956-0.00041693i,0.00032387-0.00059714i,0.00041558-0.00013912i,0.00095285+0.00040519i,0.00034871+0.00016719i,-0.00022189+0.00031842i,0.00059442+0.00010846i,0.00076205-0.00088748i,-0.00046601-0.001033i,-0.00081614-0.00058441i,-0.00027999-0.00041809i,0.00037596+1.9828e-05i,0.0014334-9.0766e-05i,0.0018043-0.00047651i,0.00081952+0.00024898i,0.00025643+0.00099289i
