-0.00049542-0.00038258i,-0.00095169-0.00089216i,-0.0022734-0.00065985i,-0.0023878+0.00032192i,-0.00084958+0.0019978i,-0.00016757+0.0017547i,-0.00015867+0.0016254i,0.00040517+0.0015731i,0.00063619+0.00015567i,0.00033779-0.00075258i,0.00045021-0.00075052i,0.00019812-0.00038641i,0.00049901-0.00036061i,0.0010311-4.4789e-05i,0.0004546+0.00013788i,0.00047275+0.00023252i,5.0583e-05+0.00028137i,-0.00016118+0.00026902i,0.00017041-0.00042552i,-0.00020634-0.0013639i,-0.00011005-0.0011358i,0.00043344-0.00074712i,0.00061263-0.00041062i
-0.0018286+0.0015114i,-0.0010101+0.0020082i,-0.00031598+0.0035735i,6.2598e-06+0.0029042i,0.00025481+0.0014135i,0.00014636+0.00074221i,0.00028117+0.00010275i,0.0010284-0.00056224i,0.00098317-0.0012837i,0.00027411-0.0012645i,-0.00021469-0.00062375i,-0.00022064+6.3019e-05i,0.0004651-6.5155e-05i,0.0010733-6.1327e-06i,0.00069944+7.2481e-05i,0.00014133-0.00034176i,3.9772e-05-0.00072792i,0.00043184-0.0012326i,0.00013499-0.0010472i,-0.00011782-0.00029196i,0.00025967+0.00018848i,0.0002005+0.00015212i,0.000768-6.3857e-05i
0.00060872+2.8921e-06i,0.0013605-0.00028995i,0.001558-0.00050947i,0.0015275-0.00040217i,0.0015908-2.1656e-05i,0.0019815-0.00046026i,0.0018891-0.00084734i,0.00073777-0.0013278i,-0.00045681-0.0018665i,-0.00073117-0.001384i,-0.00069424-0.0012944i,-0.00014653-0.0011343i,0.00030682-0.00016705i,0.00024548+0.00043591i,-0.00040331+0.00039227i,-0.00070422+0.00035861i,-0.00012972+0.00024718i,0.00013439-0.00044441i,-0.00012944-0.00076567i,2.0676e-05-0.00042934i,0.00064092-0.00011175i,0.00040623-0.00053237i,0.00013662-0.00050511i
-0.00098307-0.00086041i,-0.0019246+8.1268e-05i,-0.0030931+0.00060673i,-0.0032326+5.0486e-05i,-0.0020868+0.00097843i,-0.00071056+0.0012023i,2.3129e-05+0.00077588i,9.741e-05+0.001034i,6.0513e-05+0.00050619i,-0.00011892-0.00031497i,-0.00051257-0.00029712i,-0.00058758-0.00057595i,3.6637e-05-0.00062458i,4.2883e-05+8.9497e-05i,0.00019346-1.5981e-05i,0.0010963-0.00023801i,0.0010058-0.00030946i,-2.5519e-05-0.00086259i,-0.00039201-0.0010309i,6.4306e-05+3.6443e-05i,0.00019673+0.0005975i,0.00054104+0.00083006i,0.00048852+0.00087669i
0.002372+0.00027926i,0.0014173-0.0010773i,0.001125-0.0014732i,0.00094211-0.0012552i,0.0010561-0.00092128i,0.0012686+5.3005e-05i,0.00099436+0.00012318i,0.0006722-0.00030742i,0.00043167-0.00019331i,-3.4754e-06+6.7586e-06i,-0.0013577-0.00050541i,-0.0019856-0.0013501i,-0.00062293-0.0010278i,0.0004619-0.00018771i,0.0002725+0.00028307i,-0.00017964-0.00021944i,-0.00055127-0.00061486i,-0.00031975-0.00053305i,0.00010205-0.00023716i,0.00010557-0.00010091i,0.00032222-0.00022113i,0.0007053-0.0001054i,0.00047754-0.00045225i
-0.0010719+0.00047038i,-0.0010387-0.00033553i,-0.0013512-0.00055405i,-0.0012784-7.4814e-05i,-2.5355e-05+0.0011058i,0.0013255+0.0018036i,0.00095598+0.0014499i,0.00027456+0.0011772i,9.8053e-05+0.00087072i,-0.00030786-4.1454e-06i,-0.00028379-0.00035239i,0.00011711-6.5425e-05i,0.00019851-0.00059977i,0.0006162-0.00062725i,0.00079737-0.00055631i,0.00056981-0.00062957i,-3.7119e-05+0.00037525i,-0.00032075+0.00039339i,-0.00012277-0.00030243i,0.00018185+6.8122e-05i,0.00046774+0.00068308i,0.00079491+0.00090192i,0.00057612+0.00042279i
0.00073239-0.0011891i,-2.5934e-05-0.00069543i,-0.00097549-0.00097702i,-0.0020623-0.00071017i,-0.0018543+0.0006996i,-0.0011516+0.0013571i,0.00017384+0.00090805i,0.00065341-0.00022943i,0.00030178-0.0010526i,0.00040436-0.00061298i,0.0001174-0.00027974i,-0.00026095-0.00035987i,-0.00039971-0.00015218i,-0.00037591+0.00060339i,-0.00056795+0.00087242i,-0.00066828+0.00015639i,-0.00020449-0.00063841i,-0.00029703-0.00016068i,-0.00043162+0.00019991i,8.1382e-05-0.00043239i,4.4957e-05-0.00085385i,-0.00030232-0.000981i,-0.00025559-0.00050356i
-0.00055593+0.00020497i,0.00091412+5.2265e-05i,0.00019955-1.3006e-05i,-0.00075497+0.00083742i,-0.00074506+0.00082874i,4.0216e-05+0.0004587i,0.0012945+0.00071346i,0.0010105+0.00015248i,0.00053587-0.00020301i,0.00038504-0.00025922i,-6.1666e-05-0.00080141i,0.00020136-0.0010047i,0.00046505-0.0010177i,0.00027285-0.00095041i,-4.304e-05-0.00047302i,-4.2612e-06-0.00085885i,0.00019969-0.00087161i,0.00042799-0.00097509i,0.00068027-0.0011429i,0.00017314-0.00054486i,-0.00045648+0.00012959i,-1.0917e-06+6.4461e-05i,0.00043955-0.00030871i
0.0018245-0.00097324i,0.00050798-0.0010846i,-0.00099129-0.0015012i,-0.0012285-0.001399i,-0.0007479-0.00086597i,0.00011749+0.00045977i,0.0009991+0.0017474i,0.00048482+0.0013742i,0.0001584+0.00041681i,-0.00031926-0.00028511i,-0.0012171-0.00030735i,-0.001133+0.00035332i,-0.00035149+0.0013431i,7.3766e-07+0.0014077i,-1.9307e-05+0.00093941i,-0.00080352+0.00054594i,-0.00080182+0.00030396i,-0.0001243+0.00030837i,0.00020093-0.00042723i,1.3361e-05-0.00060857i,-0.00053788+7.5677e-05i,-0.00095633-0.00023039i,-0.0011124-0.00062117i
-0.0007382-0.00091094i,-0.0009225-0.0006398i,-0.0013667-0.00074191i,-0.0023501-5.0147e-05i,-0.0014125+0.00084373i,0.00012815+0.0016856i,0.0005769+0.0012776i,0.00076363+0.00049202i,0.00079281-0.0002299i,0.00092696-0.00080787i,0.00029095-0.00069154i,0.00026667+7.1942e-06i,0.00038058+0.0009199i,0.00058099+0.00060435i,0.0010718-0.00084193i,0.00098949-0.0014022i,9.5745e-05-0.0014304i,-6.835e-05-0.0014494i,0.00057445-0.00050177i,0.00060503+3.9201e-05i,0.0008322+0.00042548i,0.00048278+0.00071862i,0.00043913-3.3637e-05i
-0.00046794-0.001168i,-0.0002928-0.00079587i,1.8204e-05-9.6641e-05i,0.00022471+8.33e-05i,-0.00055184+0.0005342i,-9.8853e-06+0.00023136i,0.0012128-0.0001411i,0.00099378-2.0082e-05i,0.00038726+0.0005275i,0.00019583+0.00036347i,4.4732e-05+6.546e-05i,0.00019764+0.00042063i,0.00056869+0.00025732i,0.00057708-0.00010182i,0.00084169-0.00032932i,0.00056403-0.00036967i,-0.00018353-0.00046517i,-0.0002126-0.00071268i,0.00046821-0.00035957i,8.941e-05-4.0138e-05i,-0.0003951-0.00040709i,0.00026639-0.00069232i,0.00059406-0.00047436i
