0.0023317-0.001218i,0.0024163-0.0030112i,0.00085835-0.0042306i,-0.00064148-0.0044503i,-0.001966-0.0023416i,-0.0027559+0.00094582i,-0.0016241+0.0018383i,0.00034963+0.0010317i,0.0010918+0.00062003i,0.00055356-0.00050898i,0.00056287-0.0010318i,0.0010227-0.00074317i,0.00090517-4.2207e-05i,0.0006251+0.00085996i,6.6623e-05+0.00068458i,0.00046615+0.00026262i,0.00039328+0.00033649i,8.9837e-05+0.00038819i,0.00051901+0.00089867i,0.00016937+0.0014469i,0.00025288+0.00036287i,0.00045421-0.00068051i,-2.5891e-05-0.0003383i
-0.00015921+0.00091661i,-7.009e-05+0.0015527i,0.0011006+0.001602i,0.0027526+0.00067307i,0.0028222+0.00042445i,0.0012068+0.00063236i,-0.00019818+0.00013991i,-0.00056218-0.0011287i,-7.2901e-06-0.0012176i,0.00083585+0.00042411i,0.00067815+0.0013057i,5.4308e-05+0.00073785i,0.00035245+0.0001268i,0.0010891+6.3468e-05i,-1.9825e-05+0.00012473i,-0.00099062+2.9907e-05i,-0.00060056-5.8887e-05i,-0.0002326+0.00018626i,-6.0153e-05+0.00051092i,-0.00022009+0.00035318i,-0.00017598-4.0268e-05i,1.9251e-07+0.0002576i,0.00019062+0.0004645i
-0.00012648-0.0014303i,0.00012243-0.0013969i,0.0010002-0.0014174i,0.00054008-0.001424i,4.8747e-05-0.00082435i,-0.00053967-0.00015286i,-0.00082764+0.0003064i,0.00030023+0.00049751i,0.0004007+0.00084176i,-0.00070778+0.0005424i,-0.00088442-0.00014492i,-0.00029241-0.00072139i,-9.72e-05-0.00010627i,-0.00080122+0.00091661i,-0.00053922+0.00099313i,-0.00012675+0.0010624i,-0.00041506+0.00089161i,-0.00031988+0.000483i,-0.00039313-0.00027459i,-9.6202e-05-0.00064144i,0.00025023-0.00055609i,0.00031689-0.0001203i,0.00054706-6.0599e-05i
-0.00010303-0.00099382i,-7.6392e-05-0.0026157i,0.00020834-0.002833i,0.00089465-0.001626i,0.00097341-0.0012292i,0.0005654+0.00045967i,0.00014231+0.0019166i,-3.1656e-05+0.00073795i,0.00076449+0.00036547i,0.0007914+0.00067534i,0.00037797+1.7546e-05i,3.1347e-06-7.7491e-05i,-0.00083497+0.00033785i,-0.00062399+0.00088523i,0.0010793+0.00097482i,0.0013813+0.00041259i,6.8389e-05+4.7255e-05i,-0.00024293+0.00013873i,0.00040985+0.00046598i,0.00075855+0.00031059i,0.0003289+0.00027804i,-6.2671e-05+0.00042829i,0.00021862-0.00024363i
0.0003-0.00036965i,0.00026703-0.00038258i,0.00070705-0.001048i,0.0010573-0.00042756i,0.00035438-7.7381e-05i,8.8904e-05-0.00031005i,0.00017207-0.00022708i,0.00044963-0.00016985i,0.00027768-0.00046305i,-0.00015738-0.00086678i,-0.00080526-0.001162i,-0.00060193-0.00056237i,-0.00019296+0.00028755i,9.9261e-05+0.0010555i,0.00056748+0.0012727i,0.00033274+0.00067008i,-0.00013874+0.00012515i,0.00026109-0.00063824i,0.00033202-0.0011504i,-0.00026236-0.0011715i,-0.00031681-0.00025425i,-0.00039776+0.00062848i,-0.00019318+0.0005631i
0.00091504-0.0012874i,0.0011882-0.0033121i,0.0014823-0.0037498i,0.0011474-0.0030062i,0.0011499-0.0019118i,0.00035047-0.00064043i,-6.3874e-05+2.6056e-05i,0.00012854-2.4711e-05i,0.0009836+8.0466e-05i,0.00081521+6.3594e-05i,0.00034231+0.00028857i,0.00048895+0.00055944i,0.00015836+0.00029904i,0.00042493-9.832e-05i,0.00094684-0.00017787i,0.00071933-0.00051483i,0.00028374-0.0009094i,0.00054948-0.0004671i,0.00062627+0.00013488i,0.00027594+0.00030748i,0.00035727+0.00013057i,-7.5093e-05+0.00043735i,-0.00069213-0.00021284i
0.0011823-0.00011785i,0.00084507-0.00059206i,0.0013849-0.0001839i,0.0022239-0.00075681i,0.0024029-0.0016793i,0.0014608-0.0010146i,0.0002324+0.00025054i,-3.8206e-05+0.0005127i,-0.00011543+0.00041994i,-0.00046718+0.00015175i,-0.00089528-0.00022587i,-0.00052537+0.00020798i,-0.00025673+0.00011135i,-0.00053729-0.000559i,-0.00046859-0.00042765i,-0.00020528+0.00083403i,8.097e-05+0.00075924i,0.00069402+1.9689e-05i,1.0989e-05+0.00042817i,-0.00041163+0.00048858i,7.221e-05-0.00014143i,0.00047231+1.2522e-05i,0.00026553+0.00015556i
0.0011695+0.001685i,0.00083804+0.00015921i,0.00082372-0.00060007i,0.0013902-0.00072812i,0.00069982-0.00055096i,-0.00047199+0.00038431i,-0.00087736+0.001242i,-0.00014856+0.00090577i,0.00017919+0.00020265i,0.00021688-0.0001963i,0.00054523+5.4789e-06i,0.00077996-0.00010021i,8.9603e-06-0.00073888i,-0.00046449-0.00074903i,8.221e-05-8.866e-05i,-0.00011237+0.00061099i,-0.00084762+0.0007044i,-0.00043854+0.00036451i,0.00055246-6.0639e-05i,0.00076801-0.00073827i,-0.00019314-0.00097568i,-0.00061712-0.00045237i,-0.0011127+0.00036621i
-0.00060577-0.00085188i,7.4751e-05-0.0033675i,0.0014509-0.0036743i,0.0022263-0.0025088i,0.0026134-0.0016109i,0.0014255-0.0011025i,-0.00028412-0.0004934i,-0.00052884-0.00034232i,4.2266e-05-0.00094897i,0.00049993-0.0011465i,0.00032483-8.7839e-05i,-0.00046821+0.000426i,-0.00087675+0.00010061i,-0.00019783+3.7298e-05i,0.00025538-0.0004706i,9.0761e-05-0.00021829i,3.3693e-05+0.00047117i,4.7105e-05+0.00014095i,-0.00061969+0.00016356i,-0.0011696+0.00040194i,-0.0010892+0.00054315i,-0.00049359+0.00061526i,0.00015263+0.00073683i
-1.189e-05-0.003137i,-0.00082339-0.0023529i,-0.0013672-0.00034597i,-0.0008838+0.00066616i,-0.00010506+0.00070883i,-0.00015967+0.00027109i,-0.00068665-0.00026263i,-0.00027234-0.00048889i,0.00077021-0.00031059i,8.7591e-05+0.00056122i,-0.00015334+0.00065899i,0.00075735+0.00010954i,0.00069626-0.00010682i,0.0011819+0.00016845i,0.0017926+0.00031876i,0.00049883+0.00029061i,-0.00039897+8.2438e-05i,-0.00010274-0.00045556i,0.00029401-0.00049427i,0.00019827-0.00039417i,-0.00024938-0.00055671i,-0.00058656+5.2479e-05i,-0.00051791+0.0009939i
0.001159-0.0016739i,5.847e-05-0.0019429i,-3.5298e-05-0.0013059i,0.00093937-0.0010227i,0.001236-0.00060911i,0.00052424-5.2106e-05i,0.00016173+0.00016789i,0.00053047+0.00048662i,0.00012902+0.00071832i,-0.00059341+0.00027276i,-0.00042393+0.00034022i,-0.0002804+0.00045162i,-0.00058756+0.00056648i,-9.7799e-05+0.0010077i,0.00059732+0.0002899i,0.00011282-7.9252e-05i,-0.00025616+0.00029332i,0.00019743-7.576e-05i,0.000481-0.00079235i,0.0004109-0.00114i,-0.00083081-0.00095207i,-0.0005986+0.00011682i,0.00030393+0.00088885i
