-7.3335e-05+0.0014434i,0.00052546-0.00012313i,-0.0011766-0.0019109i,-0.0018674-0.001572i,-0.0015247-6.8441e-05i,-0.00082522+0.001138i,-0.00038346+0.0022441i,-0.00023845+0.0021381i,0.00032064+0.0012745i,0.0009878+0.00078968i,0.00094453-0.00067397i,0.00033744-0.0015861i,0.00015924-0.00078049i,0.00011368+1.0692e-05i,-0.00032091+0.00032697i,-0.00069565+0.00041448i,-0.00024886-5.1501e-05i,0.00032577+0.00050699i,8.4132e-05+0.00059897i,0.00010141+0.00051352i,-9.4385e-05+0.0004403i,-0.00086166-0.00038124i,-0.00043129+0.00027983i
-0.0013885+8.1959e-05i,-0.0013128-0.00051645i,0.00053287-0.00013721i,0.00040407-0.00035185i,-0.00025898-0.00054654i,-0.00028001-0.00063316i,-0.00024093-0.00017024i,9.1949e-05-2.7365e-05i,0.00018581+0.00057129i,0.0003218+0.0011442i,0.00033954+0.00049315i,5.7387e-05+3.6501e-05i,0.00022386-9.2503e-05i,0.00068814-0.0010516i,0.0008051-0.0013685i,-5.0542e-05-0.00051163i,-0.0010141-0.00026526i,-0.0012834-0.0011583i,-0.0011282-0.0011702i,-0.00089761-8.076e-05i,-0.0004674+0.00052117i,0.0003931-0.00017323i,0.00092013-0.00048901i
0.00012036-0.00044424i,0.00095232-0.00067252i,0.00090041-0.00010637i,-0.00040891+6.3224e-05i,-0.00026913+0.00076555i,0.0017117+0.00063171i,0.002277-0.0009759i,0.0010274-0.0010803i,-0.00055648-3.4885e-05i,-0.0019571+0.0005716i,-0.0015489+6.251e-05i,-0.00012687-9.3296e-05i,0.00070527-0.00034487i,0.0013202-0.00016389i,0.0020087+0.00077195i,0.0010635+0.00085325i,0.00034696+0.00032451i,0.00036741+4.5451e-05i,1.5591e-05-0.00022282i,-0.0003199-2.6991e-05i,-0.00063048+0.00045792i,-0.00033612+0.0008112i,0.00059576+0.0007592i
-0.00036332-0.00094113i,0.00046624+0.00021462i,0.0004979+2.8653e-05i,-0.00054086-0.00041627i,-0.00096676-0.00022563i,-0.00012638+6.9677e-05i,0.00068598+0.00019244i,0.00026922-0.00026069i,0.00026289-0.00067488i,0.000926-0.00043729i,0.00051712-7.449e-05i,0.00037829-0.00030899i,0.00090213-0.00070289i,0.00034476-0.00030829i,-0.00030455-0.00012066i,0.00019698-0.0005576i,0.0002921-0.0011197i,0.00015749-0.001684i,0.00020629-0.0019757i,-0.00045813-0.0011095i,-0.00070089-0.00022156i,-7.1497e-05-0.00025651i,0.00023445-0.0001462i
-0.00021637-0.002748i,0.00071519-0.0028357i,-3.931e-05-0.0023496i,-0.00031188-0.0013722i,6.6405e-05+0.00015297i,0.00095982+0.00074363i,0.00069712+0.00030094i,0.00049245-0.00022607i,0.00052961-0.00091417i,0.00021985-0.00086788i,-7.5394e-05+0.00025581i,6.542e-05+0.00094258i,0.0003828+0.00038238i,0.0010404+0.00056638i,0.00091676+0.00066248i,0.00046941-0.00013244i,0.0001168-0.00017681i,-0.00056337-0.00069232i,-0.00054906-0.0011472i,-0.00026854-0.00033353i,-0.00012438+0.00044376i,0.00010494+0.00033404i,0.00025544-0.00032407i
0.00084517+0.0018i,0.001543+0.0020926i,0.001661+0.0014732i,0.0008579-0.00013661i,0.0001988-0.00057042i,-0.00058216-1.5339e-05i,-0.0001426+0.00046946i,0.00024077+0.0013768i,0.00017092+0.0011149i,-0.00032557-3.1419e-05i,-0.00053515-0.00015352i,-0.00032452-8.0413e-05i,-0.00039518-3.5721e-05i,-0.00038327-0.00044445i,-0.00021408-0.0011163i,1.5842e-05-0.00090711i,0.00059154-0.00013154i,0.00056601+4.233e-05i,2.3179e-05-0.0003353i,-0.00079438-0.00049293i,-0.0010338-0.00048579i,-2.0034e-05+2.6617e-05i,0.00039754+3.8641e-05i
0.00055547+0.00070115i,0.0012757+0.0015374i,0.0019435+0.00085119i,0.0016985+0.00046071i,0.00062483+0.0006729i,0.00049758+0.0010307i,0.0010298+0.00060003i,0.00082968+0.00060672i,-0.00020938+0.00062107i,-0.00025676-9.6835e-05i,0.00044421-7.1377e-05i,0.0010628-0.00067619i,0.0016048-0.0010307i,0.0018837-0.00031873i,0.0018698-0.000583i,0.0010351-0.00058227i,0.00063203-0.00051761i,0.00076149-0.00022421i,0.00082541+0.00041299i,0.00054262+0.0007188i,-3.5983e-05+0.0006023i,-7.1371e-05+0.00050179i,0.00056675+0.00016052i
-0.00054512+0.0022405i,-0.0011582+0.0013626i,-0.00010218-7.133e-05i,0.00066756-0.00045899i,0.00048188-0.00050372i,0.00077487-0.00036594i,0.00116+5.44e-06i,0.0006671-0.00036492i,0.00052207-0.00061369i,0.00052853+0.00054426i,0.00030533+0.00088644i,0.00031283+0.00010956i,0.00045682-0.00023837i,0.00086974-0.0004568i,0.00019534-0.00035482i,-1.8819e-05-0.00056708i,9.813e-05-0.00076048i,0.00022179-0.00087192i,0.00032842-0.00020042i,0.00016969+0.00040847i,0.00011504-0.00032353i,0.00015875-0.00090549i,0.00024524-0.00071481i
-0.0012272+0.00027825i,-0.0010563-0.00096951i,-0.00069845-0.0009589i,-0.0010105-0.00061091i,-0.0012182-0.00061577i,-0.00095214+0.00048015i,-0.00027545+0.0011248i,-0.00033336+0.00081462i,-0.00031422+0.00041013i,0.00015086-0.0004186i,0.00022269-0.00053737i,0.00036112+0.00036691i,0.00030003+0.00091874i,0.00020755+0.00051867i,-0.000154-0.00020072i,-0.00025612+1.2071e-06i,-0.00017193+0.00033358i,-0.0001722+0.0004503i,0.00068224+1.8985e-05i,0.0012316-0.00021337i,0.00038488-0.00046769i,0.00010492-0.00082705i,0.00077101-0.00034986i
-0.0002328-0.003403i,-0.00049784-0.0023859i,-0.00078945-0.0022311i,-3.1987e-05-0.0015775i,-2.2675e-06-0.00090002i,0.00019282-0.0010297i,0.001316-0.0011556i,0.0011137-0.00076809i,0.00023502-4.8194e-05i,-0.00018253-0.00040933i,-0.00028029-0.00015108i,-0.00050444+0.00049096i,-0.00071672+0.00032448i,-0.00014611+0.00041476i,0.00089983+0.00090076i,0.0012671+0.00052712i,0.00071121+0.00021699i,0.00027747+0.00058367i,0.00020238+0.00045027i,-4.8241e-06+0.00023526i,-0.00025894+0.00028449i,-0.00061822+0.00036282i,-0.00026659+0.0005773i
0.0019542+0.00035274i,0.002588+0.0011243i,0.0025566+0.00063667i,0.0013414+0.0001376i,0.00019468+0.00069157i,0.0002915+0.00095587i,0.00058242+0.0011702i,0.00022046+0.0013915i,0.00052605+0.00063658i,0.00076217-0.00022345i,0.00076741-0.00047705i,0.00030641-0.00056578i,-0.00057971-0.0004536i,-0.0013289-0.00064716i,-0.0013588-0.00037654i,-0.00058895-0.00022251i,2.8959e-05-0.00039851i,-0.00064433-6.8275e-05i,-0.00084113+0.00027131i,-9.4336e-05+0.00010395i,-7.2485e-05-0.00024453i,-0.00060554-0.00011488i,-0.00021017-0.00018589i
