-0.0023843+0.00018174i,-0.00094637-0.0010168i,-0.0020985-0.0016567i,-0.0017381-0.00079546i,-0.0009361+0.00122i,-0.00037635+0.0029765i,-0.00013301+0.002935i,0.00083227+0.0017465i,0.0021207+0.0013384i,0.0015643+0.0010075i,0.00054745+0.00031927i,-3.5185e-05+9.4704e-05i,-0.00075055-0.00019341i,-0.0010472-0.00050381i,-0.00048167-0.00025958i,-6.6926e-05+0.00071331i,-0.00050331+0.0015035i,-0.00052001+0.00091664i,2.4254e-05+0.00021135i,0.00026532+0.00040544i,0.00015269+0.00051067i,0.00040991+0.00051206i,0.00055268+0.0005503i
0.002808-0.0033275i,0.0022259-0.0038964i,0.00087131-0.0038682i,0.00018917-0.0027069i,-0.00010962-0.00076442i,-0.00044042+0.0010827i,-0.00081635+0.0020483i,-0.00081288+0.0014445i,-0.0004658+4.8775e-05i,-0.00031062-0.00042971i,-0.00019761-0.00016352i,0.00024579-0.00082678i,0.00021479-0.00098287i,0.00010784-0.00042002i,9.0135e-05+0.00053476i,-6.0633e-06+0.00085822i,-0.00016346-0.00018427i,-0.00013678+3.265e-05i,0.00028663+0.0010461i,0.00061875+0.00075414i,0.0007621-0.00014836i,0.0007-5.4863e-05i,0.00017539+0.00083315i
0.0021241+0.0019004i,0.0012673+0.00052869i,-0.00021949+0.00045294i,-0.00076932+0.0011994i,-0.0012521+0.00091308i,-0.00061177+0.00076996i,0.00061908+0.00072541i,0.0011445+0.000379i,0.0013378-0.00038115i,0.00067919-0.00060299i,5.9015e-05-7.8745e-05i,-1.5477e-05+8.2221e-05i,-0.00021318+0.000144i,-0.00028146+0.00042046i,-0.0003107+5.558e-05i,-0.00023109+5.1109e-05i,0.0002133+0.00053281i,-0.00018457+4.8417e-05i,-0.00042681-0.00067933i,-9.1948e-05-0.0004847i,-0.00031533-8.8089e-05i,-0.00013355-2.6202e-06i,0.00025001-0.00028604i
0.00029335-0.0013147i,0.0009247-0.0014728i,0.0013446-0.0013173i,0.00052554-0.0014015i,-0.00092567-0.00042737i,-0.0013959+0.0014726i,-0.00052783+0.0021564i,0.0002745+0.0013921i,0.00078316-0.00021663i,0.00016755-0.00010938i,-0.0004158+0.0007698i,1.2418e-05+0.0010184i,0.00062265+0.0008423i,0.00039401+0.00064792i,-0.00029808+0.0010307i,-5.5766e-05+0.00072548i,0.0006556+2.3063e-05i,0.00086723+0.00029908i,-0.00032903+0.00038314i,-0.00063682+0.00018767i,-0.00010325+0.00051458i,-0.00070559+0.00034386i,-0.0004445-0.00021249i
0.0013848-0.00089883i,2.6029e-05-0.00089869i,-0.0013313-0.0011398i,-0.0020663-0.0008142i,-0.0023728+0.00015965i,-0.001591+0.0013183i,-0.0003682+0.00054399i,0.00047065-7.6033e-05i,0.00060194-5.2826e-05i,0.0003221-0.00052721i,-0.00021253+0.00030625i,-0.0007762+0.00058649i,-0.001015+4.7076e-05i,-0.00089588+0.00055715i,-0.00046575+0.0016007i,-0.00019978+0.0012277i,5.5827e-05+0.00012037i,-4.5513e-05+0.00011143i,-0.0002241-2.6262e-05i,3.8002e-05-0.0010038i,0.00056831-0.0010573i,0.00063479-0.00055405i,-0.00060655-0.00041609i
-0.00034041-0.00045055i,0.00022072-0.00021997i,-0.00026784-3.5994e-05i,-0.00084549-7.5128e-05i,-0.0015676+0.00023585i,-0.0013134-0.0001252i,-6.5344e-05-0.00040424i,0.00056198-0.00038498i,0.00057535+7.8141e-05i,0.00031934+0.0002707i,-0.00040069+0.00026778i,-0.00055079+0.00015435i,-0.00030424-2.5053e-06i,0.00013531-0.0001508i,0.00087636-0.00018525i,0.00073719+0.00013941i,0.00045722+0.00061931i,0.00016407+0.00065096i,-0.00035192+0.0001626i,-1.3259e-05+0.00041839i,0.00052109+0.00081597i,0.00022591+0.00048165i,-0.00033826-0.00027189i
0.00055416+0.0019518i,0.0009642+0.00071658i,0.0012235-0.00026417i,0.00072568-0.00057835i,-0.00015165-0.00080752i,-0.00059611-0.00090477i,-0.00020967+0.00018697i,0.00089614+0.00060254i,0.00099961+0.00016372i,0.00051377+0.00017752i,0.00018691+0.00017555i,-0.0004378+0.00037059i,-0.0003208+0.00020854i,0.00016667+0.00013874i,3.2161e-06+0.00017291i,-0.00014229+3.3415e-05i,0.00019408+8.501e-05i,0.00038545+0.00039815i,-0.00021534+0.00056264i,7.9906e-06-4.1526e-06i,-0.00035921-0.00045044i,-0.00066828-0.00022634i,-8.1198e-05-0.00067705i
-0.0010572-0.0024592i,-0.00073196-0.0022719i,-0.0010693-0.0015569i,-0.0011782-0.00033293i,-0.00076807+0.00091212i,0.00030908+0.0012483i,0.0011637+0.0014664i,0.00092544+0.00070983i,-0.00011349+2.9943e-05i,-0.00023077+0.00072404i,0.00040153+0.0014077i,0.00044113+0.0012658i,0.00011513+0.0012137i,0.0002862+0.001522i,0.00045414+0.00080928i,0.0005618-7.5587e-05i,0.00054324+0.00029723i,0.00047895+0.00031729i,0.00081793-6.7577e-05i,0.00042018+5.3128e-05i,-0.00038789+0.00078452i,-0.00097569+0.00050822i,-0.00062252+0.00022401i
-0.00093444+0.00044565i,-0.0012567-0.00088801i,-0.0001964-0.00043881i,0.00074009-0.00010943i,0.0011457+0.00040757i,0.0011232+0.00067568i,0.00093956+0.00067792i,0.00037212+0.001346i,8.3213e-05+0.0015837i,0.00090407+0.00059023i,0.0011133+0.0002384i,0.00087759+0.00042633i,0.00060077+0.00018219i,0.00015751-7.9994e-05i,-0.00013541-0.0005605i,6.5215e-05-0.00109i,-1.9143e-05-0.0014005i,-0.00042785-0.0010137i,-0.0004587+0.00028619i,3.4655e-05+0.00038204i,0.00039401+0.00056148i,0.00014276+0.0011656i,-0.00059401+0.0013136i
-0.0013759-0.00025712i,-0.0009058-0.00022291i,-0.00020646-0.0002924i,0.00028685+8.3795e-05i,0.00084986+0.00024081i,0.00079505+0.00048728i,5.6972e-06-0.0001629i,-0.00065993-0.0011937i,-9.3127e-06-0.0011558i,0.00079893-0.00061644i,0.00054702-0.00023822i,0.0005367-0.00036939i,0.0011739+7.9423e-05i,0.0010714+0.00023609i,0.00049821-1.7341e-06i,0.00075213+0.0008058i,-0.00020534+0.0011426i,-0.0013768+0.00040868i,-0.00062482+0.00038048i,-8.8785e-05+0.00034915i,0.00014226+0.00030048i,0.00032812+9.1282e-05i,0.00080592+0.00022836i
0.0021469-0.0010179i,0.0014729-0.0010349i,0.0011702-0.00075039i,0.001315-0.00021441i,0.00072873+0.00035417i,-0.00068282+0.00077005i,-0.00037152+0.00096711i,0.00089239+0.00091417i,0.0012664-0.00025209i,0.00028166-0.000945i,-0.00041083-0.0011899i,-0.00045094-0.0012932i,-0.00020546-0.00047502i,0.00010281+0.0001409i,-0.00097734+0.00073579i,-0.0011237+0.0014734i,-0.00070583+0.0010635i,-0.00061651+0.00051915i,1.2828e-05+0.00018099i,0.00042337-0.00052302i,0.00038597-0.0010325i,0.0001026-0.0011414i,0.00025998-0.00043671i
-0.00169-0.00067208i,-0.0010522-0.00019163i,-0.0012462+0.00082077i,-0.0015914+0.00077827i,-0.0012395+0.00071347i,-9.4627e-05+0.00086021i,0.0004371+0.0009217i,0.00053242+0.00071806i,0.00048619-0.00017809i,0.00069255-0.00011004i,0.00035913+0.00035487i,7.9911e-05-0.00041154i,0.0003483-0.00090756i,-0.00030351-0.00028704i,-0.00069349-0.0001049i,-0.00042409+6.4096e-05i,-9.4414e-05+0.00035342i,-0.00016757-6.8315e-05i,0.00031631-0.00042284i,0.00040417-0.00013354i,0.00023875-0.00064912i,0.00077678-0.00093618i,0.00096495-0.00048439i
