0.00082959-0.00084701i,0.0016791-0.0011988i,-0.00020813-0.0015924i,-0.0011936-0.0015553i,-0.0015084-0.00096176i,-0.0022663-0.00014034i,-0.0018903+0.00083384i,-0.00094078+0.0010166i,-0.00056057+0.00092929i,-0.00060203-7.5822e-05i,-0.00051099-0.00074774i,-0.00035169-4.7832e-05i,-0.00037661-1.826e-05i,-0.00075605-0.00066433i,-0.00095393-0.00013094i,-0.00050145+0.00054423i,0.00025544+0.00039533i,0.00049324+0.00032801i,0.00021736+0.00065848i,-0.0002068+0.00078386i,-0.00043003+0.00031334i,-0.00028381-0.00018842i,-0.00028968-0.00070024i
-0.00087598+0.0009177i,-0.00050131+0.0011516i,-0.00041776+0.0022205i,-4.6624e-05+0.0021983i,-3.7748e-05+0.0015853i,0.00014553+0.00081589i,-0.00015618-0.00016542i,-0.00017743-0.00028895i,0.00037691-1.0436e-05i,0.00063762+0.00034066i,0.0006999+0.00042905i,0.00026381-0.00035351i,-0.00027704-0.0013119i,-0.0002735-0.0013417i,0.00016767-0.0010686i,0.0010365-0.00055677i,0.0012067+0.00012413i,0.00060942+6.2349e-05i,0.00029137-0.00052865i,-0.00028979-0.00027747i,-0.00036274+0.00060912i,0.00017451+0.00040868i,1.2284e-05-0.00074663i
0.00091415+0.0027307i,6.854e-05+0.0029108i,-0.00034+0.0031697i,-0.00047159+0.002222i,-0.00017037+0.00016997i,-0.00066565-0.0009356i,-0.0015192-0.00063785i,-0.0021442-0.00016009i,-0.0015754+0.0005909i,5.5814e-05+0.00094902i,0.0008621+0.0008787i,-0.00013135+0.00026128i,-0.00072863+0.00014409i,-0.00014387+0.00029088i,0.00050533-0.00054182i,0.0005755-0.0013468i,0.00015052-0.0010507i,0.00019693+0.00014913i,0.00026475+0.0008905i,0.0003525+0.0010771i,-0.00020822+0.0010232i,-0.00057254+0.00046244i,-6.7815e-05-0.00014008i
0.0026113+0.00032807i,0.0011872+0.00089964i,-0.00073635+0.00046146i,-0.0015882-0.00016229i,-0.0011208-0.00065139i,-0.00051094-0.00078431i,-0.00072399-0.0012407i,-0.00048834-0.00053803i,0.0001192+0.00092984i,0.00026777+0.000409i,-0.00016726-0.00072342i,-2.3566e-05-0.00046931i,-0.00021712+0.00014336i,-0.0010912+0.00088938i,-0.001211+0.0013458i,-0.00062211+0.00097548i,0.00025827+0.00078906i,0.00049336+0.0011826i,0.00019062+0.0011429i,-0.00072205+0.00033314i,-0.00090226-2.9843e-05i,-0.00015313+0.0001954i,0.00056738-1.9494e-05i
-0.0016656-0.0008969i,-0.0018321-0.0013759i,-0.001717-0.0013062i,-0.0025073-0.00044937i,-0.0017816+0.00017758i,-0.00096332-0.00025058i,-0.00078566-0.00066446i,-9.6829e-05-0.0005765i,-0.00044763-0.00014403i,-0.0011748+0.0004474i,-0.0017948+0.0002463i,-0.0018634-0.00058131i,-0.00051294-0.00078815i,0.00029779-0.00030264i,0.00016042-0.00033058i,0.00023758-0.00075738i,-0.00047969-0.00057259i,-0.001052-0.00011395i,-0.00042241-5.6198e-05i,0.00064305+0.00059326i,0.00077294+0.00050974i,0.00019559+0.00016263i,0.00018749+6.2263e-05i
-0.00085534-0.00033122i,-0.00099443-0.00025327i,-0.0018205-0.000243i,-0.0015499+0.00047787i,-0.0013874+0.00011723i,-0.0013373-0.00084194i,-0.00027294-0.0015777i,-0.00044173-0.0018603i,-0.0010657-0.0018735i,-0.00033525-0.001473i,3.0121e-05-0.00038966i,0.00030823-0.00035191i,0.0013038-0.00053624i,0.0010878+0.00033132i,0.00083873+0.00087598i,0.00084502+0.00080781i,0.00056618-2.2759e-06i,0.00059488-0.00031306i,0.00069143+2.8177e-05i,0.00015627+0.00030183i,-0.00030087+0.00075836i,-0.00047148+0.00075619i,-0.00055459-6.4843e-05i
9.8467e-05-0.00032866i,-0.00088765+0.00036633i,-0.001751-0.00016882i,-0.0012925-0.000796i,-0.00071077-0.00045906i,-0.00024633-0.00026833i,-0.00039742-0.00074479i,-9.015e-05-0.00093483i,0.00047032-0.00025644i,9.2773e-05+0.0002916i,-0.00018726-0.00065896i,-0.00061598-0.00068041i,-0.00086675+0.00051832i,-0.00018278+0.0013514i,-5.2162e-05+0.00070264i,0.00036433-0.00053856i,0.0004359-0.00014699i,0.00025286-0.00015838i,0.00088066-0.00089341i,0.00085833-0.00050123i,0.00016248+8.1233e-05i,5.6295e-05-0.0001004i,-9.3034e-05-0.00034712i
-0.0010824-0.0013349i,-0.001296-0.0014708i,-0.0017188-0.001424i,-0.00095393-0.00088725i,-0.00021785-0.00010063i,-0.00014639-0.00046395i,-0.00037971-0.0015657i,-0.00073819-0.0013031i,5.2163e-05-0.00011046i,-0.00034228+0.00032284i,-0.0011057+0.00019103i,-0.00097668+4.6844e-05i,-0.00088474+4.5012e-05i,-0.00036995-2.1445e-05i,-0.00023239-0.0001267i,-9.9584e-05-0.00067906i,0.00045519-0.0010659i,0.00047926-0.0009274i,0.0002318-0.00071977i,-0.0006248-0.00072061i,-0.00073921-0.00014404i,-0.00085153+0.001016i,-0.00046758+0.0011463i
0.0017253-0.0036071i,-0.00045343-0.0028585i,-0.0018015-0.0021809i,-0.0024227-0.0016376i,-0.0020207-0.0012484i,-0.0011684-0.00081625i,-0.00084423-0.00048634i,-0.0005782-4.2184e-05i,-0.00054333-0.00029365i,-0.0006337-0.00034377i,-0.00075924-3.7809e-05i,0.00022227-0.00023442i,0.00099318-8.4487e-05i,-6.2133e-06+0.00050702i,-0.00084384+0.00084102i,-0.00077692+0.0010646i,0.00029565+0.0010168i,0.00099095+0.00013362i,0.00051557-0.0004704i,-0.00010158-0.00040758i,-0.0001629-0.00028369i,-0.00016729-0.00012885i,0.0003131-0.00055817i
-0.0014092+0.00027069i,-0.0012244-0.00041955i,-0.0015791-0.0007573i,-0.00089206-0.00095149i,-4.7334e-05-0.00032986i,0.00035781-0.00061828i,-0.00010342-0.001837i,-0.00078954-0.0014002i,-0.00081149+0.00073881i,-0.0010495+0.0013699i,-0.00049039+0.00040307i,0.00025143-0.00033525i,-0.00016387+0.00012476i,-0.00051731+1.9884e-05i,-3.9958e-05-0.00048432i,0.00040425-0.0005406i,0.00052144-0.00043997i,0.00032438-0.00028683i,-0.00017547-0.00044863i,-0.00055984-0.00073132i,-0.0001472-0.00061581i,0.00070822-0.00033567i,0.00067814+0.0005518i
0.00071021-0.00041401i,0.0010669-8.7456e-05i,0.00085061+0.00038459i,0.00063586+0.00016675i,0.00027383-0.00049033i,-0.00095998-0.0016093i,-0.0020545-0.0024518i,-0.0018338-0.0022077i,-0.0014544-0.0017631i,-0.0011052-0.0012503i,-0.00062126-0.00024723i,-0.00073642+0.00011319i,-0.0010782+7.1688e-05i,-0.00067555-0.00031531i,-8.1297e-05-0.0011725i,-0.00044549-0.0007981i,-0.00057247+7.5994e-05i,-4.2332e-05+0.00016425i,0.0002336+8.7879e-05i,0.00036989+4.8865e-05i,6.5446e-05-7.4896e-05i,-0.00035876-3.8677e-05i,-0.00039972-0.00047061i
