-0.0059029+0.0014128i,-0.0048088+0.0021931i,-0.0046211+0.0033044i,-0.0026484+0.002866i,0.0007248+0.0027834i,0.0024954+0.0019255i,0.0017943+0.0003892i,0.00030737-0.00011097i,0.00018663+0.00027467i,0.0013544+0.00039415i,0.0024209+8.3587e-05i,0.0018262-0.0011772i,0.0009338-0.0021628i,0.0015749-0.0019999i,0.0022978-0.00090149i,0.0013255+0.00039244i,-0.00019635+0.00061211i,-0.00066296-0.00024282i,-0.00024143-0.00089211i,0.00014218-0.00024075i,0.00050985+0.00020481i,0.00067379+0.0006497i,0.00023102+0.0010275i
-0.00094113-0.00075756i,-0.0019599-0.0010607i,-0.0027196-0.0018665i,-0.0019176-0.0008127i,-0.0014639+0.00071222i,-0.0006204+0.0019211i,5.6985e-05+0.0019037i,0.00054858+0.00026218i,0.00079961-0.00059605i,-0.00022497-5.1025e-05i,-0.00024717+0.00028277i,0.00079266-0.00013642i,0.0009072+5.4796e-05i,5.7445e-05+0.00093542i,-0.0005093+0.0011024i,-0.00021299+0.00077203i,1.7565e-05+0.00076743i,2.4911e-05+0.00069564i,0.00029992+0.00063775i,0.00069696+0.00068401i,3.7901e-05+0.00046172i,-0.00072634+0.00014318i,-0.00041517+0.00027868i
-0.0022665+0.00054994i,-0.0022401-0.00017193i,-0.0012088-0.000489i,-0.00056161-0.00035368i,6.776e-05+0.00014089i,8.6925e-05+0.00031163i,-0.00029145-0.00014697i,9.4598e-05-0.00092682i,0.00010579-0.00097345i,-0.00031085-0.00050487i,0.00058525+2.0532e-05i,0.0011122-0.00044771i,0.00053527-0.00039412i,0.00022406-4.8151e-05i,0.00090612-0.0010285i,0.00076672-0.00099271i,0.00020811+0.00041189i,-0.00023233+0.00086287i,-0.00034762+6.0345e-05i,-0.00035141+0.00031405i,-0.00049071+0.00028627i,-0.0001857-0.00046484i,0.00023988-0.00050133i
-0.0016744+0.00063617i,-0.0010828+0.00013248i,-0.00057932-0.000459i,1.2001e-05-0.00035819i,0.00011655+0.0006746i,-0.00024489+0.0013033i,7.8196e-05+0.0010988i,0.00070008+0.00066302i,0.00067005+0.00014261i,-8.2326e-05+0.00045842i,-8.716e-05+0.00076749i,0.00056056+5.1421e-05i,0.00081908-0.00034301i,0.0008243-0.00032322i,0.0011043-4.5143e-05i,0.0016532+2.4577e-05i,0.001438-0.00051604i,-2.7218e-05-0.00065102i,-0.0012004+1.0954e-06i,-0.0015853+0.00014676i,-0.0011693-0.00014448i,-0.00086623+0.00015499i,-0.00055667+0.00023488i
0.0020212+0.00065971i,0.0017523+0.0002108i,0.00061695-0.00031703i,0.00052896-0.00040711i,0.00087313+5.2188e-05i,-0.00032483+0.00097731i,-0.00014338+0.0012727i,0.00079277+0.00073012i,9.0051e-05+7.9095e-05i,-0.00053805-0.00027088i,-0.00045665-0.00060965i,-0.00015078-0.0011133i,-7.3115e-05-0.00014691i,0.00012434+0.00023922i,0.00011284-0.00052976i,0.0001678-0.00068399i,-7.0502e-05+0.00041588i,-0.00064499+0.00041001i,-0.00076308-0.00014595i,-0.00025981-0.00035062i,0.00035334-0.00051826i,0.00034518+5.6587e-05i,0.00048727+0.00026198i
-0.00044989+0.0030318i,-0.00020695+0.0032507i,-0.00050141+0.0025125i,0.00037793+0.0016563i,0.0014418+0.00072352i,0.001152+2.983e-05i,0.00044572-0.00032193i,9.3399e-05-0.00057465i,-0.00055208+0.00046573i,-2.5188e-05+0.0010284i,0.0012856+0.0010348i,0.000662+0.00063737i,-0.00013744-0.0011032i,0.00032112-0.0019187i,0.00079645-0.0010504i,0.0012859-0.00049554i,0.0019199-0.00020543i,0.0016567+0.0003653i,2.0331e-05+0.00060256i,-0.00028886-0.00014065i,7.4073e-05-0.0004946i,0.00036859-0.00060848i,0.00017713-0.00083096i
-0.0038398+0.0018159i,-0.0036483+0.0011511i,-0.0018617+0.0020101i,-0.00055819+0.0018505i,-1.7398e-05+0.001102i,0.00070384+0.00087876i,0.00053193+0.00028433i,3.7006e-05-0.00033091i,0.000316-0.00016857i,0.00060473+0.00062944i,0.00065258+0.00021063i,0.00058133-0.00015138i,0.00042817-0.00038992i,0.00074005-0.00047386i,0.00020286+0.00037492i,-0.00047584-1.5342e-05i,-0.00048282+0.00013767i,-0.00048316+0.00011285i,-0.00094926-0.00045355i,-0.0011823+6.7796e-05i,-0.0010385+0.00049804i,-0.00042121-0.00039324i,0.00033586-0.00087683i
-0.001973-0.00028117i,-0.0027464-0.0016625i,-0.0026523-0.0018255i,-0.0018448-0.0011555i,-0.0011459-0.00016452i,-0.00051158+0.0011915i,9.9589e-05+0.0018566i,0.0003276+0.00059457i,6.5573e-05-0.00047992i,-0.00012318+0.00049962i,6.4634e-05+0.0014511i,-0.00032817+0.0012741i,-0.00081232+0.00097414i,-0.00050631+0.0002085i,0.00035765-0.00026112i,-3.0019e-05+0.00045418i,-0.00014311+0.00044909i,0.00040228-0.00018834i,0.00028685+0.00025743i,0.000326+0.00030921i,0.00032999-0.00010912i,-0.00020046-0.00033747i,-0.00066268+0.00011698i
-0.001037+0.0017319i,-0.0014125+0.00096916i,-0.00088657-0.00022632i,9.6617e-05-0.00061155i,0.00080915-0.000561i,0.00092318-0.00050198i,0.00041655+0.00011489i,0.00056677+0.00048915i,0.00078158+0.00055701i,0.00029706+0.00095771i,5.8844e-05+0.00094752i,0.00033916+0.00017942i,0.00034811-0.00088832i,-8.8384e-06-0.0012369i,4.9109e-05-0.00078186i,0.00026777-0.00089762i,-2.999e-05-0.00045907i,-0.00087792+0.00064486i,-0.0015127+0.00049632i,-0.0013592-2.3852e-05i,-0.00093593+0.00024213i,-0.00089359+5.6747e-05i,-0.00049363-0.00054503i
-0.001575-0.00017572i,-0.00088286+0.00039334i,-0.00013673+0.00043052i,0.00026191-1.2165e-05i,0.00046562+0.0008039i,0.0012298+0.0012531i,0.0016086+0.00072923i,0.0011512+0.00041126i,0.00071431+0.00026136i,0.00012023+0.00038645i,0.00068325+0.00040993i,0.00080233-0.00035072i,-0.00089129-3.7333e-05i,-0.0013454+0.0010659i,2.16e-05+0.00093574i,0.00092373+8.9484e-05i,0.00026387-0.00040507i,-0.00053829-0.00038311i,-0.0010166+0.00060779i,-0.00067683+0.0012113i,-0.00076564+0.00025301i,-0.00091481-0.00074466i,-0.00047876+0.0001193i
0.001492-0.0035425i,0.00040138-0.0041842i,-0.00060669-0.0038588i,-0.0011718-0.0012738i,-0.00069813+0.0017469i,0.00027576+0.0028572i,0.0015423+0.00186i,0.0014456+0.00018939i,0.00024984-0.00078243i,-0.00043005-8.1367e-05i,0.00072052+0.00080067i,0.0016355+0.00096427i,0.00074903+0.0013851i,-5.2856e-05+0.0025263i,-0.00011614+0.0032752i,3.1694e-05+0.0020355i,0.00038029+0.00062882i,0.00092994-0.00012233i,0.0010564-0.00013565i,0.00047322-8.4108e-05i,0.00039049-3.5125e-05i,0.00019505+0.00028127i,0.00027552+0.00051468i
