-0.00036238+0.00061427i,6.827e-05-0.00026691i,-9.6587e-05-0.00023956i,0.00021364-0.0006657i,0.00011186-0.00087492i,-0.00029923+0.00022009i,-0.00041665+0.00058672i,-0.00038747+0.0011885i,0.00013234+0.0015547i,0.0010645+0.00072371i,0.0010849-6.4572e-05i,0.00080613-0.00062849i,0.00069498-0.00050723i,-0.00046276+0.00022099i,-0.00065655+0.00013603i,0.00048388+0.00027631i,0.00066439+0.00046307i,0.0005963+0.00015417i,0.00064515+0.00087008i,0.00046549+0.001081i,-0.00022833+0.00012809i,-0.00014265-0.00025592i,0.00021156-0.00047931i
-0.00053957+0.0013101i,-0.00093789+0.00074417i,-0.00030464+0.00046454i,-9.4496e-05+0.00056685i,-0.00076078+0.00069954i,-0.00061734+0.00033384i,-0.00053771+6.9292e-05i,-0.00038734+0.00038682i,0.00090889+0.001023i,0.0016118+0.00093216i,0.000876+0.00064732i,0.00024118+1.4973e-05i,0.00081715-0.00046742i,0.00087761-0.001115i,0.00038904-0.0018102i,0.0003974-0.0017094i,-5.1488e-05-0.0013212i,-0.00018976-0.00059305i,0.00024976+0.00038121i,-1.7481e-05+0.00056102i,-0.00024689+0.00042832i,-0.0003339+0.00032883i,0.00011487-0.00022644i
-0.0017067+0.0013009i,-0.0013027+0.0020863i,-0.0016712+0.0013613i,-0.0014035+0.00081525i,3.5357e-05+0.00072882i,0.00083323-0.00025582i,0.00024775-0.0010338i,-0.00027188-0.00064568i,0.00038295+0.00020487i,0.00084752+0.00062506i,0.00034596+0.00055716i,0.00076468+0.00037212i,0.00053783+0.00036277i,-0.00060556+0.00052771i,-0.00082322+0.00018166i,-3.1159e-05+0.00039361i,0.00066094+0.00047986i,0.0003711+0.0003711i,-0.00027895+0.00059107i,-0.00045345+0.00015105i,-0.00043181-4.5846e-05i,-0.00068709+0.00043789i,-0.00065161+0.00017206i
-0.0020858-0.00015029i,-0.0017185+0.0004374i,-0.001636+0.0012119i,-0.00015411+0.0013976i,0.0010787+0.0013335i,0.00077633+0.00019279i,-0.00012567-0.00082325i,-0.00045093-0.00049382i,-9.571e-05+0.00060895i,0.00065157+0.00088864i,0.001074-3.713e-05i,0.0014509-0.0010526i,0.0015577-0.0013372i,0.0010226-0.00090325i,0.00043206+1.119e-06i,0.0005745+0.00043482i,0.00050753+0.00043292i,0.00056248-0.00020958i,0.00042157-0.00029726i,-0.00034845+0.00066429i,-0.0002549+0.00085131i,0.00025696+0.00059397i,0.00050951+0.0011782i
-0.00080502+4.4619e-05i,-0.00056281-1.7092e-05i,-0.00079127+0.0014275i,-0.000993+0.0011706i,-7.1125e-05-0.00017026i,0.00028652+0.00025976i,-0.00016079+0.0007654i,-0.00021631+0.00048842i,0.00036032+0.00032955i,0.00091156+2.0476e-05i,0.00046583-0.00029027i,0.00019692-0.00028196i,0.00059747+0.00036716i,0.00033962+0.000726i,-0.0004139+0.00029468i,0.00021049+0.00022738i,0.00080338-0.0003134i,0.00011456-0.00041685i,-0.00044777-0.00020633i,-0.0005586-0.00041198i,2.6635e-05-0.00037221i,0.00057469+5.1187e-05i,0.00016934+0.00045298i
-0.00026559-9.904e-05i,-0.00067563+0.00061236i,-2.4446e-05+0.0010512i,0.00037526+0.00030203i,-7.8182e-06-0.00093301i,-7.5891e-05-0.0016947i,7.5992e-05-0.00087721i,0.0005013+0.00016467i,0.00067357+0.00039242i,0.0010088+0.00083621i,0.0010484+0.00047168i,0.00042205-0.00013899i,9.2636e-05-7.179e-05i,0.00032759-0.00032663i,0.00013929-0.00022922i,-2.9622e-05-0.00026243i,0.0008285-0.00034799i,0.00058039-0.00013901i,-2.5879e-06-0.00028731i,0.00051781-3.0587e-05i,0.0009134+0.00012927i,0.00067091+0.00011086i,-0.00021378-0.00035526i
0.0014693+0.00029707i,0.0014042+0.0013661i,0.0011386+0.00082093i,0.00074351-6.7884e-06i,0.00045893-0.00047328i,0.00031129-0.00055864i,-0.00026929+0.00032618i,-0.00039996+0.0015109i,0.00086746+0.001713i,0.0014768+0.00043412i,0.00058278-7.2023e-05i,0.00010411-0.0001407i,-7.5093e-05-0.00027048i,-0.00010396-0.00012146i,-0.00065707+0.00042274i,-0.0011837+1.7883e-05i,-0.00028457-0.00024774i,0.00038136+0.0003753i,0.00030077+0.00092484i,0.0008328+0.00090288i,0.0009745+0.00092315i,0.00067661+0.00045585i,0.00044819+0.00021417i
-0.00094526-0.0012873i,-0.0012508-0.0014895i,-0.0011818-0.0017297i,-0.00061603-0.0013287i,-0.00036041-0.0011849i,0.00012651-0.0010624i,0.00068576-0.00071715i,0.000458+0.00031248i,0.00099352+0.0013906i,0.0013387+0.001216i,-0.00016942+0.00066059i,0.00017324-0.00010571i,0.00074821-0.00074177i,1.8249e-05-0.0011503i,6.5108e-05-0.00051664i,-0.00014409+0.00079904i,-0.00037853+0.0013104i,-0.00046339+0.0011452i,-0.00028141+0.00023001i,0.00021584+0.00013019i,0.00068849+0.0002217i,0.00079183+0.00051392i,0.00078298+0.00091094i
0.0021157-0.00043011i,0.0021964+8.2124e-05i,0.0016604+0.00013577i,0.00070343+0.00044438i,0.00015657+0.00070646i,0.0002802+0.00096065i,0.00081814+0.0010075i,0.00066597+0.00066159i,0.00011656-0.00016574i,0.00011161-7.8557e-05i,0.00030128+0.00037376i,0.00082521+0.00022823i,0.00053857-0.00057052i,-0.00039656-0.0013442i,-0.00092936-0.0011487i,-0.0005618-0.00048989i,-0.00025032-0.00051829i,-0.00029104-7.5068e-06i,-0.00022563+0.00022627i,0.00030749-0.00023295i,0.00043476-0.00015237i,0.00050144-3.6716e-07i,0.00050819+4.6028e-05i
-0.0024432-0.00074434i,-0.0030863-0.00033476i,-0.0025165+0.00025947i,-0.0015871+0.00036311i,-0.00032338-0.00023872i,0.00034233-0.00047648i,0.00045285-0.00061365i,0.00070919+0.00029874i,0.00058978+0.0009994i,0.001083+0.000647i,0.00076549+0.0001233i,0.00061324-0.0003495i,0.00090573-0.00026448i,0.00066323+0.00020169i,0.0003372+0.00040716i,0.00025132+0.00058698i,0.00072604+0.00043981i,0.00031834+0.00022729i,-0.00014735-5.2624e-05i,0.00028936-0.00031226i,0.00026981+0.00013614i,0.00036947+0.00043834i,0.0007297+7.3691e-05i
0.0020675+0.0013579i,0.0013871+0.0013707i,0.00078007+0.00093666i,0.00011413-0.00032289i,0.00050553-0.00085342i,0.00022894-0.00059096i,-0.00025628+0.00045625i,-0.0002678+0.0013115i,2.8614e-05+0.0013732i,0.0013488+0.00066131i,0.0021423-0.00019662i,0.0015037-0.00075034i,0.0010284-0.00037252i,0.0002909+0.00014568i,-0.00043112+0.00040344i,-0.00043319+5.3189e-05i,4.0925e-05-0.00062873i,-3.4323e-05+9.827e-05i,-0.00040182+0.00089359i,0.00055694+0.0011027i,0.001177+0.00069576i,0.00080491+6.2089e-05i,-4.1187e-05-0.00047416i
