-0.00092034+0.00075824i,0.000156-0.00063028i,0.00036104-0.0011773i,-0.00058963-0.001273i,-0.0017846-0.00018757i,-0.0022127+0.0010416i,-0.00056163+0.0011033i,0.0011744+0.001089i,0.0015389-4.7213e-06i,0.0010667-0.00094111i,0.00014543-0.00080061i,-0.00013155-0.00062933i,0.00054841-0.00025409i,0.00091125-0.00030018i,0.00043854-0.00047217i,0.00013602-0.00055241i,0.00041948-0.00041138i,0.00080968+0.00024294i,0.00064397+0.0003126i,7.4984e-05-0.00058805i,-0.00013906-0.00062047i,-0.00070197-1.1848e-05i,-0.00073148-7.7857e-05i
-0.00050291-0.0020518i,6.8536e-05-0.001835i,0.00018944-0.00070589i,0.00062259+0.00040038i,0.00057877+3.1461e-05i,0.00058721-0.000513i,0.0013431-0.0005933i,0.0017479-0.0003238i,0.0012672+0.0003684i,0.00054347+0.00059824i,-0.0004501+0.00026451i,-0.00076927-0.00051905i,0.00016764-0.0010622i,0.00031065-0.00070148i,0.00039749+2.0523e-05i,0.00078701-0.00010537i,0.0004894-0.00070047i,-3.3521e-05-0.0003687i,-0.00047422+2.8656e-06i,-9.0355e-05-2.222e-05i,0.00018727-0.00022224i,-0.00055417-0.00045589i,-0.001256-0.0005001i
0.00055514+0.00030302i,2.6575e-05+0.00040947i,0.00079841+0.0013787i,0.00067542+0.0010383i,0.00027077+0.00013198i,0.00038544-0.0001573i,0.00078978-0.00028436i,0.00096576+0.00010279i,0.00035859+1.3995e-06i,-0.00028831-0.00013806i,-0.00044139-0.00031296i,2.6062e-06-0.0002324i,0.00044655-0.00037335i,3.5412e-05-0.00076142i,8.6756e-05-0.00038943i,-0.00021134-0.00021187i,-0.00054383-0.00030448i,-0.00015177-0.00011758i,-0.0010103-5.6595e-05i,-0.0014807-0.00038319i,-0.0008248-0.00066275i,-0.00063479-0.00055767i,-0.00048395-0.00062791i
0.00063767+0.0014613i,0.0010869-8.0494e-05i,0.00080018-2.4685e-05i,0.00065601+0.00062325i,0.00094881+1.3991e-05i,0.00089643-0.00019872i,0.001184-0.00059277i,0.00058656-0.001416i,-0.00044121-0.00095921i,-0.00066595-0.00047604i,-0.00060877-0.00084967i,-0.00052449-0.00096098i,0.00022661-0.00048454i,0.00053533-0.00010813i,1.4101e-05-0.00017558i,-0.00028673-0.00040521i,0.00028663+0.00031987i,0.00014855+0.00056337i,-0.00026891+0.00024321i,-0.00017455+0.00046418i,-0.00045302+0.00064903i,-0.00052685+0.00049852i,-0.00046989-5.2922e-05i
-3.1568e-05-1.5063e-05i,-0.00023884-0.00046405i,-4.709e-05-0.00052068i,0.00082733+0.00061203i,0.00099215+0.001341i,0.00069283+0.00096552i,0.00060301-0.00019203i,0.0010933-0.0010608i,0.0011074-0.0010806i,0.00055983-0.00072107i,-0.00010611+0.00014682i,-0.00067255+0.00080995i,-0.00013846+0.00027059i,0.00035599-0.00013911i,-0.00054288-0.00037669i,-0.0004774-0.00044052i,0.00027904-0.00014546i,0.00080794-0.0001928i,0.00085794-0.00072394i,0.0003318-0.00035235i,4.0083e-05+0.00017708i,-0.00012745-4.8759e-06i,-0.00031307+0.00023589i
-0.0012152+0.0014659i,-0.0016427+0.0025001i,-0.0023501+0.0031716i,-0.0010999+0.0029399i,-1.6031e-05+0.0017691i,0.00030741+0.00070411i,0.00045135-0.00015992i,0.00042042-0.00044429i,-0.00013182-6.146e-05i,-0.00016366-2.6961e-05i,0.00024712+0.00027403i,0.00011082+0.00066493i,0.00028677+0.00044437i,0.00093918-0.00033511i,0.0011267-0.00053635i,0.00037277-0.00030594i,-0.0002647-0.00010735i,-0.00047765+0.00030668i,-0.0010025-0.00022405i,-0.0012518-0.00094909i,-0.00066067-0.0010773i,3.2741e-05-0.00042825i,-3.9393e-05-0.00040556i
-0.00028896+0.0012193i,-0.00020132+0.0012479i,8.3006e-06+0.00074301i,-8.6393e-05+0.00045741i,-0.00022758+0.00022786i,8.3561e-05-0.00068936i,0.00032195-0.0013014i,0.00017037-0.00092528i,0.0003788-0.00036844i,-0.00031367-0.00040511i,-0.00079522-0.00026914i,-0.00046952+0.00046998i,-0.00052755+0.00045841i,0.00026191-0.00018177i,0.00086066-0.00050269i,0.00042581-0.00015961i,-0.00032489+0.00020783i,-0.00037158+0.00055558i,-0.00022924+0.00025803i,0.00045567+0.0002501i,0.00059558+0.0011886i,-0.00016753+0.0012879i,-0.00028117+0.0012362i
0.00011342-0.00027327i,-0.00090745-0.00082301i,-0.0010273-0.00040367i,-0.0011231+0.0016884i,-0.00028449+0.0020863i,0.0012958+0.00087565i,0.0011761-0.00021739i,0.00042926-0.0010702i,0.00063252-0.0012545i,0.0011085-0.00083681i,0.0010063-0.00024137i,7.6417e-05+0.00054628i,-0.0005208+0.00074205i,8.2895e-05+0.0002229i,0.0001175+2.0574e-05i,-5.7154e-05+0.00035495i,0.00010601-1.6944e-05i,0.00091378-9.8204e-05i,0.00098411+0.0002346i,-0.00034196-0.00011983i,-0.0009973-0.00018008i,-0.00074749+0.00021042i,-0.00059988-0.00011092i
0.00024776+0.0010503i,0.00019738+0.0022916i,0.0002061+0.0026123i,0.00045719+0.002303i,0.00091696+0.001389i,0.0014612+0.00033014i,0.001645-0.00013117i,0.00093032-0.00039655i,-0.00010798-0.00055937i,-0.0013614-0.00057731i,-0.001682+0.00011219i,-0.00083623+0.00065753i,-0.00020042+0.00036782i,0.00034961+0.00053411i,0.0011434+0.00063795i,0.0010548+0.00030691i,0.00044092-0.00023883i,0.00060868-0.00039416i,0.00047965+0.00030272i,0.00026795-5.9711e-05i,0.00049268-0.00083684i,0.00050338-0.00060303i,0.00049715+0.00070627i
-0.0022769-0.00089336i,-0.0030672-0.0019608i,-0.0028579-0.0029068i,-0.0018833-0.0015806i,-0.0016826+0.00041622i,-0.00065153+0.00091971i,0.00089961+0.00051375i,0.00076003+7.2092e-05i,0.0002111-0.00051626i,-8.2124e-05-0.00017067i,-0.0004328+0.00027754i,-0.0003982+0.0004749i,-0.00022066+0.00016964i,0.00018024+0.00016203i,0.00010348+0.00094686i,-0.00029363+0.0011218i,-0.00082214+0.00012488i,-0.0013765-0.00043884i,-0.0012801-0.0004949i,-0.0011973-0.00048949i,-0.0011686-0.00024452i,-0.0005712-0.00054694i,-0.00022964-0.00064371i
0.0012128+0.0014321i,0.0017448+0.0013643i,0.0024025+0.00069616i,0.0025732+0.00048318i,0.0020538-0.0005479i,0.00096991-0.0012178i,0.00091915-0.0010005i,0.0011031-0.00044143i,0.00066948-4.271e-05i,0.00062572-6.7719e-05i,0.00050152+0.00026667i,0.00014543+0.0011342i,-6.1593e-05+0.0012832i,-0.00018757+0.00061164i,-0.00023065-0.00020643i,-7.745e-05-0.00054899i,9.7678e-05-0.00044755i,-0.00048167+2.16e-05i,-0.00091759-9.6551e-07i,-0.00038807-0.0004336i,0.00014953-0.00036574i,0.00015114-0.00038913i,0.00019186-0.00039922i
