-0.002238+0.00024456i,-0.0010921-0.00083498i,9.6502e-05-8.7218e-05i,0.0002185+0.00053499i,-0.00052352+0.001036i,-0.00053221+0.0010329i,0.00088925+0.00058597i,0.0020145+0.00063118i,0.0017194+1.1209e-05i,0.00070859-0.00041058i,-0.00017898+0.00019812i,-0.0016556+0.00044553i,-0.0014871+0.00081558i,-8.7391e-05+0.00071608i,0.00036763+0.00030823i,0.00064449+0.00083867i,0.00021958+0.00060158i,0.00028669+0.00013676i,0.0010812+6.7816e-05i,0.0005072-0.00015103i,1.8098e-05+8.5689e-05i,0.00016942+0.00038271i,-0.00018572+0.00036976i
0.0016741+0.00065232i,0.0014919+0.0010189i,0.0018388+0.0020653i,0.0024071+0.001745i,0.0016041+0.0009682i,0.00056043+0.00045711i,0.00030962+0.00013561i,0.00011835-0.00016421i,-0.00015687-0.00098099i,-0.00021502-0.00057408i,-1.2396e-05+0.00030871i,-0.00014508-6.9891e-05i,0.0002358-0.0004078i,0.00052166-0.00010255i,0.00037611+0.00051978i,0.00042366+0.00083621i,0.00072857+0.00068082i,0.00064834+0.00065306i,0.00055866+6.9377e-05i,0.00019993-0.00068827i,-0.0004174-0.00028252i,-0.00079906+0.00046415i,-0.00047806-0.00011601i
-0.0022037-0.0011477i,-0.0017577-0.0012108i,-0.0017423-0.0011084i,-0.00089248-0.0010514i,0.0008269-0.00025348i,0.0019207+0.00061887i,0.0017166+1.7893e-05i,0.0012063-0.00081284i,0.0010241-0.0011174i,0.00019881-0.00067166i,-0.00025037-2.2784e-05i,-0.00026083-0.0002094i,-0.00062142-0.00014659i,-0.00097049+0.00018364i,-0.00057199+0.0011039i,-0.00022554+0.0013717i,-0.00023432+0.00050098i,-0.00019555-0.00010474i,0.00014963-0.00038924i,0.00013197-0.0003458i,-0.00052721-0.00021788i,-0.00056036-0.00033869i,-0.00031331-0.0005676i
0.00040416+0.00058096i,0.00014091+0.0011821i,-0.0010637+0.0018772i,-0.001045+0.0016923i,0.00056492+0.0016662i,0.0012953+0.0014434i,0.0010405+0.00016751i,0.0010628-0.00086907i,8.9847e-05-0.0003374i,-0.00042562+0.0005855i,0.00011299+0.00065515i,-5.7899e-05-2.0682e-05i,-0.00042431-0.00034197i,-0.000844+0.00045562i,-0.0004995+0.00096579i,0.00054238+0.0011699i,0.0011784+0.0010491i,0.00067213-0.0001455i,4.4123e-05-0.0010085i,5.1537e-05-0.00054626i,-6.1863e-05-0.00022482i,0.00019004-1.471e-05i,0.00059936-0.0004918i
0.0012145+0.0016988i,0.00077591+0.0025541i,0.0013214+0.0035232i,0.0014046+0.0032725i,0.0011586+0.002359i,0.0015103+0.0014516i,0.0012058+9.4199e-05i,0.00057986-0.0011958i,0.00050915-0.0013543i,0.00058648-0.00063688i,0.00060192-0.00076413i,0.00058479-0.0014197i,0.00075825-0.00052636i,0.00052099+0.00032939i,0.00035599+0.00035162i,0.000538+0.00067573i,0.00038235-7.2759e-05i,0.00059994-0.00099902i,0.00092249-0.00046854i,0.0012184+0.00035308i,0.00097968+0.00067847i,0.00034252+0.00066026i,0.00027422+0.00035002i
0.00068016-0.0028899i,0.00058918-0.0032733i,0.00049393-0.002527i,-0.00054669-0.0014617i,-0.0003002-0.00046565i,0.00019871+0.00038782i,-6.9095e-05-0.00038912i,0.00011832-0.0011618i,-0.00018553-0.00069315i,-0.0010501+0.00031255i,-0.0012567+0.00032631i,-0.0015573-0.00040734i,-0.0018782-0.00041782i,-0.0010935+0.00053804i,-0.00044318+0.0016487i,-0.00071765+0.0016934i,-0.00022891+0.00095571i,0.00066242-0.00013371i,0.0010521-0.00098954i,0.00079252-0.00089866i,-0.00055882+8.7661e-05i,-0.0017423+0.00028738i,-0.0010434+0.00028005i
0.0001003+0.0010498i,0.0010647+0.00057996i,0.0013464+0.00060793i,0.0011558-0.00012669i,0.0015638-0.00078706i,0.0019213-0.00095815i,0.002206-0.0008215i,0.0014834-0.00047002i,0.00059763-0.00070902i,0.00026999-0.00070781i,0.00051489-0.00015028i,0.00020295-3.0657e-06i,-0.00017232+0.00028576i,0.00021607-7.8186e-05i,0.00052787-0.00014123i,0.00028369+0.00080847i,-0.00012693+0.00088896i,0.00067223+0.00043012i,0.0012846-0.00028393i,0.00047931-0.00041304i,-0.00023813+0.0001642i,-4.4075e-05+0.00028114i,0.00021378+9.4518e-05i
0.0011704+0.00098257i,0.001684+0.0015481i,0.0023831+0.0019809i,0.0022237+0.0011528i,0.00083998+0.00039828i,0.00078574+0.00047233i,0.0011182+8.9996e-07i,0.0011425-0.00087038i,0.0008113-0.001034i,0.00034877-0.00021055i,-7.3604e-05+0.00021404i,-0.00015575+5.002e-05i,0.00068255-0.00014835i,0.00045421+7.5981e-05i,0.00014026+0.00025267i,0.00049317-1.6124e-05i,0.00011962+0.0003696i,-5.7621e-05+0.0005686i,0.00064462+0.00070512i,0.0011193+0.00082667i,0.00097728+0.00068973i,0.00084948+0.00032513i,0.00063423-0.0001707i
-0.00037209-0.00047491i,-0.00080847-0.00098792i,-0.0015834-0.00028594i,-0.0018888+0.0010544i,-0.0012901+0.0018029i,-9.1777e-05+0.001127i,0.00094317+5.5306e-05i,0.0012089-0.00065409i,0.00013942-0.0005589i,-0.00022883+0.00054279i,-0.00026898+0.00056026i,-0.0010319-0.00037465i,-0.00066634-0.0015384i,-8.9995e-05-0.0010722i,-0.00042456+0.00049206i,0.00013543+0.00078636i,0.00057541-0.0003035i,0.00087161-0.0010404i,0.001062-0.00049811i,5.2992e-05+0.0001723i,-0.0002307+0.0008362i,0.00035838+0.0011985i,0.00031825+0.00049153i
-5.3996e-05-0.00022167i,0.00084299-0.00030001i,0.00081602-0.0011267i,0.00085961-0.0017727i,0.0013081-0.0016723i,0.0013004-0.0013236i,0.0014784-0.00092742i,0.0016312-0.00057378i,0.0018038+0.00017812i,0.0013284+0.00040676i,0.00036479+0.00054091i,-0.00017717+0.00050572i,-0.00028024+0.00060466i,-0.00038638+0.0009624i,-0.00060404+5.2781e-05i,0.00016417-0.00042284i,0.00087554-0.00021393i,0.00038663-8.5276e-06i,-0.00031665+3.6483e-05i,-0.00063934-0.00044109i,-0.00039438-0.00080438i,-0.000501-0.00053062i,-0.00019015-0.00018884i
-0.0004916+0.00066862i,-0.0013043+0.0015023i,-0.00068361+0.0011851i,0.00099838+0.00026945i,0.0019221+0.00011248i,0.0020077+0.0011107i,0.0017273+0.00071037i,0.00064494-0.00040975i,-6.2844e-05-0.00038422i,-0.00034344+3.3011e-05i,-0.00026692+5.4281e-05i,-0.00018315+0.00017945i,-0.0003281+0.00032186i,-0.00012965+0.0005435i,0.00028334+0.0011469i,0.00050309+0.0010344i,0.00038894+0.00015402i,0.00032659-0.00012948i,0.00029924-0.00030775i,-0.00027725-0.00043244i,-0.0012812+8.9784e-05i,-0.0016615+0.0003536i,-0.0011674-0.00017873i
