-0.0020509-0.0013548i,-0.0014161-0.0018294i,-0.0032248-0.001044i,-0.003533-0.00051674i,-0.0023223+0.00088332i,-0.0017406+0.0027216i,-0.0018632+0.0027731i,-0.0013773+0.0020717i,-0.00014062+0.0022164i,0.00054134+0.0017764i,0.00060449+0.00017764i,0.00031107-0.00069284i,-0.00069778-0.00010099i,-0.0016346+0.00028939i,-0.0015935-0.0001762i,-0.0011252+3.5903e-05i,8.8215e-05+8.9518e-05i,0.0011414+0.00031326i,0.00066241+0.00067055i,0.00012643+0.00097452i,8.0636e-05+0.00057582i,0.00010706-0.0004673i,0.00041289+3.2911e-05i
-7.4931e-05+0.0010534i,0.00016827+0.00054367i,-0.00013341-2.7145e-05i,-5.4287e-05-0.00073643i,-0.00020449-4.7251e-05i,-0.00023883+0.00086654i,0.00052274+0.00050579i,0.00066391+0.00032968i,-0.00044695+0.00046233i,-0.00092706+0.00029156i,-0.00053794-0.00057441i,-0.00055345-0.0010758i,-0.0005764-0.00067752i,1.5325e-05-0.00022059i,0.00022285-0.00030418i,-0.00015667+0.00014607i,-0.00013437+0.00060535i,-0.00064009+0.0004796i,-0.0011926+0.0001347i,-0.00052601-0.00048482i,0.00017244-0.00086251i,0.00059087-0.00074754i,0.00054381-5.7388e-05i
0.0010831+0.0015318i,0.0012787+0.0026761i,0.0020634+0.002394i,0.0021446+0.00082923i,0.0012848+0.0002184i,-0.00045072+0.00039153i,-0.00077578+0.00094403i,5.2153e-05+0.001158i,0.0009845+0.00068835i,0.00085568-2.9064e-06i,-0.00015737-0.00090438i,-0.00025746-0.0007654i,-0.00046369-4.1715e-05i,-0.0005352-0.00051242i,-0.00016065-0.0007669i,-0.00036881-0.00022849i,-0.00033333+0.00046042i,-0.00051413+0.0010198i,-0.00069584+0.0010703i,-0.00026608+0.00095212i,0.00028326+0.00041156i,0.00062649-0.00033294i,-0.00040907-8.4171e-05i
1.2959e-05-0.0011614i,3.4e-05-0.0019449i,-0.0007535-0.0017488i,-0.0015084-0.00045371i,-0.0012285+0.00042676i,-0.00037613+0.00083909i,8.6582e-06+0.00051004i,-0.0010061+0.00021534i,-0.00079814+1.9103e-05i,-2.5559e-05+0.00024852i,-0.00080069-5.2926e-05i,-0.0012551-0.00082761i,-0.00080464-0.00098569i,-0.00036783-0.00049574i,-9.2491e-05+3.6672e-05i,-0.00049852-0.0002733i,-0.00069515-0.00049009i,-3.7426e-05-4.6186e-05i,8.0677e-05+0.00072165i,-0.00097901+9.6575e-05i,-0.0013407-0.00053364i,-0.00065928-0.00091313i,-0.00058441-0.001178i
0.001649-0.0013746i,0.00049097-0.0023359i,-9.8172e-05-0.0037153i,-0.0012355-0.002552i,-0.0025194-0.00055363i,-0.0024155+0.00048615i,-0.0018145+0.00030308i,-0.0011408+0.00034959i,-0.00044883-8.9491e-05i,-0.00081994-0.0013348i,-0.0014011-0.0016024i,-0.00035234-0.0013727i,0.00041269-0.00084123i,0.00021787-0.00015789i,-0.00015444-0.00063096i,-0.00058778-0.00090253i,-0.00062504-0.00062238i,-0.00034781-0.00039793i,-0.00041561+8.0549e-05i,-0.0007213+0.00031085i,-0.00054769+0.00044541i,-5.5132e-05+7.6566e-05i,0.00058762+9.7708e-07i
-0.00041643-0.0011188i,-0.00078897-0.00064225i,-0.0013053+0.00012189i,-0.00116-0.00016032i,-0.0010328-0.00019588i,-0.0010145+0.0010838i,-0.00087004+0.0016923i,-0.00090977+0.00067053i,-0.0010216+0.00050129i,-0.00080954+0.00074528i,-0.0007307+0.00038351i,-0.0013848-0.00044997i,-0.0018701-0.00088884i,-0.0014797+3.8143e-05i,-0.00089246+0.00079974i,-0.00092292+0.00021221i,-0.0010851+3.3012e-05i,-0.00057598+3.7599e-06i,-0.00064987-0.00082589i,-0.00087848-0.00078925i,-0.00032017+3.6724e-05i,0.0008336+0.00061073i,0.0011364+3.3577e-05i
0.00031553-0.00091982i,-0.00045366-0.00099163i,-0.00047837-0.001361i,-0.00091477-0.0013511i,-0.0014251-0.00060625i,-0.00079735+0.00064333i,-0.0010424+0.00072931i,-0.0014905+6.7708e-05i,-0.00088332+8.0657e-05i,-0.00041612-2.9125e-05i,-0.00071396-0.00034342i,-0.00075677-0.0011249i,-2.9686e-05-0.0012532i,-0.00044697-0.00068944i,-0.0009988-6.9612e-05i,-0.00086286+0.00022847i,-0.00064549+0.0003056i,-0.00027578+0.00045106i,-0.00047666+0.00051161i,-0.0011366+0.00039274i,-0.001105+0.0003347i,-0.00066334-0.00022543i,-0.00075369-0.00035359i
-0.0021807+0.001729i,-0.0010893+0.00085107i,-0.00049233+0.00044138i,4.2008e-05+0.0015203i,3.737e-05+0.0022426i,-0.00047994+0.0013417i,-0.00025578+0.00058734i,0.00029713+0.00052388i,0.00018733+0.00027838i,0.00043268-8.1911e-05i,0.00027294-0.00078783i,-0.00064358-0.0011852i,-0.00065721-0.00052656i,-0.00014304+0.00048449i,0.00022546+8.9891e-05i,0.00014241-0.00056355i,-0.00015703-0.00032678i,-0.00027914+0.00029455i,-0.00021423+0.00057794i,-0.0002234+0.00080968i,-0.00010404+0.00062019i,-0.00027902-0.00034153i,-0.00065743+0.00016067i
-0.00020673-0.0016758i,-0.00037856-0.0011431i,-0.0015495-0.0017908i,-0.0013181-0.0014055i,-0.0010511+0.00028808i,-0.00045967+0.0015i,-0.00047333+0.00088984i,-0.00097374-0.00019245i,-0.0010644-0.00053897i,-0.00076451-0.00036684i,-0.00043452-0.0004354i,0.00018851-0.0012722i,0.00064057-0.0010151i,0.00075463-3.7784e-05i,0.00086106+0.00045906i,9.6536e-05+0.00032113i,-0.00062411+0.00015098i,-0.00025531+0.00035569i,0.00019399-0.00011088i,-0.00029241-6.2921e-05i,-0.00049892+0.00047157i,-2.82e-05+0.00034098i,-0.00021186+0.00010023i
0.00064803-0.00079567i,0.0013182-0.00071227i,0.0014074-0.0010226i,0.00053763-0.00086169i,-4.5232e-05-0.0010775i,-0.00060495-0.00072246i,1.1993e-05-0.00062405i,0.00052173-0.00023241i,-3.2248e-06+0.00019215i,-0.00034041+0.00032591i,-0.00065339+6.0651e-05i,-0.00095051-0.0010019i,-0.00079781-0.0011338i,-6.2383e-05-0.00032063i,0.00024302+0.00031703i,0.00053087+0.0001073i,0.00074751+0.00036008i,0.00054247+0.0010316i,-0.00010714+0.00015822i,-0.00084526-0.00065791i,-0.0007789-0.00067727i,-0.00043374-0.00023425i,-0.00081076+0.00054241i
0.0021043-0.00017894i,0.0012574-0.0014085i,0.00057551-0.001368i,0.00052328-0.00097565i,0.00022792-0.00050662i,-0.00015579+0.00022391i,0.00010681+0.0012066i,0.0003749+0.0010902i,0.00023398+4.0117e-05i,4.7348e-05-0.00060538i,0.00039587-0.00099712i,-7.0141e-05-0.0010527i,-0.00049586-0.0004784i,-0.00050438+0.00016916i,-0.00061438+0.00054509i,-0.0003857+0.00060351i,0.00011277+0.00076442i,-8.2808e-05+0.00036559i,-0.00056349-7.051e-05i,-0.00086622+3.065e-05i,-0.00040496+0.00010963i,-6.7912e-05+0.00020352i,-3.0321e-05+0.00018637i
-0.0012752+0.0017263i,-0.0016434+0.0020845i,-0.00194+0.0025958i,-0.0014794+0.0027404i,-0.0016344+0.0021784i,-0.001828+0.00088891i,-0.00073154+0.00093277i,4.4954e-06+0.001124i,-8.2644e-05-0.0001281i,-3.2362e-05-0.00096907i,0.00011702-0.0014593i,7.9928e-05-0.0014755i,-0.00043445-0.00092008i,-0.0008764-0.0007808i,-0.001222-0.0004839i,-0.0013763-0.00017169i,-0.00071164+0.00024843i,0.00032359+0.00062526i,0.00061251+6.4615e-05i,0.00014204-0.00043488i,0.00034487-0.00061255i,0.00079295-0.00072682i,0.00084568-0.0001195i
