-0.0092161-0.00026578i,-0.0096869-0.00036011i,-0.0080899+0.0032637i,-0.0026229+0.0054655i,0.0025228+0.0057117i,0.0026797+0.0031321i,0.00028978+0.00098215i,0.00033869+0.0014307i,0.001303+0.0021868i,0.0018137+0.0019245i,0.001895+0.00051357i,0.0017151-0.00049117i,0.0014958-0.0015022i,0.00091626-0.0015106i,0.00038581-0.0010806i,-0.00042773-0.0005222i,-0.00060676-2.6276e-05i,-0.00011957+0.00034117i,-0.00036722+0.00042675i,-0.00052711+0.00014248i,-0.00078683-0.00038376i,-0.0015003-0.00056775i,-0.0011179+0.00014581i
0.001273-0.0014569i,0.0012134-0.0021231i,-0.00038489-0.00058511i,-0.0008028+0.0010439i,7.0443e-05+0.0018965i,0.00022124+0.0019188i,0.00017429+0.0013029i,-0.00067916+0.00065421i,-0.00053606-0.00013347i,0.00067805-9.6279e-05i,0.0010516-2.4135e-06i,0.00074352-0.00047233i,0.000698-0.0010742i,0.00097651-0.00037606i,-7.4025e-05+0.00066317i,-0.00072819+0.00050063i,-0.0001613-0.0001252i,0.0003211-6.2154e-05i,-1.4968e-05+0.00052169i,-0.00020725+0.00027615i,0.00024294-0.00028546i,0.00019242-0.00063832i,0.00011441-0.0003307i
0.00095508-0.00011266i,0.001822+0.00045006i,0.0015701+0.00031849i,0.0013541+0.00029954i,0.0011488+0.00067065i,0.00096844+0.00098985i,0.00087894+0.0013491i,0.00080775+0.0012634i,0.00077342+0.00032653i,0.00055086-5.3549e-06i,-0.00029954-0.00023433i,-0.0004643+9.253e-05i,-5.7888e-05+0.00046607i,-0.000344+0.00013214i,1.3259e-05+0.00029217i,0.00052191+0.00047299i,-3.1038e-05-0.00018027i,0.00029152-0.00088474i,0.00054362-0.0016808i,0.00035682-0.001316i,0.00023882-0.00021687i,-3.9923e-05-3.0233e-05i,0.00010586-0.00023368i
0.00049183+0.00078903i,0.0011151+0.00073515i,0.001869+0.00016055i,0.0012202+0.0002195i,0.0001305+0.00043569i,-0.00026624+0.00084274i,-0.00029467+0.00047884i,-0.00038252+0.00047489i,-0.00015197+0.00043032i,-3.5683e-05-0.0003762i,1.1903e-05-0.0014518i,0.00028518-0.0016526i,0.00039558-0.00082715i,0.00053001-0.00040493i,0.00060261-0.00025856i,6.5334e-05-0.00014262i,-9.0661e-05-2.263e-05i,0.00041504+0.00054478i,-0.00038352+0.00045925i,-0.00032853+0.00011911i,0.00017105-0.00017325i,4.9708e-05-0.00025657i,0.00054494-0.00029972i
-0.0015302-0.00075202i,-0.0015247-3.2757e-05i,-0.0016306-0.00011237i,3.2951e-05+0.0012064i,0.0011649+0.0032577i,0.0015286+0.0025812i,0.00085864+0.00078166i,0.0002355+0.00026635i,0.00026826+0.00062623i,0.00057758+0.00080651i,0.0002682+0.00056637i,0.00030704-0.00038172i,2.5521e-05-0.00092648i,-0.00066173-0.0013858i,-0.00098748-0.0014476i,-0.00084031-0.00099472i,-0.00067444-2.3202e-05i,-0.00094314+0.00062334i,-0.0003652-0.00015421i,0.00029126-0.00070988i,0.00029614-0.00047749i,7.4716e-05-0.00028133i,0.00014445-0.00057309i
9.4439e-05-0.00019102i,0.00049081-0.00091031i,0.0014888-0.000305i,0.0014552+0.0001713i,0.00089116+0.00049549i,0.00030524+0.00062917i,0.00012966-9.0413e-05i,0.00051781+0.00027794i,0.00096942+0.0010455i,0.0006466+0.0012998i,-2.2402e-05+0.0010678i,0.00012105+0.0006318i,0.00078281+3.7275e-05i,0.0009382+0.00039016i,0.00051977+0.00093126i,-0.00014319+2.0155e-05i,0.00013349-0.00052268i,0.00017654-0.00054528i,-0.0006418-0.00018745i,-0.0011487+4.6856e-05i,-0.00066912+3.6075e-05i,0.00052641-8.5825e-05i,0.0003071-0.00010348i
0.0022409+0.00016732i,0.0020273-0.00060424i,0.0020819-0.0017838i,0.0015029-0.0010893i,0.00017444+0.00016331i,-9.8704e-05+0.00044081i,-0.00023509+0.0001003i,-0.00028087+0.00020592i,0.00011719+8.1994e-05i,0.00043882+3.3828e-05i,7.6275e-05+0.00092528i,0.00018929+0.00201i,0.00038711+0.002127i,-0.00043759+0.0010373i,-0.00064711+0.00015649i,-0.00025927-0.00020162i,-0.00033412-0.00083435i,-0.00021687-0.00032357i,0.0001976+1.7326e-05i,0.00018601+0.00012219i,-0.00081524+0.0010641i,-0.0013948+0.00060553i,-0.00052706-5.0364e-05i
0.0003498+2.7622e-05i,-0.00025863+0.00073901i,-5.7212e-05-0.00011628i,0.00077634-0.00068244i,0.0012402+0.00064916i,0.0007597+0.0016432i,0.00078547+0.00093679i,0.00031617-6.8732e-05i,0.00042103-0.00026655i,0.00091911-1.2954e-05i,0.00021628-9.8766e-05i,-4.3713e-05-0.00030424i,0.00018482+0.00051282i,-0.00069715+0.00076719i,-0.0010222-1.1499e-05i,-0.00065804+0.00016492i,-0.00062316+0.00079289i,-0.00011693+0.00081813i,5.7227e-05+0.00036406i,0.00010789-5.6095e-05i,8.4751e-05+0.00014164i,-0.00058201+0.00066065i,-0.00078546+0.00010898i
-0.00089999-0.00086494i,-0.00094082-0.00054182i,-0.00055859+0.00069784i,0.00086984+0.001585i,0.0017604+0.001955i,0.0015753+0.0015494i,0.0012309+0.00063643i,0.00057169+0.00046294i,-5.1414e-05+0.00033894i,-0.00027379-3.4394e-05i,0.0001436+0.00022448i,0.00057036+2.5398e-05i,0.00029404-0.00030378i,0.00011815-1.313e-05i,-0.00019902+0.00033932i,-0.00072668+0.00062291i,-0.001501-1.0346e-05i,-0.0015332-0.00056241i,-0.0012406-0.00036218i,-0.00044899+2.0535e-06i,0.00072759+0.00054993i,0.0012051+0.00088905i,0.00016278+0.00089803i
-0.00048275+0.0014161i,0.00062946+0.00057659i,0.00098194+2.2716e-05i,0.0013718+0.00074247i,0.0021206+0.0017161i,0.0026352+0.00057822i,0.0019182+0.00045751i,0.0010296+0.00078115i,0.00054805+0.00088813i,0.00022653+0.0005143i,0.00042874+0.00011064i,0.00012523+0.00061845i,5.5426e-05-4.4685e-06i,0.00015014-0.00011102i,-0.00024529+0.00066221i,-0.00054864+0.0013154i,-0.00028449+0.00082969i,0.00017236-0.00024794i,0.00038598-0.00043761i,9.8934e-05-0.00048147i,-1.4831e-05-0.00048686i,0.00036414-0.0001782i,3.2213e-05-2.1315e-05i
-7.8503e-05+0.00014589i,0.00062824-0.0013247i,0.00040963-0.0017408i,-0.00018487-2.148e-05i,0.00018147+0.0014421i,5.5398e-05+0.0010493i,-0.00027639+0.00084479i,-0.00043521+0.00078505i,-0.00022401-3.1376e-05i,3.4834e-05-0.00047021i,-0.00042834-0.00018328i,-0.00022967-0.00042729i,0.00045514-0.00056134i,0.00096064-0.00017594i,0.0015942-0.00015785i,0.0011252-0.00033583i,0.00011505-0.00038298i,0.00010108-0.00034538i,0.00034467-0.00023806i,0.00053247-1.94e-05i,0.00034721+2.3004e-05i,8.7037e-05-0.00060821i,0.00028212-0.00062763i
6.6125e-05-0.0023272i,-0.00031957-0.0021132i,-0.0011839-0.0012816i,-0.00071805+0.00039256i,0.00073324+0.0019151i,0.0010801+0.0021184i,0.00018085+0.0016673i,-0.00053674+0.0015359i,-3.372e-05+0.0012782i,0.0002142+0.00060574i,-0.00019956+0.00070075i,-0.00037326+0.0009707i,-0.00023028+0.00071782i,0.00034578+8.6441e-05i,0.0008467+6.0487e-05i,0.00054953+0.00037656i,0.00033739-1.808e-05i,0.00056798+0.00022017i,0.00025831+0.00086913i,-0.00035977+0.0004611i,0.00011884-0.00023881i,0.00054625+0.00035291i,-0.00016322+0.00095339i
-0.0013382-6.0019e-05i,-0.00061421+0.0010525i,-0.00084153+0.0013968i,-0.00035806+0.0011571i,0.00098248+0.0012007i,0.0015855+0.0013708i,0.0011914+0.00057106i,0.0006478+0.0001891i,0.00081847+0.00076731i,0.00076061+0.00014289i,0.0007801-0.00078808i,0.00064039-0.00090186i,0.00023007-0.00053586i,-8.351e-05-0.00041823i,0.00010896-3.4337e-05i,0.00040303+3.9981e-05i,0.00018917-0.00014498i,-0.0004472-0.00025835i,-0.00029314+2.518e-05i,0.00034415+8.1665e-05i,0.00045487+0.00016873i,0.00023907+0.00044842i,-0.00026239+9.8481e-05i
-0.0026065+0.0010479i,-0.0027813+0.00068507i,-0.0011299+0.0010972i,0.0011654+0.0019867i,0.0018285+0.002422i,0.0010889+0.0014054i,-0.0002543+0.00057619i,-0.00050703+0.00052396i,-1.8561e-05+0.00067825i,-0.00042163-0.00014725i,-0.00068693-0.0011761i,-6.7393e-05-0.00056066i,0.00088497-6.4804e-05i,0.0012719-0.00073494i,0.00027421-0.0012023i,-0.00057722-0.0008997i,-0.00076379+0.00011178i,-0.00088231+0.00011502i,-0.00068548-0.00026402i,-0.00062706+6.0406e-05i,-0.00040597+0.00061203i,-0.00053693+0.00053348i,-0.00068523+6.1515e-05i
-0.0024988-0.00036606i,-0.002936+0.00031019i,-0.0020435+0.0012341i,-0.00031407+0.0013972i,0.00034193+0.001729i,0.0010909+0.0016441i,0.001578+0.00063477i,0.00016187-0.00024855i,-0.0010963-0.00054247i,-0.0010535-0.00010022i,-0.00053608+0.00022376i,-0.00043894-0.00014474i,-0.00084966-0.00019623i,-0.00049101-0.00063351i,-0.00023114-0.0004918i,-0.00013156+0.00038161i,-0.00017987+0.00060709i,-0.00033593+9.9771e-05i,0.00029319-0.00031269i,0.00086341+0.00023198i,0.00029695+0.0007126i,-0.00064448-1.8318e-05i,0.00011946-0.00018083i
