-0.0032277-0.00032658i,-0.0023361-0.00086845i,-0.0019955-0.0013679i,-0.001684-0.00095451i,-0.00086599+7.1193e-05i,5.9785e-05+0.0013332i,0.00034444+0.0016297i,0.00015228+0.0013672i,0.00038245+0.00089171i,0.00058058+0.00011496i,0.00036152+0.00014595i,4.3163e-05+0.00049102i,-0.00054159+0.00051188i,-0.00055575+0.00024974i,0.00011192+0.00013449i,-0.00037287+4.9506e-05i,-0.00082455-0.00028063i,0.00029721-0.00013285i,0.0010588+0.00030159i,0.00067697+0.00043483i,0.00016176+8.9226e-05i,-8.8468e-05+4.2273e-05i,-7.0755e-05+0.00017533i
-0.00078405-3.1539e-05i,-0.00052756+0.00016317i,-0.00087019-6.2653e-06i,-0.00085495+5.6767e-05i,-0.00027397+0.00076089i,0.00013516+0.00048682i,-2.8499e-05-0.00054389i,-9.3574e-05-0.00099895i,-0.00064232-0.00074014i,-0.0013001-0.0002272i,-0.0010987-0.00040511i,-0.00064644-1.4854e-05i,-0.00010838+0.00039902i,0.00032945-0.0001701i,0.00017826-0.00084267i,-5.3043e-06-0.00086736i,0.000292+0.00013471i,0.00021492+0.00080877i,-0.00019779+0.0010064i,-0.00019363+0.00061326i,-0.00044093-0.0006211i,-0.00078349-0.00099675i,-0.00052436-0.00089721i
-0.00032751+0.00083135i,-7.1025e-05+0.00017902i,0.0013116-0.00026882i,0.00081721+0.00027199i,0.00017148+0.00021689i,0.00065076-0.00017537i,0.00081254-0.00034494i,7.1712e-05-0.00030789i,-0.00057103+0.00057689i,-0.00027315+0.00066304i,-0.0006142-0.00034435i,-0.0016605-0.00014216i,-0.0017183-0.0001592i,-0.0004995-0.00041857i,0.00084526-0.00037035i,-1.2664e-05-0.00029555i,-0.001055+0.00011609i,-0.00046329-2.1381e-05i,6.5141e-05-0.00034471i,0.00029286+0.00024278i,0.00054134+0.00082933i,0.00040126+0.00088104i,0.0002405+0.001055i
0.00034201-0.0010036i,0.0013189-0.00014529i,0.0022343-3.9787e-05i,0.0015207-0.00093957i,0.00053298-0.00084929i,0.00085004-8.3054e-06i,0.00041144+0.0004939i,-8.0627e-05+0.00010278i,-0.00022202+0.00039977i,-0.00090241+0.00019734i,-0.00076142-0.00033041i,-0.00050704-0.0001414i,1.4284e-05-4.4167e-05i,0.0012282-3.4822e-05i,0.001256-0.00056665i,0.00034173-0.0011091i,-3.2724e-05-0.00017343i,-4.1419e-05+0.00061283i,-7.9571e-05+0.00074329i,0.00018659+0.00092948i,-0.00044478+0.00063269i,-0.00081693+0.00042769i,-0.00028272+0.00012315i
0.0010099+0.00096875i,0.0011131+0.00030319i,0.0010626+0.00047121i,0.00092253+0.00047687i,0.00026567+9.5911e-05i,0.00030471-0.0001442i,0.00039544-0.00040611i,-0.00031115-0.00025868i,-0.00042708+0.00025062i,-0.00038359+0.00055203i,-0.00021732+0.00060537i,-0.00058201+0.00015088i,-0.00066336+0.00030584i,1.5291e-05+0.0002693i,2.9663e-05-0.000338i,-0.00034622-0.0011398i,-0.00015252-0.00093702i,0.00019663+1.6949e-05i,6.9581e-05-0.00035204i,9.6513e-05-0.0007593i,-6.2482e-06-0.00034079i,-2.1887e-05-0.00020581i,0.00044859-0.0001062i
-0.0021309-0.00078336i,-0.0023012+0.00023677i,-0.0021945+0.00029832i,-0.0011356+0.00020691i,-0.0006027+0.00048983i,-0.00019684+0.00048706i,-0.0006878+0.00076372i,-0.00052159+0.00098469i,-0.00015416+0.0011193i,-0.00029283+0.00063489i,-0.00012887+0.00015259i,-0.00021356+0.00056718i,-0.0001939+0.0011526i,0.00069771+0.00041628i,0.0012008+0.00015439i,0.00028408+0.00034298i,-0.0002775-0.00054768i,-9.3786e-05-0.0012853i,-0.00027698-0.0011982i,-0.00037516-0.00087295i,-0.00060165-0.00014041i,-0.00060578+0.00051946i,-0.00032227+0.00027496i
-0.00011166-0.00022969i,0.00018471-0.00031952i,-0.00017067-0.00084331i,-0.0013656-0.0012358i,-0.00075801-0.00032914i,0.00063771+0.00024167i,0.00035172+0.00010019i,-0.00032036-8.5377e-05i,-0.00076617-0.0005353i,-0.0012364-0.00038415i,-0.00089305+0.00033891i,-0.00042117+0.00012448i,0.00059615+0.00014174i,0.00096427+0.00040367i,0.00024176+0.0002756i,0.00021492+0.00052925i,-0.00053307+0.00061703i,-0.0011925-0.00019211i,-0.00042611-7.0823e-05i,0.00034811+0.00042209i,0.00045628-0.00027947i,0.00057171-5.9567e-05i,0.00065419+0.00057251i
-0.0013014-0.0013124i,-0.0021534-0.0013158i,-0.0013309-0.00056411i,-0.0004816-0.00049093i,-0.00045375+8.1153e-06i,0.0003191+0.0013029i,0.00084765+5.2581e-05i,0.00019866-0.0008008i,-0.00031288+0.00016667i,-0.00080281+0.0008407i,-0.00034171+0.00077195i,0.00041424+0.00071032i,8.9883e-06+0.00085215i,0.00037991+0.00060478i,0.00024125+0.00021522i,-0.00038504-0.00043978i,-0.00032427-0.00030737i,-0.00032981+0.00023073i,-0.00048679+0.00013157i,-0.00039079+2.6323e-05i,-0.00011015+0.00024164i,-0.00054342+0.00045726i,-0.00040069+0.00081266i
0.001629-0.00077605i,0.0029565-0.00042345i,0.0021719-0.00072181i,0.00094872-0.0016567i,0.00064456-0.0010914i,4.118e-06+1.2731e-05i,-0.00065498+0.00058872i,-0.0012009+5.98e-05i,-0.00077406-0.00031357i,-0.00012918+0.0006548i,-0.00045312+0.00097408i,-0.00036184+1.1954e-05i,-0.00014471-0.00020989i,-0.00043206+4.2778e-05i,0.00026953-1.4441e-05i,0.00047978+0.0002778i,0.00011458+0.00047221i,0.00041782+0.00061283i,-0.00015837+0.00077861i,-0.00062289+0.00039018i,-0.0006437+0.000199i,-0.00051898+0.00015654i,-0.0002218+6.5509e-05i
0.0024748+0.0009317i,0.002655+0.00074885i,0.0029834-0.00060524i,0.0018873-0.00087548i,0.00071705+0.00065458i,-0.00024033+0.0012616i,-0.00035828+0.00056232i,0.0010408-2.9488e-05i,0.0010325-0.0003277i,-0.00028821-0.00070067i,-0.0012238-0.0004282i,-0.0013269+0.00048698i,-0.0010553+0.00097161i,-0.00038725+0.00096976i,0.00056441+0.00075406i,0.00079218-5.5656e-05i,0.00016791-0.0013206i,1.6194e-06-0.0014233i,0.00054709-0.00044747i,0.00081668+0.00012708i,-0.00037063+0.00037744i,-0.0010075+0.00035049i,-0.00031084-0.00012635i
1.7829e-06-0.00059102i,-0.00058708-0.0013326i,-0.00050368-0.0010281i,-0.00031977-0.00077399i,-0.00083009-0.0010932i,-0.000854-0.00058563i,1.2163e-05+0.00022434i,0.00018154+0.00043562i,-0.00044892+2.7577e-05i,-0.00047476+1.9213e-05i,-0.00088024-0.00020009i,-0.0017463-0.00048888i,-0.0012298-0.00054468i,-0.00046954-0.00011982i,-0.0005775+0.0007353i,-0.00069069+0.0013654i,-1.0183e-06+0.0013847i,0.00044439+0.00073727i,0.00080333+8.1847e-05i,0.00071505-0.00022807i,0.00036033-0.00027606i,0.00044228-0.00036972i,0.00036342-0.00034425i
