0.00092696+0.00023642i,0.0012318-0.00089579i,0.00054727-0.0017305i,-0.001278-0.0020936i,-0.0034514-0.0019451i,-0.0043064+0.00020164i,-0.001937+0.0021928i,0.0007143+0.0021869i,0.0015762+0.00073924i,0.0011976-0.0010315i,0.00027596-0.0015614i,-0.00055287-0.00080655i,-0.00033723-0.0004628i,-0.00012073-6.9599e-05i,-0.0012038+0.00017465i,-0.0013586+0.00050509i,-0.00074805-7.4758e-05i,-0.00030721-0.00063723i,-0.00017126+3.7498e-06i,-0.00032358+0.00021523i,-0.00044887-0.0001049i,-0.00026675-0.00013824i,0.00023168+0.00013626i
-0.0015882-0.00020373i,-0.0012906+0.0014775i,6.9138e-05+0.0016982i,0.00076366+0.00070079i,9.0182e-05-0.00011818i,1.6955e-05-0.00069483i,0.00052381-0.00093703i,0.00035937-0.00052121i,0.00030047-0.00057181i,0.00023186-0.00091207i,0.00036607-0.0002771i,0.00063059+0.00061591i,0.00053975+0.00096016i,0.00045076+0.0010388i,0.00036372+0.00041768i,0.00020402+0.00031437i,0.00023588+0.00096778i,0.00015681+0.00062007i,0.00012445-0.00060909i,0.00030577-0.0011289i,1.2004e-05-0.00078989i,-0.0001759-0.00019256i,-0.00089499+0.00085087i
0.0010996+0.0013708i,0.00061319+0.0011682i,0.00078958+0.0001312i,0.00046021-0.0011752i,-0.0006748-0.0013397i,-0.0011805-0.00040874i,-0.0013176-7.0829e-05i,-0.00048377-0.00079398i,0.00079935-0.0014896i,-5.8588e-05-0.0012541i,-0.00045406-0.00059579i,6.8884e-05-0.000971i,0.0001892-0.00087562i,-0.000324-0.00091738i,-7.5285e-05-0.00097742i,0.0001125-0.00014109i,0.00013028+0.00062278i,-3.8215e-05+0.00053575i,-0.00047971+0.00042198i,-0.00074459+0.0002648i,-0.00028311-3.7009e-05i,-2.9407e-05+0.00065622i,-0.00025321+0.0010208i
-0.002206+0.0021214i,-0.00025769+0.0017395i,0.00028953+0.001159i,0.00047968+0.00057584i,0.00058897-0.00034504i,-0.00011953-0.00030198i,9.6848e-05+0.00075199i,0.00017193+0.0011282i,-0.00039048+0.00131i,-0.00082037+0.0012016i,-0.00062481+0.00096594i,0.00011421+0.00062884i,0.00057356+6.8234e-05i,0.00014843+7.5895e-05i,0.00017094-0.00016055i,1.5168e-05-0.00080236i,-0.00041974-0.0012082i,0.00032165-0.0011881i,0.00071588-0.00089212i,0.00070269-0.00084658i,0.00033201-0.00045404i,-0.00027098-0.00054446i,-7.4555e-05-0.0010215i
3.5124e-05+0.0013877i,0.0012686+0.0012459i,0.0019105+0.00056346i,0.0011558-0.00012904i,0.00060276-0.00059757i,0.00087925-0.0013246i,-2.5572e-05-0.0010797i,-0.001105+7.7653e-05i,-0.00082517+0.00095921i,-2.5828e-06+0.0011567i,0.00066482+0.00073548i,0.00081098+0.00036383i,0.00071489-1.6272e-06i,0.00072183-8.0138e-05i,-3.0647e-05-0.00024711i,-0.00038625-0.00045287i,-0.00024115-0.00010874i,0.00010034-1.5682e-05i,-0.00024402-0.00026463i,-0.00056314-0.00033307i,-0.00041789-0.00029179i,-0.00011472-0.00015797i,0.00033137-0.00041513i
-0.00044656+0.0030395i,5.5165e-05+0.0035624i,0.0015782+0.0018398i,0.0017854-0.00012637i,-0.00020636-0.00073975i,-0.00075955-9.1277e-05i,-0.00072776+0.00048233i,-0.00067576+0.0003535i,0.00034833+0.00047459i,0.00088229+0.00080211i,0.00094791+0.00074454i,0.0001456+0.00069743i,-0.00070336+0.00048454i,-0.00021416-0.00059184i,0.00097637-0.0010854i,0.0010579-0.00025886i,0.00013157+2.0411e-05i,-0.00046875-0.0001365i,-0.00080943-3.998e-05i,-0.0012733-0.00027542i,-0.00086742-0.00048243i,0.00011514-0.00018495i,-0.00025338+0.00012393i
-0.00091049+0.00020831i,0.00047777+0.00017031i,0.0011265-6.4579e-05i,0.00045149+0.00011853i,-0.00045636+0.00039163i,3.3271e-05+8.578e-05i,-6.9359e-05-0.00064069i,-0.00013183-0.00055143i,0.00028106-0.00025071i,0.00027775+0.00033122i,0.00042725+0.00063037i,0.00092102+0.00011385i,0.0011759-0.00044605i,0.00088122-0.00087844i,0.00097339-0.00099455i,0.00080192-0.00086713i,0.00011241+0.00029518i,-0.00025775+0.00099113i,-0.00049782-4.5551e-05i,-3.9531e-05-0.00042977i,0.00025342-6.3551e-05i,-1.9901e-05+2.9399e-05i,0.00051568+0.00092658i
0.00064174+0.0026107i,0.00095888+0.0026644i,0.00085255+0.0025596i,0.00092709+0.0013566i,0.00048593+0.00017334i,0.00014364-7.5595e-05i,-0.00050864-0.00079579i,-0.00070587-0.00053957i,-0.00023153-0.00015939i,0.00051712+5.3906e-06i,0.00055241+0.00027911i,0.00055708-0.00012367i,0.00032949-0.00021305i,-2.9385e-05+0.00012233i,-0.00080978-0.00025729i,-0.00063286-0.001122i,-0.00033626-0.0011472i,-0.00033506-0.00050748i,0.00083217+0.000154i,0.00043221+0.00033977i,0.00017088+7.4744e-05i,0.00032899+0.00028541i,-0.00024822+9.2195e-05i
0.00034949-0.00054033i,0.0010571-0.00064137i,0.00084963-0.0018348i,0.00044113-0.0014011i,-0.00047051-0.00046594i,-0.0010595-0.00020294i,-0.0010046-0.00013202i,-0.0011422-0.00013918i,-0.0003607-0.00027725i,-0.00059002-0.00018332i,-0.0015079+0.00056286i,-0.0010282+0.00061641i,-0.0009557+0.00031933i,-0.0014242+1.7427e-05i,-0.0010039-0.0005699i,-0.00019013-0.00085974i,-0.00010435-0.001233i,-0.00058456-0.00066404i,-0.00062276-0.00053946i,-0.00032174-0.00060151i,-0.00035191-4.5192e-05i,-0.00039037+0.00048535i,-0.00018819+0.00079384i
-0.00072811+0.0033991i,-0.00063743+0.0034543i,0.00068827+0.0018219i,0.0011486-0.00018293i,0.0007088-0.0014886i,0.0004576-0.0014217i,-0.00037259-0.00066846i,-3.7424e-05+1.1999e-05i,0.00036635+0.00072013i,0.00060551+0.00070556i,0.00072967-0.00022979i,0.00058535-0.0013973i,0.00043507-0.0016753i,0.00013614-0.00090905i,-0.00035967-0.00019641i,-0.00044157-0.00019738i,-0.00074416-0.0015001i,-0.00069247-0.0013298i,-0.00076312-0.00052359i,4.1697e-05-0.00053351i,0.0011902-0.00024768i,0.0016624+8.1634e-06i,0.0013509+0.00017976i
0.0021723+0.0023553i,0.0027299+0.00099041i,0.0020883-0.00075063i,0.0010103-0.00108i,-0.00042307-0.0010451i,-0.0016395-0.00054255i,-0.001301-0.00033447i,-0.00039522-0.00018121i,-0.00014824+0.00029758i,0.00036962+0.0008142i,0.0011179+0.00094537i,0.00077649+0.00030205i,-8.8958e-05-0.00017232i,-0.0001963-8.4784e-05i,-8.1196e-05+0.0003463i,-0.00061079+0.00042505i,-0.0014217+0.00043867i,-0.0011393+1.0536e-05i,-4.4234e-05+0.00026702i,-4.9968e-05+0.00078399i,-0.00093671+0.00015542i,-0.0014078+0.00046875i,-0.001049+0.00070777i
