0.00011079+0.00076654i,0.00046751-0.00048142i,-0.001767-0.00025742i,-0.0031783+0.00095793i,-0.0023219+0.0012914i,-0.00060936+0.0012715i,0.00041274+0.0011783i,0.00085195+0.00043398i,0.0012207-0.00011426i,0.00059772-0.00048372i,-0.0001867-0.0010697i,9.7191e-05-0.0012161i,0.00012336-0.00069379i,0.00024896-0.00085501i,0.00043134-0.0010869i,0.00045469-0.00056353i,0.00072197-0.00030971i,0.00044951-0.00023848i,6.2378e-05+8.9704e-05i,0.00031435+0.00014146i,0.00023935-8.5555e-05i,0.00028277+8.5968e-05i,-2.2526e-05+8.7098e-05i
-0.0011648-0.0011544i,-0.0014471-0.0012236i,-0.0016329-0.00058463i,-0.0013522+0.0010794i,-0.0011313+0.0015973i,-0.00037852+0.0007604i,0.000278+9.165e-05i,-0.00065534-0.00018887i,-0.00059303-0.00038748i,8.5167e-05+2.0326e-05i,-0.00013572+0.00017075i,-0.00059362+0.00030587i,-0.00028535+0.00030408i,0.00012447-9.4445e-05i,0.00028645-0.0003668i,0.00027723-2.8434e-05i,-0.00070952+0.00010355i,-0.0010996+5.8821e-06i,-0.00088654-0.00023097i,-0.00081649-0.0004398i,-0.00013005-0.00026383i,0.00055898-0.00020237i,0.0010798-0.00028094i
-0.0014543-0.00012997i,-0.0014358-4.5906e-05i,-0.00095422+0.00075326i,-0.00042308+0.0016166i,-0.00028083+0.0015397i,1.3164e-05+0.00089775i,0.00012846+0.00041725i,-0.0003968-0.00054092i,-0.00073312-0.00077284i,-0.00025642+0.0012933i,0.00027961+0.0015648i,0.00044772+4.315e-05i,0.00039943-0.0011417i,-0.0001285-0.0014434i,-0.00039337-0.00078566i,-0.00024587-0.00029407i,-0.00031124+8.3381e-05i,-0.00027792+6.871e-05i,-5.3768e-06+0.00046881i,0.00017602+0.00037378i,0.00079684-0.00014596i,0.00083751-0.00011993i,0.00024952+0.0004606i
0.00014946-4.2595e-05i,-0.00058494+0.0012808i,-0.0018545+0.00161i,-0.0016747+0.00092571i,-0.0013795+0.00062935i,-0.00066526+0.0011392i,0.00010721+0.0002209i,0.00030161-0.00093428i,0.00021959-0.00071096i,2.1233e-06+0.00016959i,-0.00061359+0.00023633i,-0.00060901-0.00030794i,0.000113-0.00012224i,0.00069655+5.6259e-05i,0.00098778-0.00066666i,0.00083081-0.00042539i,0.00043179+0.00011285i,0.00011607-0.0003498i,7.9857e-05-8.7677e-05i,-0.00050761+0.00030098i,-0.00042283-0.00021317i,0.0002235-0.0008495i,0.0004605-0.00048084i
0.00026639-0.001249i,-0.00067722-0.0014535i,-0.0010226-0.0013696i,-0.0019544-9.3532e-05i,-0.0021986+0.0019093i,-0.00046999+0.0019261i,0.00037021+0.0003029i,9.3693e-05-0.00048863i,0.00017316-0.00033081i,0.00012562+0.00028728i,-0.00032731+0.00081627i,-0.00048337+0.00055214i,-0.00062302+0.00091043i,9.494e-05+0.00094107i,0.00094279+0.00039621i,0.00065106+0.00033387i,0.00038044-0.00019293i,0.00014443-7.265e-05i,-0.00029719+0.00042536i,-0.00056725-0.00022675i,-0.00040729-0.00063065i,9.2807e-05-0.00030172i,0.00014351-0.00026612i
0.001289-0.0020066i,0.00025388-0.0025519i,-0.00052714-0.0033397i,-0.0015191-0.0020781i,-0.0022251-0.0011179i,-0.0022163-0.00055456i,-0.0011917-0.00012875i,0.00012069-0.00052366i,0.00029033-0.00087069i,-0.00029463-0.00096714i,-0.0006688+0.00014251i,-4.8979e-05+0.0013174i,0.0006468+0.001174i,0.00066051+0.00020256i,0.00084765-0.00026503i,0.0010143+0.00017329i,0.00069204+7.7867e-06i,0.00032724-0.00031194i,0.00013995+3.8481e-05i,0.00025929-7.1092e-05i,0.00076605-0.00056669i,0.00089727-0.00078638i,0.00097717-1.989e-05i
0.0011372+0.00024655i,0.0010109-0.00020372i,0.0013209-0.00021208i,0.0021786+0.00069734i,0.0023384+0.00037722i,0.00091624-0.00034051i,0.00026182-0.00019238i,0.00091302+7.7046e-05i,0.0010248-8.1264e-05i,0.00071076-0.00057202i,0.0003541-1.6322e-05i,-0.0001454+0.00016291i,0.00034333-6.7856e-05i,0.00038761-7.68e-05i,6.3582e-05-0.00087633i,0.00059457-0.0013429i,0.00033961-0.0010323i,-0.0004433-0.00039492i,-0.00045499-9.667e-05i,-0.00048823-0.00055666i,-0.0012824-0.00016996i,-0.00086728+0.00042882i,-1.7158e-05+0.00029151i
0.00055461-0.0005438i,-7.2133e-06-0.00039664i,-0.0013715-0.00089322i,-0.0027941-0.00045175i,-0.0018393+0.00036575i,-0.00082016+0.00074i,-0.00037602+0.00052406i,-0.00015729+0.00052066i,-0.00049196+0.00064317i,-0.00090709+0.00042999i,-0.00074651+2.2214e-05i,-0.00035718-6.5277e-07i,0.0001003-7.9497e-05i,0.00047425+0.00021045i,0.00097752+0.00059938i,0.00064054-0.00014401i,0.00030066-0.00079415i,0.00067531-0.0011037i,0.00091209-0.00068783i,0.00078208+0.00069087i,0.00024059+0.0014815i,-0.00052378+0.00057817i,-0.0003796-8.9901e-05i
0.0019045+0.0009914i,0.0016813+0.00093537i,0.0023336+0.00066327i,0.0018045-0.00017251i,0.0010524-0.00045302i,0.00080498-0.00068521i,0.00084784-0.0010263i,0.00016312-0.00080416i,0.00016213-0.0004087i,0.0010463+7.6628e-05i,0.0011144+0.0003486i,0.00062432+0.00068652i,-0.00026466+0.00070152i,-0.00046868-0.00028126i,-0.00011646-0.00064713i,4.7351e-05-0.00056112i,7.6807e-05+4.0802e-05i,0.00015254+4.207e-06i,0.0003121-0.00062567i,0.00063197-0.00062248i,0.00056298+0.00022358i,-2.9445e-05+0.00039999i,0.00022158-0.00037677i
0.0011454+0.00031944i,-0.00030838+0.000539i,0.00034281-0.00039929i,0.00028618-0.00045785i,-0.0012097+0.00063672i,-0.00094404+0.00043461i,-0.00021783-0.00020173i,-0.00012263-0.00059961i,6.4714e-05-0.00066489i,-0.00014366-0.0008162i,0.00037745-0.0005623i,0.00012841-0.00035653i,-0.00072112-0.00018861i,-0.00072332+0.0009094i,-0.00041936+0.00089377i,-0.0003559-0.00019514i,-0.00044198-0.00015993i,-0.00034948+0.00059843i,0.00021718+0.00091045i,0.0011221+0.00047847i,0.00097725+0.00046995i,0.00015967+0.00096381i,-0.00054848+0.0009663i
-0.0007243-0.00010299i,-0.0010024-0.00081468i,-0.0013798-1.4633e-05i,-0.00078111+0.001554i,-0.00044115+0.0024197i,-0.00048869+0.0021777i,8.5176e-06+0.00031794i,0.00035365-0.00083877i,-0.00082044-0.00018027i,-0.00095548+0.00059589i,-0.00032363+0.00057168i,-0.00038873+5.2464e-06i,-0.00019771-0.00017629i,0.00039123+0.00032682i,0.00035768+0.00051181i,-0.00037792-0.00038826i,-0.00038982-0.00064374i,-0.00020304+0.00021637i,7.7618e-06+2.2272e-05i,0.00024614-0.00014659i,-0.00039028-0.00048808i,-0.00016361-5.9418e-05i,0.00031269+0.0008736i
